t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464755,25,12,3.200000,2,1.892969,3.000000,3.000000,9.600000,12.000000,12.000000,12.000000
1574464756,49,7,2.791667,2,1.141287,2.500000,3.000000,6.250000,7.000000,7.000000,7.000000
1574464757,74,41,3.920000,1,7.745536,2.000000,3.000000,29.600000,41.000000,41.000000,41.000000
1574464758,98,3,2.000000,1,0.510754,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464759,123,3,2.040000,1,0.351188,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464760,147,3,2.375000,1,0.646899,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464761,172,3,2.040000,1,0.538516,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464762,197,2,1.800000,1,0.408248,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464763,221,3,2.083333,2,0.282330,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464764,246,3,1.920000,1,0.640312,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464765,271,3,1.800000,1,0.577350,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464766,295,8,2.500000,1,1.285369,2.000000,3.000000,6.750000,8.000000,8.000000,8.000000
1574464767,320,3,1.680000,1,0.556776,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464768,345,3,1.920000,1,0.400000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464769,370,4,2.200000,1,0.707107,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464770,394,19,2.916667,1,3.488075,2.000000,3.000000,15.000000,19.000000,19.000000,19.000000
1574464771,419,3,2.040000,1,0.611010,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464772,443,3,2.041667,1,0.624094,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464773,468,5,2.440000,1,0.869866,2.000000,3.000000,4.700000,5.000000,5.000000,5.000000
1574464774,493,7,3.400000,2,0.957427,3.000000,4.000000,6.100000,7.000000,7.000000,7.000000
1574464775,517,5,2.833333,2,0.761387,3.000000,3.000000,4.750000,5.000000,5.000000,5.000000
1574464776,542,3,2.160000,1,0.624500,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464777,567,19,2.800000,1,3.415650,2.000000,2.500000,14.200000,19.000000,19.000000,19.000000
1574464778,591,3,2.208333,1,0.508977,2.000000,2.750000,3.000000,3.000000,3.000000,3.000000
1574464779,616,7,2.560000,2,1.083205,2.000000,3.000000,6.100000,7.000000,7.000000,7.000000
1574464780,641,3,1.840000,1,0.553775,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464781,665,3,1.875000,1,0.612372,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464782,690,3,2.000000,1,0.288675,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464783,715,20,2.960000,2,3.576311,2.000000,3.000000,14.900000,20.000000,20.000000,20.000000
1574464784,739,2,1.875000,1,0.337832,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
