t,value
1574464736,3866624
1574464737,4063232
1574464738,4259840
1574464739,4390912
1574464740,4456448
1574464741,4587520
1574464742,5767168
1574464743,6684672
1574464744,7471104
1574464745,7798784
1574464746,7798784
1574464747,7864320
1574464748,7864320
1574464749,7864320
1574464750,7864320
1574464751,7864320
1574464752,7864320
1574464754,7929856
1574464754,8257536
1574464755,8716288
1574464756,8912896
1574464757,8912896
1574464758,9043968
1574464759,9109504
1574464760,9371648
1574464761,9371648
1574464762,9371648
1574464763,9371648
1574464764,9371648
1574464765,9371648
1574464766,9371648
1574464767,9371648
1574464768,9371648
1574464769,9371648
1574464770,9371648
1574464771,9371648
1574464772,9371648
1574464773,9371648
1574464774,9371648
1574464775,9371648
1574464776,9371648
1574464777,9371648
1574464778,9371648
1574464779,9371648
1574464780,9371648
1574464781,9371648
1574464782,9371648
1574464783,9371648
1574464784,9371648
1574464785,9371648
1574464786,9371648
1574464787,9371648
1574464788,9371648
1574464789,9371648
1574464790,9371648
1574464791,9371648
1574464792,9371648
1574464793,9371648
1574464794,9371648
1574464795,9371648
1574464796,9371648
1574464797,9371648
1574464798,9371648
1574464799,9371648
1574464800,9371648
1574464801,9371648
1574464802,9371648
1574464803,9371648
1574464804,9371648
1574464805,9371648
1574464806,9371648
1574464807,9371648
1574464808,9371648
1574464809,9371648
1574464810,9371648
1574464811,9371648
1574464812,9371648
1574464813,9371648
1574464814,9371648
1574464815,9371648
1574464816,9371648
1574464817,9371648
1574464818,9371648
1574464819,9371648
1574464820,9371648
1574464821,9371648
1574464822,9371648
1574464823,9371648
1574464824,9371648
1574464825,9371648
1574464826,9371648
1574464827,9371648
1574464828,9371648
1574464829,9371648
1574464830,9371648
1574464831,9371648
1574464832,9371648
1574464833,9371648
1574464834,9371648
1574464835,9371648
1574464836,9371648
1574464837,9371648
1574464838,9371648
1574464839,9371648
1574464840,9371648
1574464841,9371648
1574464842,9371648
1574464843,9371648
1574464844,9371648
1574464845,9371648
1574464846,9371648
1574464847,9371648
1574464848,9371648
1574464849,9371648
1574464850,9371648
1574464851,9371648
1574464852,9371648
1574464853,9371648
1574464854,9371648
1574464855,9371648
1574464856,9371648
1574464857,9371648
1574464858,9371648
1574464859,9371648
1574464860,9371648
1574464861,9371648
1574464862,9371648
1574464863,9371648
1574464864,9371648
1574464865,9371648
1574464866,9371648
1574464867,9371648
1574464868,9371648
1574464869,9371648
1574464870,9371648
1574464871,9371648
1574464872,9371648
1574464873,9371648
1574464874,9371648
1574464875,9371648
1574464876,9371648
1574464877,9371648
1574464878,9371648
1574464879,9371648
1574464880,9371648
1574464881,9371648
1574464882,9371648
1574464883,9371648
1574464884,9371648
1574464885,9371648
1574464886,9371648
1574464887,9371648
1574464888,9371648
1574464889,9371648
1574464890,9371648
1574464891,9371648
1574464892,9371648
1574464893,9371648
1574464894,9371648
1574464895,9371648
1574464896,9371648
1574464897,9371648
1574464898,9371648
1574464899,9371648
1574464900,9371648
1574464901,9371648
1574464902,9371648
1574464903,9371648
1574464904,9371648
1574464905,9371648
1574464906,9371648
1574464907,9371648
1574464908,9371648
1574464909,9371648
1574464910,9371648
1574464911,9371648
1574464912,9371648
1574464913,9371648
1574464914,9371648
1574464915,9371648
1574464916,9371648
1574464917,9371648
1574464918,9371648
1574464919,9371648
1574464920,9371648
1574464921,9371648
1574464922,9371648
1574464923,9371648
1574464924,9371648
1574464925,9371648
1574464926,9371648
1574464927,9371648
1574464928,9371648
1574464929,9371648
1574464930,9371648
1574464931,9371648
1574464932,9371648
1574464933,9371648
1574464934,9371648
1574464935,9371648
1574464936,9371648
1574464937,9371648
1574464938,9371648
1574464939,9371648
1574464940,9371648
1574464941,9371648
1574464942,9371648
1574464943,9371648
1574464944,9371648
1574464945,9371648
1574464946,9371648
1574464947,9371648
1574464948,9371648
1574464949,9371648
1574464950,9371648
1574464951,9371648
1574464952,9371648
1574464953,9371648
1574464954,9371648
1574464955,9371648
1574464956,9371648
1574464957,9371648
1574464958,9371648
1574464959,9371648
1574464960,9371648
1574464961,9371648
1574464962,9371648
1574464963,9371648
1574464964,9371648
1574464965,9371648
1574464966,9371648
1574464967,9371648
1574464968,9371648
1574464969,9371648
1574464970,9371648
1574464971,9371648
1574464972,9371648
1574464973,9371648
1574464974,9371648
1574464975,9371648
1574464976,9371648
1574464977,9371648
1574464978,9371648
1574464979,9371648
1574464980,9371648
1574464981,9371648
1574464982,9371648
1574464983,9371648
1574464984,9371648
1574464985,9371648
1574464986,9371648
1574464987,9371648
1574464988,9371648
1574464989,9371648
1574464990,9371648
1574464991,9371648
1574464992,9371648
1574464993,9371648
1574464994,9371648
1574464995,9371648
1574464996,9371648
1574464997,9371648
1574464998,9371648
1574464999,9371648
1574465000,9371648
1574465001,9371648
1574465002,9371648
1574465003,9371648
1574465004,9371648
1574465005,9371648
1574465006,9371648
1574465007,9371648
1574465008,9371648
1574465009,9371648
1574465010,9371648
1574465011,9371648
1574465012,9371648
1574465013,9371648
1574465014,9371648
1574465015,9371648
1574465016,9371648
1574465017,9371648
1574465018,9371648
1574465019,9371648
1574465020,9371648
1574465021,9371648
1574465022,9371648
1574465023,9371648
1574465024,9371648
1574465025,9371648
1574465026,9371648
1574465027,9371648
1574465028,9371648
1574465029,9371648
1574465030,9371648
1574465031,9371648
1574465032,9371648
1574465033,9371648
1574465034,9371648
1574465035,9371648
1574465036,9371648
1574465037,9371648
1574465038,9371648
1574465039,9371648
1574465040,9371648
1574465041,9371648
1574465042,9371648
1574465043,9371648
1574465044,9371648
1574465045,9371648
1574465046,9371648
1574465047,9371648
1574465048,9371648
1574465049,9371648
1574465050,9371648
1574465051,9371648
1574465052,9371648
1574465053,9371648
1574465054,9371648
1574465055,9371648
1574465056,9371648
1574465057,9371648
1574465058,9371648
1574465059,9371648
1574465060,9371648
1574465061,9371648
1574465062,9371648
1574465063,9371648
1574465064,9371648
1574465065,9371648
1574465066,9371648
1574465067,9371648
1574465068,9371648
1574465069,9371648
1574465070,9371648
1574465071,9371648
1574465072,9371648
1574465073,9371648
1574465074,9371648
1574465075,9371648
1574465076,9371648
1574465077,9371648
1574465078,9371648
1574465079,9371648
1574465080,9371648
1574465081,9371648
1574465082,9371648
1574465083,9371648
1574465084,9371648
1574465085,9371648
1574465086,9371648
1574465087,9371648
1574465088,9371648
1574465089,9371648
1574465090,9371648
1574465091,9371648
1574465092,9371648
1574465093,9371648
1574465094,9371648
1574465095,9371648
1574465096,9371648
1574465097,9371648
1574465098,9371648
1574465099,9371648
1574465100,9371648
1574465101,9371648
1574465102,9371648
1574465103,9371648
1574465104,9371648
1574465105,9371648
1574465106,9371648
1574465107,9371648
1574465108,9371648
1574465109,9371648
1574465110,9371648
1574465111,9371648
1574465112,9371648
1574465113,9371648
1574465114,9371648
1574465115,9371648
1574465116,9371648
1574465117,9371648
1574465118,9371648
1574465119,9371648
1574465120,9371648
1574465121,9371648
1574465122,9371648
1574465123,9371648
1574465124,9371648
1574465125,9371648
1574465126,9371648
1574465127,9371648
1574465128,9371648
1574465129,9371648
1574465130,9371648
