t,value
1574464736,917504
1574464737,917504
1574464738,917504
1574464739,917504
1574464740,917504
1574464741,917504
1574464742,1310720
1574464743,2359296
1574464744,2359296
1574464745,2359296
1574464746,2359296
1574464747,2359296
1574464748,2359296
1574464749,2359296
1574464750,2359296
1574464751,2359296
1574464752,2359296
1574464754,2359296
1574464754,2359296
1574464755,2359296
1574464756,2359296
1574464757,2359296
1574464758,2359296
1574464759,2359296
1574464760,2359296
1574464761,2359296
1574464762,2359296
1574464763,2359296
1574464764,2359296
1574464765,2359296
1574464766,2359296
1574464767,2359296
1574464768,2359296
1574464769,2359296
1574464770,2359296
1574464771,2359296
1574464772,2359296
1574464773,2359296
1574464774,2359296
1574464775,2359296
1574464776,2359296
1574464777,2359296
1574464778,2359296
1574464779,2359296
1574464780,2359296
1574464781,2359296
1574464782,2359296
1574464783,2359296
1574464784,2359296
1574464785,2359296
1574464786,2359296
1574464787,2359296
1574464788,2359296
1574464789,2359296
1574464790,2359296
1574464791,2359296
1574464792,2359296
1574464793,2359296
1574464794,2359296
1574464795,2359296
1574464796,2359296
1574464797,2359296
1574464798,2359296
1574464799,2359296
1574464800,2359296
1574464801,2359296
1574464802,2359296
1574464803,2359296
1574464804,2359296
1574464805,2359296
1574464806,2359296
1574464807,2359296
1574464808,2359296
1574464809,2359296
1574464810,2359296
1574464811,2359296
1574464812,2359296
1574464813,2359296
1574464814,2359296
1574464815,2359296
1574464816,2359296
1574464817,2359296
1574464818,2359296
1574464819,2359296
1574464820,2359296
1574464821,2359296
1574464822,2359296
1574464823,2359296
1574464824,2359296
1574464825,2359296
1574464826,2359296
1574464827,2359296
1574464828,2359296
1574464829,2359296
1574464830,2359296
1574464831,2359296
1574464832,2359296
1574464833,2359296
1574464834,2359296
1574464835,2359296
1574464836,2359296
1574464837,2359296
1574464838,2359296
1574464839,2359296
1574464840,2359296
1574464841,2359296
1574464842,2359296
1574464843,2359296
1574464844,2359296
1574464845,2359296
1574464846,2359296
1574464847,2359296
1574464848,2359296
1574464849,2359296
1574464850,2359296
1574464851,2359296
1574464852,2359296
1574464853,2359296
1574464854,2359296
1574464855,2359296
1574464856,2359296
1574464857,2359296
1574464858,2359296
1574464859,2359296
1574464860,2359296
1574464861,2359296
1574464862,2359296
1574464863,2359296
1574464864,2359296
1574464865,2359296
1574464866,2359296
1574464867,2359296
1574464868,2359296
1574464869,2359296
1574464870,2359296
1574464871,2359296
1574464872,2359296
1574464873,2359296
1574464874,2359296
1574464875,2359296
1574464876,2359296
1574464877,2359296
1574464878,2359296
1574464879,2359296
1574464880,2359296
1574464881,2359296
1574464882,2359296
1574464883,2359296
1574464884,2359296
1574464885,2359296
1574464886,2359296
1574464887,2359296
1574464888,2359296
1574464889,2359296
1574464890,2359296
1574464891,2359296
1574464892,2359296
1574464893,2359296
1574464894,2359296
1574464895,2359296
1574464896,2359296
1574464897,2359296
1574464898,2359296
1574464899,2359296
1574464900,2359296
1574464901,2359296
1574464902,2359296
1574464903,2359296
1574464904,2359296
1574464905,2359296
1574464906,2359296
1574464907,2359296
1574464908,2359296
1574464909,2359296
1574464910,2359296
1574464911,2359296
1574464912,2359296
1574464913,2359296
1574464914,2359296
1574464915,2359296
1574464916,2359296
1574464917,2359296
1574464918,2359296
1574464919,2359296
1574464920,2359296
1574464921,2359296
1574464922,2359296
1574464923,2359296
1574464924,2359296
1574464925,2359296
1574464926,2359296
1574464927,2359296
1574464928,2359296
1574464929,2359296
1574464930,2359296
1574464931,2359296
1574464932,2359296
1574464933,2359296
1574464934,2359296
1574464935,2359296
1574464936,2359296
1574464937,2359296
1574464938,2359296
1574464939,2359296
1574464940,2359296
1574464941,2359296
1574464942,2359296
1574464943,2359296
1574464944,2359296
1574464945,2359296
1574464946,2359296
1574464947,2359296
1574464948,2359296
1574464949,2359296
1574464950,2359296
1574464951,2359296
1574464952,2359296
1574464953,2359296
1574464954,2359296
1574464955,2359296
1574464956,2359296
1574464957,2359296
1574464958,2359296
1574464959,2359296
1574464960,2359296
1574464961,2359296
1574464962,2359296
1574464963,2359296
1574464964,2359296
1574464965,2359296
1574464966,2359296
1574464967,2359296
1574464968,2359296
1574464969,2359296
1574464970,2359296
1574464971,2359296
1574464972,2359296
1574464973,2359296
1574464974,2359296
1574464975,2359296
1574464976,2359296
1574464977,2359296
1574464978,2359296
1574464979,2359296
1574464980,2359296
1574464981,2359296
1574464982,2359296
1574464983,2359296
1574464984,2359296
1574464985,2359296
1574464986,2359296
1574464987,2359296
1574464988,2359296
1574464989,2359296
1574464990,2359296
1574464991,2359296
1574464992,2359296
1574464993,2359296
1574464994,2359296
1574464995,2359296
1574464996,2359296
1574464997,2359296
1574464998,2359296
1574464999,2359296
1574465000,2359296
1574465001,2359296
1574465002,2359296
1574465003,2359296
1574465004,2359296
1574465005,2359296
1574465006,2359296
1574465007,2359296
1574465008,2359296
1574465009,2359296
1574465010,2359296
1574465011,2359296
1574465012,2359296
1574465013,2359296
1574465014,2359296
1574465015,2359296
1574465016,2359296
1574465017,2359296
1574465018,2359296
1574465019,2359296
1574465020,2359296
1574465021,2359296
1574465022,2359296
1574465023,2359296
1574465024,2359296
1574465025,2359296
1574465026,2359296
1574465027,2359296
1574465028,2359296
1574465029,2359296
1574465030,2359296
1574465031,2359296
1574465032,2359296
1574465033,2359296
1574465034,2359296
1574465035,2359296
1574465036,2359296
1574465037,2359296
1574465038,2359296
1574465039,2359296
1574465040,2359296
1574465041,2359296
1574465042,2359296
1574465043,2359296
1574465044,2359296
1574465045,2359296
1574465046,2359296
1574465047,2359296
1574465048,2359296
1574465049,2359296
1574465050,2359296
1574465051,2359296
1574465052,2359296
1574465053,2359296
1574465054,2359296
1574465055,2359296
1574465056,2359296
1574465057,2359296
1574465058,2359296
1574465059,2359296
1574465060,2359296
1574465061,2359296
1574465062,2359296
1574465063,2359296
1574465064,2359296
1574465065,2359296
1574465066,2359296
1574465067,2359296
1574465068,2359296
1574465069,2359296
1574465070,2359296
1574465071,2359296
1574465072,2359296
1574465073,2359296
1574465074,2359296
1574465075,2359296
1574465076,2359296
1574465077,2359296
1574465078,2359296
1574465079,2359296
1574465080,2359296
1574465081,2359296
1574465082,2359296
1574465083,2359296
1574465084,2359296
1574465085,2359296
1574465086,2359296
1574465087,2359296
1574465088,2359296
1574465089,2359296
1574465090,2359296
1574465091,2359296
1574465092,2359296
1574465093,2359296
1574465094,2359296
1574465095,2359296
1574465096,2359296
1574465097,2359296
1574465098,2359296
1574465099,2359296
1574465100,2359296
1574465101,2359296
1574465102,2359296
1574465103,2359296
1574465104,2359296
1574465105,2359296
1574465106,2359296
1574465107,2359296
1574465108,2359296
1574465109,2359296
1574465110,2359296
1574465111,2359296
1574465112,2359296
1574465113,2359296
1574465114,2359296
1574465115,2359296
1574465116,2359296
1574465117,2359296
1574465118,2359296
1574465119,2359296
1574465120,2359296
1574465121,2359296
1574465122,2359296
1574465123,2359296
1574465124,2359296
1574465125,2359296
1574465126,2359296
1574465127,2359296
1574465128,2359296
1574465129,2359296
1574465130,2359296
1574465131,2359296
1574465132,2359296
1574465133,2359296
1574465134,2359296
1574465135,2359296
1574465136,2359296
1574465137,2359296
1574465138,2359296
1574465139,2359296
1574465140,2359296
1574465141,2359296
1574465142,2359296
1574465143,2359296
1574465144,2359296
1574465145,2359296
1574465146,2359296
1574465147,2359296
1574465148,2359296
1574465149,2359296
1574465150,2359296
1574465151,2359296
1574465152,2359296
1574465153,2359296
1574465154,2359296
1574465155,2359296
1574465156,2359296
1574465157,2359296
1574465158,2359296
1574465159,2359296
1574465160,2359296
1574465161,2359296
1574465162,2359296
1574465163,2359296
1574465164,2359296
1574465165,2359296
1574465166,2359296
1574465167,2359296
1574465168,2359296
1574465169,2359296
1574465170,2359296
1574465171,2359296
1574465172,2359296
1574465173,2359296
1574465174,2359296
1574465175,2359296
1574465176,2359296
1574465177,2359296
1574465178,2359296
1574465179,2359296
1574465180,2359296
1574465181,2359296
1574465182,2359296
1574465183,2359296
1574465184,2359296
1574465185,2359296
1574465186,2359296
1574465187,2359296
1574465188,2359296
1574465189,2359296
1574465190,2359296
1574465191,2359296
1574465192,2359296
1574465193,2359296
1574465194,2359296
1574465195,2359296
1574465196,2359296
1574465197,2359296
1574465198,2359296
1574465199,2359296
1574465200,2359296
1574465201,2359296
1574465202,2359296
1574465203,2359296
1574465204,2359296
1574465205,2359296
1574465206,2359296
1574465207,2359296
1574465208,2359296
1574465209,2359296
1574465210,2359296
1574465211,2359296
1574465212,2359296
1574465213,2359296
1574465214,2359296
1574465215,2359296
1574465216,2359296
1574465217,2359296
1574465218,2359296
1574465219,2359296
1574465220,2359296
1574465221,2359296
1574465222,2359296
1574465223,2359296
1574465224,2359296
1574465225,2359296
1574465226,2359296
1574465227,2359296
1574465228,2359296
1574465229,2359296
1574465230,2359296
1574465231,2359296
1574465232,2359296
1574465233,2359296
1574465234,2359296
1574465235,2359296
1574465236,2359296
1574465237,2359296
1574465238,2359296
1574465239,2359296
1574465240,2359296
1574465241,2359296
1574465242,2359296
1574465243,2359296
1574465244,2359296
1574465245,2359296
1574465246,2359296
1574465247,2359296
1574465248,2359296
1574465249,2359296
1574465250,2359296
1574465251,2359296
1574465252,2359296
1574465253,2359296
1574465254,2359296
1574465255,2359296
1574465256,2359296
1574465257,2359296
1574465258,2359296
1574465259,2359296
1574465260,2359296
1574465261,2359296
1574465262,2359296
1574465263,2359296
1574465264,2359296
1574465265,2359296
1574465266,2359296
1574465267,2359296
1574465268,2359296
1574465269,2359296
1574465270,2359296
1574465271,2359296
1574465272,2359296
1574465273,2359296
1574465274,2359296
1574465275,2359296
1574465276,2359296
1574465277,2359296
1574465278,2359296
1574465279,2359296
1574465280,2359296
1574465281,2359296
1574465282,2359296
1574465283,2359296
1574465284,2359296
1574465285,2359296
1574465286,2359296
1574465287,2359296
1574465288,2359296
1574465289,2359296
1574465290,2359296
1574465291,2359296
1574465292,2359296
1574465293,2359296
1574465294,2359296
1574465295,2359296
1574465296,2359296
1574465297,2359296
1574465298,2359296
1574465299,2359296
1574465300,2359296
1574465301,2359296
1574465302,2359296
1574465303,2359296
1574465304,2359296
1574465305,2359296
1574465306,2359296
1574465307,2359296
1574465308,2359296
1574465309,2359296
1574465310,2359296
1574465311,2359296
1574465312,2359296
1574465313,2359296
1574465314,2359296
1574465315,2359296
1574465316,2359296
1574465317,2359296
1574465318,2359296
1574465319,2359296
1574465320,2359296
1574465321,2359296
1574465322,2359296
1574465323,2359296
1574465324,2359296
1574465325,2359296
1574465326,2359296
1574465327,2359296
1574465328,2359296
1574465329,2359296
1574465330,2359296
1574465331,2359296
1574465332,2359296
1574465333,2359296
1574465334,2359296
1574465335,2359296
1574465336,2359296
1574465337,2359296
1574465338,2359296
1574465339,2359296
1574465340,2359296
1574465341,2359296
1574465342,2359296
