t,value
1574464736,2756706304
1574464737,2756706304
1574464738,2756706304
1574464739,2756706304
1574464740,2756706304
1574464741,2756706304
1574464742,2756706304
1574464743,2756706304
1574464744,2756706304
1574464745,2756706304
1574464746,2756706304
1574464747,2756706304
1574464748,2756706304
1574464749,2756706304
1574464750,2756706304
1574464751,2756706304
1574464752,2756706304
1574464754,2517106688
1574464754,2517106688
1574464755,2517106688
1574464756,2377646080
1574464757,2377646080
1574464758,2377646080
1574464759,2377646080
1574464760,2377646080
1574464761,2261778432
1574464762,2261778432
1574464763,2261778432
1574464764,2261778432
1574464765,2261778432
1574464766,2247622656
1574464767,2247622656
1574464768,2247622656
1574464769,2243428352
1574464770,2243428352
1574464771,2243428352
1574464772,2243428352
1574464773,2236088320
1574464774,2236088320
1574464775,2236088320
1574464776,2236088320
1574464777,2243952640
1574464778,2243952640
1574464779,2243952640
1574464780,2238185472
1574464781,2238185472
1574464782,2238185472
1574464783,2250244096
1574464784,2250244096
1574464785,2250244096
1574464786,2247622656
1574464787,2247622656
1574464788,2247622656
1574464789,2265448448
1574464790,2265448448
1574464791,2262827008
1574464792,2262827008
1574464793,2262827008
1574464794,2280652800
1574464795,2280652800
1574464796,2280128512
1574464797,2280128512
1574464798,2280128512
1574464799,2299527168
1574464800,2299527168
1574464801,2286944256
1574464802,2286944256
1574464803,2270691328
1574464804,2270691328
1574464805,2257059840
1574464806,2257059840
1574464807,2251292672
1574464808,2251292672
1574464809,2251816960
1574464810,2251816960
1574464811,2265972736
1574464812,2265972736
1574464813,2535981056
1574464814,2535981056
1574464815,2296381440
1574464816,2296381440
1574464817,2552233984
1574464818,2334654464
1574464819,2334654464
1574464820,2571632640
1574464821,2571632640
1574464822,2377121792
1574464823,2592604160
1574464824,2592604160
1574464825,2419064832
1574464826,2419064832
1574464827,2613575680
1574464828,2461007872
1574464829,2461007872
1574464830,2634022912
1574464831,2500329472
1574464832,2500329472
1574464833,2653421568
1574464834,2537553920
1574464835,2537553920
1574464836,2671247360
1574464837,2570059776
1574464838,2570059776
1574464839,2687500288
1574464840,2600992768
1574464841,2702180352
1574464842,2702180352
1574464843,2627207168
1574464844,2715287552
1574464845,2715287552
1574464846,2651848704
1574464847,2726821888
1574464848,2671771648
1574464849,2671771648
1574464850,2737307648
1574464851,2689597440
1574464852,2746220544
1574464853,2746220544
1574464854,2706898944
1574464855,2705850368
1574464856,2720530432
1574464857,2720530432
1574464858,2720006144
1574464859,2731016192
1574464860,2731016192
1574464861,2731016192
1574464862,2741501952
1574464863,2741501952
1574464864,2741501952
1574464865,2750414848
1574464866,2750414848
1574464867,2757230592
1574464868,2757230592
1574464869,2757754880
1574464870,2764570624
1574464871,2764570624
1574464872,2764046336
1574464873,2769813504
1574464874,2769289216
1574464875,2769289216
1574464876,2773483520
1574464877,2773483520
1574464878,2773483520
1574464879,2777677824
1574464880,2777677824
1574464881,2781872128
1574464882,2781872128
1574464883,2781347840
1574464884,2782920704
1574464885,2782920704
1574464886,2783969280
1574464887,2786590720
1574464888,2786590720
1574464889,2786590720
1574464890,2788687872
1574464891,2788687872
1574464892,2788687872
1574464893,2789212160
1574464894,2789736448
1574464895,2789736448
1574464896,2791833600
1574464897,2791309312
1574464898,2791309312
1574464899,2792882176
1574464900,2792357888
1574464901,2792357888
1574464902,2793930752
1574464903,2793406464
1574464904,2793406464
1574464905,2794979328
1574464906,2794455040
1574464907,2794455040
1574464908,2794979328
1574464909,2794979328
1574464910,2794979328
1574464911,2795503616
1574464912,2795503616
1574464913,2795503616
1574464914,2795503616
1574464915,2796027904
1574464916,2796552192
1574464917,2796552192
1574464918,2796552192
1574464919,2796552192
1574464920,2796552192
1574464921,2796552192
1574464922,2796552192
1574464923,2796552192
1574464924,2796552192
1574464925,2796552192
1574464926,2798125056
1574464927,2797600768
1574464928,2797600768
1574464929,2797600768
1574464930,2797600768
1574464931,2797600768
1574464932,2797600768
1574464933,2797600768
1574464934,2797600768
1574464935,2797600768
1574464936,2797600768
1574464937,2797600768
1574464938,2797600768
1574464939,2797600768
1574464940,2797600768
1574464941,2797600768
1574464942,2797600768
1574464943,2797600768
1574464944,2797600768
1574464945,2797600768
1574464946,2797600768
1574464947,2797600768
1574464948,2797600768
1574464949,2797600768
1574464950,2797600768
1574464951,2797600768
1574464952,2797600768
1574464953,2797600768
1574464954,2797600768
1574464955,2797600768
1574464956,2797600768
1574464957,2797600768
1574464958,2797600768
1574464959,2797600768
1574464960,2797600768
1574464961,2797600768
1574464962,2797600768
1574464963,2797600768
1574464964,2797600768
1574464965,2797600768
1574464966,2797600768
1574464967,2797600768
1574464968,2797600768
1574464969,2797600768
1574464970,2797600768
1574464971,2798125056
1574464972,2798125056
1574464973,2798125056
1574464974,2798125056
1574464975,2797600768
1574464976,2797600768
1574464977,2797600768
1574464978,2798125056
1574464979,2798125056
1574464980,2798125056
1574464981,2798125056
1574464982,2798125056
1574464983,2798649344
1574464984,2798649344
1574464985,2798125056
1574464986,2798649344
1574464987,2798649344
1574464988,2798649344
1574464989,2798649344
1574464990,2798649344
1574464991,2798649344
1574464992,2798649344
1574464993,2798125056
1574464994,2798125056
1574464995,2797600768
1574464996,2797600768
1574464997,2797600768
1574464998,2797600768
1574464999,2797600768
1574465000,2797600768
1574465001,2797600768
1574465002,2798125056
1574465003,2798649344
1574465004,2798649344
1574465005,2798649344
1574465006,2798649344
1574465007,2798649344
1574465008,2798649344
1574465009,2798649344
1574465010,2798649344
1574465011,2798649344
1574465012,2798649344
1574465013,2798649344
1574465014,2798649344
1574465015,2798649344
1574465016,2798649344
1574465017,2798649344
1574465018,2798649344
1574465019,2798649344
1574465020,2798649344
1574465021,2798649344
1574465022,2798125056
1574465023,2798125056
1574465024,2797600768
1574465025,2797600768
1574465026,2797600768
1574465027,2797600768
1574465028,2797600768
1574465029,2797600768
1574465030,2797600768
1574465031,2797600768
1574465032,2797600768
1574465033,2797600768
1574465034,2797600768
1574465035,2797600768
1574465036,2797600768
1574465037,2797600768
1574465038,2797600768
1574465039,2797600768
1574465040,2797600768
1574465041,2797600768
1574465042,2797600768
1574465043,2797600768
1574465044,2797600768
1574465045,2797600768
1574465046,2797600768
1574465047,2797600768
1574465048,2797600768
1574465049,2797600768
1574465050,2797600768
1574465051,2797600768
1574465052,2797600768
1574465053,2797600768
1574465054,2797600768
1574465055,2797600768
1574465056,2798125056
1574465057,2798125056
1574465058,2797600768
1574465059,2797600768
1574465060,2797600768
1574465061,2797600768
1574465062,2797600768
1574465063,2797600768
1574465064,2797600768
1574465065,2797600768
1574465066,2797600768
1574465067,2797600768
1574465068,2797600768
1574465069,2797600768
1574465070,2797600768
1574465071,2797600768
1574465072,2797600768
1574465073,2797600768
1574465074,2797600768
1574465075,2797600768
1574465076,2797600768
1574465077,2797600768
1574465078,2797600768
1574465079,2797600768
1574465080,2797600768
1574465081,2797600768
1574465082,2797600768
1574465083,2797600768
1574465084,2797600768
1574465085,2797600768
1574465086,2797600768
1574465087,2797600768
1574465088,2797600768
1574465089,2797600768
1574465090,2797600768
1574465091,2797600768
1574465092,2797600768
1574465093,2797600768
1574465094,2797600768
1574465095,2797600768
1574465096,2797600768
1574465097,2797600768
1574465098,2797600768
1574465099,2797600768
1574465100,2797600768
1574465101,2798125056
1574465102,2798125056
1574465103,2798125056
1574465104,2798125056
1574465105,2798649344
1574465106,2798649344
1574465107,2798649344
1574465108,2798649344
1574465109,2798649344
1574465110,2798649344
1574465111,2798649344
1574465112,2798649344
1574465113,2798649344
1574465114,2798649344
1574465115,2798649344
1574465116,2798649344
1574465117,2798649344
1574465118,2798649344
1574465119,2798649344
1574465120,2798649344
1574465121,2798649344
1574465122,2798649344
1574465123,2798649344
1574465124,2798649344
1574465125,2798649344
1574465126,2798649344
1574465127,2798649344
1574465128,2798649344
1574465129,2798649344
1574465130,2798649344
1574465131,2798649344
1574465132,2798649344
1574465133,2798649344
1574465134,2798125056
1574465135,2798125056
1574465136,2797600768
1574465137,2797600768
1574465138,2797600768
1574465139,2797600768
1574465140,2797600768
1574465141,2797600768
1574465142,2797600768
1574465143,2797600768
1574465144,2798649344
1574465145,2798649344
1574465146,2798649344
1574465147,2798649344
1574465148,2798649344
1574465149,2798649344
1574465150,2798649344
1574465151,2798649344
1574465152,2798649344
1574465153,2798649344
1574465154,2798649344
1574465155,2798649344
1574465156,2798649344
1574465157,2798649344
1574465158,2798649344
1574465159,2798649344
1574465160,2798649344
1574465161,2798649344
1574465162,2798649344
1574465163,2798649344
1574465164,2798125056
1574465165,2798125056
1574465166,2797600768
1574465167,2797600768
1574465168,2797600768
1574465169,2797600768
1574465170,2797600768
1574465171,2797600768
1574465172,2797600768
1574465173,2797600768
1574465174,2797600768
1574465175,2797600768
1574465176,2797600768
1574465177,2797600768
1574465178,2797600768
1574465179,2797600768
