t,value
1574464736,0
1574464737,0
1574464738,0
1574464739,0
1574464740,0
1574464741,0
1574464742,0
1574464743,1073741840
1574464744,1073741840
1574464745,1073741840
1574464746,1073741840
1574464747,1073741840
1574464748,1073741840
1574464749,1073741840
1574464750,1073741840
1574464751,1073741840
1574464752,1073766432
1574464754,1856136744
1574464754,1856136744
1574464755,1856136744
1574464756,1994042600
1574464757,1994042600
1574464758,1994042600
1574464759,1994042600
1574464760,1994042600
1574464761,1994050792
1574464762,1994050792
1574464763,1994050792
1574464764,1994050792
1574464765,1994050792
1574464766,1994050792
1574464767,1994050792
1574464768,1994050792
1574464769,1994050792
1574464770,1994050792
1574464771,1994050792
1574464772,1994050792
1574464773,1994058984
1574464774,1994058984
1574464775,1994058984
1574464776,1994058984
1574464777,1994067176
1574464778,1994067176
1574464779,1994067176
1574464780,1994075368
1574464781,1994075368
1574464782,1994075368
1574464783,1994075368
1574464784,1994075368
1574464785,1994075368
1574464786,1994075368
1574464787,1994075368
1574464788,1994075368
1574464789,1994075368
1574464790,1994075368
1574464791,1994075368
1574464792,1994075368
1574464793,1994075368
1574464794,1994075368
1574464795,1994075368
1574464796,1994075368
1574464797,1994075368
1574464798,1994075368
1574464799,1994075368
1574464800,1994075368
1574464801,2118769304
1574464802,2118769304
1574464803,2151668248
1574464804,2151668248
1574464805,2151791224
1574464806,2151791224
1574464807,2151897816
1574464808,2151897816
1574464809,2152012600
1574464810,2152012600
1574464811,2152110968
1574464812,2152110968
1574464813,2152184760
1574464814,2152184760
1574464815,2152274968
1574464816,2152324152
1574464817,2152324152
1574464818,2152397944
1574464819,2152397944
1574464820,2152471736
1574464821,2152471736
1574464822,2152553720
1574464823,2152611128
1574464824,2152611128
1574464825,2152643928
1574464826,2152643928
1574464827,2152701336
1574464828,2152791480
1574464829,2152791480
1574464830,2152865272
1574464831,2152930840
1574464832,2152930840
1574464833,2153004600
1574464834,2153053784
1574464835,2153053784
1574464836,2153135768
1574464837,2153184952
1574464838,2153184952
1574464839,2153275128
1574464840,2153332504
1574464841,2153414456
1574464842,2153414456
1574464843,2153471832
1574464844,2153537400
1574464845,2153537400
1574464846,2153578392
1574464847,2153652184
1574464848,2153652184
1574464849,2153652184
1574464850,2153701368
1574464851,2153775128
1574464852,2153848920
1574464853,2153848920
1574464854,2153898104
1574464855,2153898104
1574464856,2153955480
1574464857,2153955480
1574464858,2154012856
1574464859,2154070232
1574464860,2154135800
1574464861,2154135800
1574464862,2154193176
1574464863,2154193176
1574464864,2154193176
1574464865,2154266968
1574464866,2154316152
1574464867,2154348952
1574464868,2154348952
1574464869,2154348952
1574464870,2154348952
1574464871,2154348952
1574464872,2154348952
1574464873,2154348952
1574464874,2154348952
1574464875,2154348952
1574464876,2154348952
1574464877,2154348952
1574464878,2154348952
1574464879,2154348952
1574464880,2154348952
1574464881,2154348952
1574464882,2154348952
1574464883,2154348952
1574464884,2154348952
1574464885,2154348952
1574464886,2154381720
1574464887,2154381720
1574464888,2154381720
1574464889,2154381720
1574464890,2154381720
1574464891,2154381720
1574464892,2154381720
1574464893,2154381720
1574464894,2154381720
1574464895,2154381720
1574464896,2154381720
1574464897,2154381720
1574464898,2154381720
1574464899,2154381720
1574464900,2154381720
1574464901,2154381720
1574464902,2154381720
1574464903,2154381720
1574464904,2154381720
1574464905,2154381720
1574464906,2154381720
1574464907,2154381720
1574464908,2154381720
1574464909,2154381720
1574464910,2154381720
1574464911,2154381720
1574464912,2154381720
1574464913,2154381720
1574464914,2154381720
1574464915,2154381720
1574464916,2154381720
1574464917,2154381720
1574464918,2154381720
1574464919,2154381720
1574464920,2154381720
1574464921,2154398104
1574464922,2154398104
1574464923,2154398104
1574464924,2154398104
1574464925,2154398104
1574464926,2154398104
1574464927,2154398104
1574464928,2154398104
1574464929,2154398104
1574464930,2154398104
1574464931,2154398104
1574464932,2154398104
1574464933,2154398104
1574464934,2154398104
1574464935,2154398104
1574464936,2154398104
1574464937,2154398104
1574464938,2154398104
1574464939,2154398104
1574464940,2154398104
1574464941,2154398104
1574464942,2154398104
1574464943,2154398104
1574464944,2154398104
1574464945,2154398104
1574464946,2154398104
1574464947,2154398104
1574464948,2154398104
1574464949,2154398104
1574464950,2154398104
1574464951,2154398104
1574464952,2154398104
1574464953,2154398104
1574464954,2154398104
1574464955,2154398104
1574464956,2154398104
1574464957,2154398104
1574464958,2154398104
1574464959,2154398104
1574464960,2154398104
1574464961,2154398104
1574464962,2154398104
1574464963,2154398104
1574464964,2154398104
1574464965,2154398104
1574464966,2154398104
1574464967,2154398104
1574464968,2154398104
1574464969,2154398104
1574464970,2154398104
1574464971,2154398104
1574464972,2154398104
1574464973,2154398104
1574464974,2154398104
1574464975,2154398104
1574464976,2154398104
1574464977,2154398104
1574464978,2154398104
1574464979,2154398104
1574464980,2154398104
1574464981,2154398104
1574464982,2154398104
1574464983,2154398104
1574464984,2154398104
1574464985,2154398104
1574464986,2154398104
1574464987,2154398104
1574464988,2154398104
1574464989,2154398104
1574464990,2154398104
1574464991,2154398104
1574464992,2154398104
1574464993,2154398104
1574464994,2154398104
1574464995,2154398104
1574464996,2154398104
1574464997,2154398104
1574464998,2154398104
1574464999,2154398104
1574465000,2154398104
1574465001,2154398104
1574465002,2154398104
1574465003,2154398104
1574465004,2154398104
1574465005,2154398104
1574465006,2154398104
1574465007,2154398104
1574465008,2154398104
1574465009,2154398104
1574465010,2154398104
1574465011,2154398104
1574465012,2154398104
1574465013,2154398104
1574465014,2154398104
1574465015,2154398104
1574465016,2154398104
1574465017,2154398104
1574465018,2154398104
1574465019,2154398104
1574465020,2154398104
1574465021,2154398104
1574465022,2154553032
1574465023,2154553032
1574465024,2154553032
1574465025,2154553032
1574465026,2154553032
1574465027,2154553032
1574465028,2154553032
1574465029,2154553032
1574465030,2154553032
1574465031,2154553032
1574465032,2154553032
1574465033,2154553032
1574465034,2154553032
1574465035,2154553032
1574465036,2154553032
1574465037,2154553032
1574465038,2154553032
1574465039,2154553032
1574465040,2154553032
1574465041,2154553032
1574465042,2154553032
1574465043,2154553032
1574465044,2154553032
1574465045,2154553032
1574465046,2154553032
1574465047,2154553032
1574465048,2154553032
1574465049,2154593992
1574465050,2154593992
1574465051,2154658064
1574465052,2154658064
1574465053,2154658064
1574465054,2154658064
1574465055,2154658064
1574465056,2154658064
1574465057,2154658064
1574465058,2154658064
1574465059,2154658064
1574465060,2154658064
1574465061,2154658064
1574465062,2154658064
1574465063,2154658064
1574465064,2154658064
1574465065,2154658064
1574465066,2154658064
1574465067,2154658064
1574465068,2154658064
1574465069,2154658064
1574465070,2154658064
1574465071,2154658064
1574465072,2154658064
1574465073,2154658064
1574465074,2154658064
1574465075,2154658064
1574465076,2154658064
1574465077,2154658064
1574465078,2154658064
1574465079,2154658064
1574465080,2154658064
1574465081,2154658064
1574465082,2154658064
1574465083,2154658064
1574465084,2154658064
1574465085,2154658064
1574465086,2154658064
1574465087,2154658064
1574465088,2154658064
1574465089,2154658064
1574465090,2154658064
1574465091,2154658064
1574465092,2154658064
1574465093,2154658064
1574465094,2154658064
1574465095,2154658064
1574465096,2154658064
1574465097,2154658064
1574465098,2154658064
1574465099,2154658064
1574465100,2154658064
1574465101,2154658064
1574465102,2154658064
1574465103,2154658064
1574465104,2154658064
1574465105,2154658064
1574465106,2154658064
1574465107,2154658064
1574465108,2154658064
1574465109,2154658064
1574465110,2154658064
1574465111,2154658064
1574465112,2154658064
1574465113,2154658064
1574465114,2154658064
1574465115,2154658064
1574465116,2154658064
1574465117,2154658064
1574465118,2154658064
1574465119,2154658064
1574465120,2154658064
1574465121,2154666256
