t,value
1574464736,517537792
1574464737,517668864
1574464738,517865472
1574464739,517931008
1574464740,518062080
1574464741,518127616
1574464742,523632640
1574464743,1608646656
1574464744,1610743808
1574464745,1611071488
1574464746,1611071488
1574464747,1611137024
1574464748,1611137024
1574464749,1611137024
1574464750,1611137024
1574464751,1611137024
1574464752,1611137024
1574464754,2975924224
1574464754,2976317440
1574464755,2976972800
1574464756,3010199552
1574464757,3010199552
1574464758,3010330624
1574464759,3010396160
1574464760,3010658304
1574464761,3198353408
1574464762,3198353408
1574464763,3198353408
1574464764,3198353408
1574464765,3198353408
1574464766,3207790592
1574464767,3207790592
1574464768,3207790592
1574464769,3247636480
1574464770,3247636480
1574464771,3247636480
1574464772,3247636480
1574464773,3254452224
1574464774,3254452224
1574464775,3254452224
1574464776,3254452224
1574464777,3273850880
1574464778,3273850880
1574464779,3273850880
1574464780,3281190912
1574464781,3281190912
1574464782,3281190912
1574464783,3289579520
1574464784,3289579520
1574464785,3289579520
1574464786,3295870976
1574464787,3295870976
1574464788,3295870976
1574464789,3294298112
1574464790,3294298112
1574464791,3301113856
1574464792,3301113856
1574464793,3301113856
1574464794,3293773824
1574464795,3293773824
1574464796,3299016704
1574464797,3299016704
1574464798,3289579520
1574464799,3289579520
1574464800,3289579520
1574464801,3294822400
1574464802,3294822400
1574464803,3298492416
1574464804,3298492416
1574464805,3307405312
1574464806,3307405312
1574464807,3315269632
1574464808,3315269632
1574464809,3316318208
1574464810,3316318208
1574464811,3309502464
1574464812,3309502464
1574464813,3045785600
1574464814,3045785600
1574464815,3295870976
1574464816,3048931328
1574464817,3048931328
1574464818,3279618048
1574464819,3279618048
1574464820,3052601344
1574464821,3052601344
1574464822,3260743680
1574464823,3055747072
1574464824,3055747072
1574464825,3242393600
1574464826,3242393600
1574464827,3058368512
1574464828,3224567808
1574464829,3224567808
1574464830,3061514240
1574464831,3208314880
1574464832,3208314880
1574464833,3064659968
1574464834,3193110528
1574464835,3193110528
1574464836,3067805696
1574464837,3180527616
1574464838,3180527616
1574464839,3070951424
1574464840,3168468992
1574464841,3074097152
1574464842,3074097152
1574464843,3159031808
1574464844,3077242880
1574464845,3077242880
1574464846,3150118912
1574464847,3080388608
1574464848,3143827456
1574464849,3143827456
1574464850,3083534336
1574464851,3138584576
1574464852,3086155776
1574464853,3086155776
1574464854,3132817408
1574464855,3137536000
1574464856,3130195968
1574464857,3130195968
1574464858,3133865984
1574464859,3128623104
1574464860,3131244544
1574464861,3131244544
1574464862,3126525952
1574464863,3129147392
1574464864,3129147392
1574464865,3125477376
1574464866,3127574528
1574464867,3125477376
1574464868,3125477376
1574464869,3127050240
1574464870,3124953088
1574464871,3124953088
1574464872,3126525952
1574464873,3125477376
1574464874,3127050240
1574464875,3127050240
1574464876,3127050240
1574464877,3128098816
1574464878,3128098816
1574464879,3128098816
1574464880,3129147392
1574464881,3129147392
1574464882,3129147392
1574464883,3130195968
1574464884,3132293120
1574464885,3132293120
1574464886,3132293120
1574464887,3133341696
1574464888,3133865984
1574464889,3133865984
1574464890,3135438848
1574464891,3135963136
1574464892,3135963136
1574464893,3138584576
1574464894,3138584576
1574464895,3138584576
1574464896,3140157440
1574464897,3140681728
1574464898,3140681728
1574464899,3142778880
1574464900,3143303168
1574464901,3143303168
1574464902,3145400320
1574464903,3145924608
1574464904,3145924608
1574464905,3147497472
1574464906,3148021760
1574464907,3150118912
1574464908,3150118912
1574464909,3150643200
1574464910,3152740352
1574464911,3152740352
1574464912,3152740352
1574464913,3155361792
1574464914,3155361792
1574464915,3155361792
1574464916,3157983232
1574464917,3157983232
1574464918,3157983232
1574464919,3161128960
1574464920,3161128960
1574464921,3161128960
1574464922,3161128960
1574464923,3164274688
1574464924,3164274688
1574464925,3164274688
1574464926,3166371840
1574464927,3166896128
1574464928,3166896128
1574464929,3170041856
1574464930,3170041856
1574464931,3170041856
1574464932,3173187584
1574464933,3173187584
1574464934,3173187584
1574464935,3176333312
1574464936,3176333312
1574464937,3176333312
1574464938,3179479040
1574464939,3179479040
1574464940,3179479040
1574464941,3182624768
1574464942,3182624768
1574464943,3182624768
1574464944,3185770496
1574464945,3185770496
1574464946,3185770496
1574464947,3188916224
1574464948,3188916224
1574464949,3188916224
1574464950,3188916224
1574464951,3192061952
1574464952,3192061952
1574464953,3192061952
1574464954,3195207680
1574464955,3195207680
1574464956,3195207680
1574464957,3198353408
1574464958,3198353408
1574464959,3198353408
1574464960,3201499136
1574464961,3201499136
1574464962,3201499136
1574464963,3204644864
1574464964,3204644864
1574464965,3204644864
1574464966,3204644864
1574464967,3207790592
1574464968,3207790592
1574464969,3207790592
1574464970,3210936320
1574464971,3210936320
1574464972,3210936320
1574464973,3213033472
1574464974,3213033472
1574464975,3213557760
1574464976,3216703488
1574464977,3216703488
1574464978,3216703488
1574464979,3216703488
1574464980,3218800640
1574464981,3219324928
1574464982,3219324928
1574464983,3221946368
