t,value
1574464736,38275816
1574464737,38552728
1574464738,38774408
1574464739,41465416
1574464740,41689024
1574464741,41732864
1574464742,68798008
1574464743,1200517672
1574464744,1207878344
1574464745,1213469024
1574464746,1216151952
1574464747,1218869784
1574464748,1224203696
1574464749,1229488080
1574464750,1232142416
1574464751,1234789752
1574464752,1125458896
1574464754,2197475976
1574464754,2245944176
1574464755,2313387664
1574464756,2206188280
1574464757,2279250368
1574464758,2345056088
1574464759,2408645432
1574464760,2479298048
1574464761,2254168808
1574464762,2329085176
1574464763,2422717432
1574464764,2505392616
1574464765,2195602944
1574464766,2289518856
1574464767,2393758392
1574464768,2500896432
1574464769,2201660048
1574464770,2313632080
1574464771,2428720064
1574464772,2550811512
1574464773,2231342536
1574464774,2361013616
1574464775,2494113208
1574464776,2631732568
1574464777,2319658160
1574464778,2461698440
1574464779,2610969152
1574464780,2290298552
1574464781,2443839144
1574464782,2603431384
1574464783,2291175976
1574464784,2458383504
1574464785,2630246472
1574464786,2309051784
1574464787,2488727152
1574464788,2673287592
1574464789,2366332192
1574464790,2558902704
1574464791,2245800992
1574464792,2449882824
1574464793,2651897160
1574464794,2353517256
1574464795,2563919288
1574464796,2262673424
1574464797,2477243616
1574464798,2191679016
1574464799,2424510208
1574464800,2653222912
1574464801,2390360728
1574464802,2603872464
1574464803,2328255392
1574464804,2573617960
1574464805,2305155632
1574464806,2558825448
1574464807,2298008576
1574464808,2563475232
1574464809,2306499552
1574464810,2574557352
1574464811,2324390056
1574464812,2607494640
1574464813,2367674832
1574464814,2653365072
1574464815,2426288552
1574464816,2201732608
1574464817,2494193424
1574464818,2265980200
1574464819,2574695624
1574464820,2346939096
1574464821,2667447672
1574464822,2454894848
1574464823,2245292712
1574464824,2568757544
1574464825,2362824600
1574464826,2696025024
1574464827,2495725904
1574464828,2302368552
1574464829,2649776608
1574464830,2465170576
1574464831,2291085928
1574464832,2643479048
1574464833,2464909184
1574464834,2291635680
1574464835,2659120816
1574464836,2485240984
1574464837,2315886544
1574464838,2692303880
1574464839,2529682624
1574464840,2374851352
1574464841,2223950928
1574464842,2614323448
1574464843,2459721360
1574464844,2313001832
1574464845,2722058152
1574464846,2583570360
1574464847,2444230664
1574464848,2315729360
1574464849,2725114584
1574464850,2583504248
1574464851,2436824888
1574464852,2295055824
1574464853,2712169696
1574464854,2569498640
1574464855,2415708512
1574464856,2271555624
1574464857,2685871720
1574464858,2529380512
1574464859,2385652992
1574464860,2238711728
1574464861,2644230328
1574464862,2489356256
1574464863,2332135024
1574464864,2758010984
1574464865,2595521216
1574464866,2439225144
1574464867,2276843528
1574464868,2699778872
1574464869,2533737224
1574464870,2366375192
1574464871,2207158784
1574464872,2620183592
1574464873,2452362760
1574464874,2285558328
1574464875,2699459552
1574464876,2540508824
1574464877,2366453472
1574464878,2193772104
1574464879,2609807016
1574464880,2443814016
1574464881,2271312872
1574464882,2688112096
1574464883,2515488720
1574464884,2348249712
1574464885,2762821616
1574464886,2582261424
1574464887,2404135560
1574464888,2242084536
1574464889,2639155312
1574464890,2457094920
1574464891,2272860136
1574464892,2688336504
1574464893,2505038896
1574464894,2311218920
1574464895,2731579496
1574464896,2539628832
1574464897,2343158248
1574464898,2762621272
1574464899,2562388224
1574464900,2372719112
1574464901,2783453824
1574464902,2589293416
1574464903,2386816776
1574464904,2809391704
1574464905,2601509032
1574464906,2406081320
1574464907,2195694648
1574464908,2618948856
1574464909,2415453680
1574464910,2211382784
1574464911,2625489192
1574464912,2422472056
1574464913,2216734568
1574464914,2634762328
1574464915,2423064296
1574464916,2217005504
1574464917,2626547096
1574464918,2413427032
1574464919,2201172952
1574464920,2620430992
1574464921,2401341320
1574464922,2819701376
1574464923,2600945448
1574464924,2385461320
1574464925,2795742624
1574464926,2570560592
1574464927,2346203600
1574464928,2765856944
1574464929,2543394040
1574464930,2320206360
1574464931,2730372584
1574464932,2503634040
1574464933,2273245336
1574464934,2689477536
1574464935,2464425264
1574464936,2238075776
1574464937,2642411528
1574464938,2413120384
1574464939,2837100264
1574464940,2591475288
1574464941,2355349112
1574464942,2777608912
1574464943,2539880032
1574464944,2301688576
1574464945,2722866320
1574464946,2483733448
1574464947,2248830432
1574464948,2664335544
1574464949,2424919072
1574464950,2841307792
1574464951,2602666464
1574464952,2360950440
1574464953,2779466704
