t,value
1574464736,8
1574464737,8
1574464738,8
1574464739,8
1574464740,8
1574464741,8
1574464742,9
1574464743,12
1574464744,12
1574464745,13
1574464746,13
1574464747,13
1574464748,13
1574464749,13
1574464750,13
1574464751,13
1574464752,13
1574464754,12
1574464754,20
1574464755,22
1574464756,22
1574464757,23
1574464758,23
1574464759,24
1574464760,25
1574464761,26
1574464762,26
1574464763,27
1574464764,28
1574464765,28
1574464766,28
1574464767,29
1574464768,30
1574464769,31
1574464770,31
1574464771,32
1574464772,33
1574464773,34
1574464774,34
1574464775,35
1574464776,35
1574464777,36
1574464778,37
1574464779,37
1574464780,38
1574464781,38
1574464782,39
1574464783,40
1574464784,41
1574464785,41
1574464786,42
1574464787,43
1574464788,43
1574464789,44
1574464790,44
1574464791,45
1574464792,46
1574464793,47
1574464794,47
1574464795,48
1574464796,48
1574464797,49
1574464798,50
1574464799,51
1574464800,51
1574464801,51
1574464802,52
1574464803,52
1574464804,51
1574464805,52
1574464806,53
1574464807,54
1574464808,54
1574464809,55
1574464810,55
1574464811,56
1574464812,57
1574464813,58
1574464814,59
1574464815,59
1574464816,60
1574464817,60
1574464818,61
1574464819,62
1574464820,62
1574464821,63
1574464822,64
1574464823,64
1574464824,65
1574464825,66
1574464826,66
1574464827,67
1574464828,68
1574464829,68
1574464830,69
1574464831,70
1574464832,70
1574464833,71
1574464834,71
1574464835,72
1574464836,72
1574464837,73
1574464838,74
1574464839,75
1574464840,75
1574464841,76
1574464842,76
1574464843,77
1574464844,78
1574464845,79
1574464846,80
1574464847,80
1574464848,80
1574464849,80
1574464850,80
1574464851,80
1574464852,80
1574464853,80
1574464854,80
1574464855,80
1574464856,80
1574464857,80
1574464858,80
1574464859,80
1574464860,80
1574464861,80
1574464862,80
1574464863,80
1574464864,80
1574464865,80
1574464866,80
1574464867,80
1574464868,80
1574464869,80
1574464870,80
1574464871,80
1574464872,80
1574464873,80
1574464874,80
1574464875,80
1574464876,80
1574464877,80
1574464878,80
1574464879,80
1574464880,80
1574464881,80
1574464882,80
1574464883,80
1574464884,80
1574464885,80
1574464886,80
1574464887,80
1574464888,80
1574464889,80
1574464890,80
1574464891,80
1574464892,80
1574464893,80
1574464894,80
1574464895,80
1574464896,80
1574464897,80
1574464898,80
1574464899,80
1574464900,80
1574464901,80
1574464902,80
1574464903,80
1574464904,80
1574464905,80
1574464906,80
1574464907,80
1574464908,80
1574464909,80
1574464910,80
1574464911,80
1574464912,80
1574464913,80
1574464914,80
1574464915,80
1574464916,80
1574464917,80
1574464918,80
1574464919,80
1574464920,80
1574464921,80
1574464922,80
1574464923,80
1574464924,80
1574464925,80
1574464926,80
1574464927,80
1574464928,80
1574464929,80
1574464930,80
1574464931,80
1574464932,80
1574464933,80
1574464934,80
1574464935,80
1574464936,80
1574464937,80
1574464938,80
1574464939,80
1574464940,80
1574464941,80
1574464942,80
1574464943,80
1574464944,80
1574464945,80
1574464946,80
1574464947,80
1574464948,80
1574464949,80
1574464950,80
1574464951,80
1574464952,80
1574464953,80
1574464954,80
1574464955,80
1574464956,80
1574464957,80
1574464958,80
1574464959,80
1574464960,80
1574464961,80
1574464962,80
1574464963,80
1574464964,80
1574464965,80
1574464966,80
1574464967,80
1574464968,80
1574464969,80
1574464970,80
1574464971,80
1574464972,80
1574464973,80
1574464974,80
1574464975,80
1574464976,80
1574464977,80
1574464978,80
1574464979,80
1574464980,80
1574464981,80
1574464982,80
1574464983,80
1574464984,80
1574464985,80
1574464986,80
1574464987,80
1574464988,80
1574464989,80
1574464990,80
1574464991,80
1574464992,80
1574464993,80
1574464994,80
1574464995,80
1574464996,80
1574464997,80
1574464998,80
1574464999,80
1574465000,80
1574465001,80
1574465002,80
1574465003,80
1574465004,80
1574465005,80
1574465006,80
1574465007,80
1574465008,80
1574465009,80
1574465010,80
1574465011,80
1574465012,80
1574465013,80
1574465014,80
1574465015,80
1574465016,80
1574465017,80
1574465018,80
1574465019,80
1574465020,80
1574465021,80
1574465022,80
1574465023,80
1574465024,80
1574465025,80
1574465026,80
1574465027,80
1574465028,80
1574465029,80
1574465030,80
1574465031,80
1574465032,80
1574465033,80
1574465034,80
1574465035,80
1574465036,80
1574465037,80
1574465038,80
1574465039,80
1574465040,80
1574465041,80
1574465042,80
1574465043,80
1574465044,80
1574465045,80
1574465046,80
1574465047,80
1574465048,80
1574465049,80
1574465050,80
1574465051,80
1574465052,80
1574465053,80
1574465054,80
1574465055,80
1574465056,80
1574465057,80
1574465058,80
1574465059,80
1574465060,80
1574465061,80
1574465062,80
1574465063,80
1574465064,80
1574465065,80
1574465066,80
1574465067,80
1574465068,80
1574465069,80
1574465070,80
1574465071,80
1574465072,80
1574465073,80
1574465074,80
1574465075,80
1574465076,80
1574465077,80
1574465078,80
1574465079,80
1574465080,80
1574465081,80
1574465082,80
1574465083,80
1574465084,80
1574465085,80
1574465086,80
1574465087,80
1574465088,80
1574465089,80
1574465090,80
1574465091,80
1574465092,80
1574465093,80
1574465094,80
1574465095,80
1574465096,80
1574465097,80
1574465098,80
1574465099,80
1574465100,80
1574465101,80
1574465102,80
1574465103,80
1574465104,80
1574465105,80
1574465106,80
1574465107,80
1574465108,80
1574465109,80
1574465110,80
1574465111,80
1574465112,80
1574465113,80
1574465114,80
1574465115,80
1574465116,80
1574465117,80
1574465118,80
1574465119,80
1574465120,80
1574465121,80
1574465122,80
1574465123,80
1574465124,80
1574465125,80
1574465126,80
1574465127,80
1574465128,80
1574465129,80
1574465130,80
1574465131,80
1574465132,80
1574465133,80
1574465134,80
1574465135,80
1574465136,80
1574465137,80
1574465138,80
1574465139,80
1574465140,80
1574465141,80
1574465142,80
1574465143,80
1574465144,80
1574465145,80
1574465146,80
1574465147,80
1574465148,80
1574465149,80
1574465150,80
1574465151,80
1574465152,80
1574465153,80
1574465154,80
1574465155,80
1574465156,80
1574465157,80
1574465158,80
1574465159,80
1574465160,80
1574465161,80
1574465162,80
1574465163,80
1574465164,80
1574465165,80
1574465166,80
1574465167,80
1574465168,80
1574465169,80
1574465170,80
1574465171,80
1574465172,80
1574465173,80
1574465174,80
1574465175,80
1574465176,80
1574465177,80
1574465178,80
1574465179,80
1574465180,80
1574465181,80
1574465182,80
1574465183,80
1574465184,80
1574465185,80
1574465186,80
1574465187,80
1574465188,80
1574465189,80
1574465190,80
1574465191,80
1574465192,80
1574465193,80
1574465194,80
1574465195,80
1574465196,80
1574465197,80
1574465198,80
1574465199,80
1574465200,80
1574465201,80
1574465202,80
1574465203,80
1574465204,80
1574465205,80
1574465206,80
1574465207,80
1574465208,80
1574465209,80
1574465210,80
1574465211,80
1574465212,80
1574465213,80
1574465214,80
1574465215,80
1574465216,80
1574465217,80
1574465218,80
1574465219,80
1574465220,80
1574465221,80
1574465222,80
1574465223,80
1574465224,80
1574465225,80
1574465226,80
1574465227,80
1574465228,80
1574465229,80
1574465230,80
1574465231,80
1574465232,80
1574465233,80
1574465234,80
1574465235,80
1574465236,80
1574465237,80
1574465238,80
1574465239,80
1574465240,80
1574465241,80
1574465242,80
1574465243,80
1574465244,80
1574465245,80
1574465246,80
1574465247,80
1574465248,80
1574465249,80
1574465250,80
1574465251,80
1574465252,80
1574465253,80
1574465254,80
1574465255,80
1574465256,80
1574465257,80
1574465258,80
1574465259,80
1574465260,80
1574465261,80
1574465262,80
1574465263,80
1574465264,80
1574465265,80
1574465266,80
1574465267,80
1574465268,80
1574465269,80
1574465270,80
1574465271,80
1574465272,80
1574465273,80
1574465274,80
1574465275,80
1574465276,80
1574465277,80
1574465278,80
1574465279,80
1574465280,80
1574465281,80
1574465282,80
1574465283,80
1574465284,80
1574465285,80
1574465286,80
1574465287,80
1574465288,80
1574465289,80
1574465290,80
1574465291,80
1574465292,80
1574465293,80
1574465294,80
1574465295,80
1574465296,80
1574465297,80
1574465298,80
1574465299,80
1574465300,80
1574465301,80
1574465302,80
1574465303,80
1574465304,80
1574465305,80
1574465306,80
1574465307,80
1574465308,80
1574465309,80
1574465310,80
1574465311,80
1574465312,80
1574465313,80
1574465314,80
1574465315,80
1574465316,80
1574465317,80
1574465318,80
1574465319,80
1574465320,80
1574465321,80
1574465322,80
1574465323,80
1574465324,80
1574465325,80
1574465326,80
1574465327,80
1574465328,80
1574465329,80
1574465330,80
1574465331,80
1574465332,80
1574465333,80
1574465334,80
1574465335,80
1574465336,80
1574465337,80
1574465338,80
1574465339,80
1574465340,80
1574465341,80
1574465342,80
1574465343,80
1574465344,80
1574465345,80
1574465346,80
1574465347,80
1574465348,80
1574465349,80
1574465350,80
1574465351,80
