t,value
1574464736,7465861120
1574464737,7465861120
1574464738,7465861120
1574464739,7465861120
1574464740,7465861120
1574464741,7465861120
1574464742,7465861120
1574464743,7465861120
1574464744,7465861120
1574464745,7465861120
1574464746,7465861120
1574464747,7465861120
1574464748,7465861120
1574464749,7465861120
1574464750,7465861120
1574464751,7465861120
1574464752,7465861120
1574464753,7465861120
1574464754,7465861120
1574464755,7465861120
1574464756,7465861120
1574464757,7465861120
1574464758,7465861120
1574464759,7465861120
1574464760,7465861120
1574464761,7465861120
1574464762,7465861120
1574464763,7465861120
1574464764,7465861120
1574464765,7465861120
1574464766,7465861120
1574464767,7465861120
1574464768,7465861120
1574464769,7465861120
1574464770,7465861120
1574464771,7465861120
1574464772,7465861120
1574464773,7465861120
1574464774,7465861120
1574464775,7465861120
1574464776,7465861120
1574464777,7465861120
1574464778,7465861120
1574464779,7465861120
1574464780,7465861120
1574464781,7465861120
1574464782,7465861120
1574464783,7465861120
1574464784,7465861120
1574464785,7465861120
1574464786,7465861120
1574464787,7465861120
1574464788,7465861120
1574464789,7465861120
1574464790,7465861120
1574464791,7465861120
1574464792,7465861120
1574464793,7465861120
1574464794,7465861120
1574464795,7465861120
1574464796,7465861120
1574464797,7465861120
1574464798,7465861120
1574464799,7465861120
1574464800,7465861120
1574464801,7465861120
1574464802,7465861120
1574464803,7465861120
1574464804,7465861120
1574464805,7465861120
1574464806,7465861120
1574464807,7465861120
1574464808,7465861120
1574464809,7465861120
1574464810,7465861120
1574464811,7465861120
1574464812,7465861120
1574464813,7465861120
1574464814,7465861120
1574464815,7465861120
1574464816,7465861120
1574464817,7465861120
1574464818,7465861120
1574464819,7465861120
1574464820,7465861120
1574464821,7465861120
1574464822,7465861120
1574464823,7465861120
1574464824,7465861120
1574464825,7465861120
1574464826,7465861120
1574464827,7465861120
1574464828,7465861120
1574464829,7465861120
1574464830,7465861120
1574464831,7465861120
1574464832,7465861120
1574464833,7465861120
1574464834,7465861120
1574464835,7465861120
1574464836,7465861120
1574464837,7465861120
1574464838,7465861120
1574464839,7465861120
1574464840,7465861120
1574464841,7465861120
1574464842,7465861120
1574464843,7465861120
1574464844,7465861120
1574464845,7465861120
1574464846,7465861120
1574464847,7465861120
1574464848,7465861120
1574464849,7465861120
1574464850,7465861120
1574464851,7465861120
1574464852,7465861120
1574464853,7465861120
1574464854,7465861120
1574464855,7465861120
1574464856,7465861120
1574464857,7465861120
1574464858,7465861120
1574464859,7465861120
1574464860,7465861120
1574464861,7465861120
1574464862,7465861120
1574464863,7465861120
1574464864,7465861120
1574464865,7465861120
1574464866,7465861120
1574464867,7465861120
1574464868,7465861120
1574464869,7465861120
1574464870,7465861120
1574464871,7465861120
1574464872,7465861120
1574464873,7465861120
1574464874,7465861120
1574464875,7465861120
1574464876,7465861120
1574464877,7465861120
1574464878,7465861120
1574464879,7465861120
1574464880,7465861120
1574464881,7465861120
1574464882,7465861120
1574464883,7465861120
1574464884,7465861120
1574464885,7465861120
1574464886,7465861120
1574464887,7465861120
1574464888,7465861120
1574464889,7465861120
1574464890,7465861120
1574464891,7465861120
1574464892,7465861120
1574464893,7465861120
1574464894,7465861120
1574464895,7465861120
1574464896,7465861120
1574464897,7465861120
1574464898,7465861120
1574464899,7465861120
1574464900,7465861120
1574464901,7465861120
1574464902,7465861120
1574464903,7465861120
1574464904,7465861120
1574464905,7465861120
1574464906,7465861120
1574464907,7465861120
1574464908,7465861120
1574464909,7465861120
1574464910,7465861120
1574464911,7465861120
1574464912,7465861120
1574464913,7465861120
1574464914,7465861120
1574464915,7465861120
1574464916,7465861120
1574464917,7465861120
1574464918,7465861120
1574464919,7465861120
1574464920,7465861120
1574464921,7465861120
1574464922,7465861120
1574464923,7465861120
1574464924,7465861120
1574464925,7465861120
1574464926,7465861120
1574464927,7465861120
1574464928,7465861120
1574464929,7465861120
1574464930,7465861120
1574464931,7465861120
1574464932,7465861120
1574464933,7465861120
1574464934,7465861120
1574464935,7465861120
1574464936,7465861120
1574464937,7465861120
1574464938,7465861120
1574464939,7465861120
1574464940,7465861120
1574464941,7465861120
1574464942,7465861120
1574464943,7465861120
1574464944,7465861120
1574464945,7465861120
1574464946,7465861120
1574464947,7465861120
1574464948,7465861120
1574464949,7465861120
1574464950,7465861120
1574464951,7465861120
1574464952,7465861120
1574464953,7465861120
1574464954,7465861120
1574464955,7465861120
1574464956,7465861120
1574464957,7465861120
1574464958,7465861120
1574464959,7465861120
1574464960,7465861120
1574464961,7465861120
1574464962,7465861120
1574464963,7465861120
1574464964,7465861120
1574464965,7465861120
1574464966,7465861120
1574464967,7465861120
1574464968,7465861120
1574464969,7465861120
1574464970,7465861120
1574464971,7465861120
1574464972,7465861120
1574464973,7465861120
1574464974,7465861120
1574464975,7465861120
1574464976,7465861120
1574464977,7465861120
1574464978,7465861120
1574464979,7465861120
1574464980,7465861120
1574464981,7465861120
1574464982,7465861120
1574464983,7465861120
1574464984,7465861120
1574464985,7465861120
1574464986,7465861120
1574464987,7465861120
1574464988,7465861120
1574464989,7465861120
1574464990,7465861120
1574464991,7465861120
1574464992,7465861120
1574464993,7465861120
1574464994,7465861120
1574464995,7465861120
1574464996,7465861120
1574464997,7465861120
1574464998,7465861120
1574464999,7465861120
1574465000,7465861120
1574465001,7465861120
1574465002,7465861120
1574465003,7465861120
1574465004,7465861120
1574465005,7465861120
1574465006,7465861120
1574465007,7465861120
1574465008,7465861120
1574465009,7465861120
1574465010,7465861120
1574465011,7465861120
1574465012,7465861120
1574465013,7465861120
1574465014,7465861120
1574465015,7465861120
1574465016,7465861120
1574465017,7465861120
1574465018,7465861120
1574465019,7465861120
1574465020,7465861120
1574465021,7465861120
1574465022,7465861120
1574465023,7465861120
1574465024,7465861120
1574465025,7465861120
1574465026,7465861120
1574465027,7465861120
1574465028,7465861120
1574465029,7465861120
1574465030,7465861120
1574465031,7465861120
1574465032,7465861120
1574465033,7465861120
1574465034,7465861120
1574465035,7465861120
1574465036,7465861120
1574465037,7465861120
1574465038,7465861120
1574465039,7465861120
1574465040,7465861120
1574465041,7465861120
1574465042,7465861120
1574465043,7465861120
1574465044,7465861120
1574465045,7465861120
1574465046,7465861120
1574465047,7465861120
1574465048,7465861120
1574465049,7465861120
1574465050,7465861120
1574465051,7465861120
1574465052,7465861120
1574465053,7465861120
1574465054,7465861120
1574465055,7465861120
1574465056,7465861120
1574465057,7465861120
1574465058,7465861120
1574465059,7465861120
1574465060,7465861120
1574465061,7465861120
1574465062,7465861120
1574465063,7465861120
1574465064,7465861120
1574465065,7465861120
1574465066,7465861120
1574465067,7465861120
1574465068,7465861120
1574465069,7465861120
1574465070,7465861120
1574465071,7465861120
1574465072,7465861120
1574465073,7465861120
1574465074,7465861120
1574465075,7465861120
1574465076,7465861120
1574465077,7465861120
1574465078,7465861120
1574465079,7465861120
1574465080,7465861120
1574465081,7465861120
1574465082,7465861120
1574465083,7465861120
1574465084,7465861120
1574465085,7465861120
1574465086,7465861120
1574465087,7465861120
1574465088,7465861120
1574465089,7465861120
1574465090,7465861120
1574465091,7465861120
1574465092,7465861120
1574465093,7465861120
1574465094,7465861120
1574465095,7465861120
1574465096,7465861120
1574465097,7465861120
1574465098,7465861120
1574465099,7465861120
1574465100,7465861120
1574465101,7465861120
1574465102,7465861120
1574465103,7465861120
1574465104,7465861120
1574465105,7465861120
1574465106,7465861120
1574465107,7465861120
1574465108,7465861120
1574465109,7465861120
1574465110,7465861120
1574465111,7465861120
1574465112,7465861120
1574465113,7465861120
1574465114,7465861120
1574465115,7465861120
1574465116,7465861120
1574465117,7465861120
1574465118,7465861120
1574465119,7465861120
1574465120,7465861120
1574465121,7465861120
1574465122,7465861120
1574465123,7465861120
1574465124,7465861120
1574465125,7465861120
1574465126,7465861120
1574465127,7465861120
1574465128,7465861120
1574465129,7465861120
1574465130,7465861120
1574465131,7465861120
1574465132,7465861120
1574465133,7465861120
1574465134,7465861120
1574465135,7465861120
1574465136,7465861120
1574465137,7465861120
1574465138,7465861120
1574465139,7465861120
1574465140,7465861120
1574465141,7465861120
1574465142,7465861120
1574465143,7465861120
1574465144,7465861120
1574465145,7465861120
1574465146,7465861120
1574465147,7465861120
1574465148,7465861120
1574465149,7465861120
1574465150,7465861120
1574465151,7465861120
1574465152,7465861120
1574465153,7465861120
1574465154,7465861120
1574465155,7465861120
1574465156,7465861120
1574465157,7465861120
1574465158,7465861120
1574465159,7465861120
1574465160,7465861120
1574465161,7465861120
1574465162,7465861120
1574465163,7465861120
1574465164,7465861120
1574465165,7465861120
1574465166,7465861120
1574465167,7465861120
1574465168,7465861120
1574465169,7465861120
1574465170,7465861120
1574465171,7465861120
1574465172,7465861120
1574465173,7465861120
1574465174,7465861120
1574465175,7465861120
1574465176,7465861120
1574465177,7465861120
1574465178,7465861120
1574465179,7465861120
1574465180,7465861120
1574465181,7465861120
1574465182,7465861120
1574465183,7465861120
1574465184,7465861120
1574465185,7465861120
1574465186,7465861120
1574465187,7465861120
1574465188,7465861120
1574465189,7465861120
1574465190,7465861120
1574465191,7465861120
1574465192,7465861120
1574465193,7465861120
1574465194,7465861120
1574465195,7465861120
1574465196,7465861120
1574465197,7465861120
1574465198,7465861120
1574465199,7465861120
1574465200,7465861120
1574465201,7465861120
1574465202,7465861120
1574465203,7465861120
1574465204,7465861120
1574465205,7465861120
1574465206,7465861120
1574465207,7465861120
1574465208,7465861120
1574465209,7465861120
1574465210,7465861120
1574465211,7465861120
1574465212,7465861120
1574465213,7465861120
1574465214,7465861120
1574465215,7465861120
1574465216,7465861120
1574465217,7465861120
1574465218,7465861120
1574465219,7465861120
1574465220,7465861120
1574465221,7465861120
1574465222,7465861120
1574465223,7465861120
1574465224,7465861120
1574465225,7465861120
1574465226,7465861120
1574465227,7465861120
1574465228,7465861120
1574465229,7465861120
1574465230,7465861120
1574465231,7465861120
1574465232,7465861120
1574465233,7465861120
1574465234,7465861120
1574465235,7465861120
1574465236,7465861120
1574465237,7465861120
1574465238,7465861120
1574465239,7465861120
1574465240,7465861120
1574465241,7465861120
1574465242,7465861120
1574465243,7465861120
1574465244,7465861120
1574465245,7465861120
1574465246,7465861120
1574465247,7465861120
1574465248,7465861120
1574465249,7465861120
1574465250,7465861120
1574465251,7465861120
1574465252,7465861120
1574465253,7465861120
1574465254,7465861120
1574465255,7465861120
1574465256,7465861120
1574465257,7465861120
1574465258,7465861120
1574465259,7465861120
1574465260,7465861120
1574465261,7465861120
1574465262,7465861120
1574465263,7465861120
1574465264,7465861120
1574465265,7465861120
1574465266,7465861120
1574465267,7465861120
1574465268,7465861120
1574465269,7465861120
1574465270,7465861120
1574465271,7465861120
1574465272,7465861120
1574465273,7465861120
1574465274,7465861120
1574465275,7465861120
1574465276,7465861120
1574465277,7465861120
1574465278,7465861120
1574465279,7465861120
1574465280,7465861120
1574465281,7465861120
1574465282,7465861120
1574465283,7465861120
1574465284,7465861120
1574465285,7465861120
1574465286,7465861120
1574465287,7465861120
1574465288,7465861120
1574465289,7465861120
1574465290,7465861120
1574465291,7465861120
1574465292,7465861120
1574465293,7465861120
1574465294,7465861120
1574465295,7465861120
1574465296,7465861120
1574465297,7465861120
1574465298,7465861120
1574465299,7465861120
1574465300,7465861120
1574465301,7465861120
1574465302,7465861120
1574465303,7465861120
1574465304,7465861120
1574465305,7465861120
1574465306,7465861120
1574465307,7465861120
1574465308,7465861120
1574465309,7465861120
1574465310,7465861120
1574465311,7465861120
1574465312,7465861120
1574465313,7465861120
1574465314,7465861120
1574465315,7465861120
1574465316,7465861120
1574465317,7465861120
1574465318,7465861120
1574465319,7465861120
1574465320,7465861120
1574465321,7465861120
1574465322,7465861120
1574465323,7465861120
1574465324,7465861120
1574465325,7465861120
1574465326,7465861120
1574465327,7465861120
1574465328,7465861120
1574465329,7465861120
1574465330,7465861120
1574465331,7465861120
1574465332,7465861120
1574465333,7465861120
1574465334,7465861120
1574465335,7465861120
1574465336,7465861120
1574465337,7465861120
1574465338,7465861120
1574465339,7465861120
1574465340,7465861120
1574465341,7465861120
1574465342,7465861120
1574465343,7465861120
1574465344,7465861120
1574465345,7465861120
1574465346,7465861120
1574465347,7465861120
1574465348,7465861120
1574465349,7465861120
1574465350,7465861120
1574465351,7465861120
1574465352,7465861120
1574465353,7465861120
1574465354,7465861120
1574465355,7465861120
1574465356,7465861120
1574465357,7465861120
1574465358,7465861120
1574465359,7465861120
1574465360,7465861120
1574465361,7465861120
1574465362,7465861120
1574465363,7465861120
1574465364,7465861120
1574465365,7465861120
1574465366,7465861120
1574465367,7465861120
1574465368,7465861120
1574465369,7465861120
1574465370,7465861120
1574465371,7465861120
1574465372,7465861120
1574465373,7465861120
1574465374,7465861120
1574465375,7465861120
1574465376,7465861120
1574465377,7465861120
1574465378,7465861120
1574465379,7465861120
1574465380,7465861120
1574465381,7465861120
1574465382,7465861120
1574465383,7465861120
1574465384,7465861120
