t,value
1574464736,3866624
1574464737,3997696
1574464738,4259840
1574464739,4325376
1574464740,4456448
1574464741,4587520
1574464742,4587520
1574464743,4653056
1574464744,4653056
1574464745,4718592
1574464746,4718592
1574464747,4718592
1574464748,4718592
1574464749,4718592
1574464750,4718592
1574464751,4718592
1574464752,4784128
1574464753,4784128
1574464754,4784128
1574464755,4784128
1574464756,4784128
1574464757,4784128
1574464758,4784128
1574464759,4784128
1574464760,4849664
1574464761,4849664
1574464762,4849664
1574464763,4849664
1574464764,4849664
1574464765,4915200
1574464766,4915200
1574464767,4915200
1574464768,4915200
1574464769,4915200
1574464770,4915200
1574464771,4915200
1574464772,4915200
1574464773,4915200
1574464774,4980736
1574464775,4980736
1574464776,4980736
1574464777,4980736
1574464778,4980736
1574464779,4980736
1574464780,4980736
1574464781,4980736
1574464782,4980736
1574464783,4980736
1574464784,4980736
1574464785,4980736
1574464786,4980736
1574464787,5046272
1574464788,5046272
1574464789,5046272
1574464790,5046272
1574464791,5046272
1574464792,5046272
1574464793,5046272
1574464794,5046272
1574464795,5046272
1574464796,5046272
1574464797,5046272
1574464798,5046272
1574464799,5046272
1574464800,5046272
1574464801,5046272
1574464802,5046272
1574464803,5046272
1574464804,5046272
1574464805,5046272
1574464806,5046272
1574464807,5046272
1574464808,5046272
1574464809,5046272
1574464810,5046272
1574464811,5046272
1574464812,5046272
1574464813,5046272
1574464814,5046272
1574464815,5046272
1574464816,5046272
1574464817,5046272
1574464818,5046272
1574464819,5046272
1574464820,5046272
1574464821,5046272
1574464822,5046272
1574464823,5046272
1574464824,5046272
1574464825,5046272
1574464826,5046272
1574464827,5046272
1574464828,5046272
1574464829,5177344
1574464830,5177344
1574464831,5177344
1574464832,5177344
1574464833,5177344
1574464834,5177344
1574464835,5177344
1574464836,5177344
1574464837,5177344
1574464838,5177344
1574464839,5177344
1574464840,5177344
1574464841,5177344
1574464842,5177344
1574464843,5177344
1574464844,5242880
1574464845,5242880
1574464846,5242880
1574464847,5242880
1574464848,5505024
1574464849,7077888
1574464850,7864320
1574464851,8388608
1574464852,8388608
1574464853,8388608
1574464854,8388608
1574464855,8388608
1574464856,8388608
1574464857,8388608
1574464858,8388608
1574464859,8388608
1574464860,8388608
1574464861,8585216
1574464862,9043968
1574464863,9043968
1574464864,9175040
1574464865,9306112
1574464866,9895936
1574464867,9895936
1574464868,9895936
1574464869,9895936
1574464870,9895936
1574464871,9895936
1574464872,9895936
1574464873,9895936
1574464874,9895936
1574464875,9895936
1574464876,9895936
1574464877,9895936
1574464878,9895936
1574464879,9895936
1574464880,9895936
1574464881,9895936
1574464882,9895936
1574464883,9895936
1574464884,9895936
1574464885,9895936
1574464886,9895936
1574464887,9895936
1574464888,9895936
1574464889,9895936
1574464890,9895936
1574464891,9895936
1574464892,9895936
1574464893,9895936
1574464894,9895936
1574464895,9895936
1574464896,9895936
1574464897,9895936
1574464898,9895936
1574464899,9895936
1574464900,9895936
1574464901,9895936
1574464902,9895936
1574464903,9895936
1574464904,9895936
1574464905,9895936
1574464906,9895936
1574464907,9895936
1574464908,9895936
1574464909,9895936
1574464910,9895936
1574464911,9895936
1574464912,9895936
