t,value
1574464736,2555904
1574464737,2555904
1574464738,2555904
1574464739,2555904
1574464740,2555904
1574464741,2555904
1574464742,2555904
1574464743,2555904
1574464744,2555904
1574464745,2555904
1574464746,2555904
1574464747,2555904
1574464748,2555904
1574464749,2555904
1574464750,2555904
1574464751,2555904
1574464752,2555904
1574464753,2555904
1574464754,2555904
1574464755,2555904
1574464756,2555904
1574464757,2555904
1574464758,2555904
1574464759,2555904
1574464760,2555904
1574464761,2555904
1574464762,2555904
1574464763,2555904
1574464764,2555904
1574464765,2555904
1574464766,2555904
1574464767,2555904
1574464768,2555904
1574464769,2555904
1574464770,2555904
1574464771,2555904
1574464772,2555904
1574464773,2555904
1574464774,2555904
1574464775,2555904
1574464776,2555904
1574464777,2555904
1574464778,2555904
1574464779,2555904
1574464780,2555904
1574464781,2555904
1574464782,2555904
1574464783,2555904
1574464784,2555904
1574464785,2555904
1574464786,2555904
1574464787,2555904
1574464788,2555904
1574464789,2555904
1574464790,2555904
1574464791,2555904
1574464792,2555904
1574464793,2555904
1574464794,2555904
1574464795,2555904
1574464796,2555904
1574464797,2555904
1574464798,2555904
1574464799,2555904
1574464800,2555904
1574464801,2555904
1574464802,2555904
1574464803,2555904
1574464804,2555904
1574464805,2555904
1574464806,2555904
1574464807,2555904
1574464808,2555904
1574464809,2555904
1574464810,2555904
1574464811,2555904
1574464812,2555904
1574464813,2555904
1574464814,2555904
1574464815,2555904
1574464816,2555904
1574464817,2555904
1574464818,2555904
1574464819,2555904
1574464820,2555904
1574464821,2555904
1574464822,2555904
1574464823,2555904
1574464824,2555904
1574464825,2555904
1574464826,2555904
1574464827,2555904
1574464828,2555904
1574464829,2555904
1574464830,2555904
1574464831,2555904
1574464832,2555904
1574464833,2555904
1574464834,2555904
1574464835,2555904
1574464836,2555904
1574464837,2555904
1574464838,2555904
1574464839,2555904
1574464840,2555904
1574464841,2555904
1574464842,2555904
1574464843,2555904
1574464844,2555904
1574464845,2555904
1574464846,2555904
1574464847,2555904
1574464848,2555904
1574464849,2555904
1574464850,2555904
1574464851,2555904
1574464852,2555904
1574464853,2555904
1574464854,2555904
1574464855,2555904
1574464856,2555904
1574464857,2555904
1574464858,2555904
1574464859,2555904
1574464860,2555904
1574464861,2555904
1574464862,2555904
1574464863,2555904
1574464864,2555904
1574464865,2555904
1574464866,2555904
1574464867,2555904
1574464868,2555904
1574464869,2555904
1574464870,2555904
1574464871,2555904
1574464872,2555904
1574464873,2555904
1574464874,2555904
1574464875,2555904
1574464876,2555904
1574464877,2555904
1574464878,2555904
1574464879,2555904
1574464880,2555904
1574464881,2555904
1574464882,2555904
1574464883,2555904
1574464884,2555904
1574464885,2555904
1574464886,2555904
1574464887,2555904
1574464888,2555904
1574464889,2555904
1574464890,2555904
1574464891,2555904
1574464892,2555904
1574464893,2555904
1574464894,2555904
1574464895,2555904
1574464896,2555904
1574464897,2555904
1574464898,2555904
1574464899,2555904
1574464900,2555904
1574464901,2555904
1574464902,2555904
1574464903,2555904
1574464904,2555904
1574464905,2555904
1574464906,2555904
1574464907,2555904
1574464908,2555904
1574464909,2555904
1574464910,2555904
1574464911,2555904
1574464912,2555904
1574464913,2555904
1574464914,2555904
1574464915,2555904
1574464916,2555904
1574464917,2555904
1574464918,2555904
1574464919,2555904
1574464920,2555904
1574464921,2555904
1574464922,2555904
1574464923,2555904
1574464924,2555904
1574464925,2555904
1574464926,2555904
1574464927,2555904
1574464928,2555904
1574464929,2555904
1574464930,2555904
1574464931,2555904
1574464932,2555904
1574464933,2555904
1574464934,2555904
1574464935,2555904
1574464936,2555904
1574464937,2555904
1574464938,2555904
1574464939,2555904
1574464940,2555904
1574464941,2555904
1574464942,2555904
1574464943,2555904
1574464944,2555904
1574464945,2555904
1574464946,2555904
1574464947,2555904
1574464948,2555904
1574464949,2555904
1574464950,2555904
1574464951,2555904
1574464952,2555904
1574464953,2555904
1574464954,2555904
1574464955,2555904
1574464956,2555904
1574464957,2555904
1574464958,2555904
1574464959,2555904
1574464960,2555904
1574464961,2555904
1574464962,2555904
1574464963,2555904
1574464964,2555904
1574464965,2555904
