t,value
1574464736,3828224
1574464737,3995776
1574464738,4264256
1574464739,4319296
1574464740,4402432
1574464741,4528768
1574464742,4575616
1574464743,4618432
1574464744,4623232
1574464745,4641920
1574464746,4646656
1574464747,4651520
1574464748,4657024
1574464749,4657024
1574464750,4662528
1574464751,4667136
1574464752,4692544
1574464753,4693440
1574464754,4702592
1574464755,4703680
1574464756,4707520
1574464757,4716160
1574464758,4740416
1574464759,4746816
1574464760,4786944
1574464761,4786944
1574464762,4787712
1574464763,4787712
1574464764,4800256
1574464765,4832064
1574464766,4801344
1574464767,4827392
1574464768,4838784
1574464769,4838784
1574464770,4838784
1574464771,4839424
1574464772,4839424
1574464773,4839424
1574464774,4868096
1574464775,4868096
1574464776,4871296
1574464777,4875072
1574464778,4875968
1574464779,4910144
1574464780,4922944
1574464781,4925056
1574464782,4930432
1574464783,4948864
1574464784,4948864
1574464785,4951168
1574464786,4952960
1574464787,4968832
1574464788,4968832
1574464789,4968832
1574464790,4968832
1574464791,4969728
1574464792,4972736
1574464793,4972736
1574464794,4977792
1574464795,4977792
1574464796,4977792
1574464797,4983168
1574464798,4986176
1574464799,4987776
1574464800,4988672
1574464801,4988672
1574464802,4988672
1574464803,4988672
1574464804,4988672
1574464805,4988672
1574464806,4988672
1574464807,4988672
1574464808,4988672
1574464809,4988672
1574464810,4988672
1574464811,4988672
1574464812,4988096
1574464813,4988096
1574464814,4988096
1574464815,4988096
1574464816,4988096
1574464817,4988096
1574464818,4988096
1574464819,4985024
1574464820,4986816
1574464821,4990720
1574464822,4995264
1574464823,4995264
1574464824,4995264
1574464825,4970688
1574464826,4979328
1574464827,4996288
1574464828,5003264
1574464829,5100416
1574464830,5100416
1574464831,5101248
1574464832,5101248
1574464833,5101248
1574464834,5101248
1574464835,5101248
1574464836,5099648
1574464837,5102912
1574464838,5102912
1574464839,5102912
1574464840,5102912
1574464841,5102912
1574464842,5124352
1574464843,5124352
1574464844,5139904
1574464845,5139904
1574464846,5140736
1574464847,5141440
1574464848,5482432
1574464849,6985024
1574464850,7795904
1574464851,8061376
1574464852,8092800
1574464853,7912512
1574464854,7924608
1574464855,7930304
1574464856,7939264
1574464857,7944000
1574464858,7930944
1574464859,7928448
1574464860,7856640
1574464861,8516288
1574464862,8929280
1574464863,8955904
