t,value
1574464736,26424408
1574464737,26424408
1574464738,26424408
1574464739,29075024
1574464740,29075024
1574464741,29075024
1574464742,31717432
1574464743,31717432
1574464744,31717432
1574464745,31717432
1574464746,34359840
1574464747,34359840
1574464748,34359840
1574464749,37002248
1574464750,37002248
1574464751,37002248
1574464752,39644656
1574464753,39644656
1574464754,39644656
1574464755,39644656
1574464756,42287064
1574464757,42287064
1574464758,42287064
1574464759,44929496
1574464760,44929496
1574464761,44929496
1574464762,47571904
1574464763,47571904
1574464764,47571904
1574464765,50214400
1574464766,50214400
1574464767,50214400
1574464768,50214400
1574464769,52856832
1574464770,52856832
1574464771,52856832
1574464772,55499304
1574464773,55499304
1574464774,55499304
1574464775,58141712
1574464776,58141712
1574464777,58141712
1574464778,58141712
1574464779,60784216
1574464780,60784216
1574464781,60784216
1574464782,63426624
1574464783,63426624
1574464784,63426624
1574464785,66069032
1574464786,66069032
1574464787,66069032
1574464788,66069032
1574464789,68711440
1574464790,68711440
1574464791,68711440
1574464792,71353848
1574464793,71353848
1574464794,71353848
1574464795,73996256
1574464796,73996256
1574464797,73996256
1574464798,73996256
1574464799,76638664
1574464800,76638664
1574464801,76638664
1574464802,79281096
1574464803,79281096
1574464804,79281096
1574464805,81923504
1574464806,81923504
1574464807,81923504
1574464808,81923504
1574464809,84565912
1574464810,84565912
1574464811,84565912
1574464812,87208320
1574464813,87208320
1574464814,87208320
1574464815,89850728
1574464816,89850728
1574464817,89850728
1574464818,89850728
1574464819,92493240
1574464820,92493240
1574464821,92493240
1574464822,95135800
1574464823,95135800
1574464824,95135800
1574464825,97778208
1574464826,97778208
1574464827,97778208
1574464828,97778208
1574464829,100420616
1574464830,100420616
1574464831,100420616
1574464832,103063104
1574464833,103063104
1574464834,103063104
1574464835,103063104
1574464836,105705528
1574464837,105705528
1574464838,105705528
1574464839,108356144
1574464840,108356144
1574464841,108356144
1574464842,108356144
1574464843,111006760
1574464844,111006760
1574464845,111006760
1574464846,113649208
1574464847,113649208
1574464848,118934320
1574464849,59684192
1574464850,65600192
1574464851,69880048
1574464852,73552400
1574464853,76510952
1574464854,79909456
1574464855,85069016
1574464856,86548064
1574464857,91707152
1574464858,94665736
1574464859,97624328
1574464860,297752688
1574464861,48450112
1574464862,116197568
1574464863,175469448
1574464864,240724984
1574464865,12373440
1574464866,96552128
1574464867,172488144
1574464868,259091168
1574464869,344787416
1574464870,82763128
1574464871,179793016
1574464872,275415592
1574464873,15968232
1574464874,127279960
1574464875,231434664
1574464876,342904752
