t,value
1574464736,351272960
1574464737,351272960
1574464738,351272960
1574464739,351272960
1574464740,351272960
1574464741,351272960
1574464742,351272960
1574464743,351272960
1574464744,351272960
1574464745,351272960
1574464746,351272960
1574464747,351272960
1574464748,351272960
1574464749,351272960
1574464750,351272960
1574464751,351272960
1574464752,351272960
1574464753,351272960
1574464754,351272960
1574464755,351272960
1574464756,351272960
1574464757,351272960
1574464758,351272960
1574464759,351272960
1574464760,351272960
1574464761,351272960
1574464762,351272960
1574464763,351272960
1574464764,351272960
1574464765,351272960
1574464766,351272960
1574464767,351272960
1574464768,351272960
1574464769,351272960
1574464770,351272960
1574464771,351272960
1574464772,351272960
1574464773,351272960
1574464774,351272960
1574464775,351272960
1574464776,351272960
1574464777,351272960
1574464778,351272960
1574464779,351272960
1574464780,351272960
1574464781,351272960
1574464782,351272960
1574464783,351272960
1574464784,351272960
1574464785,351272960
1574464786,351272960
1574464787,351272960
1574464788,351272960
1574464789,351272960
1574464790,351272960
1574464791,351272960
1574464792,351272960
1574464793,351272960
1574464794,351272960
1574464795,351272960
1574464796,351272960
1574464797,351272960
1574464798,351272960
1574464799,351272960
1574464800,351272960
1574464801,351272960
1574464802,351272960
1574464803,351272960
1574464804,351272960
1574464805,351272960
1574464806,351272960
1574464807,351272960
1574464808,351272960
1574464809,351272960
1574464810,351272960
1574464811,351272960
1574464812,351272960
1574464813,351272960
1574464814,351272960
1574464815,351272960
1574464816,351272960
1574464817,351272960
1574464818,351272960
1574464819,351272960
1574464820,351272960
1574464821,351272960
1574464822,351272960
1574464823,351272960
1574464824,351272960
1574464825,351272960
1574464826,351272960
1574464827,351272960
1574464828,351272960
1574464829,351272960
1574464830,351272960
1574464831,351272960
1574464832,351272960
1574464833,351272960
1574464834,351272960
1574464835,351272960
1574464836,351272960
1574464837,351272960
1574464838,351272960
1574464839,351272960
1574464840,351272960
1574464841,351272960
1574464842,351272960
1574464843,351272960
1574464844,351272960
1574464845,351272960
1574464846,351272960
1574464847,351272960
1574464848,351272960
1574464849,1425539072
1574464850,1425539072
1574464851,1425539072
1574464852,1425539072
1574464853,1425539072
1574464854,1425539072
1574464855,1425539072
