t,value
1574464736,0
1574464737,0
1574464738,0
1574464739,0
1574464740,0
1574464741,0
1574464742,0
1574464743,0
1574464744,0
1574464745,0
1574464746,0
1574464747,0
1574464748,0
1574464749,0
1574464750,0
1574464751,0
1574464752,0
1574464753,0
1574464754,0
1574464755,0
1574464756,0
1574464757,0
1574464758,0
1574464759,0
1574464760,0
1574464761,0
1574464762,0
1574464763,0
1574464764,0
1574464765,0
1574464766,0
1574464767,0
1574464768,0
1574464769,0
1574464770,0
1574464771,0
1574464772,0
1574464773,0
1574464774,0
1574464775,0
1574464776,0
1574464777,0
1574464778,0
1574464779,0
1574464780,0
1574464781,0
1574464782,0
1574464783,0
1574464784,0
1574464785,0
1574464786,0
1574464787,0
1574464788,0
1574464789,0
1574464790,0
1574464791,0
1574464792,0
1574464793,0
1574464794,0
1574464795,0
1574464796,0
1574464797,0
1574464798,0
1574464799,0
1574464800,0
1574464801,0
1574464802,0
1574464803,0
1574464804,0
1574464805,0
1574464806,0
1574464807,0
1574464808,0
1574464809,0
1574464810,0
1574464811,0
1574464812,0
1574464813,0
1574464814,0
1574464815,0
1574464816,0
1574464817,0
1574464818,0
1574464819,0
1574464820,0
1574464821,0
1574464822,0
1574464823,0
1574464824,0
1574464825,0
1574464826,0
1574464827,0
1574464828,0
1574464829,0
1574464830,0
1574464831,0
1574464832,0
1574464833,0
1574464834,0
1574464835,0
1574464836,0
1574464837,0
1574464838,0
1574464839,0
1574464840,0
1574464841,0
1574464842,0
1574464843,0
1574464844,0
1574464845,0
1574464846,0
1574464847,0
1574464848,0
1574464849,0
1574464850,0
1574464851,0
1574464852,0
1574464853,0
1574464854,0
1574464855,0
1574464856,0
1574464857,0
1574464858,0
1574464859,0
1574464860,1642775152
1574464861,1077733880
1574464862,1077733880
1574464863,1077733880
1574464864,1077733880
1574464865,1077733880
1574464866,1077733880
1574464867,1077733880
1574464868,1077733880
1574464869,1077733880
1574464870,1077733880
1574464871,1077733880
1574464872,1077733880
1574464873,1077733880
1574464874,1077733880
1574464875,1077733880
1574464876,1077733880
1574464877,1077733880
1574464878,1077733880
1574464879,1077733880
1574464880,1077733880
1574464881,1077733880
1574464882,1077733880
1574464883,1077733880
1574464884,1077733880
1574464885,1077733880
1574464886,1077733880
1574464887,1077733880
1574464888,1077733880
1574464889,1077733880
1574464890,1077733880
1574464891,1077733880
1574464892,1077733880
1574464893,1077733880
1574464894,1077733880
1574464895,1077733880
1574464896,1077733880
1574464897,1077733880
1574464898,1077733880
1574464899,1077733880
1574464900,1077733880
1574464901,1077733880
1574464902,1077733880
1574464903,1077733880
1574464904,1077733880
1574464905,1077733880
1574464906,1077733880
1574464907,1077733880
1574464908,1077733880
1574464909,1077733880
1574464910,1077733880
1574464911,1077733880
1574464912,1077733880
1574464913,1077733880
1574464914,1077733880
1574464915,1077733880
1574464916,1077733880
1574464917,1077733880
1574464918,1077733880
1574464919,1077733880
1574464920,1077733880
1574464921,1077733880
1574464922,1077733880
1574464923,1077733880
1574464924,1077733880
1574464925,1077733880
1574464926,1077733880
1574464927,1077733880
1574464928,1077733880
1574464929,1077733880
1574464930,1077733880
1574464931,1077733880
1574464932,1077733880
1574464933,1077733880
1574464934,1077733880
1574464935,1077733880
1574464936,1077733880
1574464937,1077733880
1574464938,1077733880
1574464939,1077733880
1574464940,1077733880
1574464941,1077733880
1574464942,1077733880
1574464943,1077733880
1574464944,1077733880
1574464945,1077733880
1574464946,1077733880
1574464947,1077733880
1574464948,1077733880
1574464949,1077733880
1574464950,1077733880
1574464951,1077733880
1574464952,1077733880
1574464953,1077733880
1574464954,1077733880
1574464955,1077733880
1574464956,1077733880
1574464957,1077733880
1574464958,1077733880
1574464959,1077733880
1574464960,1077733880
1574464961,1077733880
1574464962,1077733880
1574464963,1077733880
1574464964,1077733880
1574464965,1077733880
1574464966,1077733880
1574464967,1077733880
1574464968,1077733880
1574464969,1077733880
1574464970,1077733880
1574464971,1077733880
1574464972,1077733880
1574464973,1077733880
1574464974,1077733880
1574464975,1077733880
1574464976,1077733880
1574464977,1077733880
1574464978,1077733880
1574464979,1077733880
1574464980,1077733880
1574464981,1077733880
1574464982,1077733880
1574464983,1077733880
1574464984,1077733880
1574464985,1077733880
1574464986,1077733880
1574464987,1077733880
1574464988,1077733880
1574464989,1077733880
1574464990,1077733880
1574464991,1077733880
1574464992,1077733880
1574464993,1077733880
1574464994,1077733880
1574464995,1077733880
1574464996,1077733880
1574464997,1077733880
1574464998,1077733880
1574464999,1077733880
1574465000,1077733880
1574465001,1077733880
1574465002,1077733880
1574465003,1077733880
1574465004,1077733880
1574465005,1077733880
1574465006,1077733880
1574465007,1077733880
1574465008,1077733880
1574465009,1077733880
1574465010,1077733880
1574465011,1077733880
1574465012,1077733880
1574465013,1077733880
1574465014,1077733880
1574465015,1077733880
1574465016,1077733880
1574465017,1077733880
1574465018,1077733880
1574465019,1077733880
1574465020,1077733880
1574465021,1077733880
1574465022,1077733880
1574465023,1077733880
1574465024,1077733880
1574465025,1077733880
1574465026,1077733880
1574465027,1077733880
1574465028,1077733880
1574465029,1077733880
1574465030,1077733880
1574465031,1077733880
1574465032,1077733880
1574465033,1077733880
1574465034,1077733880
1574465035,1077733880
1574465036,1077733880
1574465037,1077733880
1574465038,1077733880
1574465039,1077733880
1574465040,1077733880
1574465041,1077733880
1574465042,1077733880
1574465043,1077733880
1574465044,1077733880
1574465045,1077733880
1574465046,1077733880
1574465047,1077733880
1574465048,1077733880
1574465049,1077733880
1574465050,1077733880
1574465051,1077733880
1574465052,1077733880
1574465053,1077733880
1574465054,1077733880
1574465055,1077733880
1574465056,1077733880
1574465057,1077733880
1574465058,1077733880
1574465059,1077733880
1574465060,1077733880
1574465061,1077733880
1574465062,1077733880
1574465063,1077733880
1574465064,1077733880
1574465065,1077733880
1574465066,1077733880
1574465067,1077733880
1574465068,1077733880
1574465069,1077733880
1574465070,1077733880
1574465071,1077733880
1574465072,1077733880
1574465073,1077733880
1574465074,1077733880
1574465075,1077733880
1574465076,1077733880
1574465077,1077733880
1574465078,1077733880
1574465079,1077733880
1574465080,1077733880
1574465081,1077733880
1574465082,1077733880
1574465083,1077733880
1574465084,1077733880
1574465085,1077733880
1574465086,1077733880
1574465087,1077733880
1574465088,1077733880
1574465089,1077733880
1574465090,1077733880
1574465091,1077733880
1574465092,1077733880
1574465093,1077733880
1574465094,1077733880
1574465095,1077733880
1574465096,1077733880
1574465097,1077733880
1574465098,1077733880
1574465099,1077733880
1574465100,1077733880
1574465101,1077733880
1574465102,1077733880
1574465103,1077733880
1574465104,1077733880
1574465105,1077733880
1574465106,1077733880
1574465107,1077733880
1574465108,1077733880
1574465109,1077733880
1574465110,1077733880
1574465111,1077733880
1574465112,1077733880
1574465113,1077733880
1574465114,1077733880
1574465115,1077733880
1574465116,1077733880
1574465117,1077733880
1574465118,1077733880
1574465119,1077733880
1574465120,1077733880
1574465121,1077733880
1574465122,1077733880
1574465123,1077733880
1574465124,1077733880
1574465125,1077733880
1574465126,1077733880
1574465127,1077733880
1574465128,1077733880
1574465129,1077733880
1574465130,1077733880
1574465131,1077733880
1574465132,1077733880
1574465133,1077733880
1574465134,1077733880
1574465135,1077733880
1574465136,1077733880
1574465137,1077733880
1574465138,1077733880
1574465139,1077733880
1574465140,1077733880
1574465141,1077733880
1574465142,1077733880
1574465143,1077733880
1574465144,1077733880
1574465145,1077733880
1574465146,1077733880
1574465147,1077733880
1574465148,1077733880
1574465149,1077733880
1574465150,1077733880
1574465151,1077733880
1574465152,1077733880
1574465153,1077733880
1574465154,1077733880
1574465155,1077733880
1574465156,1077733880
