t,value
1574464736,517537792
1574464737,517668864
1574464738,517865472
1574464739,517931008
1574464740,518062080
1574464741,518127616
1574464742,518193152
1574464743,518193152
1574464744,518258688
1574464745,518258688
1574464746,518258688
1574464747,518258688
1574464748,518258688
1574464749,518258688
1574464750,518258688
1574464751,518258688
1574464752,518324224
1574464753,518324224
1574464754,518324224
1574464755,518324224
1574464756,518324224
1574464757,518324224
1574464758,518324224
1574464759,518324224
1574464760,518389760
1574464761,518389760
1574464762,518389760
1574464763,518389760
1574464764,518717440
1574464765,518717440
1574464766,518717440
1574464767,518717440
1574464768,518717440
1574464769,518717440
1574464770,518717440
1574464771,518717440
1574464772,518717440
1574464773,518717440
1574464774,518782976
1574464775,518782976
1574464776,518782976
1574464777,518782976
1574464778,518782976
1574464779,518782976
1574464780,518782976
1574464781,518782976
1574464782,518782976
1574464783,518782976
1574464784,518782976
1574464785,518782976
1574464786,518782976
1574464787,518848512
1574464788,518848512
1574464789,518848512
1574464790,518848512
1574464791,518848512
1574464792,518848512
1574464793,518848512
1574464794,518848512
1574464795,518848512
1574464796,518848512
1574464797,518848512
1574464798,518848512
1574464799,518848512
1574464800,518848512
1574464801,518848512
1574464802,518848512
1574464803,518848512
1574464804,518848512
1574464805,518848512
1574464806,518848512
1574464807,518848512
1574464808,518848512
1574464809,518848512
1574464810,518848512
1574464811,518848512
1574464812,518848512
1574464813,518848512
1574464814,518848512
1574464815,518848512
1574464816,518848512
1574464817,518848512
1574464818,518848512
1574464819,518848512
1574464820,518848512
1574464821,518848512
1574464822,518848512
1574464823,518848512
1574464824,518848512
1574464825,518848512
1574464826,518848512
1574464827,518848512
1574464828,518914048
1574464829,518979584
1574464830,518979584
1574464831,518979584
1574464832,518979584
1574464833,518979584
1574464834,518979584
1574464835,518979584
1574464836,518979584
1574464837,518979584
1574464838,518979584
1574464839,518979584
1574464840,518979584
1574464841,518979584
1574464842,518979584
1574464843,518979584
1574464844,519045120
1574464845,519045120
1574464846,519045120
1574464847,519045120
1574464848,521273344
1574464849,1609367552
1574464850,1611202560
1574464851,1611661312
1574464852,1611661312
1574464853,1611661312
1574464854,1611661312
1574464855,1611661312
1574464856,1611661312
1574464857,1611661312
1574464858,1611661312
1574464859,1611661312
1574464860,2923429888
1574464861,2554265600
1574464862,2554724352
1574464863,2554724352
1574464864,2554855424
1574464865,2756837376
1574464866,2757427200
1574464867,2757427200
1574464868,2757427200
1574464869,2757427200
1574464870,2768437248
1574464871,2768437248
1574464872,2768437248
1574464873,2764767232
1574464874,2764767232
1574464875,2764767232
1574464876,2764767232
1574464877,2782068736
1574464878,2782068736
1574464879,2782068736
1574464880,2762670080
1574464881,2762670080
1574464882,2762670080
1574464883,2779971584
1574464884,2779971584
1574464885,2779971584
1574464886,2752184320
1574464887,2752184320
1574464888,2752184320
1574464889,2496856064
1574464890,2496856064
1574464891,2734358528
1574464892,2734358528
1574464893,2734358528
1574464894,2505244672
1574464895,2505244672
1574464896,2712862720
1574464897,2712862720
1574464898,2508914688
1574464899,2508914688
1574464900,2692415488
1574464901,2692415488
1574464902,2511536128
1574464903,2511536128
1574464904,2671968256
1574464905,2671968256
1574464906,2513633280
1574464907,2513633280
1574464908,2653093888
1574464909,2653093888
1574464910,2515206144
1574464911,2515206144
1574464912,2635792384
1574464913,2516254720
1574464914,2516254720
1574464915,2620588032
1574464916,2620588032
1574464917,2517303296
1574464918,2606432256
1574464919,2606432256
1574464920,2518351872
1574464921,2518351872
1574464922,2595946496
1574464923,2519400448
1574464924,2519400448
1574464925,2585460736
1574464926,2520449024
1574464927,2576547840
1574464928,2576547840
1574464929,2521497600
1574464930,2569732096
1574464931,2569732096
1574464932,2522021888
1574464933,2563440640
1574464934,2523070464
1574464935,2523070464
1574464936,2558722048
1574464937,2524643328
1574464938,2554527744
1574464939,2525691904
1574464940,2525691904
1574464941,2550333440
1574464942,2526216192
1574464943,2547712000
1574464944,2527264768
1574464945,2546139136
1574464946,2546139136
1574464947,2528837632
1574464948,2544041984
1574464949,2529886208
1574464950,2542993408
1574464951,2544041984
1574464952,2541944832
1574464953,2542993408
1574464954,2541944832
1574464955,2541944832
1574464956,2542469120
1574464957,2541420544
1574464958,2541944832
1574464959,2540896256
1574464960,2541420544
1574464961,2540896256
1574464962,2541420544
1574464963,2540896256
1574464964,2541420544
1574464965,2541420544
1574464966,2541944832
1574464967,2542469120
1574464968,2542469120
1574464969,2542469120
1574464970,2542993408
1574464971,2542993408
1574464972,2543517696
1574464973,2543517696
1574464974,2543517696
1574464975,2544041984
1574464976,2545090560
1574464977,2545090560
1574464978,2545614848
1574464979,2545614848
1574464980,2546663424
1574464981,2546663424
1574464982,2546663424
1574464983,2547187712
1574464984,2547187712
1574464985,2548236288
1574464986,2548236288
1574464987,2549284864
1574464988,2549284864
1574464989,2549809152
1574464990,2549809152
1574464991,2549809152
1574464992,2550857728
1574464993,2550857728
1574464994,2551906304
