t,value
1574464736,38268664
1574464737,38562720
1574464738,38767424
1574464739,41460096
1574464740,41678376
1574464741,41722216
1574464742,44447296
1574464743,44452352
1574464744,44472344
1574464745,47114752
1574464746,47122240
1574464747,47128672
1574464748,47131264
1574464749,49778280
1574464750,49779176
1574464751,49810280
1574464752,52458448
1574464753,52464200
1574464754,52468232
1574464755,55111728
1574464756,55115568
1574464757,55126800
1574464758,55161400
1574464759,57821912
1574464760,57850648
1574464761,57851704
1574464762,60494112
1574464763,60498336
1574464764,60541536
1574464765,63188760
1574464766,63157952
1574464767,63197808
1574464768,65840880
1574464769,65840880
1574464770,65840880
1574464771,65841520
1574464772,68483992
1574464773,68483992
1574464774,68512664
1574464775,71155072
1574464776,71160544
1574464777,71162400
1574464778,73833576
1574464779,73852712
1574464780,73863208
1574464781,73868584
1574464782,76528272
1574464783,76529424
1574464784,76529424
1574464785,79174904
1574464786,79176696
1574464787,79198144
1574464788,81840552
1574464789,81840552
1574464790,81840552
1574464791,81844456
1574464792,84486864
1574464793,84491920
1574464794,84491920
1574464795,87134328
1574464796,87141128
1574464797,87141832
1574464798,89789048
1574464799,89790936
1574464800,89792176
1574464801,89792176
1574464802,92434608
1574464803,92434608
1574464804,92434608
1574464805,95077016
1574464806,95077016
1574464807,95077016
1574464808,97719424
1574464809,97719424
1574464810,97719424
1574464811,97719360
1574464812,100361768
1574464813,100361768
1574464814,100361768
1574464815,103004176
1574464816,103004176
1574464817,103004176
1574464818,105646688
1574464819,105646640
1574464820,105647344
1574464821,105657488
1574464822,108300048
1574464823,108300048
1574464824,108301776
1574464825,110926520
1574464826,110943480
1574464827,110946296
1574464828,113617312
1574464829,113690016
1574464830,113690848
1574464831,113690848
1574464832,116333336
1574464833,116333336
1574464834,116333336
1574464835,118975760
1574464836,118978064
1574464837,118978064
1574464838,118978064
1574464839,121628680
1574464840,121628680
1574464841,121629960
1574464842,124310704
1574464843,124315816
1574464844,124327016
1574464845,124327848
1574464846,126971000
1574464847,126971000
1574464848,134854728
1574464849,1169292664
1574464850,1177331120
1574464851,1181894144
1574464852,1185551704
1574464853,1188381272
1574464854,1194022608
1574464855,1196983600
1574464856,1198476960
1574464857,1203640040
1574464858,1206583552
1574464859,1223140616
1574464860,2235096704
1574464861,1161865528
1574464862,1227070168
1574464863,1291674360
1574464864,1351757272
1574464865,1124084792
1574464866,1207957568
1574464867,1289053120
1574464868,1371449016
1574464869,1458588112
1574464870,1197444072
1574464871,1291696320
1574464872,1390795760
1574464873,1133893224
1574464874,1240408176
1574464875,1346541448
1574464876,1458171168
1574464877,1180515000
1574464878,1298847888
1574464879,1418911488
1574464880,1164404504
1574464881,1303730840
1574464882,1439665768
1574464883,1166467832
1574464884,1315173264
1574464885,1460860832
1574464886,1204749424
1574464887,1363739080
1574464888,1525595920
1574464889,1262830488
1574464890,1429775832
1574464891,1170121176
1574464892,1338464168
1574464893,1516765632
1574464894,1267030192
1574464895,1453395976
1574464896,1217874384
1574464897,1413871816
1574464898,1174715656
1574464899,1381962224
1574464900,1152353512
1574464901,1361012360
1574464902,1140781344
1574464903,1358317992
1574464904,1145376200
1574464905,1369464408
1574464906,1159054568
1574464907,1385029568
1574464908,1185794104
1574464909,1428223944
1574464910,1237544416
1574464911,1491126288
1574464912,1303164904
1574464913,1117466696
1574464914,1382160096
1574464915,1204232736
1574464916,1476579208
1574464917,1301937328
1574464918,1138414744
1574464919,1421242160
1574464920,1266732864
1574464921,1559640696
1574464922,1408508008
1574464923,1258690744
1574464924,1561351912
1574464925,1422398472
1574464926,1287953368
1574464927,1150693184
1574464928,1475384096
1574464929,1350344328
1574464930,1226936008
1574464931,1555397376
1574464932,1442897056
1574464933,1334716432
1574464934,1230409912
1574464935,1115677016
1574464936,1467590792
1574464937,1362441440
1574464938,1256759288
1574464939,1162044152
1574464940,1532607040
1574464941,1445246936
1574464942,1370202968
1574464943,1295165768
1574464944,1219561096
1574464945,1143257480
1574464946,1535410240
1574464947,1471168392
1574464948,1412784128
1574464949,1358204712
1574464950,1299299344
1574464951,1249073392
1574464952,1197973680
1574464953,1163255544
1574464954,1120858312
1574464955,1549143144
1574464956,1524770296
1574464957,1495060640
1574464958,1456677232
1574464959,1423131176
