t,value
1574464736,5
1574464737,5
1574464738,5
1574464739,5
1574464740,5
1574464741,5
1574464742,5
1574464743,5
1574464744,5
1574464745,5
1574464746,5
1574464747,5
1574464748,5
1574464749,5
1574464750,5
1574464751,5
1574464752,5
1574464753,5
1574464754,5
1574464755,5
1574464756,5
1574464757,5
1574464758,5
1574464759,5
1574464760,5
1574464761,5
1574464762,5
1574464763,5
1574464764,5
1574464765,5
1574464766,5
1574464767,5
1574464768,5
1574464769,5
1574464770,5
1574464771,5
1574464772,5
1574464773,5
1574464774,5
1574464775,5
1574464776,5
1574464777,5
1574464778,5
1574464779,5
1574464780,5
1574464781,5
1574464782,5
1574464783,5
1574464784,5
1574464785,5
1574464786,5
1574464787,5
1574464788,5
1574464789,5
1574464790,5
1574464791,5
1574464792,5
1574464793,5
1574464794,5
1574464795,5
1574464796,5
1574464797,5
1574464798,5
1574464799,5
1574464800,5
1574464801,5
1574464802,5
1574464803,5
1574464804,5
1574464805,5
1574464806,5
1574464807,5
1574464808,5
1574464809,5
1574464810,5
1574464811,5
1574464812,5
1574464813,5
1574464814,5
1574464815,5
1574464816,5
1574464817,5
1574464818,5
1574464819,5
1574464820,5
1574464821,5
1574464822,5
1574464823,5
1574464824,5
1574464825,5
1574464826,5
1574464827,5
1574464828,5
1574464829,5
1574464830,5
1574464831,5
1574464832,5
1574464833,5
1574464834,5
1574464835,5
1574464836,5
1574464837,5
1574464838,5
1574464839,5
1574464840,5
1574464841,5
1574464842,5
1574464843,5
1574464844,5
1574464845,5
1574464846,5
1574464847,5
1574464848,5
1574464849,5
1574464850,5
1574464851,5
1574464852,5
1574464853,5
1574464854,5
1574464855,5
1574464856,5
1574464857,5
1574464858,5
1574464859,7
1574464860,7
1574464861,7
1574464862,7
1574464863,7
1574464864,7
1574464865,7
1574464866,7
1574464867,7
1574464868,7
1574464869,7
1574464870,21
1574464871,21
1574464872,21
1574464873,21
1574464874,21
1574464875,21
1574464876,21
1574464877,21
1574464878,21
1574464879,21
1574464880,27
1574464881,27
1574464882,27
1574464883,27
1574464884,27
1574464885,27
1574464886,27
1574464887,27
1574464888,27
1574464889,27
1574464890,33
1574464891,33
1574464892,33
1574464893,33
1574464894,33
1574464895,33
1574464896,33
1574464897,33
1574464898,33
1574464899,33
1574464900,40
1574464901,40
1574464902,40
1574464903,40
1574464904,40
1574464905,40
1574464906,40
1574464907,40
1574464908,40
1574464909,40
1574464910,47
1574464911,47
1574464912,47
1574464913,47
1574464914,47
1574464915,47
1574464916,47
1574464917,47
1574464918,47
1574464919,47
1574464920,54
1574464921,54
1574464922,54
1574464923,54
1574464924,54
1574464925,54
1574464926,54
1574464927,54
1574464928,54
1574464929,54
1574464930,54
1574464931,60
1574464932,60
1574464933,60
1574464934,60
1574464935,60
1574464936,60
1574464937,60
1574464938,60
1574464939,60
1574464940,67
1574464941,67
1574464942,67
1574464943,67
1574464944,67
1574464945,67
1574464946,67
1574464947,67
1574464948,67
1574464949,67
1574464950,67
1574464951,73
1574464952,73
1574464953,73
1574464954,73
1574464955,73
1574464956,73
1574464957,73
1574464958,73
1574464959,73
1574464960,77
1574464961,77
1574464962,77
1574464963,77
1574464964,77
1574464965,77
1574464966,77
1574464967,77
1574464968,77
1574464969,77
1574464970,77
1574464971,77
1574464972,77
1574464973,77
1574464974,77
1574464975,77
1574464976,77
1574464977,77
1574464978,77
1574464979,77
1574464980,77
1574464981,77
1574464982,77
1574464983,77
1574464984,77
1574464985,77
1574464986,77
1574464987,77
1574464988,77
1574464989,77
1574464990,77
1574464991,77
1574464992,77
1574464993,77
1574464994,77
1574464995,77
1574464996,77
1574464997,77
1574464998,77
1574464999,77
1574465000,77
1574465001,77
1574465002,77
1574465003,77
1574465004,77
1574465005,77
1574465006,77
1574465007,77
1574465008,77
1574465009,77
1574465010,77
1574465011,77
1574465012,77
1574465013,77
1574465014,77
1574465015,77
1574465016,77
1574465017,77
1574465018,77
1574465019,77
1574465020,77
1574465021,77
1574465022,77
1574465023,77
1574465024,77
1574465025,77
1574465026,77
1574465027,77
1574465028,77
1574465029,77
1574465030,77
1574465031,77
1574465032,77
1574465033,77
1574465034,77
1574465035,77
1574465036,77
1574465037,77
1574465038,77
1574465039,77
1574465040,77
1574465041,77
1574465042,77
1574465043,77
1574465044,77
1574465045,77
1574465046,77
1574465047,77
1574465048,77
1574465049,77
1574465050,77
1574465051,77
1574465052,77
1574465053,77
1574465054,77
1574465055,77
1574465056,77
1574465057,77
1574465058,77
1574465059,77
1574465060,77
1574465061,77
1574465062,77
1574465063,77
1574465064,77
1574465065,77
1574465066,77
1574465067,77
1574465068,77
1574465069,77
1574465070,77
1574465071,77
1574465072,77
1574465073,77
1574465074,77
1574465075,77
1574465076,77
1574465077,77
1574465078,77
1574465079,77
1574465080,77
1574465081,77
1574465082,77
1574465083,77
1574465084,77
1574465085,77
1574465086,77
1574465087,77
1574465088,77
1574465089,77
1574465090,77
1574465091,77
1574465092,77
1574465093,77
1574465094,77
1574465095,77
1574465096,77
1574465097,77
1574465098,77
1574465099,77
1574465100,77
1574465101,77
1574465102,77
1574465103,77
1574465104,77
1574465105,77
1574465106,77
1574465107,77
1574465108,77
1574465109,77
1574465110,77
1574465111,77
1574465112,77
1574465113,77
1574465114,77
1574465115,77
1574465116,77
1574465117,77
1574465118,77
1574465119,77
1574465120,77
1574465121,77
1574465122,77
1574465123,77
1574465124,77
1574465125,77
1574465126,77
1574465127,77
1574465128,77
1574465129,77
1574465130,77
1574465131,77
1574465132,77
1574465133,77
1574465134,77
1574465135,77
1574465136,77
1574465137,77
1574465138,77
1574465139,77
1574465140,77
1574465141,77
1574465142,77
1574465143,77
1574465144,77
1574465145,77
1574465146,77
1574465147,77
1574465148,77
1574465149,77
1574465150,77
1574465151,77
1574465152,77
1574465153,77
1574465154,77
1574465155,77
1574465156,77
1574465157,77
1574465158,77
1574465159,77
1574465160,77
1574465161,77
1574465162,77
1574465163,77
1574465164,77
1574465165,77
1574465166,77
1574465167,77
1574465168,77
1574465169,77
1574465170,77
1574465171,77
1574465172,77
1574465173,77
1574465174,77
1574465175,77
1574465176,77
1574465177,77
1574465178,77
1574465179,77
1574465180,77
1574465181,77
1574465182,77
1574465183,77
1574465184,77
1574465185,77
1574465186,77
1574465187,77
1574465188,77
1574465189,77
1574465190,77
1574465191,77
1574465192,77
1574465193,77
1574465194,77
1574465195,77
1574465196,77
1574465197,77
1574465198,77
1574465199,77
1574465200,77
1574465201,77
1574465202,77
1574465203,77
1574465204,77
1574465205,77
1574465206,77
1574465207,77
1574465208,77
1574465209,77
1574465210,77
1574465211,77
1574465212,77
1574465213,77
1574465214,77
1574465215,77
1574465216,77
1574465217,77
1574465218,77
1574465219,77
1574465220,77
1574465221,77
1574465222,77
1574465223,77
1574465224,77
1574465225,77
1574465226,77
1574465227,77
1574465228,77
1574465229,77
1574465230,77
1574465231,77
1574465232,77
1574465233,77
1574465234,77
1574465235,77
1574465236,77
1574465237,77
1574465238,77
1574465239,77
1574465240,77
1574465241,77
1574465242,77
1574465243,77
1574465244,77
1574465245,77
1574465246,77
1574465247,77
1574465248,77
1574465249,77
1574465250,77
1574465251,77
1574465252,77
1574465253,77
1574465254,77
1574465255,77
1574465256,77
1574465257,77
1574465258,77
1574465259,77
1574465260,77
1574465261,77
1574465262,77
1574465263,77
1574465264,77
1574465265,77
1574465266,77
1574465267,77
1574465268,77
1574465269,77
1574465270,77
1574465271,77
1574465272,77
1574465273,77
1574465274,77
1574465275,77
1574465276,77
1574465277,77
1574465278,77
1574465279,77
1574465280,77
1574465281,77
1574465282,77
1574465283,77
1574465284,77
1574465285,77
1574465286,77
1574465287,77
1574465288,77
1574465289,77
1574465290,77
1574465291,77
1574465292,77
1574465293,77
1574465294,77
1574465295,77
1574465296,77
1574465297,77
1574465298,77
1574465299,77
1574465300,77
1574465301,77
1574465302,77
1574465303,77
1574465304,77
1574465305,77
1574465306,77
1574465307,77
1574465308,77
1574465309,77
1574465310,77
1574465311,77
1574465312,77
1574465313,77
1574465314,77
1574465315,77
1574465316,77
1574465317,77
1574465318,77
1574465319,77
1574465320,77
1574465321,77
1574465322,77
1574465323,77
1574465324,77
1574465325,77
1574465326,77
1574465327,77
1574465328,77
1574465329,77
1574465330,77
1574465331,77
1574465332,77
1574465333,77
1574465334,77
1574465335,77
1574465336,77
1574465337,77
1574465338,77
1574465339,77
1574465340,77
1574465341,77
1574465342,77
1574465343,77
1574465344,77
1574465345,77
1574465346,77
1574465347,77
1574465348,77
1574465349,77
1574465350,77
1574465351,77
1574465352,77
1574465353,77
1574465354,77
1574465355,77
1574465356,77
1574465357,77
1574465358,77
1574465359,77
1574465360,77
1574465361,77
1574465362,77
1574465363,77
1574465364,77
1574465365,77
1574465366,77
1574465367,77
1574465368,77
1574465369,77
1574465370,77
1574465371,77
1574465372,77
1574465373,77
1574465374,77
1574465375,77
1574465376,77
1574465377,77
1574465378,77
1574465379,77
1574465380,77
1574465381,77
1574465382,77
1574465383,77
1574465384,77
1574465385,77
1574465386,77
1574465387,77
1574465388,77
1574465389,77
1574465390,77
1574465391,77
1574465392,77
1574465393,77
1574465394,77
1574465395,77
1574465396,77
1574465397,77
1574465398,77
1574465399,77
1574465400,77
1574465401,77
1574465402,77
1574465403,77
1574465404,77
1574465405,77
1574465406,77
1574465407,77
1574465408,77
1574465409,77
1574465410,77
1574465411,77
1574465412,77
1574465413,77
1574465414,77
1574465415,77
1574465416,77
1574465417,77
1574465418,77
1574465419,77
1574465420,77
1574465421,77
1574465422,77
1574465423,77
1574465424,77
1574465425,77
1574465426,77
1574465427,77
1574465428,77
1574465429,77
1574465430,77
1574465431,77
1574465432,77
1574465433,77
1574465434,77
1574465435,77
1574465436,77
1574465437,77
1574465438,77
1574465439,77
1574465440,77
1574465441,77
1574465442,77
1574465443,77
1574465444,77
1574465445,77
1574465446,77
1574465447,77
1574465448,77
1574465449,77
1574465450,77
1574465451,77
1574465452,77
1574465453,77
1574465454,77
1574465455,77
1574465456,77
1574465457,77
1574465458,77
1574465459,77
1574465460,77
1574465461,77
1574465462,77
1574465463,77
1574465464,77
1574465465,77
1574465466,77
1574465467,77
1574465468,77
1574465469,77
1574465470,77
1574465471,77
1574465472,77
1574465473,77
1574465474,77
1574465475,77
1574465476,77
1574465477,77
1574465478,77
1574465479,77
1574465480,77
1574465481,77
1574465482,77
1574465483,77
1574465484,77
1574465485,77
1574465486,77
1574465487,77
1574465488,77
1574465489,77
1574465490,77
1574465491,77
1574465492,77
1574465493,77
1574465494,77
1574465495,77
1574465496,77
1574465497,77
1574465498,77
1574465499,77
1574465500,77
1574465501,77
1574465502,77
1574465503,77
1574465504,77
1574465505,77
1574465506,77
1574465507,77
1574465508,77
1574465509,77
1574465510,77
1574465511,77
1574465512,77
1574465513,77
1574465514,77
1574465515,77
1574465516,77
1574465517,77
1574465518,77
1574465519,77
1574465520,77
1574465521,77
1574465522,77
1574465523,77
1574465524,77
1574465525,77
1574465526,77
1574465527,77
1574465528,77
1574465529,77
1574465530,77
1574465531,77
1574465532,77
1574465533,77
1574465534,77
1574465535,77
1574465536,77
1574465537,77
1574465538,77
1574465539,77
