t,value
1574464737,7117584
1574464738,7194088
1574464739,7270080
1574464740,7285296
1574464741,7336768
1574464742,7339704
1574464743,7343344
1574464744,7347432
1574464745,7347792
1574464746,7348096
1574464747,7348928
1574464748,7349216
1574464749,7349504
1574464750,7349504
1574464751,7349504
1574464752,7355456
1574464753,7355456
1574464754,7356088
1574464755,7356088
1574464756,7356088
1574464757,7356088
1574464758,7358680
1574464759,7369024
1574464760,7369312
1574464761,7369312
1574464762,7369312
1574464763,7369600
1574464764,7369600
1574464765,7376368
1574464766,7377192
1574464767,7377488
1574464768,7377488
1574464769,7380160
1574464770,7380160
1574464771,7380160
1574464772,7380160
1574464773,7380160
1574464774,7380160
1574464775,7380160
1574464776,7380160
1574464777,7380512
1574464778,7380512
1574464779,7381728
1574464780,7388832
1574464781,7388832
1574464782,7388832
1574464783,7388832
1574464784,7388832
1574464785,7388832
1574464786,7389600
1574464787,7389600
1574464788,7395176
1574464789,7395176
1574464790,7395176
1574464791,7395176
1574464792,7395176
1574464793,7395176
1574464794,7395176
1574464795,7395176
1574464796,7395176
1574464797,7397304
1574464798,7397304
1574464799,7399104
1574464800,7399392
1574464801,7399736
1574464802,7399736
1574464803,7399736
1574464804,7399736
1574464805,7399736
1574464806,7399736
1574464807,7399736
1574464808,7399736
1574464809,7399736
1574464810,7399736
1574464811,7399736
1574464812,7400248
1574464813,7400248
1574464814,7400248
1574464815,7400248
1574464816,7400248
1574464817,7400248
1574464818,7400248
1574464819,7400248
1574464820,7401176
1574464821,7401480
1574464822,7403096
1574464823,7403880
1574464824,7403880
1574464825,7403880
1574464826,7403880
1574464827,7403880
1574464828,7403880
1574464829,7403880
1574464830,7403880
1574464831,7403880
1574464832,7403880
1574464833,7403880
1574464834,7403880
1574464835,7403880
1574464836,7403880
1574464837,7404520
1574464838,7404520
1574464839,7404520
1574464840,7404520
1574464841,7404520
1574464842,7404520
1574464843,7414488
1574464844,7414488
1574464845,7415248
1574464846,7415248
1574464847,7415248
1574464848,7415248
1574464849,7415248
1574464850,7415248
