t,value
1574464737,132120576
1574464738,132120576
1574464739,132120576
1574464740,132120576
1574464741,132120576
1574464742,132120576
1574464743,132120576
1574464744,132120576
1574464745,132120576
1574464746,132120576
1574464747,132120576
1574464748,132120576
1574464749,132120576
1574464750,132120576
1574464751,132120576
1574464752,132120576
1574464753,132120576
1574464754,132120576
1574464755,132120576
1574464756,132120576
1574464757,132120576
1574464758,132120576
1574464759,132120576
1574464760,132120576
1574464761,132120576
1574464762,132120576
1574464763,132120576
1574464764,132120576
1574464765,132120576
1574464766,132120576
1574464767,132120576
1574464768,132120576
1574464769,132120576
1574464770,132120576
1574464771,132120576
1574464772,132120576
1574464773,132120576
1574464774,132120576
1574464775,132120576
1574464776,132120576
1574464777,132120576
1574464778,132120576
1574464779,132120576
1574464780,132120576
1574464781,132120576
1574464782,132120576
1574464783,132120576
1574464784,132120576
1574464785,132120576
1574464786,132120576
1574464787,132120576
1574464788,132120576
1574464789,132120576
1574464790,132120576
1574464791,132120576
1574464792,132120576
1574464793,132120576
1574464794,132120576
1574464795,132120576
1574464796,132120576
1574464797,132120576
1574464798,132120576
1574464799,132120576
1574464800,132120576
1574464801,132120576
1574464802,132120576
1574464803,132120576
1574464804,132120576
1574464805,132120576
1574464806,132120576
1574464807,132120576
1574464808,132120576
1574464809,132120576
1574464810,132120576
1574464811,132120576
1574464812,132120576
1574464813,132120576
1574464814,132120576
1574464815,132120576
1574464816,132120576
1574464817,132120576
1574464818,132120576
1574464819,132120576
1574464820,132120576
1574464821,132120576
1574464822,132120576
1574464823,132120576
1574464824,132120576
1574464825,132120576
1574464826,132120576
1574464827,132120576
1574464828,132120576
1574464829,132120576
1574464830,132120576
1574464831,132120576
1574464832,132120576
1574464833,132120576
1574464834,132120576
1574464835,132120576
1574464836,132120576
1574464837,132120576
1574464838,132120576
1574464839,132120576
1574464840,132120576
1574464841,132120576
1574464842,132120576
1574464843,132120576
1574464844,132120576
1574464845,132120576
1574464846,132120576
1574464847,132120576
1574464848,132120576
1574464849,132120576
1574464850,132120576
1574464851,132120576
1574464852,132120576
1574464853,132120576
1574464854,132120576
1574464855,132120576
1574464856,132120576
1574464857,132120576
1574464858,132120576
1574464859,132120576
1574464860,132120576
1574464861,132120576
1574464862,132120576
1574464863,132120576
1574464864,132120576
1574464865,132120576
1574464866,132120576
1574464867,132120576
1574464868,132120576
1574464869,132120576
1574464870,132120576
1574464871,132120576
1574464872,132120576
1574464873,132120576
1574464874,132120576
1574464875,132120576
1574464876,132120576
1574464877,132120576
1574464878,132120576
1574464879,132120576
1574464880,132120576
1574464881,132120576
1574464882,132120576
1574464883,132120576
1574464884,132120576
1574464885,132120576
1574464886,132120576
1574464887,132120576
1574464888,132120576
1574464889,132120576
1574464890,132120576
1574464891,132120576
1574464892,132120576
1574464893,132120576
1574464894,132120576
1574464895,132120576
1574464896,132120576
1574464897,132120576
1574464898,132120576
1574464899,132120576
1574464900,132120576
1574464901,132120576
1574464902,132120576
1574464903,132120576
1574464904,132120576
1574464905,132120576
1574464906,132120576
1574464907,132120576
1574464908,132120576
1574464909,132120576
1574464910,132120576
1574464911,132120576
1574464912,132120576
1574464913,132120576
1574464914,132120576
1574464915,132120576
1574464916,132120576
1574464917,132120576
1574464918,132120576
1574464919,132120576
1574464920,132120576
1574464921,132120576
1574464922,132120576
1574464923,132120576
1574464924,132120576
1574464925,132120576
1574464926,132120576
1574464927,132120576
1574464928,132120576
1574464929,132120576
1574464930,132120576
1574464931,132120576
1574464932,132120576
1574464933,132120576
1574464934,132120576
1574464935,132120576
1574464936,132120576
1574464937,132120576
1574464938,132120576
1574464939,132120576
1574464940,132120576
1574464941,132120576
1574464942,132120576
1574464943,132120576
1574464944,132120576
1574464945,132120576
1574464946,132120576
1574464947,132120576
1574464948,132120576
1574464949,132120576
1574464950,132120576
1574464951,132120576
1574464952,132120576
1574464953,132120576
1574464954,132120576
1574464955,132120576
1574464956,132120576
1574464957,132120576
1574464958,132120576
1574464959,132120576
1574464960,132120576
1574464961,132120576
1574464962,132120576
1574464963,132120576
1574464964,132120576
1574464965,132120576
1574464966,132120576
1574464967,132120576
1574464968,132120576
1574464969,132120576
1574464970,132120576
1574464971,132120576
1574464972,132120576
1574464973,132120576
1574464974,132120576
1574464975,132120576
1574464976,132120576
1574464977,132120576
1574464978,132120576
1574464979,132120576
1574464980,179306496
1574464981,173539328
1574464982,173539328
1574464983,173539328
1574464984,173015040
1574464985,173015040
1574464986,173015040
1574464987,175636480
1574464988,175636480
1574464989,175636480
1574464990,180879360
1574464991,180879360
1574464992,180879360
1574464993,185073664
1574464994,185073664
1574464995,189792256
1574464996,189792256
1574464997,189792256
1574464998,193986560
1574464999,193986560
1574465000,194510848
1574465001,194510848
1574465002,189267968
1574465003,189267968
1574465004,191365120
1574465005,191365120
1574465006,192937984
1574465007,192937984
1574465008,194510848
1574465009,194510848
1574465010,195559424
1574465011,195559424
1574465012,196608000
1574465013,196608000
1574465014,197656576
1574465015,197656576
1574465016,198705152
1574465017,199753728
1574465018,199753728
1574465019,200802304
1574465020,200802304
1574465021,201850880
1574465022,202899456
1574465023,202899456
1574465024,203948032
1574465025,204996608
1574465026,204996608
1574465027,206045184
1574465028,207618048
1574465029,207618048
1574465030,209190912
1574465031,210763776
1574465032,210763776
1574465033,212336640
1574465034,213909504
1574465035,215482368
1574465036,215482368
1574465037,217055232
1574465038,218628096
1574465039,220200960
1574465040,220200960
1574465041,221773824
1574465042,223346688
1574465043,224919552
1574465044,224919552
1574465045,226492416
1574465046,228065280
1574465047,229638144
1574465048,231735296
1574465049,231735296
1574465050,235929600
1574465051,239075328
1574465052,241696768
1574465053,241696768
1574465054,243793920
1574465055,245891072
1574465056,247463936
1574465057,249036800
1574465058,249036800
1574465059,250609664
1574465060,252182528
1574465061,253755392
1574465062,255328256
1574465063,256901120
1574465064,256901120
1574465065,258998272
1574465066,261095424
1574465067,262668288
1574465068,264765440
1574465069,264765440
1574465070,266338304
1574465071,267911168
1574465072,270008320
1574465073,271581184
1574465074,271581184
1574465075,273154048
1574465076,274726912
1574465077,276299776
1574465078,276299776
1574465079,277872640
1574465080,279445504
1574465081,281018368
1574465082,281018368
1574465083,282591232
1574465084,284164096
1574465085,285736960
1574465086,285736960
1574465087,287309824
1574465088,288882688
1574465089,290455552
1574465090,290455552
1574465091,292028416
1574465092,293601280
1574465093,295698432
1574465094,295698432
1574465095,297271296
1574465096,298844160
1574465097,298844160
1574465098,300941312
1574465099,303038464
1574465100,303038464
1574465101,304611328
1574465102,306184192
1574465103,307757056
1574465104,307757056
1574465105,309329920
1574465106,310902784
1574465107,310902784
1574465108,312475648
1574465109,314048512
1574465110,314048512
1574465111,316145664
1574465112,318242816
1574465113,318242816
1574465114,319815680
1574465115,321388544
1574465116,321388544
1574465117,322961408
1574465118,324534272
1574465119,324534272
1574465120,326107136
1574465121,327680000
1574465122,327680000
1574465123,329252864
1574465124,330825728
1574465125,331350016
1574465126,332398592
1574465127,332398592
1574465128,333971456
1574465129,335544320
1574465130,335544320
1574465131,337641472
1574465132,339214336
1574465133,339738624
1574465134,340787200
1574465135,340787200
1574465136,342360064
1574465137,343932928
1574465138,343932928
1574465139,345505792
1574465140,345505792
1574465141,347078656
1574465142,348651520
1574465143,348651520
1574465144,350224384
1574465145,351797248
1574465146,351797248
1574465147,353370112
1574465148,353370112
1574465149,354942976
1574465150,356515840
1574465151,356515840
