t,value
1574464737,26424408
1574464738,26424408
1574464739,26424408
1574464740,29075024
1574464741,29075024
1574464742,29075024
1574464743,31717432
1574464744,31717432
1574464745,31717432
1574464746,31717432
1574464747,34359840
1574464748,34359840
1574464749,34359840
1574464750,37002248
1574464751,37002248
1574464752,37002248
1574464753,39644656
1574464754,39644656
1574464755,39644656
1574464756,39644656
1574464757,42287088
1574464758,42287088
1574464759,42287088
1574464760,44929496
1574464761,44929496
1574464762,44929496
1574464763,47571904
1574464764,47571904
1574464765,47571904
1574464766,47571904
1574464767,50214312
1574464768,50214312
1574464769,50214312
1574464770,52856720
1574464771,52856720
1574464772,52856720
1574464773,55499200
1574464774,55499200
1574464775,55499200
1574464776,58141656
1574464777,58141656
1574464778,58141656
1574464779,58141656
1574464780,60784120
1574464781,60784120
1574464782,60784120
1574464783,63426528
1574464784,63426528
1574464785,63426528
1574464786,66068936
1574464787,66068936
1574464788,66068936
1574464789,66068936
1574464790,68711344
1574464791,68711344
1574464792,68711344
1574464793,71353808
1574464794,71353808
1574464795,71353808
1574464796,73996312
1574464797,73996312
1574464798,73996312
1574464799,73996312
1574464800,76638720
1574464801,76638720
1574464802,76638720
1574464803,79281144
1574464804,79281144
1574464805,79281144
1574464806,81923648
1574464807,81923648
1574464808,81923648
1574464809,81923648
1574464810,84566056
1574464811,84566056
1574464812,84566056
1574464813,87208488
1574464814,87208488
1574464815,87208488
1574464816,89850992
1574464817,89850992
1574464818,89850992
1574464819,89850992
1574464820,92493400
1574464821,92493400
1574464822,92493400
1574464823,95135808
1574464824,95135808
1574464825,95135808
1574464826,97778216
1574464827,97778216
1574464828,97778216
1574464829,97778216
1574464830,100420688
1574464831,100420688
1574464832,100420688
1574464833,103063112
1574464834,103063112
1574464835,103063112
1574464836,103063112
1574464837,105705544
1574464838,105705544
1574464839,105705544
1574464840,108356160
1574464841,108356160
1574464842,108356160
1574464843,108356160
1574464844,110998744
1574464845,110998744
1574464846,110998744
1574464847,113641184
1574464848,113641184
1574464849,113641184
1574464850,113641184
1574464851,116291800
1574464852,116291800
1574464853,116291800
1574464854,118942416
1574464855,118942416
1574464856,118942416
1574464857,121593032
1574464858,121593032
1574464859,121593032
1574464860,121593032
1574464861,124243648
1574464862,124243648
1574464863,124243648
1574464864,126886080
1574464865,126886080
1574464866,126886080
1574464867,126886080
1574464868,129528504
1574464869,129528504
1574464870,129528504
1574464871,132120576
1574464872,132120576
1574464873,132120576
1574464874,132120576
1574464875,3725440
1574464876,3725440
1574464877,5046736
1574464878,7459056
1574464879,7459056
1574464880,7459056
1574464881,9871376
1574464882,9871376
1574464883,9871376
1574464884,12275688
1574464885,12275688
1574464886,12275688
1574464887,14688008
1574464888,14688008
1574464889,14688008
1574464890,14688008
1574464891,17100328
1574464892,17100328
1574464893,17100328
1574464894,19504488
1574464895,19504488
1574464896,19504488
1574464897,21916808
1574464898,21916808
1574464899,21916808
1574464900,24329128
1574464901,24329128
1574464902,24329128
1574464903,26733288
1574464904,26733288
1574464905,26733288
1574464906,29145608
1574464907,29145608
1574464908,29145608
1574464909,29145608
1574464910,31557928
1574464911,31557928
1574464912,31557928
1574464913,33970248
1574464914,33970248
1574464915,33970248
1574464916,36382568
1574464917,36382568
1574464918,36382568
1574464919,38794888
1574464920,38794888
1574464921,38794888
1574464922,41207208
1574464923,41207208
1574464924,41207208
1574464925,43611464
1574464926,43611464
1574464927,43611464
1574464928,43611464
1574464929,46023784
1574464930,46023784
