t,value
1574464737,517537792
1574464738,517668864
1574464739,517865472
1574464740,517931008
1574464741,518062080
1574464742,518127616
1574464743,518193152
1574464744,518258688
1574464745,518258688
1574464746,518258688
1574464747,518258688
1574464748,518258688
1574464749,518258688
1574464750,518258688
1574464751,518258688
1574464752,518324224
1574464753,518324224
1574464754,518324224
1574464755,518324224
1574464756,518324224
1574464757,518324224
1574464758,518324224
1574464759,518324224
1574464760,518389760
1574464761,518389760
1574464762,518389760
1574464763,518389760
1574464764,518389760
1574464765,518717440
1574464766,518717440
1574464767,518717440
1574464768,518717440
1574464769,518717440
1574464770,518717440
1574464771,518717440
1574464772,518717440
1574464773,518717440
1574464774,518717440
1574464775,518782976
1574464776,518782976
1574464777,518782976
1574464778,518782976
1574464779,518782976
1574464780,518782976
1574464781,518782976
1574464782,518782976
1574464783,518782976
1574464784,518782976
1574464785,518782976
1574464786,518782976
1574464787,518782976
1574464788,518782976
1574464789,518782976
1574464790,518782976
1574464791,518782976
1574464792,518848512
1574464793,518848512
1574464794,518848512
1574464795,518848512
1574464796,518848512
1574464797,518848512
1574464798,518848512
1574464799,518848512
1574464800,518848512
1574464801,518848512
1574464802,518848512
1574464803,518848512
1574464804,518848512
1574464805,518848512
1574464806,518848512
1574464807,518848512
1574464808,518848512
1574464809,518848512
1574464810,518848512
1574464811,518848512
1574464812,518848512
1574464813,518848512
1574464814,518848512
1574464815,518848512
1574464816,518848512
1574464817,518848512
1574464818,518848512
1574464819,518848512
1574464820,518848512
1574464821,518848512
1574464822,518848512
1574464823,518848512
1574464824,518848512
1574464825,518848512
1574464826,518848512
1574464827,518848512
1574464828,518848512
1574464829,518848512
1574464830,518979584
1574464831,518979584
1574464832,518979584
1574464833,518979584
1574464834,518979584
1574464835,518979584
1574464836,518979584
1574464837,518979584
1574464838,518979584
1574464839,518979584
1574464840,518979584
1574464841,518979584
1574464842,518979584
1574464843,518979584
1574464844,518979584
1574464845,518979584
1574464846,518979584
1574464847,518979584
1574464848,518979584
1574464849,518979584
1574464850,518979584
1574464851,518979584
1574464852,518979584
1574464853,518979584
1574464854,518979584
1574464855,518979584
1574464856,518979584
1574464857,518979584
1574464858,518979584
1574464859,518979584
1574464860,518979584
1574464861,519045120
1574464862,519045120
1574464863,519045120
1574464864,519045120
1574464865,519045120
1574464866,519045120
1574464867,519045120
1574464868,519045120
1574464869,519045120
1574464870,519045120
1574464871,519045120
1574464872,519045120
1574464873,519045120
1574464874,519045120
1574464875,519045120
1574464876,519045120
1574464877,519045120
1574464878,519045120
1574464879,519045120
1574464880,519045120
1574464881,519045120
1574464882,519045120
1574464883,519045120
1574464884,519045120
1574464885,519045120
1574464886,519045120
1574464887,519045120
1574464888,519045120
1574464889,519045120
1574464890,519045120
1574464891,519045120
1574464892,519045120
1574464893,519045120
1574464894,519045120
1574464895,519045120
1574464896,519045120
1574464897,519045120
1574464898,519045120
1574464899,519045120
1574464900,519045120
1574464901,519045120
1574464902,519045120
1574464903,519045120
1574464904,519045120
1574464905,519045120
1574464906,519045120
1574464907,519045120
1574464908,519045120
1574464909,519045120
1574464910,519045120
1574464911,519045120
1574464912,519045120
1574464913,519045120
1574464914,519045120
1574464915,519045120
1574464916,519045120
1574464917,519045120
1574464918,519045120
1574464919,519045120
1574464920,519045120
1574464921,519045120
1574464922,519045120
1574464923,519110656
1574464924,519110656
1574464925,519110656
1574464926,519110656
1574464927,519110656
1574464928,519110656
1574464929,519110656
1574464930,519110656
1574464931,519110656
1574464932,519110656
1574464933,519110656
1574464934,519110656
1574464935,519110656
1574464936,519110656
1574464937,519110656
1574464938,519110656
1574464939,519110656
1574464940,519110656
1574464941,519110656
1574464942,519110656
1574464943,519110656
1574464944,519110656
1574464945,519110656
1574464946,519110656
1574464947,519110656
1574464948,519110656
1574464949,519110656
1574464950,519110656
1574464951,519110656
1574464952,519110656
1574464953,519110656
1574464954,519110656
1574464955,519110656
1574464956,519110656
1574464957,519110656
1574464958,530841600
1574464959,1610874880
1574464960,1611595776
1574464961,1611595776
1574464962,1611661312
1574464963,1611661312
1574464964,1611661312
1574464965,1611661312
1574464966,1611661312
1574464967,1611661312
1574464968,1611661312
1574464969,1611661312
1574464970,1611726848
1574464971,1611726848
1574464972,1611726848
1574464973,1611726848
1574464974,1611726848
1574464975,1611726848
1574464976,1611726848
1574464977,1611726848
1574464978,1611726848
1574464979,3047751680
1574464980,3048013824
1574464981,3057647616
1574464982,3057713152
1574464983,3105554432
1574464984,3143303168
1574464985,3143303168
1574464986,3172663296
1574464987,3197829120
1574464988,3197829120
1574464989,3214606336
1574464990,3232432128
1574464991,3232432128
1574464992,3240296448
1574464993,3249733632
1574464994,3251830784
1574464995,3251830784
1574464996,3251830784
1574464997,3254452224
1574464998,3247112192
1574464999,3079340032
1574465000,3246587904
1574465001,3249733632
1574465002,3260219392
1574465003,3268149248
1574465004,3266052096
1574465005,2798911488
1574465006,3242459136
1574465007,2800484352
1574465008,3212050432
1574465009,2802057216
1574465010,3176398848
1574465011,2802581504
1574465012,3140222976
1574465013,2803630080
1574465014,3105619968
1574465015,2804678656
1574465016,2805727232
1574465017,3040083968
1574465018,2806775808
1574465019,3011248128
1574465020,2807824384
1574465021,2808872960
1574465022,2963013632
1574465023,2809921536
1574465024,2810970112
1574465025,2924216320
1574465026,2812018688
1574465027,2813067264
1574465028,2897477632
1574465029,2814640128
1574465030,2816212992
1574465031,2877554688
1574465032,2869690368
1574465033,2819358720
1574465034,2863398912
1574465035,2858156032
1574465036,2822504448
1574465037,2824077312
1574465038,2851864576
1574465039,2848718848
1574465040,2827223040
1574465041,2848718848
1574465042,2845573120
1574465043,2845048832
1574465044,2846097408
1574465045,2845048832
1574465046,2844524544
1574465047,2844524544
1574465048,2846097408
1574465049,2845573120
1574465050,2848718848
1574465051,2849767424
1574465052,2852913152
1574465053,2853437440
1574465054,2853961728
1574465055,2855534592
1574465056,2857107456
1574465057,2858156032
1574465058,2858680320
1574465059,2859204608
1574465060,2860777472
1574465061,2861301760
1574465062,2863398912
1574465063,2864971776
1574465064,2864971776
1574465065,2867068928
1574465066,2868641792
1574465067,2869690368
1574465068,2872311808
1574465069,2872311808
1574465070,2873884672
1574465071,2875457536
1574465072,2877554688
1574465073,2878603264
1574465074,2879127552
1574465075,2880700416
1574465076,2882273280
1574465077,2883846144
1574465078,2885419008
1574465079,2885419008
1574465080,2886991872
1574465081,2888564736
1574465082,2890137600
1574465083,2890137600
1574465084,2891710464
1574465085,2892759040
1574465086,2892759040
1574465087,2894331904
1574465088,2895904768
