t,value
1574464737,38265752
1574464738,38543360
1574464739,38762352
1574464740,41457776
1574464741,41694832
1574464742,41738672
1574464743,44463752
1574464744,44468808
1574464745,44488800
1574464746,47131208
1574464747,47138696
1574464748,47145128
1574464749,47147720
1574464750,49790128
1574464751,49795632
1574464752,49826736
1574464753,52474904
1574464754,52480656
1574464755,52484688
1574464756,55128208
1574464757,55132048
1574464758,55142832
1574464759,55177432
1574464760,57836640
1574464761,57865376
1574464762,57866432
1574464763,60508840
1574464764,60479720
1574464765,60515672
1574464766,63163000
1574464767,63170080
1574464768,63211024
1574464769,63211664
1574464770,65854072
1574464771,65854072
1574464772,65854712
1574464773,68497192
1574464774,68497192
1574464775,68525864
1574464776,71168320
1574464777,71174688
1574464778,71175328
1574464779,73842816
1574464780,73861696
1574464781,73874048
1574464782,73879424
1574464783,76532840
1574464784,76534184
1574464785,76534184
1574464786,79179664
1574464787,79179664
1574464788,79195480
1574464789,81837888
1574464790,81837888
1574464791,81837888
1574464792,81821312
1574464793,84463776
1574464794,84468832
1574464795,84468832
1574464796,87111336
1574464797,87118136
1574464798,87118840
1574464799,89766120
1574464800,89767880
1574464801,89769120
1574464802,89769888
1574464803,92412312
1574464804,92412312
1574464805,92412312
1574464806,95054816
1574464807,95054816
1574464808,95054816
1574464809,97697224
1574464810,97697224
1574464811,97697224
1574464812,97701832
1574464813,100344264
1574464814,100344264
1574464815,100344264
1574464816,102986768
1574464817,102984272
1574464818,102984272
1574464819,105626680
1574464820,105632136
1574464821,105632840
1574464822,105642984
1574464823,108285392
1574464824,108285392
1574464825,108278416
1574464826,110875000
1574464827,110891640
1574464828,110894456
1574464829,113562592
1574464830,113635296
1574464831,113636192
1574464832,113636192
1574464833,116278616
1574464834,116278616
1574464835,116278616
1574464836,118921048
1574464837,118926744
1574464838,118926744
1574464839,118926744
1574464840,121577360
1574464841,121577936
1574464842,121579216
1574464843,124251928
1574464844,124251928
1574464845,124268240
1574464846,124268880
1574464847,126912472
1574464848,126912472
1574464849,126912472
1574464850,129563088
1574464851,129563088
1574464852,129545232
1574464853,129530888
1574464854,132181504
1574464855,132181504
1574464856,132181504
1574464857,134827704
1574464858,134827704
1574464859,134827704
1574464860,134839544
1574464861,137542448
1574464862,137547112
1574464863,137547112
1574464864,140206888
1574464865,140245656
1574464866,140245656
1574464867,140245656
1574464868,142888080
1574464869,142888080
1574464870,142888080
1574464871,145480152
1574464872,145480152
1574464873,145480152
1574464874,21440712
1574464875,21427520
1574464876,21438848
1574464877,22761104
1574464878,25173424
1574464879,25173424
1574464880,25173424
1574464881,27585744
1574464882,27587168
1574464883,27589536
1574464884,29993848
1574464885,29994552
1574464886,29994552
1574464887,32408472
1574464888,32408472
1574464889,32409624
1574464890,34821944
1574464891,34821944
1574464892,34821944
1574464893,37227000
1574464894,37227000
1574464895,37227704
1574464896,37227704
1574464897,39640024
1574464898,39640024
1574464899,39640024
1574464900,42056760
1574464901,42056760
1574464902,42056760
1574464903,44460920
1574464904,44460920
1574464905,44460920
1574464906,46873240
1574464907,46865096
1574464908,46865096
1574464909,49277416
1574464910,49277416
1574464911,49277416
1574464912,51690960
1574464913,51690960
1574464914,51696208
1574464915,51696208
1574464916,54108528
1574464917,54041392
1574464918,54041392
1574464919,56452816
1574464920,56452816
1574464921,56452816
1574464922,58865136
1574464923,58901104
1574464924,58901104
1574464925,61305360
1574464926,61305360
1574464927,61305360
1574464928,63728264
1574464929,63728264
1574464930,63728264
1574464931,66132416
1574464932,66132416
1574464933,66132416
1574464934,66132416
1574464935,68536600
1574464936,68536600
1574464937,68539256
1574464938,70951192
1574464939,70951192
1574464940,70951192
1574464941,73355400
1574464942,73356296
1574464943,73356296
1574464944,75768616
1574464945,75769384
1574464946,75769384
1574464947,78183240
1574464948,78183240
1574464949,78183240
1574464950,78185600
1574464951,80589744
1574464952,80589744
1574464953,80589744
1574464954,83002064
1574464955,83002064
1574464956,83002064
1574464957,88057464
1574464958,149953936
1574464959,1136329416
1574464960,1139469664
1574464961,1144093096
1574464962,1146268032
1574464963,1148794584
1574464964,1152456816
1574464965,1154973888
1574464966,1156234184
1574464967,1160752936
1574464968,1163246208
1574464969,1166501984
1574464970,1169086952
1574464971,1170346144
1574464972,1174874008
1574464973,1176142248
1574464974,1180678520
1574464975,1183205456
1574464976,1185728704
1574464977,1191466624
1574464978,1193974072
1574464979,2192655168
1574464980,2224808792
1574464981,2246279768
1574464982,2345456704
1574464983,2284480984
1574464984,2214009704
1574464985,2322809592
1574464986,2262133544
1574464987,2212908600
1574464988,2332121776
1574464989,2285140944
1574464990,2236982200
1574464991,2367774504
1574464992,2325951984
1574464993,2291217488
1574464994,2254797888
1574464995,2221221008
1574464996,2373581416
1574464997,2344309320
1574464998,2314153888
1574464999,2291058832
1574465000,2262642656
1574465001,2239224840
1574465002,2221605456
1574465003,2218714832
1574465004,2215051704
1574465005,2216683176
1574465006,2218301152
1574465007,2226410840
1574465008,2235015952
1574465009,2246700032
1574465010,2260945768
1574465011,2276347240
1574465012,2295743584
1574465013,2318773160
1574465014,2346266264
1574465015,2379853992
1574465016,2213303624
1574465017,2254727592
1574465018,2297553064
1574465019,2352161416
1574465020,2382582984
1574465021,2237495528
1574465022,2292971816
1574465023,2350550160
1574465024,2213399424
1574465025,2272206776
1574465026,2343418512
1574465027,2218115864
1574465028,2286803536
1574465029,2364985656
1574465030,2238194736
1574465031,2320382904
1574465032,2206603704
1574465033,2290638864
1574465034,2383416896
1574465035,2266938896
1574465036,2360581928
1574465037,2249392080
1574465038,2354177176
1574465039,2240828912
1574465040,2347216272
1574465041,2240853936
1574465042,2355325000
1574465043,2253540784
1574465044,2370667512
1574465045,2273414416
1574465046,2399055040
1574465047,2310491200
1574465048,2316554272
1574465049,2346943496
1574465050,2250555224
1574465051,2390243768
1574465052,2293951824
1574465053,2201408136
1574465054,2342127704
1574465055,2241609352
1574465056,2391476112
1574465057,2296793864
1574465058,2212162280
1574465059,2358406504
1574465060,2269807384
1574465061,2426826960
1574465062,2342001680
1574465063,2258919216
1574465064,2425541360
1574465065,2331395032
1574465066,2233910168
1574465067,2390942144
1574465068,2287436920
1574465069,2448341560
1574465070,2346582280
1574465071,2236837880
1574465072,2385115440
1574465073,2274249000
1574465074,2424269584
1574465075,2302717128
1574465076,2450388208
1574465077,2327422448
1574465078,2204659248
1574465079,2340819368
1574465080,2212887984
1574465081,2350978464
1574465082,2213907384
1574465083,2355399936
1574465084,2206763776
1574465085,2340219256
1574465086,2194051976
1574465087,2327442248
1574465088,2461877552
1574465089,2310371800
1574465090,2437489720
1574465091,2276545736
1574465092,2406195696
1574465093,2246923984
1574465094,2372248688
1574465095,2208487536
1574465096,2321614608
1574465097,2448158400
1574465098,2270885584
1574465099,2394956592
1574465100,2210099528
1574465101,2327083320
1574465102,2469504248
1574465103,2255087648
1574465104,2361475016
1574465105,2479595672
1574465106,2280906240
1574465107,2395409048
1574465108,2197260064
1574465109,2299389512
1574465110,2410414856
1574465111,2215596592
1574465112,2312223688
1574465113,2416789896
1574465114,2211720000
1574465115,2299704016
1574465116,2399203000
1574465117,2500605688
1574465118,2281222704
1574465119,2375133384
1574465120,2471813960
1574465121,2248471048
1574465122,2343717880
1574465123,2455344184
1574465124,2218021480
1574465125,2304482184
1574465126,2388849392
1574465127,2477596152
1574465128,2238084840
1574465129,2321513400
1574465130,2409539832
1574465131,2493409352
1574465132,2245467840
1574465133,2325930632
1574465134,2412579696
1574465135,2488265152
1574465136,2240585800
1574465137,2311736336
1574465138,2385595096
1574465139,2461722080
1574465140,2201804040
1574465141,2273200384
1574465142,2346070728
1574465143,2419883032
1574465144,2506380080
1574465145,2224979328
1574465146,2296215008
1574465147,2358776776
1574465148,2426754600
1574465149,2499206272
1574465150,2220198392
1574465151,2272464640
1574465152,2340102144
1574465153,2407728824
1574465154,2473893912
1574465155,2531483112
1574465156,2243053144
1574465157,2294000288
1574465158,2351438592
1574465159,2408227080
1574465160,2468326848
1574465161,2531272848
1574465162,2216751256
1574465163,2267004888
1574465164,2322330688
1574465165,2376695952
1574465166,2431805520
1574465167,2475004096
1574465168,2525273480
1574465169,2204663144
1574465170,2249390248
1574465171,2322338024
1574465172,2339232680
1574465173,2388840336
1574465174,2430565128
1574465175,2474186880
1574465176,2515191640
1574465177,2558084424
1574465178,2220736328
1574465179,2258905344
1574465180,2290496872
1574465181,2327896208
1574465182,2366633640
1574465183,2404415376
1574465184,2440456576
1574465185,2474436584
1574465186,2504741000
1574465187,2535551944
1574465188,2567132768
1574465189,2223878824
1574465190,2242846688
1574465191,2268373312
1574465192,2298485032
1574465193,2335509320
1574465194,2352934528
1574465195,2384112040
1574465196,2407504976
1574465197,2426862408
1574465198,2452874176
1574465199,2476632768
1574465200,2497909952
1574465201,2523758552
1574465202,2549855520
1574465203,2570752528
1574465204,2588605736
1574465205,2218754552
1574465206,2232006528
1574465207,2241681696
1574465208,2261103464
1574465209,2272676328
1574465210,2295957912
1574465211,2307398104
1574465212,2323883968
1574465213,2340503136
1574465214,2344094832
1574465215,2363728384
1574465216,2367333888
1574465217,2374446288
1574465218,2379993200
1574465219,2400311832
1574465220,2389044416
1574465221,2401104680
1574465222,2405236176
1574465223,2409113568
1574465224,2407868600
1574465225,2422389776
1574465226,2410295120
1574465227,2405784616
1574465228,2403215272
1574465229,2388958600
1574465230,2387432808
1574465231,2377473032
1574465232,2378357472
1574465233,2379305440
1574465234,2377447544
1574465235,2376420032
1574465236,2367723368
1574465237,2366424632
1574465238,2357147808
1574465239,2349848488
1574465240,2336522224
1574465241,2324546656
1574465242,2318942752
1574465243,2303873528
1574465244,2292553576
1574465245,2284827848
1574465246,2270846504
1574465247,2264763088
1574465248,2242237240
1574465249,2231040144
1574465250,2223580032
1574465251,2211846848
1574465252,2621324752
1574465253,2606640272
1574465254,2587972584
1574465255,2571703440
1574465256,2551044152
1574465257,2538740640
1574465258,2520430608
1574465259,2497960784
1574465260,2473115760
1574465261,2460876544
1574465262,2434069904
1574465263,2412371192
1574465264,2387837552
1574465265,2362565584
1574465266,2333132304
1574465267,2304447032
1574465268,2278542400
1574465269,2250008968
1574465270,2217461128
1574465271,2629562080
1574465272,2605914592
1574465273,2576252496
1574465274,2540090608
1574465275,2506853200
1574465276,2474667352
1574465277,2432886784
1574465278,2398192520
1574465279,2361814464
1574465280,2319186312
1574465281,2282542664
1574465282,2241918576
1574465283,2219241088
1574465284,2623417032
1574465285,2578768304
1574465286,2537359640
1574465287,2500757808
1574465288,2457574272
1574465289,2418441440
1574465290,2370414264
1574465291,2329788016
1574465292,2279601456
1574465293,2243297656
1574465294,2650183568
1574465295,2601946616
1574465296,2554741008
1574465297,2508428056
1574465298,2453481096
1574465299,2405923688
1574465300,2355861976
1574465301,2296807608
1574465302,2244703040
1574465303,2662410440
1574465304,2606498040
1574465305,2549494512
1574465306,2484555440
1574465307,2431377504
1574465308,2367689136
1574465309,2307631304
1574465310,2248100656
1574465311,2664632824
1574465312,2602173472
1574465313,2535767768
1574465314,2474209328
1574465315,2403352304
1574465316,2341401568
1574465317,2269219672
1574465318,2208566904
1574465319,2614155104
1574465320,2551289672
1574465321,2477954640
1574465322,2405074848
1574465323,2330039296
1574465324,2253118584
1574465325,2673026832
1574465326,2598401080
1574465327,2528524664
1574465328,2451734552
1574465329,2377881032
1574465330,2309275152
1574465331,2229748224
1574465332,2638337104
1574465333,2564557888
1574465334,2490554200
1574465335,2407745416
1574465336,2325406736
1574465337,2243258024
1574465338,2662653968
1574465339,2579272696
1574465340,2488018024
1574465341,2404812776
1574465342,2326550016
1574465343,2237245480
1574465344,2653613208
1574465345,2565796328
1574465346,2481096184
1574465347,2394284360
1574465348,2308500840
1574465349,2222120888
1574465350,2641623736
1574465351,2550481408
1574465352,2457208848
1574465353,2369537368
1574465354,2285489816
1574465355,2702020880
1574465356,2610788080
1574465357,2515571824
1574465358,2417313680
1574465359,2331525720
1574465360,2238932504
1574465361,2655885560
1574465362,2555080160
1574465363,2462503040
