t,value
1574464737,5
1574464738,5
1574464739,5
1574464740,5
1574464741,5
1574464742,5
1574464743,5
1574464744,5
1574464745,5
1574464746,5
1574464747,5
1574464748,5
1574464749,5
1574464750,5
1574464751,5
1574464752,5
1574464753,5
1574464754,5
1574464755,5
1574464756,5
1574464757,5
1574464758,5
1574464759,5
1574464760,5
1574464761,5
1574464762,5
1574464763,5
1574464764,5
1574464765,5
1574464766,5
1574464767,5
1574464768,5
1574464769,5
1574464770,5
1574464771,5
1574464772,5
1574464773,5
1574464774,5
1574464775,5
1574464776,5
1574464777,5
1574464778,5
1574464779,5
1574464780,5
1574464781,5
1574464782,5
1574464783,5
1574464784,5
1574464785,5
1574464786,5
1574464787,5
1574464788,5
1574464789,5
1574464790,5
1574464791,5
1574464792,5
1574464793,5
1574464794,5
1574464795,5
1574464796,5
1574464797,5
1574464798,5
1574464799,5
1574464800,5
1574464801,5
1574464802,5
1574464803,5
1574464804,5
1574464805,5
1574464806,5
1574464807,5
1574464808,5
1574464809,5
1574464810,5
1574464811,5
1574464812,5
1574464813,5
1574464814,5
1574464815,5
1574464816,5
1574464817,5
1574464818,5
1574464819,5
1574464820,5
1574464821,5
1574464822,5
1574464823,5
1574464824,5
1574464825,5
1574464826,5
1574464827,5
1574464828,5
1574464829,5
1574464830,5
1574464831,5
1574464832,5
1574464833,5
1574464834,5
1574464835,5
1574464836,5
1574464837,5
1574464838,5
1574464839,5
1574464840,5
1574464841,5
1574464842,5
1574464843,5
1574464844,5
1574464845,5
1574464846,5
1574464847,5
1574464848,5
1574464849,5
1574464850,5
1574464851,5
1574464852,5
1574464853,5
1574464854,5
1574464855,5
1574464856,5
1574464857,5
1574464858,5
1574464859,5
1574464860,5
1574464861,5
1574464862,5
1574464863,5
1574464864,5
1574464865,5
1574464866,5
1574464867,5
1574464868,5
1574464869,5
1574464870,5
1574464871,5
1574464872,5
1574464873,5
1574464874,5
1574464875,5
1574464876,5
1574464877,5
1574464878,5
1574464879,5
1574464880,5
1574464881,5
1574464882,5
1574464883,5
1574464884,5
1574464885,5
1574464886,5
1574464887,5
1574464888,5
1574464889,5
1574464890,5
1574464891,5
1574464892,5
1574464893,5
1574464894,5
1574464895,5
1574464896,5
1574464897,5
1574464898,5
1574464899,5
1574464900,5
1574464901,5
1574464902,5
1574464903,5
1574464904,5
1574464905,5
1574464906,5
1574464907,5
1574464908,5
1574464909,5
1574464910,5
1574464911,5
1574464912,5
1574464913,5
1574464914,5
1574464915,5
1574464916,5
1574464917,5
1574464918,5
1574464919,5
1574464920,5
1574464921,5
1574464922,5
1574464923,5
1574464924,5
1574464925,5
1574464926,5
1574464927,5
1574464928,5
1574464929,5
1574464930,5
1574464931,5
1574464932,5
1574464933,5
1574464934,5
1574464935,5
1574464936,5
1574464937,5
1574464938,5
1574464939,5
1574464940,5
1574464941,5
1574464942,5
1574464943,5
1574464944,5
1574464945,5
1574464946,5
1574464947,5
1574464948,5
1574464949,5
1574464950,5
1574464951,5
1574464952,5
1574464953,5
1574464954,5
1574464955,5
1574464956,5
1574464957,5
1574464958,5
1574464959,5
1574464960,5
1574464961,5
1574464962,5
1574464963,5
1574464964,5
1574464965,5
1574464966,5
1574464967,5
1574464968,5
1574464969,5
1574464970,5
1574464971,5
1574464972,5
1574464973,5
1574464974,5
1574464975,5
1574464976,5
1574464977,5
1574464978,5
1574464979,5
1574464980,5
1574464981,5
1574464982,5
1574464983,5
1574464984,5
1574464985,23
1574464986,23
1574464987,23
1574464988,23
1574464989,23
1574464990,23
1574464991,23
1574464992,23
1574464993,23
1574464994,23
1574464995,30
1574464996,30
1574464997,30
1574464998,30
1574464999,30
1574465000,30
1574465001,30
1574465002,30
1574465003,30
1574465004,30
1574465005,37
1574465006,37
1574465007,37
1574465008,37
1574465009,37
1574465010,37
1574465011,37
1574465012,37
1574465013,37
1574465014,37
1574465015,44
1574465016,44
1574465017,44
1574465018,44
1574465019,44
1574465020,44
1574465021,44
1574465022,44
1574465023,44
1574465024,44
1574465025,44
1574465026,51
1574465027,51
1574465028,51
1574465029,51
1574465030,51
1574465031,51
1574465032,51
1574465033,51
1574465034,51
1574465035,51
1574465036,57
1574465037,57
1574465038,57
1574465039,57
1574465040,57
1574465041,57
1574465042,57
1574465043,57
1574465044,57
1574465045,57
1574465046,64
1574465047,64
1574465048,64
1574465049,64
1574465050,64
1574465051,64
1574465052,64
1574465053,64
1574465054,64
1574465055,64
1574465056,64
1574465057,71
1574465058,71
1574465059,71
1574465060,71
1574465061,71
1574465062,71
1574465063,71
1574465064,71
1574465065,71
1574465066,71
1574465067,75
1574465068,75
1574465069,75
1574465070,75
1574465071,75
1574465072,75
1574465073,75
1574465074,75
1574465075,75
1574465076,75
1574465077,75
1574465078,75
1574465079,75
1574465080,75
1574465081,75
1574465082,75
1574465083,75
1574465084,75
1574465085,75
1574465086,75
1574465087,75
1574465088,75
1574465089,75
1574465090,75
1574465091,75
1574465092,75
1574465093,75
1574465094,75
1574465095,75
1574465096,75
1574465097,75
1574465098,75
1574465099,75
1574465100,75
1574465101,75
1574465102,75
1574465103,75
1574465104,75
1574465105,75
1574465106,75
1574465107,75
1574465108,75
1574465109,75
1574465110,75
1574465111,75
1574465112,75
1574465113,75
1574465114,75
1574465115,75
1574465116,75
1574465117,75
1574465118,75
1574465119,75
1574465120,75
1574465121,75
1574465122,75
1574465123,75
1574465124,75
1574465125,75
1574465126,75
1574465127,75
1574465128,75
1574465129,75
1574465130,75
1574465131,75
1574465132,75
1574465133,75
1574465134,75
1574465135,75
1574465136,75
1574465137,75
1574465138,75
1574465139,75
1574465140,75
1574465141,75
1574465142,75
1574465143,75
1574465144,75
1574465145,75
1574465146,75
1574465147,75
1574465148,75
1574465149,75
1574465150,75
1574465151,75
1574465152,75
1574465153,75
1574465154,75
1574465155,75
1574465156,75
1574465157,75
1574465158,75
1574465159,75
1574465160,75
1574465161,75
1574465162,75
1574465163,75
1574465164,75
1574465165,75
1574465166,75
1574465167,75
1574465168,75
1574465169,75
1574465170,75
1574465171,75
