t,value
1574464737,2
1574464738,2
1574464739,2
1574464740,2
1574464741,2
1574464742,2
1574464743,2
1574464744,2
1574464745,2
1574464746,2
1574464747,2
1574464748,2
1574464749,2
1574464750,2
1574464751,2
1574464752,2
1574464753,2
1574464754,2
1574464755,2
1574464756,2
1574464757,2
1574464758,2
1574464759,2
1574464760,2
1574464761,2
1574464762,2
1574464763,2
1574464764,2
1574464765,2
1574464766,2
1574464767,2
1574464768,2
1574464769,2
1574464770,2
1574464771,2
1574464772,2
1574464773,2
1574464774,2
1574464775,2
1574464776,2
1574464777,2
1574464778,2
1574464779,2
1574464780,2
1574464781,2
1574464782,2
1574464783,2
1574464784,2
1574464785,2
1574464786,2
1574464787,2
1574464788,2
1574464789,2
1574464790,2
1574464791,2
1574464792,2
1574464793,2
1574464794,2
1574464795,2
1574464796,2
1574464797,2
1574464798,2
1574464799,2
1574464800,2
1574464801,2
1574464802,2
1574464803,2
1574464804,2
1574464805,2
1574464806,2
1574464807,2
1574464808,2
1574464809,2
1574464810,2
1574464811,2
1574464812,2
1574464813,2
1574464814,2
1574464815,2
1574464816,2
1574464817,2
1574464818,2
1574464819,2
1574464820,2
1574464821,2
1574464822,2
1574464823,2
1574464824,2
1574464825,2
1574464826,2
1574464827,2
1574464828,2
1574464829,2
1574464830,2
1574464831,2
1574464832,2
1574464833,2
1574464834,2
1574464835,2
1574464836,2
1574464837,2
1574464838,2
1574464839,2
1574464840,2
1574464841,2
1574464842,2
1574464843,2
1574464844,2
1574464845,2
1574464846,2
1574464847,2
1574464848,2
1574464849,2
1574464850,2
1574464851,2
1574464852,2
1574464853,2
1574464854,2
1574464855,2
1574464856,2
1574464857,2
1574464858,2
1574464859,2
1574464860,2
1574464861,2
1574464862,2
1574464863,2
1574464864,2
1574464865,2
1574464866,2
1574464867,2
1574464868,2
1574464869,2
1574464870,2
1574464871,2
1574464872,2
1574464873,2
1574464874,2
1574464875,2
1574464876,2
1574464877,2
1574464878,2
1574464879,2
1574464880,2
1574464881,2
1574464882,2
1574464883,2
1574464884,2
1574464885,2
1574464886,2
1574464887,2
1574464888,2
1574464889,2
1574464890,2
1574464891,2
1574464892,2
1574464893,2
1574464894,2
1574464895,2
1574464896,2
1574464897,2
1574464898,2
1574464899,2
1574464900,2
1574464901,2
1574464902,2
1574464903,2
1574464904,2
1574464905,2
1574464906,2
1574464907,2
1574464908,2
1574464909,2
1574464910,2
1574464911,2
1574464912,2
1574464913,2
1574464914,2
1574464915,2
1574464916,2
1574464917,2
1574464918,2
1574464919,2
1574464920,2
1574464921,2
1574464922,2
1574464923,2
1574464924,2
1574464925,2
1574464926,2
1574464927,2
1574464928,2
1574464929,2
1574464930,2
1574464931,2
1574464932,2
1574464933,2
1574464934,2
1574464935,2
1574464936,2
1574464937,2
1574464938,2
1574464939,2
1574464940,2
1574464941,2
1574464942,2
1574464943,2
1574464944,2
1574464945,2
1574464946,2
1574464947,2
1574464948,2
1574464949,2
1574464950,2
1574464951,2
1574464952,2
1574464953,2
1574464954,2
1574464955,2
1574464956,2
1574464957,2
1574464958,2
1574464959,2
1574464960,2
1574464961,2
1574464962,2
1574464963,2
1574464964,2
1574464965,3
1574464966,3
1574464967,3
1574464968,3
1574464969,3
1574464970,3
1574464971,3
1574464972,3
1574464973,3
1574464974,3
1574464975,3
1574464976,3
1574464977,3
1574464978,3
1574464979,3
1574464980,3
1574464981,3
1574464982,3
1574464983,3
1574464984,3
1574464985,3
1574464986,3
1574464987,3
1574464988,3
1574464989,3
1574464990,3
1574464991,3
1574464992,3
1574464993,3
1574464994,3
1574464995,3
1574464996,3
1574464997,3
1574464998,3
1574464999,3
1574465000,3
1574465001,3
1574465002,3
1574465003,3
1574465004,3
1574465005,3
1574465006,3
1574465007,3
1574465008,3
1574465009,3
1574465010,3
1574465011,3
1574465012,3
1574465013,3
1574465014,3
1574465015,3
1574465016,3
1574465017,3
1574465018,3
1574465019,3
1574465020,3
1574465021,3
1574465022,3
1574465023,3
1574465024,3
1574465025,3
1574465026,3
1574465027,3
1574465028,3
1574465029,3
1574465030,3
1574465031,3
1574465032,3
1574465033,3
1574465034,3
1574465035,3
1574465036,3
1574465037,3
1574465038,3
1574465039,3
1574465040,3
1574465041,3
1574465042,3
1574465043,3
1574465044,3
1574465045,3
1574465046,3
1574465047,3
1574465048,3
1574465049,3
1574465050,3
1574465051,3
1574465052,3
1574465053,3
1574465054,3
1574465055,3
1574465056,3
1574465057,3
1574465058,3
1574465059,3
1574465060,3
1574465061,3
1574465062,3
1574465063,3
1574465064,3
1574465065,3
1574465066,3
1574465067,3
1574465068,3
1574465069,3
1574465070,3
1574465071,3
1574465072,3
1574465073,3
1574465074,3
1574465075,3
1574465076,3
1574465077,3
1574465078,3
1574465079,3
1574465080,3
1574465081,3
1574465082,3
1574465083,3
1574465084,3
1574465085,3
1574465086,3
1574465087,3
1574465088,3
1574465089,3
1574465090,3
1574465091,3
1574465092,3
1574465093,3
1574465094,3
1574465095,3
1574465096,3
1574465097,3
1574465098,3
1574465099,3
1574465100,3
1574465101,3
1574465102,3
1574465103,3
1574465104,3
1574465105,3
1574465106,3
1574465107,3
1574465108,3
1574465109,3
1574465110,3
1574465111,3
1574465112,3
1574465113,3
1574465114,3
1574465115,3
1574465116,3
1574465117,3
1574465118,3
1574465119,3
1574465120,3
1574465121,3
1574465122,3
1574465123,3
1574465124,3
1574465125,3
1574465126,3
1574465127,3
1574465128,3
1574465129,3
1574465130,3
1574465131,3
1574465132,3
1574465133,3
1574465134,3
1574465135,3
1574465136,3
1574465137,3
1574465138,3
1574465139,3
1574465140,3
1574465141,3
1574465142,3
1574465143,3
1574465144,3
1574465145,3
1574465146,3
1574465147,3
1574465148,3
1574465149,3
1574465150,3
1574465151,3
1574465152,3
