t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574466538,25,21,4.360000,3,3.557621,4.000000,4.000000,16.500000,21.000000,21.000000,21.000000
1574466539,49,161,20.320000,2,42.346507,3.000000,4.000000,150.500000,161.000000,161.000000,161.000000
1574466540,73,4,2.833333,2,0.637022,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574466541,98,10,2.760000,1,1.614517,3.000000,3.000000,7.900000,10.000000,10.000000,10.000000
1574466542,122,4,2.583333,2,0.583592,3.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574466543,147,4,2.680000,2,0.556776,3.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574466544,171,4,2.666667,2,0.637022,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574466545,196,3,2.240000,2,0.435890,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574466546,220,3,2.208333,2,0.414851,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466547,245,3,2.320000,1,0.556776,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466548,270,3,2.440000,2,0.506623,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466549,294,3,2.208333,2,0.414851,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466550,319,3,2.240000,1,0.597216,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466551,343,3,2.166667,2,0.380693,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466552,368,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574466553,392,3,2.125000,1,0.612372,2.000000,2.750000,3.000000,3.000000,3.000000,3.000000
1574466554,417,3,2.120000,1,0.439697,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466555,442,3,1.840000,1,0.472582,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574466556,466,3,1.958333,1,0.358641,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
1574466557,491,3,2.000000,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466558,516,3,2.000000,1,0.500000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466559,540,3,1.791667,1,0.508977,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
