t,value
1574466506,26424408
1574466507,26424408
1574466508,26424408
1574466509,29075024
1574466510,29075024
1574466511,29075024
1574466512,29075024
1574466513,31717432
1574466514,31717432
1574466515,31717432
1574466516,34359944
1574466517,34359944
1574466518,34359944
1574466519,37002352
1574466520,37002352
1574466521,37002352
1574466522,37002352
1574466523,39644760
1574466524,39644760
1574466525,39644760
1574466526,42287168
1574466527,42287168
1574466528,42287168
1574466529,44929600
1574466530,44929600
1574466531,44929600
1574466532,44929600
1574466533,47572008
1574466534,47572008
1574466535,47572008
1574466536,50214416
1574466537,50214416
1574466538,50214416
1574466539,52856920
1574466540,52856920
1574466541,52856920
1574466542,52856920
1574466543,55499328
1574466544,55499328
1574466545,55499328
1574466546,58141736
1574466547,58141736
1574466548,58141736
1574466549,60784328
1574466550,60784328
1574466551,60784328
1574466552,63426736
1574466553,63426736
1574466554,63426736
1574466555,63426736
1574466556,66069144
1574466557,66069144
1574466558,66069144
1574466559,68711656
1574466560,68711656
1574466561,68711656
1574466562,71354064
1574466563,71354064
1574466564,71354064
1574466565,71354064
1574466566,73996472
1574466567,73996472
1574466568,73996472
1574466569,76639072
1574466570,76639072
1574466571,76639072
1574466572,79281480
1574466573,79281480
1574466574,79281480
1574466575,79281480
1574466576,81923888
1574466577,81923888
1574466578,81923888
1574466579,84566296
1574466580,84566296
1574466581,84566296
1574466582,87208768
1574466583,87208768
1574466584,87208768
1574466585,87208768
1574466586,89851176
1574466587,89851176
1574466588,89851176
1574466589,92493616
1574466590,92493616
1574466591,92493616
1574466592,95136064
1574466593,95136064
1574466594,95136064
1574466595,95136064
1574466596,97778472
1574466597,97778472
1574466598,97778472
1574466599,100420880
1574466600,100420880
1574466601,100420880
1574466602,100420880
1574466603,103063360
1574466604,103063360
1574466605,103063360
1574466606,105705792
1574466607,105705792
1574466608,105705792
1574466609,108348200
1574466610,108348200
1574466611,108348200
1574466612,108348200
1574466613,110998816
1574466614,110998816
1574466615,110998816
1574466616,113649432
1574466617,113649432
1574466618,113649432
1574466619,113649432
1574466620,116300048
1574466621,116300048
1574466622,116300048
1574466623,118942600
1574466624,118942600
1574466625,118942600
1574466626,118942600
1574466627,121585048
1574466628,121585048
1574466629,121585048
1574466630,124227600
1574466631,124227600
1574466632,124227600
1574466633,124227600
1574466634,126878216
1574466635,126878216
1574466636,126878216
1574466637,129528832
1574466638,129528832
1574466639,129528832
1574466640,129528832
1574466641,132120576
1574466642,132120576
1574466643,132120576
1574466644,10692984
1574466645,10692984
1574466646,10692984
1574466647,14418280
1574466648,14418280
1574466649,14418280
1574466650,16830344
1574466651,16830344
1574466652,16830344
1574466653,16830344
1574466654,19242408
1574466655,19242408
1574466656,19242408
1574466657,21654472
1574466658,21654472
1574466659,21654472
1574466660,24058408
1574466661,24058408
1574466662,24058408
1574466663,26470472
1574466664,26470472
1574466665,26470472
1574466666,28874424
1574466667,28874424
1574466668,28874424
1574466669,31286488
1574466670,31286488
1574466671,31286488
1574466672,33698552
1574466673,33698552
1574466674,33698552
1574466675,33698552
1574466676,36110616
1574466677,36110616
1574466678,36110616
1574466679,38514640
1574466680,38514640
1574466681,38514640
1574466682,40926704
1574466683,40926704
1574466684,40926704
1574466685,43330672
1574466686,43330672
1574466687,43330672
1574466688,45742736
1574466689,45742736
1574466690,45742736
1574466691,48154800
1574466692,48154800
1574466693,48154800
1574466694,48154800
1574466695,50558744
1574466696,50558744
1574466697,50558744
1574466698,52970808
1574466699,52970808
1574466700,52970808
1574466701,55374704
1574466702,55374704
1574466703,55374704
1574466704,57786768
1574466705,57786768
1574466706,57786768
1574466707,60190768
1574466708,60190768
1574466709,60190768
1574466710,60190768
1574466711,62594696
1574466712,62594696
1574466713,62594696
1574466714,64998576
1574466715,64998576
1574466716,64998576
1574466717,67402448
1574466718,67402448
1574466719,67402448
1574466720,69806360
1574466721,69806360
1574466722,69806360
1574466723,72210256
1574466724,72210256
1574466725,72210256
1574466726,72210256
1574466727,77256584
1574466728,77256584
1574466729,77256584
1574466730,79660480
1574466731,79660480
1574466732,79660480
1574466733,82064384
1574466734,82064384
1574466735,82064384
1574466736,85797680
1574466737,1105942648
1574466738,1112392888
1574466739,1115942680
1574466740,1120368928
1574466741,1122735120
1574466742,1125157264
1574466743,1129582496
1574466744,1131948688
1574466745,1133132280
1574466746,1137549344
1574466747,1138732440
1574466748,1143157688
1574466749,1145523888
1574466750,1147890088
1574466751,1151132248
1574466752,1153506616
1574466753,1155873800
1574466754,1160290904
1574466755,1161474000
1574466756,1165899272
1574466757,1168265464
1574466758,1169448560
1574466759,1173873832
1574466760,1176240024
1574466761,1177423120
1574466762,1181848368
1574466763,1184214560
1574466764,1187448600
1574466765,1189814792
1574466766,1193365072
1574466767,1197782696
1574466768,1200148880
1574466769,2162032256
1574466770,2229718800
1574466771,2210246536
1574466772,2190414088
1574466773,2173070616
1574466774,2321450832
1574466775,2312127696
1574466776,2298696480
1574466777,2289826768
1574466778,2282140776
1574466779,2275649000
1574466780,2265916768
1574466781,2263093792
1574466782,2256656928
1574466783,2259539248
1574466784,2262577064
1574466785,2258027048
1574466786,2264006568
