t,value
1574466506,762472
1574466507,766568
1574466508,766568
1574466509,766568
1574466510,766568
1574466511,766568
1574466512,766568
1574466513,766568
1574466514,766568
1574466515,766568
1574466516,766568
1574466517,766568
1574466518,766568
1574466519,766568
1574466520,766568
1574466521,766568
1574466522,766568
1574466523,766568
1574466524,766568
1574466525,766568
1574466526,766568
1574466527,766568
1574466528,766568
1574466529,766568
1574466530,766568
1574466531,766568
1574466532,766568
1574466533,766568
1574466534,766568
1574466535,766568
1574466536,766568
1574466537,766568
1574466538,766568
1574466539,766568
1574466540,766568
1574466541,766568
1574466542,766568
1574466543,766568
1574466544,766568
1574466545,766568
1574466546,766568
1574466547,766568
1574466548,766568
1574466549,766568
1574466550,766568
1574466551,766568
1574466552,766568
1574466553,766568
1574466554,766568
1574466555,766568
1574466556,766568
1574466557,766568
1574466558,766568
1574466559,766568
1574466560,766568
1574466561,766568
1574466562,766568
1574466563,766568
1574466564,766568
1574466565,766568
1574466566,766568
1574466567,766568
1574466568,766568
1574466569,766568
1574466570,766568
1574466571,766568
1574466572,766568
1574466573,766568
1574466574,766568
1574466575,766568
1574466576,766568
1574466577,766568
1574466578,766568
1574466579,766568
1574466580,766568
1574466581,766568
1574466582,766568
1574466583,766568
1574466584,766568
1574466585,766568
1574466586,766568
1574466587,766568
1574466588,766568
1574466589,766568
1574466590,766568
1574466591,766568
1574466592,766568
1574466593,766568
1574466594,766568
1574466595,766568
1574466596,766568
1574466597,766568
1574466598,766568
1574466599,766568
1574466600,766568
1574466601,766568
1574466602,766568
1574466603,766568
1574466604,766568
1574466605,766568
1574466606,766568
1574466607,766568
1574466608,766568
1574466609,766568
1574466610,766568
1574466611,766568
1574466612,766568
1574466613,766568
1574466614,766568
1574466615,766568
1574466616,766568
1574466617,766568
1574466618,766568
1574466619,766568
1574466620,766568
1574466621,766568
1574466622,766568
1574466623,766568
1574466624,766568
1574466625,766568
1574466626,766568
1574466627,766568
1574466628,766568
1574466629,766568
1574466630,766568
1574466631,766568
1574466632,766568
1574466633,766568
1574466634,767048
1574466635,767048
1574466636,767048
1574466637,767048
1574466638,767048
1574466639,767048
1574466640,767048
1574466641,767048
1574466642,767048
1574466643,767048
1574466644,767048
1574466645,767048
1574466646,767048
1574466647,767048
1574466648,767048
1574466649,767048
1574466650,767048
1574466651,767048
1574466652,767048
1574466653,767048
1574466654,767048
1574466655,767048
1574466656,767048
1574466657,767048
1574466658,767048
1574466659,767048
1574466660,767048
1574466661,767048
1574466662,767048
1574466663,767048
1574466664,767048
1574466665,767048
1574466666,767048
1574466667,767048
1574466668,767048
1574466669,767048
1574466670,767048
1574466671,767048
1574466672,767048
1574466673,767048
1574466674,767048
1574466675,767048
1574466676,767048
1574466677,767048
1574466678,767048
1574466679,767048
1574466680,767048
1574466681,767048
1574466682,767048
1574466683,767048
1574466684,767048
1574466685,767048
1574466686,767048
1574466687,767048
1574466688,767048
1574466689,767048
1574466690,767048
1574466691,767048
1574466692,767048
1574466693,767048
1574466694,767048
1574466695,767048
1574466696,767048
1574466697,767048
1574466698,767048
1574466699,767048
1574466700,767048
1574466701,767048
1574466702,767048
1574466703,767048
1574466704,767048
1574466705,767048
1574466706,767048
1574466707,767048
1574466708,767048
1574466709,767048
1574466710,767048
1574466711,767048
1574466712,767048
1574466713,767048
1574466714,767048
1574466715,767048
1574466716,767048
1574466717,767048
1574466718,767048
1574466719,767048
1574466720,767048
1574466721,767048
1574466722,767048
1574466723,767048
1574466724,767048
1574466725,767048
1574466726,767048
1574466727,767048
1574466728,767048
1574466729,767048
1574466730,767048
1574466731,767048
1574466732,767048
1574466733,767048
1574466734,767048
1574466735,767048
1574466736,812064
1574466737,2153328
1574466738,2255896
1574466739,2261360
1574466740,2261360
1574466741,2261360
1574466742,2263792
1574466743,2263792
1574466744,2263792
1574466745,2263792
1574466746,2263792
1574466747,2264280
1574466748,2264280
1574466749,2265256
1574466750,2265256
1574466751,2265256
1574466752,2265256
1574466753,2265256
1574466754,2265256
1574466755,2265256
1574466756,2265256
1574466757,2265256
1574466758,2265256
1574466759,2265256
1574466760,2265256
1574466761,2265256
1574466762,2265256
1574466763,2265256
1574466764,2265256
1574466765,2265256
1574466766,2265256
1574466767,2265256
1574466768,2265256
1574466769,2265736
1574466770,2271072
1574466771,2271072
1574466772,2271072
1574466773,2271072
1574466774,2271072
1574466775,2271072
1574466776,2271072
1574466777,2271072
1574466778,2271072
1574466779,2271072
1574466780,2271072
1574466781,2271072
1574466782,2271072
1574466783,2271072
1574466784,2271072
1574466785,2271072
1574466786,2271072
1574466787,2271072
1574466788,2271072
1574466789,2271072
1574466790,2271072
1574466791,2271072
1574466792,2271072
1574466793,2271072
1574466794,2271072
1574466795,2271072
1574466796,2271072
1574466797,2271072
1574466798,2271072
1574466799,2271072
1574466800,2271072
1574466801,2271072
1574466802,2271072
1574466803,2271072
1574466804,2271072
1574466805,2271072
1574466806,2271072
1574466807,2271072
1574466808,2271072
1574466809,2271072
1574466810,2271072
1574466811,2271072
1574466812,2271072
1574466813,2271072
1574466814,2271072
1574466815,2271072
1574466816,2271072
1574466817,2271072
1574466818,2271072
1574466819,2271072
1574466820,2271072
1574466821,2271072
1574466822,2271072
1574466823,2271072
1574466824,2271072
1574466825,2271072
1574466826,2271072
1574466827,2271072
1574466828,2271072
1574466829,2271072
1574466830,2271072
1574466831,2271072
1574466832,2271072
1574466833,2271072
1574466834,2271072
1574466835,2271072
1574466836,2271072
1574466837,2271072
1574466838,2271072
1574466839,2271072
1574466840,2271072
1574466841,2271072
1574466842,2271072
1574466843,2271072
1574466844,2271072
1574466845,2271072
1574466846,2271072
1574466847,2271072
1574466848,2271072
1574466849,2271072
1574466850,2271072
1574466851,2271072
1574466852,2271072
1574466853,2271072
1574466854,2271072
1574466855,2271072
1574466856,2271072
1574466857,2271072
1574466858,2271072
1574466859,2271072
1574466860,2271072
1574466861,2271072
1574466862,2271072
1574466863,2271072
1574466864,2271072
1574466865,2271072
1574466866,2271072
1574466867,2271072
1574466868,2271072
1574466869,2271072
1574466870,2271072
1574466871,2271072
1574466872,2271072
1574466873,2271072
1574466874,2271072
1574466875,2271072
1574466876,2271072
1574466877,2271072
1574466878,2271072
1574466879,2271072
1574466880,2271072
1574466881,2271072
1574466882,2271072
1574466883,2271072
1574466884,2271072
1574466885,2271072
1574466886,2271072
1574466887,2271072
1574466888,2271072
1574466889,2271072
1574466890,2271072
1574466891,2271072
1574466892,2271072
1574466893,2271072
1574466894,2271072
1574466895,2271072
1574466896,2271072
1574466897,2271072
1574466898,2271072
1574466899,2271072
1574466900,2271072
1574466901,2271072
1574466902,2271072
1574466903,2271072
1574466904,2271072
1574466905,2271072
1574466906,2271072
1574466907,2271072
1574466908,2271072
1574466909,2271072
1574466910,2271072
1574466911,2271072
1574466912,2271072
1574466913,2271072
1574466914,2271072
1574466915,2271072
1574466916,2271072
1574466917,2271072
1574466918,2271072
1574466919,2271072
1574466920,2271072
1574466921,2271072
1574466922,2271072
1574466923,2271072
1574466924,2271072
1574466925,2271072
1574466926,2271072
1574466927,2271072
1574466928,2271072
1574466929,2271072
1574466930,2271072
1574466931,2271072
1574466932,2271072
1574466933,2271072
1574466934,2271072
1574466935,2271072
1574466936,2271072
1574466937,2271072
1574466938,2271072
1574466939,2271072
1574466940,2271072
1574466941,2271072
1574466942,2271072
1574466943,2271072
1574466944,2271072
1574466945,2271072
1574466946,2271072
1574466947,2271072
1574466948,2271072
1574466949,2271072
1574466950,2271072
1574466951,2271072
1574466952,2271072
1574466953,2271072
1574466954,2271072
1574466955,2271072
1574466956,2271072
1574466957,2271072
1574466958,2271072
1574466959,2271072
1574466960,2271072
1574466961,2271072
1574466962,2271072
1574466963,2271072
1574466964,2271072
1574466965,2271072
1574466966,2271072
1574466967,2271072
1574466968,2271072
1574466969,2271072
1574466970,2271072
1574466971,2271072
1574466972,2271072
1574466973,2271072
1574466974,2271072
1574466975,2271072
1574466976,2271072
1574466977,2271072
1574466978,2271072
1574466979,2271072
1574466980,2271072
1574466981,2271072
1574466982,2271072
1574466983,2271072
1574466984,2271072
1574466985,2271072
1574466986,2271072
1574466987,2271072
1574466988,2271072
1574466989,2271072
1574466990,2271072
1574466991,2271072
1574466992,2271072
1574466993,2271072
1574466994,2271072
1574466995,2271072
1574466996,2271072
1574466997,2271072
1574466998,2271072
1574466999,2271072
1574467000,2271072
1574467001,2271072
1574467002,2271072
1574467003,2271072
1574467004,2271072
1574467005,2271072
1574467006,2271072
1574467007,2271072
1574467008,2271072
1574467009,2271072
1574467010,2271072
1574467011,2271072
1574467012,2271072
1574467013,2271072
1574467014,2271072
1574467015,2271072
1574467016,2271072
1574467017,2271072
1574467018,2271072
1574467019,2271072
1574467020,2271072
1574467021,2271072
1574467022,2271072
1574467023,2271072
1574467024,2271072
1574467025,2271072
1574467026,2271072
1574467027,2271072
1574467028,2271072
1574467029,2271072
1574467030,2271072
1574467031,2271072
1574467032,2271072
1574467033,2271072
1574467034,2271072
1574467035,2271072
1574467036,2271072
1574467037,2271072
1574467038,2271072
1574467039,2271072
1574467040,2271072
1574467041,2271072
1574467042,2271072
1574467043,2271072
1574467044,2271072
1574467045,2271072
1574467046,2271072
1574467047,2271072
1574467048,2271072
1574467049,2271072
1574467050,2271072
1574467051,2271072
1574467052,2271072
1574467053,2271072
1574467054,2271072
1574467055,2271072
1574467056,2271072
1574467057,2271072
1574467058,2271072
1574467059,2271072
1574467060,2271072
1574467061,2271072
1574467062,2271072
1574467063,2271072
1574467064,2271072
1574467065,2271072
1574467066,2271072
1574467067,2271072
1574467068,2271072
1574467069,2271072
1574467070,2271072
1574467071,2271072
1574467072,2271072
1574467073,2271072
1574467074,2271072
1574467075,2271072
1574467076,2271072
1574467077,2271072
1574467078,2271072
1574467079,2271072
1574467080,2271072
1574467081,2271072
1574467082,2271072
1574467083,2271072
1574467084,2271072
1574467085,2271072
1574467086,2271072
1574467087,2271072
1574467088,2271072
1574467089,2271072
1574467090,2271072
1574467091,2271072
1574467092,2271072
1574467093,2271072
1574467094,2271072
1574467095,2271072
1574467096,2271072
1574467097,2271072
1574467098,2271072
1574467099,2271072
1574467100,2271072
1574467101,2271072
1574467102,2271072
1574467103,2271072
1574467104,2271072
1574467105,2271072
1574467106,2271072
1574467107,2271072
1574467108,2271072
1574467109,2271072
1574467110,2271072
1574467111,2271072
1574467112,2271072
1574467113,2271072
1574467114,2271072
1574467115,2271072
1574467116,2271072
1574467117,2271072
1574467118,2271072
1574467119,2271072
1574467120,2271072
1574467121,2271072
1574467122,2271072
1574467123,2271072
1574467124,2271072
1574467125,2271072
1574467126,2271072
1574467127,2271072
1574467128,2271072
1574467129,2271072
1574467130,2271072
1574467131,2271072
1574467132,2271072
1574467133,2271072
1574467134,2271072
1574467135,2271072
1574467136,2271072
1574467137,2271072
1574467138,2271072
1574467139,2271072
1574467140,2271072
1574467141,2271072
1574467142,2271072
1574467143,2271072
1574467144,2271072
1574467145,2271072
1574467146,2271072
1574467147,2271072
1574467148,2271072
1574467149,2271072
1574467150,2271072
1574467151,2271072
1574467152,2271072
1574467153,2271072
1574467154,2271072
1574467155,2271072
1574467156,2271072
1574467157,2271072
1574467158,2271072
1574467159,2271072
1574467160,2271072
1574467161,2271072
1574467162,2271072
1574467163,2271072
1574467164,2271072
1574467165,2271072
1574467166,2271072
1574467167,2271072
1574467168,2271072
1574467169,2271072
1574467170,2271072
1574467171,2271072
1574467172,2271072
1574467173,2271072
1574467174,2271072
1574467175,2271072
1574467176,2271072
1574467177,2271072
1574467178,2271072
1574467179,2271072
1574467180,2271072
1574467181,2271072
1574467182,2271072
1574467183,2271072
1574467184,2271072
1574467185,2271072
1574467186,2271072
1574467187,2271072
1574467188,2271072
1574467189,2271072
1574467190,2271072
1574467191,2271072
1574467192,2271072
1574467193,2271072
1574467194,2271072
1574467195,2271072
1574467196,2271072
1574467197,2271072
1574467198,2271072
1574467199,2271072
1574467200,2271072
1574467201,2271072
1574467202,2271072
1574467203,2271072
1574467204,2271072
1574467205,2271072
1574467206,2271072
1574467207,2271072
1574467208,2271072
1574467209,2271072
1574467210,2271072
1574467211,2271072
1574467212,2271072
1574467213,2271072
1574467214,2271072
1574467215,2271072
1574467216,2271072
1574467217,2271072
1574467218,2271072
1574467219,2271072
1574467220,2271072
1574467221,2271072
1574467222,2271072
1574467223,2271072
1574467224,2271072
1574467225,2271072
1574467226,2271072
1574467227,2271072
1574467228,2271072
1574467229,2271072
1574467230,2271072
1574467231,2271072
1574467232,2271072
1574467233,2271072
1574467234,2271072
1574467235,2271072
1574467236,2271072
1574467237,2271072
1574467238,2271072
1574467239,2271072
1574467240,2271072
1574467241,2271072
1574467242,2271072
1574467243,2271072
1574467244,2271072
1574467245,2271072
1574467246,2271072
1574467247,2271072
1574467248,2271072
1574467249,2271072
1574467250,2271072
1574467251,2271072
1574467252,2271072
1574467253,2271072
1574467254,2271072
1574467255,2271072
1574467256,2271072
1574467257,2271072
