t,value
1574466506,7117264
1574466507,7192024
1574466508,7268352
1574466509,7283568
1574466510,7335000
1574466511,7337936
1574466512,7341576
1574466513,7345872
1574466514,7346232
1574466515,7346536
1574466516,7347368
1574466517,7347656
1574466518,7347944
1574466519,7347944
1574466520,7347944
1574466521,7353896
1574466522,7353896
1574466523,7354528
1574466524,7354528
1574466525,7354528
1574466526,7354528
1574466527,7357120
1574466528,7362232
1574466529,7367752
1574466530,7367752
1574466531,7367752
1574466532,7368040
1574466533,7368040
1574466534,7375016
1574466535,7375840
1574466536,7376136
1574466537,7376136
1574466538,7378808
1574466539,7378808
1574466540,7378808
1574466541,7378808
1574466542,7378808
1574466543,7378808
1574466544,7378808
1574466545,7378808
1574466546,7379160
1574466547,7379160
1574466548,7380376
1574466549,7387480
1574466550,7387480
1574466551,7387480
1574466552,7387480
1574466553,7387480
1574466554,7387480
1574466555,7388248
1574466556,7388248
1574466557,7393824
1574466558,7393824
1574466559,7393824
1574466560,7393824
1574466561,7393824
1574466562,7393824
1574466563,7393824
1574466564,7393824
1574466565,7393824
1574466566,7395952
1574466567,7395952
1574466568,7397752
1574466569,7398040
1574466570,7398384
1574466571,7398384
1574466572,7398384
1574466573,7398384
1574466574,7398384
1574466575,7398384
1574466576,7398384
1574466577,7398384
1574466578,7398384
1574466579,7398384
1574466580,7398384
1574466581,7398896
1574466582,7398896
1574466583,7398896
1574466584,7398896
1574466585,7398896
1574466586,7398896
1574466587,7398896
1574466588,7398896
1574466589,7399824
1574466590,7400128
1574466591,7401744
1574466592,7402528
1574466593,7402528
1574466594,7402528
1574466595,7402528
1574466596,7402528
1574466597,7402528
1574466598,7402528
1574466599,7402528
1574466600,7402528
1574466601,7402528
1574466602,7402528
1574466603,7402528
1574466604,7402528
1574466605,7402528
1574466606,7403168
1574466607,7403168
1574466608,7403168
1574466609,7403168
1574466610,7403168
1574466611,7403168
1574466612,7413136
1574466613,7413136
1574466614,7413896
1574466615,7413896
1574466616,7413896
1574466617,7413896
1574466618,7413896
1574466619,7413896
1574466620,7413896
1574466621,7413896
1574466622,7414656
1574466623,7414656
1574466624,7414656
1574466625,7414656
1574466626,7414656
1574466627,7414656
1574466628,7414656
1574466629,7414656
1574466630,7414656
1574466631,7415032
1574466632,7415032
1574466633,7419448
1574466634,7427656
1574466635,7427656
1574466636,7427656
1574466637,7427656
1574466638,7427656
1574466639,7427656
1574466640,7427656
1574466641,7427656
1574466642,7427656
1574466643,7427656
1574466644,7437088
1574466645,7437088
1574466646,7437088
1574466647,7437088
1574466648,7437088
1574466649,7437088
1574466650,7437088
1574466651,7437488
1574466652,7437488
1574466653,7437488
1574466654,7437488
1574466655,7437488
1574466656,7438128
1574466657,7438128
1574466658,7438128
1574466659,7438128
1574466660,7438128
1574466661,7438128
1574466662,7438128
1574466663,7438128
1574466664,7438128
1574466665,7438128
1574466666,7438128
1574466667,7438128
1574466668,7438128
1574466669,7438128
1574466670,7438128
1574466671,7438128
1574466672,7438128
1574466673,7438128
1574466674,7438128
1574466675,7438128
1574466676,7438880
1574466677,7438880
1574466678,7438880
1574466679,7438880
1574466680,7438880
1574466681,7439208
1574466682,7439208
1574466683,7439208
1574466684,7439208
1574466685,7439208
1574466686,7439208
1574466687,7439208
1574466688,7439592
1574466689,7439592
1574466690,7439592
1574466691,7439592
1574466692,7439592
1574466693,7439592
1574466694,7439592
1574466695,7439592
1574466696,7439592
1574466697,7440064
1574466698,7440064
1574466699,7440064
1574466700,7440064
1574466701,7440064
1574466702,7440064
1574466703,7440064
1574466704,7440064
1574466705,7440064
1574466706,7440736
1574466707,7440736
1574466708,7440736
1574466709,7440736
1574466710,7440736
1574466711,7441184
1574466712,7441184
1574466713,7441184
1574466714,7441184
1574466715,7441184
1574466716,7441184
1574466717,7441184
1574466718,7441184
1574466719,7441560
1574466720,7441560
