t,value
1574466506,26424408
1574466507,26424408
1574466508,26424408
1574466509,29075024
1574466510,29075024
1574466511,29075024
1574466512,31717432
1574466513,31717432
1574466514,31717432
1574466515,31717432
1574466516,34359944
1574466517,34359944
1574466518,34359944
1574466519,37002352
1574466520,37002352
1574466521,37002352
1574466522,39644760
1574466523,39644760
1574466524,39644760
1574466525,39644760
1574466526,42287168
1574466527,42287168
1574466528,42287168
1574466529,44929600
1574466530,44929600
1574466531,44929600
1574466532,47572008
1574466533,47572008
1574466534,47572008
1574466535,50214416
1574466536,50214416
1574466537,50214416
1574466538,50214416
1574466539,52856920
1574466540,52856920
1574466541,52856920
1574466542,55499328
1574466543,55499328
1574466544,55499328
1574466545,58141736
1574466546,58141736
1574466547,58141736
1574466548,58141736
1574466549,60784328
1574466550,60784328
1574466551,60784328
1574466552,63426736
1574466553,63426736
1574466554,63426736
1574466555,66069144
1574466556,66069144
1574466557,66069144
1574466558,66069144
1574466559,68711656
1574466560,68711656
1574466561,68711656
1574466562,71354064
1574466563,71354064
1574466564,71354064
1574466565,73996472
1574466566,73996472
1574466567,73996472
1574466568,73996472
1574466569,76639072
1574466570,76639072
1574466571,76639072
1574466572,79281480
1574466573,79281480
1574466574,79281480
1574466575,81923888
1574466576,81923888
1574466577,81923888
1574466578,81923888
1574466579,84566296
1574466580,84566296
1574466581,84566296
1574466582,87208768
1574466583,87208768
1574466584,87208768
1574466585,89851176
1574466586,89851176
1574466587,89851176
1574466588,89851176
1574466589,92493616
1574466590,92493616
1574466591,92493616
1574466592,95136064
1574466593,95136064
1574466594,95136064
1574466595,97778472
1574466596,97778472
1574466597,97778472
1574466598,97778472
1574466599,100420880
1574466600,100420880
1574466601,100420880
1574466602,103063360
1574466603,103063360
1574466604,103063360
1574466605,103063360
1574466606,105705792
1574466607,105705792
1574466608,105705792
1574466609,108348200
1574466610,108348200
1574466611,108348200
1574466612,110998816
1574466613,110998816
1574466614,110998816
1574466615,110998816
1574466616,113649432
1574466617,113649432
1574466618,113649432
1574466619,116300048
1574466620,116300048
1574466621,116300048
1574466622,116300048
1574466623,118942600
1574466624,118942600
1574466625,118942600
1574466626,121585048
1574466627,121585048
1574466628,121585048
1574466629,121585048
1574466630,124227600
1574466631,124227600
1574466632,124227600
1574466633,126878216
1574466634,126878216
1574466635,126878216
1574466636,126878216
1574466637,129528832
1574466638,129528832
1574466639,129528832
1574466640,132120576
1574466641,132120576
1574466642,132120576
1574466643,132120576
1574466644,6367592
1574466645,6367592
1574466646,7688888
1574466647,10092888
1574466648,10092888
1574466649,10092888
1574466650,12504952
1574466651,12504952
1574466652,12504952
1574466653,14917016
1574466654,14917016
1574466655,14917016
1574466656,17329080
1574466657,17329080
1574466658,17329080
1574466659,19733016
1574466660,19733016
1574466661,19733016
1574466662,19733016
1574466663,22145080
1574466664,22145080
1574466665,22145080
1574466666,24549032
1574466667,24549032
1574466668,24549032
1574466669,26961096
1574466670,26961096
1574466671,26961096
1574466672,29373160
1574466673,29373160
1574466674,29373160
1574466675,31785224
1574466676,31785224
1574466677,31785224
1574466678,34189248
1574466679,34189248
1574466680,34189248
1574466681,34189248
1574466682,36601312
1574466683,36601312
1574466684,36601312
1574466685,39005280
1574466686,39005280
1574466687,39005280
1574466688,41417344
1574466689,41417344
1574466690,41417344
1574466691,43829408
1574466692,43829408
1574466693,43829408
1574466694,46233352
1574466695,46233352
1574466696,46233352
1574466697,48645416
1574466698,48645416
1574466699,48645416
1574466700,48645416
1574466701,51049312
1574466702,51049312
1574466703,51049312
1574466704,53461376
1574466705,53461376
1574466706,53461376
1574466707,55865376
1574466708,55865376
1574466709,55865376
1574466710,58269304
1574466711,58269304
1574466712,58269304
1574466713,60673184
1574466714,60673184
1574466715,60673184
1574466716,60673184
1574466717,63077056
1574466718,63077056
1574466719,63077056
1574466720,65480968
1574466721,65480968
1574466722,65480968
1574466723,67884864
1574466724,67884864
1574466725,67884864
1574466726,72931192
1574466727,72931192
1574466728,72931192
1574466729,75335088
1574466730,75335088
1574466731,75335088
1574466732,77738992
1574466733,77738992
1574466734,77738992
1574466735,77738992
1574466736,85435936
1574466737,19631088
1574466738,27264920
1574466739,29631120
1574466740,34057368
1574466741,37285096
1574466742,40904768
1574466743,43270936
1574466744,45637128
1574466745,48871576
1574466746,51237784
1574466747,53603968
1574466748,56846128
1574466749,59212328
1574466750,63637592
1574466751,64820688
1574466752,67195056
1574466753,71613144
1574466754,73979344
1574466755,76345544
1574466756,79587712
1574466757,81953904
1574466758,83137000
1574466759,87562272
1574466760,89928464
1574466761,93170624
1574466762,95536808
1574466763,97903000
1574466764,101137040
1574466765,103503232
1574466766,107053512
1574466767,111471136
1574466768,113837320
1574466769,130262408
1574466770,86758120
1574466771,63528856
1574466772,41870472
1574466773,23723136
1574466774,11003792
1574466775,163634944
1574466776,150060296
1574466777,142380040
1574466778,133938016
1574466779,127370144
1574466780,118714984
1574466781,115482592
1574466782,108872528
1574466783,113207752
1574466784,140125192
1574466785,112534168
1574466786,117852704
1574466787,129765808
1574466788,150500416
1574466789,170959408
1574466790,10011400
1574466791,35567408
1574466792,65115576
