t,value
1574466506,504889344
1574466507,504889344
1574466508,504889344
1574466509,504889344
1574466510,504889344
1574466511,504889344
1574466512,504889344
1574466513,504889344
1574466514,504889344
1574466515,504889344
1574466516,504889344
1574466517,1579155456
1574466518,1579155456
1574466519,1579155456
1574466520,1579155456
1574466521,1579155456
1574466522,1579155456
1574466523,1579155456
1574466524,1579155456
1574466525,1579155456
1574466526,1579155456
1574466527,1579155456
1574466528,1579155456
1574466529,1579155456
1574466530,1579155456
1574466531,1579155456
1574466532,1579155456
1574466533,1579155456
1574466534,1579155456
1574466535,1579155456
1574466536,1579155456
1574466537,2878865408
1574466538,2878865408
1574466539,2396520448
1574466540,2396520448
1574466541,2396520448
1574466542,2396520448
1574466543,2642411520
1574466544,2642411520
1574466545,2642411520
1574466546,2642411520
1574466547,2642411520
1574466548,2638217216
1574466549,2638217216
1574466550,2638217216
1574466551,2638217216
1574466552,2683830272
1574466553,2683830272
1574466554,2683830272
1574466555,2683830272
1574466556,2712141824
1574466557,2712141824
1574466558,2712141824
1574466559,2712141824
1574466560,2728919040
1574466561,2728919040
1574466562,2728919040
1574466563,2728919040
1574466564,2757754880
1574466565,2757754880
1574466566,2757754880
1574466567,2752512000
1574466568,2752512000
1574466569,2752512000
1574466570,2752512000
1574466571,2778202112
1574466572,2778202112
1574466573,2778202112
1574466574,2759327744
1574466575,2759327744
1574466576,2759327744
1574466577,2781347840
1574466578,2781347840
1574466579,2781347840
1574466580,2781347840
1574466581,2750414848
1574466582,2750414848
1574466583,2750414848
1574466584,2538078208
1574466585,2538078208
1574466586,2538078208
1574466587,2734686208
1574466588,2734686208
1574466589,2546991104
1574466590,2546991104
1574466591,2546991104
1574466592,2718433280
1574466593,2718433280
1574466594,2718433280
1574466595,2552233984
1574466596,2552233984
1574466597,2702180352
1574466598,2702180352
1574466599,2702180352
1574466600,2556952576
1574466601,2556952576
1574466602,2686451712
1574466603,2686451712
1574466604,2686451712
1574466605,2560098304
1574466606,2560098304
1574466607,2671247360
1574466608,2671247360
1574466609,2562719744
1574466610,2562719744
1574466611,2659188736
1574466612,2659188736
1574466613,2659188736
1574466614,2565341184
1574466615,2565341184
1574466616,2648702976
1574466617,2648702976
1574466618,2567962624
1574466619,2567962624
1574466620,2638741504
1574466621,2638741504
1574466622,2570059776
1574466623,2570059776
1574466624,2630877184
1574466625,2630877184
1574466626,2572156928
1574466627,2572156928
1574466628,2625110016
1574466629,2625110016
1574466630,2574778368
1574466631,2574778368
1574466632,2618818560
1574466633,2576875520
1574466634,2576875520
1574466635,2614624256
1574466636,2614624256
1574466637,2578448384
1574466638,2578448384
1574466639,2612002816
1574466640,2612002816
1574466641,2581069824
1574466642,2581069824
1574466643,2608857088
1574466644,2608857088
1574466645,2611478528
1574466646,2611478528
1574466647,2607284224
1574466648,2607284224
1574466649,2609381376
1574466650,2609381376
1574466651,2605187072
1574466652,2605187072
1574466653,2607284224
1574466654,2607284224
1574466655,2604662784
1574466656,2604662784
1574466657,2606235648
1574466658,2606235648
1574466659,2604138496
1574466660,2604138496
1574466661,2605711360
1574466662,2604662784
1574466663,2604662784
1574466664,2605711360
1574466665,2605711360
1574466666,2603614208
1574466667,2603614208
1574466668,2605187072
1574466669,2605187072
1574466670,2604662784
1574466671,2604662784
1574466672,2605187072
1574466673,2605187072
1574466674,2604662784
1574466675,2604662784
1574466676,2605187072
1574466677,2605187072
1574466678,2605187072
1574466679,2605187072
1574466680,2605711360
1574466681,2605711360
1574466682,2605711360
1574466683,2605711360
1574466684,2606235648
1574466685,2606235648
1574466686,2606235648
1574466687,2606235648
1574466688,2606759936
1574466689,2606759936
1574466690,2606759936
1574466691,2606759936
1574466692,2607808512
1574466693,2607808512
1574466694,2609381376
1574466695,2609381376
1574466696,2609381376
1574466697,2609381376
1574466698,2610954240
1574466699,2610954240
1574466700,2610954240
1574466701,2610954240
1574466702,2612002816
1574466703,2612002816
1574466704,2612527104
1574466705,2613575680
1574466706,2613575680
1574466707,2614099968
1574466708,2614099968
1574466709,2616197120
1574466710,2616197120
1574466711,2616197120
1574466712,2616197120
1574466713,2617245696
1574466714,2617245696
1574466715,2617769984
1574466716,2617769984
1574466717,2619867136
1574466718,2619867136
1574466719,2619867136
1574466720,2619867136
1574466721,2621964288
1574466722,2621964288
1574466723,2621964288
1574466724,2621964288
1574466725,2623012864
1574466726,2623012864
1574466727,2623012864
1574466728,2623537152
1574466729,2623537152
1574466730,2625634304
1574466731,2625634304
1574466732,2625634304
1574466733,2625634304
1574466734,2627731456
1574466735,2627731456
1574466736,2627731456
1574466737,2627731456
1574466738,2629828608
1574466739,2629828608
1574466740,2629828608
1574466741,2629828608
1574466742,2631401472
1574466743,2631401472
1574466744,2631401472
1574466745,2631401472
1574466746,2632974336
1574466747,2632974336
1574466748,2632974336
1574466749,2632974336
1574466750,2635071488
1574466751,2635071488
1574466752,2635071488
1574466753,2635071488
1574466754,2637168640
