t,value
1574466506,11666568
1574466507,11948096
1574466508,12244760
1574466509,12354808
1574466510,12455376
1574466511,12657296
1574466512,12706528
1574466513,12758112
1574466514,12762272
1574466515,12766840
1574466516,22378336
1574466517,29998728
1574466518,30990360
1574466519,31161368
1574466520,31208536
1574466521,31305088
1574466522,31323288
1574466523,31323864
1574466524,31322456
1574466525,31323544
1574466526,31368664
1574466527,31413016
1574466528,31416280
1574466529,31430360
1574466530,31467256
1574466531,31467256
1574466532,31449136
1574466533,31457880
1574466534,31494464
1574466535,31527024
1574466536,31544304
1574466537,31551752
1574466538,32145800
1574466539,32050416
1574466540,32069552
1574466541,32240944
1574466542,32720976
1574466543,32728656
1574466544,32757520
1574466545,32746192
1574466546,32746192
1574466547,32697776
1574466548,32682784
1574466549,32197296
1574466550,32260632
1574466551,32275408
1574466552,32332240
1574466553,32335312
1574466554,32337168
1574466555,32340112
1574466556,32348264
1574466557,32414176
1574466558,32414176
1574466559,32414176
1574466560,32414176
1574466561,32415328
1574466562,32417504
1574466563,32417504
1574466564,32426400
1574466565,32427688
1574466566,32427688
1574466567,32434536
1574466568,32415496
1574466569,32376392
1574466570,32368552
1574466571,32368552
1574466572,32368552
1574466573,32368552
1574466574,32366248
1574466575,32366248
1574466576,32351816
1574466577,32339776
1574466578,32339776
1574466579,32339776
1574466580,32339776
1574466581,32339776
1574466582,32339776
1574466583,32339776
1574466584,32340544
1574466585,32342048
1574466586,32342048
1574466587,32342048
1574466588,32342048
1574466589,32342048
1574466590,32358616
1574466591,32363672
1574466592,32370984
1574466593,32370984
1574466594,32370984
1574466595,32375272
1574466596,32379944
1574466597,32385768
1574466598,32392744
1574466599,32467048
1574466600,32470312
1574466601,32466216
1574466602,32466216
1574466603,32466216
1574466604,32439016
1574466605,32448616
1574466606,32440680
1574466607,32440680
1574466608,32440680
1574466609,32439464
1574466610,32420584
1574466611,32398976
1574466612,32423216
1574466613,32423216
1574466614,32432240
1574466615,32432240
1574466616,32428720
1574466617,32428720
1574466618,32428720
1574466619,32428720
1574466620,32428720
1574466621,32428720
1574466622,32429672
1574466623,32429672
1574466624,32429672
1574466625,32229600
1574466626,32231488
1574466627,32231488
1574466628,32233944
1574466629,32233944
1574466630,32292936
1574466631,32292936
1574466632,32292936
1574466633,32283216
1574466634,32198096
1574466635,32141264
1574466636,32153488
1574466637,32153488
1574466638,32153488
1574466639,32153488
1574466640,32155344
1574466641,32155344
1574466642,32155344
1574466643,32155344
1574466644,32157584
1574466645,32157584
1574466646,32157584
1574466647,32157584
1574466648,32157584
1574466649,32157584
1574466650,32157584
1574466651,32011216
1574466652,32011216
1574466653,32011216
1574466654,32011216
1574466655,32011216
1574466656,32011216
1574466657,32011216
1574466658,32011216
1574466659,32011216
1574466660,32011216
1574466661,32011920
1574466662,32035344
1574466663,32035344
1574466664,32035344
1574466665,32035344
1574466666,32035344
1574466667,32035344
1574466668,32035344
1574466669,32039952
1574466670,32039952
1574466671,32039952
1574466672,32039952
1574466673,32039952
1574466674,32039952
1574466675,32039952
1574466676,32039952
1574466677,32039952
1574466678,32039952
1574466679,32039952
1574466680,32039952
1574466681,32039952
1574466682,32039952
1574466683,32039952
1574466684,32039952
1574466685,32039952
1574466686,32039952
1574466687,32039952
1574466688,32039952
1574466689,32039952
1574466690,32039952
1574466691,32039952
1574466692,32039952
1574466693,32039952
1574466694,32039952
1574466695,32039952
1574466696,32039952
1574466697,32039952
1574466698,32048656
1574466699,32048656
1574466700,32048656
1574466701,32048656
1574466702,32048656
1574466703,32048656
1574466704,32048656
1574466705,32048656
1574466706,32048656
1574466707,32048656
1574466708,32048656
1574466709,32048656
1574466710,32048656
1574466711,32048656
1574466712,32048656
1574466713,32048656
1574466714,32048656
1574466715,32048656
1574466716,32048656
1574466717,32048656
1574466718,32048656
1574466719,32051016
1574466720,32051016
1574466721,32044104
1574466722,32044104
1574466723,32044104
1574466724,32044104
1574466725,32044104
1574466726,32044104
1574466727,32044104
1574466728,32044104
1574466729,32044104
1574466730,32044104
1574466731,32044104
1574466732,32044104
1574466733,32044104
1574466734,32044104
1574466735,32044104
1574466736,32044104
1574466737,32044104
