t,value
1574466506,0
1574466507,0
1574466508,0
1574466509,0
1574466510,0
1574466511,0
1574466512,0
1574466513,0
1574466514,0
1574466515,0
1574466516,0
1574466517,1073741840
1574466518,1073741840
1574466519,1073741840
1574466520,1073741840
1574466521,1073741840
1574466522,1073741840
1574466523,1073741840
1574466524,1073741840
1574466525,1073774624
1574466526,1073774624
1574466527,1073774624
1574466528,1073774624
1574466529,1073774624
1574466530,1073774624
1574466531,1073774624
1574466532,1073774624
1574466533,1073774624
1574466534,1073774624
1574466535,1073774624
1574466536,1073774624
1574466537,1778228008
1574466538,1778228008
1574466539,1077931872
1574466540,1077931872
1574466541,1077931872
1574466542,1077931872
1574466543,1077931872
1574466544,1077931872
1574466545,1077931872
1574466546,1077931872
1574466547,1077931872
1574466548,1077931872
1574466549,1077931872
1574466550,1077931872
1574466551,1077931872
1574466552,1077940064
1574466553,1077940064
1574466554,1077940064
1574466555,1077940064
1574466556,1077940064
1574466557,1077940064
1574466558,1077940064
1574466559,1077940064
1574466560,1077940064
1574466561,1077940064
1574466562,1077940064
1574466563,1077940064
1574466564,1077940064
1574466565,1077940064
1574466566,1077940064
1574466567,1077940064
1574466568,1077940064
1574466569,1077940064
1574466570,1077940064
1574466571,1077940064
1574466572,1077940064
1574466573,1077940064
1574466574,1077940064
1574466575,1077940064
1574466576,1077940064
1574466577,1077940064
1574466578,1077940064
1574466579,1077940064
1574466580,1077940064
1574466581,1077948256
1574466582,1077948256
1574466583,1077948256
1574466584,1077948256
1574466585,1077948256
1574466586,1077948256
1574466587,1077948256
1574466588,1077948256
1574466589,1077948256
1574466590,1077948256
1574466591,1077948256
1574466592,1077948256
1574466593,1077948256
1574466594,1077948256
1574466595,1078063040
1574466596,1078063040
1574466597,1078169632
1574466598,1078169632
1574466599,1078169632
1574466600,1078243424
1574466601,1078243424
1574466602,1078317216
1574466603,1078317216
1574466604,1078317216
1574466605,1078423840
1574466606,1078423840
1574466607,1078497632
1574466608,1078497632
1574466609,1078604224
1574466610,1078604224
1574466611,1078678016
1574466612,1078678016
1574466613,1078678016
1574466614,1078751808
1574466615,1078751808
1574466616,1078874784
1574466617,1078874784
1574466618,1078932160
1574466619,1078932160
1574466620,1079014144
1574466621,1079014144
1574466622,1079087936
1574466623,1079087936
1574466624,1079145344
1574466625,1079145344
1574466626,1079202720
1574466627,1079202720
1574466628,1079276512
1574466629,1079276512
1574466630,1079358496
1574466631,1079440480
1574466632,1079440480
1574466633,1079497856
1574466634,1079497856
1574466635,1079588032
1574466636,1079588032
1574466637,1079661792
1574466638,1079661792
1574466639,1079719200
1574466640,1079719200
1574466641,1079792992
1574466642,1079792992
1574466643,1079850368
1574466644,1079850368
1574466645,1079924128
1574466646,1079924128
1574466647,1079965120
1574466648,1079965120
1574466649,1080038912
1574466650,1080038912
1574466651,1080112672
1574466652,1080112672
1574466653,1080202848
1574466654,1080202848
1574466655,1080276608
1574466656,1080276608
1574466657,1080276608
1574466658,1080276608
1574466659,1080276608
1574466660,1080276608
1574466661,1080276608
1574466662,1080276608
1574466663,1080276608
1574466664,1080317568
1574466665,1080317568
1574466666,1080317568
1574466667,1080317568
1574466668,1080317568
1574466669,1080317568
1574466670,1080317568
1574466671,1080317568
1574466672,1080317568
1574466673,1080317568
1574466674,1080317568
1574466675,1080317568
1574466676,1080317568
1574466677,1080317568
1574466678,1080317568
1574466679,1080317568
1574466680,1080317568
1574466681,1080317568
1574466682,1080317568
1574466683,1080317568
1574466684,1080317568
1574466685,1080317568
1574466686,1080317568
1574466687,1080317568
