t,value
1574466506,8
1574466507,8
1574466508,8
1574466509,8
1574466510,8
1574466511,8
1574466512,8
1574466513,8
1574466514,8
1574466515,8
1574466516,10
1574466517,12
1574466518,12
1574466519,13
1574466520,13
1574466521,13
1574466522,13
1574466523,13
1574466524,13
1574466525,13
1574466526,13
1574466527,12
1574466528,12
1574466529,12
1574466530,12
1574466531,12
1574466532,12
1574466533,12
1574466534,12
1574466535,12
1574466536,12
1574466537,12
1574466538,26
1574466539,27
1574466540,28
1574466541,29
1574466542,30
1574466543,30
1574466544,30
1574466545,31
1574466546,31
1574466547,33
1574466548,33
1574466549,34
1574466550,35
1574466551,35
1574466552,36
1574466553,37
1574466554,37
1574466555,37
1574466556,38
1574466557,39
1574466558,40
1574466559,41
1574466560,41
1574466561,42
1574466562,43
1574466563,43
1574466564,44
1574466565,45
1574466566,45
1574466567,46
1574466568,47
1574466569,47
1574466570,48
1574466571,48
1574466572,49
1574466573,49
1574466574,50
1574466575,51
1574466576,51
1574466577,51
1574466578,51
1574466579,52
1574466580,52
1574466581,53
1574466582,54
1574466583,54
1574466584,55
1574466585,55
1574466586,56
1574466587,57
1574466588,58
1574466589,58
1574466590,59
1574466591,59
1574466592,59
1574466593,61
1574466594,61
1574466595,62
1574466596,63
1574466597,63
1574466598,64
1574466599,65
1574466600,66
1574466601,66
1574466602,66
1574466603,67
1574466604,68
1574466605,69
1574466606,69
1574466607,70
1574466608,70
1574466609,71
1574466610,72
1574466611,73
1574466612,73
1574466613,74
1574466614,74
1574466615,75
1574466616,76
1574466617,76
1574466618,77
1574466619,78
1574466620,78
1574466621,79
1574466622,80
1574466623,80
1574466624,81
1574466625,82
1574466626,82
1574466627,82
1574466628,82
1574466629,82
1574466630,82
1574466631,82
1574466632,82
1574466633,82
1574466634,82
1574466635,82
1574466636,82
1574466637,82
1574466638,82
1574466639,82
1574466640,82
1574466641,82
1574466642,82
1574466643,82
1574466644,82
1574466645,82
1574466646,82
1574466647,82
1574466648,82
1574466649,82
1574466650,82
1574466651,82
1574466652,82
1574466653,82
1574466654,82
1574466655,82
1574466656,82
1574466657,82
1574466658,82
1574466659,82
1574466660,82
1574466661,82
1574466662,82
1574466663,82
1574466664,82
1574466665,82
1574466666,82
1574466667,82
1574466668,82
1574466669,82
1574466670,82
1574466671,82
1574466672,82
1574466673,82
1574466674,82
1574466675,82
1574466676,82
1574466677,82
1574466678,82
1574466679,82
1574466680,82
1574466681,82
1574466682,82
1574466683,82
1574466684,82
1574466685,82
1574466686,82
1574466687,82
1574466688,82
1574466689,82
1574466690,82
1574466691,82
1574466692,82
1574466693,82
1574466694,82
1574466695,82
1574466696,82
1574466697,82
1574466698,82
1574466699,82
1574466700,82
1574466701,82
1574466702,82
1574466703,82
1574466704,82
1574466705,82
1574466706,82
1574466707,82
1574466708,82
1574466709,82
1574466710,82
1574466711,82
1574466712,82
1574466713,82
1574466714,82
1574466715,82
1574466716,82
1574466717,82
1574466718,82
1574466719,82
1574466720,82
1574466721,82
1574466722,82
1574466723,82
1574466724,82
1574466725,82
1574466726,82
1574466727,82
1574466728,82
1574466729,82
1574466730,82
1574466731,82
1574466732,82
1574466733,82
1574466734,82
1574466735,82
1574466736,82
1574466737,82
1574466738,82
1574466739,82
1574466740,82
1574466741,82
1574466742,82
1574466743,82
1574466744,82
1574466745,82
1574466746,82
1574466747,82
1574466748,82
1574466749,82
1574466750,82
1574466751,82
1574466752,82
1574466753,82
1574466754,82
1574466755,82
1574466756,82
1574466757,82
1574466758,82
1574466759,82
1574466760,82
1574466761,82
1574466762,82
1574466763,82
1574466764,82
1574466765,82
1574466766,82
1574466767,82
1574466768,82
1574466769,82
1574466770,82
1574466771,82
1574466772,82
1574466773,82
1574466774,82
1574466775,82
1574466776,82
1574466777,82
1574466778,82
1574466779,82
1574466780,82
1574466781,82
1574466782,82
1574466783,82
1574466784,82
1574466785,82
1574466786,82
1574466787,82
1574466788,82
1574466789,82
1574466790,82
1574466791,82
1574466792,82
1574466793,82
1574466794,82
1574466795,82
1574466796,82
1574466797,82
1574466798,82
1574466799,82
1574466800,82
1574466801,82
1574466802,82
1574466803,82
1574466804,82
1574466805,82
1574466806,82
1574466807,82
1574466808,82
1574466809,82
1574466810,82
1574466811,82
1574466812,82
1574466813,82
1574466814,82
1574466815,82
1574466816,82
1574466817,82
1574466818,82
1574466819,82
1574466820,82
1574466821,82
1574466822,82
1574466823,82
1574466824,82
1574466825,82
1574466826,82
1574466827,82
1574466828,82
1574466829,82
1574466830,82
1574466831,82
1574466832,82
1574466833,82
1574466834,82
1574466835,82
1574466836,82
1574466837,82
1574466838,82
1574466839,82
1574466840,82
1574466841,82
1574466842,82
1574466843,82
1574466844,82
1574466845,82
1574466846,82
1574466847,82
1574466848,82
1574466849,82
1574466850,82
1574466851,82
1574466852,82
1574466853,82
1574466854,82
1574466855,82
1574466856,82
1574466857,82
1574466858,82
1574466859,82
1574466860,82
1574466861,82
1574466862,82
1574466863,82
1574466864,82
1574466865,82
1574466866,82
1574466867,82
1574466868,82
1574466869,82
1574466870,82
1574466871,82
1574466872,82
1574466873,82
1574466874,82
1574466875,82
1574466876,82
1574466877,82
1574466878,82
1574466879,82
1574466880,82
1574466881,82
1574466882,82
1574466883,82
1574466884,82
1574466885,82
1574466886,82
1574466887,82
1574466888,82
1574466889,82
1574466890,82
1574466891,82
1574466892,82
1574466893,82
1574466894,82
1574466895,82
1574466896,82
1574466897,82
1574466898,82
1574466899,82
1574466900,82
1574466901,82
1574466902,82
1574466903,82
1574466904,82
1574466905,82
1574466906,82
1574466907,82
1574466908,82
1574466909,82
1574466910,82
1574466911,82
1574466912,82
1574466913,82
1574466914,82
1574466915,82
1574466916,82
1574466917,82
1574466918,82
1574466919,82
1574466920,82
1574466921,82
1574466922,82
1574466923,82
1574466924,82
1574466925,82
1574466926,82
1574466927,82
1574466928,82
1574466929,82
1574466930,82
1574466931,82
1574466932,82
1574466933,82
1574466934,82
1574466935,82
1574466936,82
1574466937,82
1574466938,82
1574466939,82
1574466940,82
1574466941,82
1574466942,82
1574466943,82
1574466944,82
1574466945,82
1574466946,82
1574466947,82
1574466948,82
1574466949,82
1574466950,82
1574466951,82
1574466952,82
1574466953,82
1574466954,82
1574466955,82
1574466956,82
1574466957,82
1574466958,82
1574466959,82
1574466960,82
1574466961,82
1574466962,82
1574466963,82
1574466964,82
1574466965,82
1574466966,82
1574466967,82
1574466968,82
1574466969,82
1574466970,82
1574466971,82
1574466972,82
1574466973,82
1574466974,82
1574466975,82
1574466976,82
1574466977,82
1574466978,82
1574466979,82
1574466980,82
1574466981,82
1574466982,82
1574466983,82
1574466984,82
1574466985,82
1574466986,82
1574466987,82
1574466988,82
1574466989,82
1574466990,82
1574466991,82
1574466992,82
1574466993,82
1574466994,82
1574466995,82
1574466996,82
1574466997,82
1574466998,82
1574466999,82
1574467000,82
1574467001,82
1574467002,82
1574467003,82
1574467004,82
1574467005,82
1574467006,82
1574467007,82
1574467008,82
1574467009,82
1574467010,82
1574467011,82
1574467012,82
1574467013,82
1574467014,82
1574467015,82
1574467016,82
1574467017,82
1574467018,82
1574467019,82
1574467020,82
1574467021,82
1574467022,82
1574467023,82
1574467024,82
1574467025,82
1574467026,82
1574467027,82
1574467028,82
1574467029,82
1574467030,82
1574467031,82
1574467032,82
1574467033,82
1574467034,82
1574467035,82
1574467036,82
1574467037,82
1574467038,82
1574467039,82
1574467040,82
1574467041,82
1574467042,82
1574467043,82
1574467044,82
1574467045,82
1574467046,82
1574467047,82
1574467048,82
1574467049,82
1574467050,82
1574467051,82
1574467052,82
1574467053,82
1574467054,82
1574467055,82
1574467056,82
1574467057,82
1574467058,82
1574467059,82
1574467060,82
1574467061,82
1574467062,82
1574467063,82
1574467064,82
1574467065,82
1574467066,82
1574467067,82
1574467068,82
1574467069,82
1574467070,82
1574467071,82
1574467072,82
1574467073,82
1574467074,82
1574467075,82
1574467076,82
1574467077,82
1574467078,82
1574467079,82
1574467080,82
1574467081,82
1574467082,82
1574467083,82
1574467084,82
1574467085,82
1574467086,82
1574467087,82
1574467088,82
1574467089,82
1574467090,82
1574467091,82
1574467092,82
1574467093,82
1574467094,82
1574467095,82
1574467096,82
1574467097,82
1574467098,82
1574467099,82
1574467100,82
1574467101,82
1574467102,82
1574467103,82
1574467104,82
1574467105,82
1574467106,82
1574467107,82
1574467108,82
1574467109,82
1574467110,82
1574467111,82
1574467112,82
1574467113,82
1574467114,82
1574467115,82
1574467116,82
1574467117,82
1574467118,82
1574467119,82
1574467120,82
1574467121,82
1574467122,82
1574467123,82
1574467124,82
1574467125,82
1574467126,82
1574467127,82
1574467128,82
1574467129,82
1574467130,82
1574467131,82
1574467132,82
1574467133,82
1574467134,82
1574467135,82
1574467136,82
1574467137,82
1574467138,82
1574467139,82
1574467140,82
1574467141,82
1574467142,82
1574467143,82
1574467144,82
1574467145,82
1574467146,82
1574467147,82
1574467148,82
1574467149,82
1574467150,82
1574467151,82
1574467152,82
1574467153,82
1574467154,82
1574467155,82
1574467156,82
1574467157,82
1574467158,82
1574467159,82
1574467160,82
1574467161,82
1574467162,82
1574467163,82
1574467164,82
1574467165,82
1574467166,82
1574467167,82
1574467168,82
1574467169,82
1574467170,82
1574467171,82
1574467172,82
1574467173,82
1574467174,82
1574467175,82
1574467176,82
1574467177,82
1574467178,82
1574467179,82
1574467180,82
1574467181,82
1574467182,82
1574467183,82
1574467184,82
1574467185,82
1574467186,82
1574467187,82
1574467188,82
1574467189,82
1574467190,82
1574467191,82
1574467192,82
1574467193,82
1574467194,82
1574467195,82
1574467196,82
1574467197,82
1574467198,82
1574467199,82
1574467200,82
1574467201,82
1574467202,82
1574467203,82
1574467204,82
1574467205,82
1574467206,82
1574467207,82
1574467208,82
1574467209,82
1574467210,82
1574467211,82
1574467212,82
1574467213,82
1574467214,82
1574467215,82
1574467216,82
1574467217,82
1574467218,82
1574467219,82
1574467220,82
1574467221,82
1574467222,82
1574467223,82
1574467224,82
1574467225,82
1574467226,82
1574467227,82
1574467228,82
1574467229,82
1574467230,82
1574467231,82
1574467232,82
1574467233,82
1574467234,82
1574467235,82
1574467236,82
1574467237,82
1574467238,82
1574467239,82
1574467240,82
1574467241,82
1574467242,82
1574467243,82
1574467244,82
1574467245,82
1574467246,82
1574467247,82
1574467248,82
1574467249,82
1574467250,82
1574467251,82
1574467252,82
1574467253,82
1574467254,82
1574467255,82
1574467256,82
1574467257,82
