t,value
1574466506,2
1574466507,2
1574466508,2
1574466509,2
1574466510,2
1574466511,2
1574466512,2
1574466513,2
1574466514,2
1574466515,2
1574466516,2
1574466517,3
1574466518,3
1574466519,3
1574466520,3
1574466521,3
1574466522,3
1574466523,3
1574466524,3
1574466525,3
1574466526,3
1574466527,3
1574466528,3
1574466529,3
1574466530,3
1574466531,3
1574466532,3
1574466533,3
1574466534,3
1574466535,3
1574466536,3
1574466537,3
1574466538,3
1574466539,3
1574466540,3
1574466541,3
1574466542,3
1574466543,3
1574466544,3
1574466545,3
1574466546,3
1574466547,3
1574466548,3
1574466549,3
1574466550,3
1574466551,3
1574466552,3
1574466553,3
1574466554,3
1574466555,3
1574466556,3
1574466557,3
1574466558,3
1574466559,3
1574466560,3
1574466561,3
1574466562,3
1574466563,3
1574466564,3
1574466565,3
1574466566,3
1574466567,3
1574466568,3
1574466569,3
1574466570,3
1574466571,3
1574466572,3
1574466573,3
1574466574,3
1574466575,3
1574466576,3
1574466577,3
1574466578,3
1574466579,3
1574466580,3
1574466581,3
1574466582,3
1574466583,3
1574466584,3
1574466585,3
1574466586,3
1574466587,3
1574466588,3
1574466589,3
1574466590,3
1574466591,3
1574466592,3
1574466593,3
1574466594,3
1574466595,3
1574466596,3
1574466597,3
1574466598,3
1574466599,3
1574466600,3
1574466601,3
1574466602,3
1574466603,3
1574466604,3
1574466605,3
1574466606,3
1574466607,3
1574466608,3
1574466609,3
1574466610,3
1574466611,3
1574466612,3
1574466613,3
1574466614,3
1574466615,3
1574466616,3
1574466617,3
1574466618,3
1574466619,3
1574466620,3
1574466621,3
1574466622,3
1574466623,3
1574466624,3
1574466625,3
1574466626,3
1574466627,3
1574466628,3
1574466629,3
1574466630,3
1574466631,3
1574466632,3
1574466633,3
1574466634,3
1574466635,3
1574466636,3
1574466637,3
1574466638,3
1574466639,3
1574466640,3
1574466641,3
1574466642,3
1574466643,3
1574466644,3
1574466645,3
1574466646,3
1574466647,3
1574466648,3
1574466649,3
1574466650,3
1574466651,3
1574466652,3
1574466653,3
1574466654,3
1574466655,3
1574466656,3
1574466657,3
1574466658,3
1574466659,3
1574466660,3
1574466661,3
1574466662,3
1574466663,3
1574466664,3
1574466665,3
1574466666,3
1574466667,3
1574466668,3
1574466669,3
1574466670,3
1574466671,3
1574466672,3
1574466673,3
