t,value
1574466506,504889344
1574466507,504889344
1574466508,504889344
1574466509,504889344
1574466510,504889344
1574466511,504889344
1574466512,504889344
1574466513,504889344
1574466514,504889344
1574466515,504889344
1574466516,504889344
1574466517,504889344
1574466518,504889344
1574466519,504889344
1574466520,504889344
1574466521,504889344
1574466522,504889344
1574466523,504889344
1574466524,504889344
1574466525,504889344
1574466526,504889344
1574466527,504889344
1574466528,504889344
1574466529,504889344
1574466530,504889344
1574466531,504889344
1574466532,504889344
1574466533,504889344
1574466534,504889344
1574466535,504889344
1574466536,504889344
1574466537,504889344
1574466538,504889344
1574466539,504889344
1574466540,504889344
1574466541,504889344
1574466542,504889344
1574466543,504889344
1574466544,504889344
1574466545,504889344
1574466546,504889344
1574466547,504889344
1574466548,504889344
1574466549,504889344
1574466550,504889344
1574466551,504889344
1574466552,504889344
1574466553,504889344
1574466554,504889344
1574466555,504889344
1574466556,504889344
1574466557,504889344
1574466558,504889344
1574466559,504889344
1574466560,504889344
1574466561,504889344
1574466562,504889344
1574466563,504889344
1574466564,504889344
1574466565,504889344
1574466566,504889344
1574466567,504889344
1574466568,504889344
1574466569,504889344
1574466570,504889344
1574466571,504889344
1574466572,504889344
1574466573,504889344
1574466574,504889344
1574466575,504889344
1574466576,504889344
1574466577,504889344
1574466578,504889344
1574466579,504889344
1574466580,504889344
1574466581,504889344
1574466582,504889344
1574466583,504889344
1574466584,504889344
1574466585,504889344
1574466586,504889344
1574466587,504889344
1574466588,504889344
1574466589,504889344
1574466590,504889344
1574466591,504889344
1574466592,504889344
1574466593,504889344
1574466594,504889344
1574466595,504889344
1574466596,504889344
1574466597,504889344
1574466598,504889344
1574466599,504889344
1574466600,504889344
1574466601,504889344
1574466602,504889344
1574466603,504889344
1574466604,504889344
1574466605,504889344
1574466606,504889344
1574466607,504889344
1574466608,504889344
1574466609,504889344
1574466610,504889344
1574466611,504889344
1574466612,504889344
1574466613,504889344
1574466614,504889344
1574466615,504889344
1574466616,504889344
1574466617,504889344
1574466618,504889344
1574466619,504889344
1574466620,504889344
1574466621,504889344
1574466622,504889344
1574466623,504889344
1574466624,504889344
1574466625,504889344
1574466626,504889344
1574466627,504889344
1574466628,1579155456
1574466629,1579155456
1574466630,1579155456
1574466631,1579155456
1574466632,1579155456
1574466633,1579155456
1574466634,1579155456
1574466635,1579155456
1574466636,1579155456
1574466637,1579155456
1574466638,2890399744
1574466639,2525495296
1574466640,2525495296
1574466641,2525495296
1574466642,2525495296
1574466643,2726821888
1574466644,2726821888
1574466645,2726821888
1574466646,2726821888
1574466647,2726821888
1574466648,2740453376
1574466649,2740453376
1574466650,2740453376
1574466651,2740453376
1574466652,2736259072
1574466653,2736259072
1574466654,2736259072
1574466655,2736259072
1574466656,2754084864
1574466657,2754084864
1574466658,2754084864
1574466659,2735210496
1574466660,2735210496
1574466661,2735210496
1574466662,2752512000
1574466663,2752512000
1574466664,2752512000
1574466665,2723676160
1574466666,2723676160
1574466667,2471493632
1574466668,2471493632
1574466669,2471493632
1574466670,2707423232
1574466671,2707423232
1574466672,2479882240
1574466673,2479882240
1574466674,2479882240
1574466675,2685927424
1574466676,2685927424
1574466677,2483552256
1574466678,2483552256
1574466679,2665480192
1574466680,2665480192
1574466681,2486173696
1574466682,2486173696
1574466683,2645032960
1574466684,2645032960
1574466685,2488270848
1574466686,2488270848
1574466687,2626682880
1574466688,2626682880
1574466689,2489843712
1574466690,2489843712
1574466691,2609381376
1574466692,2609381376
1574466693,2490892288
1574466694,2594177024
1574466695,2594177024
1574466696,2491940864
1574466697,2491940864
1574466698,2581069824
1574466699,2492989440
1574466700,2492989440
1574466701,2569011200
1574466702,2494038016
1574466703,2494038016
1574466704,2559574016
1574466705,2495086592
1574466706,2495086592
1574466707,2550661120
1574466708,2496135168
1574466709,2496135168
1574466710,2543845376
1574466711,2497183744
1574466712,2538078208
1574466713,2538078208
1574466714,2498232320
1574466715,2532835328
1574466716,2499280896
1574466717,2499280896
1574466718,2528641024
1574466719,2500329472
1574466720,2525495296
1574466721,2500853760
1574466722,2500853760
1574466723,2522349568
1574466724,2501902336
1574466725,2519728128
1574466726,2502950912
1574466727,2519203840
1574466728,2503999488
1574466729,2503999488
1574466730,2517630976
1574466731,2518679552
1574466732,2516582400
1574466733,2517630976
1574466734,2515533824
1574466735,2516582400
1574466736,2515009536
1574466737,2516058112
1574466738,2515533824
1574466739,2515533824
1574466740,2516058112
1574466741,2515533824
1574466742,2516058112
1574466743,2515533824
1574466744,2516058112
1574466745,2516058112
1574466746,2516582400
1574466747,2517106688
1574466748,2517106688
1574466749,2517630976
1574466750,2517630976
1574466751,2517630976
1574466752,2518155264
1574466753,2518155264
1574466754,2518155264
1574466755,2518679552
1574466756,2519728128
1574466757,2519728128
1574466758,2520252416
1574466759,2520252416
1574466760,2521300992
1574466761,2521300992
1574466762,2521300992
1574466763,2521825280
1574466764,2521825280
1574466765,2522873856
