t,value
1574466506,3866624
1574466507,4063232
1574466508,4325376
1574466509,4390912
1574466510,4456448
1574466511,4587520
1574466512,4653056
1574466513,4718592
1574466514,4718592
1574466515,4718592
1574466516,4718592
1574466517,4718592
1574466518,4718592
1574466519,4718592
1574466520,4718592
1574466521,4718592
1574466522,4784128
1574466523,4784128
1574466524,4784128
1574466525,4784128
1574466526,4784128
1574466527,4784128
1574466528,4784128
1574466529,4784128
1574466530,4849664
1574466531,4849664
1574466532,4849664
1574466533,4849664
1574466534,4849664
1574466535,4915200
1574466536,4915200
1574466537,4915200
1574466538,4915200
1574466539,4915200
1574466540,4915200
1574466541,4915200
1574466542,4915200
1574466543,4915200
1574466544,4980736
1574466545,4980736
1574466546,4980736
1574466547,4980736
1574466548,4980736
1574466549,4980736
1574466550,4980736
1574466551,4980736
1574466552,4980736
1574466553,4980736
1574466554,4980736
1574466555,4980736
1574466556,4980736
1574466557,5046272
1574466558,5046272
1574466559,5046272
1574466560,5046272
1574466561,5046272
1574466562,5046272
1574466563,5046272
1574466564,5046272
1574466565,5046272
1574466566,5046272
1574466567,5046272
1574466568,5046272
1574466569,5046272
1574466570,5046272
1574466571,5046272
1574466572,5046272
1574466573,5046272
1574466574,5046272
1574466575,5046272
1574466576,5046272
1574466577,5046272
1574466578,5046272
1574466579,5046272
1574466580,5046272
1574466581,5046272
1574466582,5046272
1574466583,5046272
1574466584,5046272
1574466585,5046272
1574466586,5046272
1574466587,5046272
1574466588,5046272
1574466589,5046272
1574466590,5046272
1574466591,5046272
1574466592,5046272
1574466593,5046272
1574466594,5046272
1574466595,5046272
1574466596,5046272
1574466597,5046272
1574466598,5046272
1574466599,5177344
1574466600,5177344
1574466601,5177344
1574466602,5177344
1574466603,5177344
1574466604,5177344
1574466605,5177344
1574466606,5177344
1574466607,5177344
1574466608,5177344
1574466609,5177344
1574466610,5177344
1574466611,5177344
1574466612,5177344
1574466613,5177344
1574466614,5177344
1574466615,5177344
1574466616,5177344
1574466617,5177344
1574466618,5177344
1574466619,5177344
1574466620,5177344
1574466621,5177344
1574466622,5177344
1574466623,5177344
1574466624,5177344
1574466625,5177344
1574466626,5177344
1574466627,6619136
1574466628,7274496
1574466629,8060928
1574466630,8388608
1574466631,8454144
1574466632,8716288
1574466633,8716288
1574466634,8716288
1574466635,8716288
1574466636,8716288
1574466637,8716288
1574466638,8716288
1574466639,9043968
1574466640,9371648
1574466641,9437184
1574466642,9568256
1574466643,9568256
1574466644,9633792
1574466645,10158080
1574466646,10158080
1574466647,10158080
1574466648,10158080
1574466649,10158080
1574466650,10158080
1574466651,10158080
1574466652,10158080
1574466653,10158080
1574466654,10158080
1574466655,10158080
1574466656,10158080
1574466657,10158080
1574466658,10158080
1574466659,10158080
1574466660,10158080
1574466661,10158080
1574466662,10158080
1574466663,10158080
1574466664,10158080
1574466665,10158080
1574466666,10158080
1574466667,10158080
1574466668,10158080
1574466669,10158080
1574466670,10158080
1574466671,10158080
1574466672,10158080
1574466673,10158080
1574466674,10158080
1574466675,10158080
1574466676,10158080
1574466677,10158080
1574466678,10158080
1574466679,10158080
1574466680,10158080
1574466681,10158080
1574466682,10158080
1574466683,10158080
1574466684,10158080
1574466685,10158080
1574466686,10158080
1574466687,10158080
1574466688,10158080
1574466689,10158080
1574466690,10158080
1574466691,10158080
1574466692,10158080
1574466693,10158080
1574466694,10158080
1574466695,10158080
1574466696,10158080
1574466697,10158080
1574466698,10158080
1574466699,10158080
1574466700,10158080
1574466701,10158080
1574466702,10158080
1574466703,10158080
1574466704,10158080
1574466705,10158080
1574466706,10158080
1574466707,10158080
1574466708,10158080
1574466709,10158080
1574466710,10158080
1574466711,10158080
1574466712,10158080
1574466713,10158080
1574466714,10158080
1574466715,10158080
1574466716,10158080
1574466717,10158080
1574466718,10158080
1574466719,10158080
1574466720,10158080
1574466721,10158080
1574466722,10158080
1574466723,10158080
1574466724,10158080
1574466725,10158080
1574466726,10158080
1574466727,10158080
1574466728,10158080
1574466729,10158080
1574466730,10158080
1574466731,10158080
1574466732,10158080
1574466733,10158080
1574466734,10158080
1574466735,10158080
1574466736,10158080
1574466737,10158080
1574466738,10158080
1574466739,10158080
1574466740,10158080
1574466741,10158080
1574466742,10158080
1574466743,10158080
1574466744,10158080
1574466745,10158080
1574466746,10158080
1574466747,10158080
1574466748,10158080
1574466749,10158080
1574466750,10158080
1574466751,10158080
1574466752,10158080
1574466753,10158080
1574466754,10158080
1574466755,10158080
1574466756,10158080
1574466757,10158080
1574466758,10158080
1574466759,10158080
1574466760,10158080
1574466761,10158080
1574466762,10158080
1574466763,10158080
1574466764,10158080
1574466765,10158080
1574466766,10158080
1574466767,10158080
1574466768,10158080
1574466769,10158080
1574466770,10158080
1574466771,10158080
1574466772,10158080
1574466773,10158080
1574466774,10158080
1574466775,10158080
1574466776,10158080
1574466777,10158080
1574466778,10158080
1574466779,10158080
1574466780,10158080
1574466781,10158080
1574466782,10158080
1574466783,10158080
1574466784,10158080
1574466785,10158080
1574466786,10158080
1574466787,10158080
1574466788,10158080
1574466789,10158080
1574466790,10158080
1574466791,10158080
1574466792,10158080
1574466793,10158080
1574466794,10158080
1574466795,10158080
1574466796,10158080
1574466797,10158080
1574466798,10158080
1574466799,10158080
1574466800,10158080
1574466801,10158080
1574466802,10158080
1574466803,10158080
1574466804,10158080
1574466805,10158080
1574466806,10158080
1574466807,10158080
1574466808,10158080
1574466809,10158080
1574466810,10158080
1574466811,10158080
1574466812,10158080
1574466813,10158080
1574466814,10158080
1574466815,10158080
1574466816,10158080
1574466817,10158080
1574466818,10158080
1574466819,10158080
1574466820,10158080
1574466821,10158080
1574466822,10158080
1574466823,10158080
1574466824,10158080
1574466825,10158080
1574466826,10158080
1574466827,10158080
1574466828,10158080
1574466829,10158080
1574466830,10158080
1574466831,10158080
1574466832,10158080
1574466833,10158080
1574466834,10158080
1574466835,10158080
1574466836,10158080
1574466837,10158080
1574466838,10158080
1574466839,10158080
1574466840,10158080
1574466841,10158080
1574466842,10158080
1574466843,10158080
1574466844,10158080
1574466845,10158080
1574466846,10158080
1574466847,10158080
1574466848,10158080
1574466849,10158080
1574466850,10158080
1574466851,10158080
1574466852,10158080
1574466853,10158080
1574466854,10158080
1574466855,10158080
1574466856,10158080
1574466857,10158080
1574466858,10158080
1574466859,10158080
1574466860,10158080
1574466861,10158080
1574466862,10158080
1574466863,10158080
1574466864,10158080
1574466865,10158080
1574466866,10158080
1574466867,10158080
1574466868,10158080
1574466869,10158080
1574466870,10158080
1574466871,10158080
1574466872,10158080
1574466873,10158080
1574466874,10158080
1574466875,10158080
1574466876,10158080
1574466877,10158080
1574466878,10158080
1574466879,10158080
1574466880,10158080
1574466881,10158080
1574466882,10158080
1574466883,10158080
1574466884,10158080
1574466885,10158080
1574466886,10158080
1574466887,10158080
1574466888,10158080
1574466889,10158080
1574466890,10158080
1574466891,10158080
1574466892,10158080
1574466893,10158080
1574466894,10158080
1574466895,10158080
1574466896,10158080
1574466897,10158080
1574466898,10158080
1574466899,10158080
1574466900,10158080
1574466901,10158080
1574466902,10158080
1574466903,10158080
1574466904,10158080
1574466905,10158080
1574466906,10158080
1574466907,10158080
1574466908,10158080
1574466909,10158080
1574466910,10158080
1574466911,10158080
1574466912,10158080
1574466913,10158080
1574466914,10158080
1574466915,10158080
1574466916,10158080
1574466917,10158080
