t,value
1574466506,3828416
1574466507,3997440
1574466508,4265728
1574466509,4323072
1574466510,4403968
1574466511,4547008
1574466512,4593856
1574466513,4633216
1574466514,4638016
1574466515,4656576
1574466516,4661312
1574466517,4666176
1574466518,4671680
1574466519,4671680
1574466520,4677312
1574466521,4677312
1574466522,4707328
1574466523,4708224
1574466524,4717376
1574466525,4718464
1574466526,4722304
1574466527,4730496
1574466528,4734976
1574466529,4761216
1574466530,4799360
1574466531,4799360
1574466532,4800128
1574466533,4800128
1574466534,4781312
1574466535,4805248
1574466536,4811584
1574466537,4840896
1574466538,4851072
1574466539,4851072
1574466540,4851072
1574466541,4851072
1574466542,4851904
1574466543,4851904
1574466544,4880576
1574466545,4880576
1574466546,4882432
1574466547,4887232
1574466548,4888128
1574466549,4920512
1574466550,4931136
1574466551,4934912
1574466552,4940928
1574466553,4953088
1574466554,4953088
1574466555,4955392
1574466556,4955392
1574466557,4965504
1574466558,4965504
1574466559,4965504
1574466560,4965504
1574466561,4967424
1574466562,4949760
1574466563,4953984
1574466564,4953984
1574466565,4953984
1574466566,4953984
1574466567,4959488
1574466568,4962560
1574466569,4964032
1574466570,4964928
1574466571,4964928
1574466572,4964928
1574466573,4964928
1574466574,4964928
1574466575,4964928
1574466576,4964928
1574466577,4964928
1574466578,4964928
1574466579,4964928
1574466580,4964928
1574466581,4964928
1574466582,4970432
1574466583,4970432
1574466584,4970432
1574466585,4970432
1574466586,4970432
1574466587,4970432
1574466588,4970432
1574466589,4967872
1574466590,4969856
1574466591,4973952
1574466592,4978496
1574466593,4978496
1574466594,4978496
1574466595,4939776
1574466596,4925504
1574466597,4942144
1574466598,4949120
1574466599,5046080
1574466600,5046080
1574466601,5046912
1574466602,5046912
1574466603,5046912
1574466604,5046912
1574466605,5046912
1574466606,5047616
1574466607,5051968
1574466608,5051968
1574466609,5051968
1574466610,5052544
1574466611,5052544
1574466612,5073984
1574466613,5073984
1574466614,5089536
1574466615,5089536
1574466616,5090176
1574466617,5091200
1574466618,5091200
1574466619,5091200
1574466620,5091200
1574466621,5091200
1574466622,5062336
1574466623,5062336
1574466624,5062336
1574466625,5061824
1574466626,5061824
1574466627,6563264
1574466628,7256896
1574466629,7948224
1574466630,8314816
1574466631,8352064
1574466632,8506752
1574466633,8517888
1574466634,8412096
1574466635,8418688
1574466636,8418688
1574466637,8430528
1574466638,8428928
1574466639,8980160
1574466640,9278208
1574466641,9325568
1574466642,9408704
1574466643,9421376
1574466644,9687872
1574466645,9891840
1574466646,9831360
1574466647,9722752
1574466648,9225920
1574466649,9226624
1574466650,9226624
1574466651,9226624
1574466652,9230720
1574466653,9229824
1574466654,9226816
1574466655,8722944
1574466656,8753216
1574466657,8761600
1574466658,8761600
1574466659,8761600
1574466660,8768384
1574466661,8768384
1574466662,8768384
1574466663,8767232
1574466664,8767232
1574466665,8767232
1574466666,8767232
1574466667,8767232
1574466668,8767232
1574466669,8771840
