t,value
1574466506,7.101073861122131E-4
1574466507,7.139220833778381E-4
1574466508,7.139220833778381E-4
1574466509,7.139220833778381E-4
1574466510,7.139220833778381E-4
1574466511,7.139220833778381E-4
1574466512,7.139220833778381E-4
1574466513,7.139220833778381E-4
1574466514,7.139220833778381E-4
1574466515,7.139220833778381E-4
1574466516,7.139220833778381E-4
1574466517,7.139220833778381E-4
1574466518,7.139220833778381E-4
1574466519,7.139220833778381E-4
1574466520,7.139220833778381E-4
1574466521,7.139220833778381E-4
1574466522,7.139220833778381E-4
1574466523,7.139220833778381E-4
1574466524,7.139220833778381E-4
1574466525,7.139220833778381E-4
1574466526,7.139220833778381E-4
1574466527,7.139220833778381E-4
1574466528,7.139220833778381E-4
1574466529,7.139220833778381E-4
1574466530,7.139220833778381E-4
1574466531,7.139220833778381E-4
1574466532,7.139220833778381E-4
1574466533,7.139220833778381E-4
1574466534,7.139220833778381E-4
1574466535,7.139220833778381E-4
1574466536,7.139220833778381E-4
1574466537,7.139220833778381E-4
1574466538,7.139220833778381E-4
1574466539,7.139220833778381E-4
1574466540,7.139220833778381E-4
1574466541,7.139220833778381E-4
1574466542,7.139220833778381E-4
1574466543,7.139220833778381E-4
1574466544,7.139220833778381E-4
1574466545,7.139220833778381E-4
1574466546,7.139220833778381E-4
1574466547,7.139220833778381E-4
1574466548,7.139220833778381E-4
1574466549,7.139220833778381E-4
1574466550,7.139220833778381E-4
1574466551,7.139220833778381E-4
1574466552,7.139220833778381E-4
1574466553,7.139220833778381E-4
1574466554,7.139220833778381E-4
1574466555,7.139220833778381E-4
1574466556,7.139220833778381E-4
1574466557,7.139220833778381E-4
1574466558,7.139220833778381E-4
1574466559,7.139220833778381E-4
1574466560,7.139220833778381E-4
1574466561,7.139220833778381E-4
1574466562,7.139220833778381E-4
1574466563,7.139220833778381E-4
1574466564,7.139220833778381E-4
1574466565,7.139220833778381E-4
1574466566,7.139220833778381E-4
1574466567,7.139220833778381E-4
1574466568,7.139220833778381E-4
1574466569,7.139220833778381E-4
1574466570,7.139220833778381E-4
1574466571,7.139220833778381E-4
1574466572,7.139220833778381E-4
1574466573,7.139220833778381E-4
1574466574,7.139220833778381E-4
1574466575,7.139220833778381E-4
1574466576,7.139220833778381E-4
1574466577,7.139220833778381E-4
1574466578,7.139220833778381E-4
1574466579,7.139220833778381E-4
1574466580,7.139220833778381E-4
1574466581,7.139220833778381E-4
1574466582,7.139220833778381E-4
1574466583,7.139220833778381E-4
1574466584,7.139220833778381E-4
1574466585,7.139220833778381E-4
1574466586,7.139220833778381E-4
1574466587,7.139220833778381E-4
1574466588,7.139220833778381E-4
1574466589,7.139220833778381E-4
1574466590,7.139220833778381E-4
1574466591,7.139220833778381E-4
1574466592,7.139220833778381E-4
1574466593,7.139220833778381E-4
1574466594,7.139220833778381E-4
1574466595,7.139220833778381E-4
1574466596,7.139220833778381E-4
1574466597,7.139220833778381E-4
1574466598,7.139220833778381E-4
1574466599,7.139220833778381E-4
1574466600,7.139220833778381E-4
1574466601,7.139220833778381E-4
1574466602,7.139220833778381E-4
1574466603,7.139220833778381E-4
1574466604,7.139220833778381E-4
1574466605,7.139220833778381E-4
1574466606,7.139220833778381E-4
1574466607,7.139220833778381E-4
1574466608,7.139220833778381E-4
1574466609,7.139220833778381E-4
1574466610,7.139220833778381E-4
1574466611,7.139220833778381E-4
1574466612,7.139220833778381E-4
1574466613,7.139220833778381E-4
1574466614,7.139220833778381E-4
1574466615,7.139220833778381E-4
1574466616,7.139220833778381E-4
1574466617,7.139220833778381E-4
1574466618,7.139220833778381E-4
1574466619,7.139220833778381E-4
1574466620,7.139220833778381E-4
1574466621,7.139220833778381E-4
1574466622,7.139220833778381E-4
1574466623,7.139220833778381E-4
1574466624,7.139220833778381E-4
1574466625,7.139220833778381E-4
1574466626,7.139220833778381E-4
1574466627,0.00135117769241333
1574466628,0.0021009668707847595
