t,value
1574466506,7733248
1574466507,7733248
1574466508,7733248
1574466509,7733248
1574466510,7733248
1574466511,7733248
1574466512,7733248
1574466513,7733248
1574466514,7733248
1574466515,7733248
1574466516,7733248
1574466517,7733248
1574466518,7733248
1574466519,7733248
1574466520,7733248
1574466521,7733248
1574466522,7733248
1574466523,7733248
1574466524,7733248
1574466525,7733248
1574466526,7733248
1574466527,7733248
1574466528,7733248
1574466529,7733248
1574466530,7733248
1574466531,7733248
1574466532,7733248
1574466533,7733248
1574466534,7995392
1574466535,7995392
1574466536,7995392
1574466537,7995392
1574466538,7995392
1574466539,7995392
1574466540,7995392
1574466541,7995392
1574466542,7995392
1574466543,7995392
1574466544,7995392
1574466545,7995392
1574466546,7995392
1574466547,7995392
1574466548,7995392
1574466549,7995392
1574466550,7995392
1574466551,7995392
1574466552,7995392
1574466553,7995392
1574466554,7995392
1574466555,7995392
1574466556,7995392
1574466557,7995392
1574466558,7995392
1574466559,7995392
1574466560,7995392
1574466561,7995392
1574466562,7995392
1574466563,7995392
1574466564,7995392
1574466565,7995392
1574466566,7995392
1574466567,7995392
1574466568,7995392
1574466569,7995392
1574466570,7995392
1574466571,7995392
1574466572,7995392
1574466573,7995392
1574466574,7995392
1574466575,7995392
1574466576,7995392
1574466577,7995392
1574466578,7995392
1574466579,7995392
1574466580,7995392
1574466581,7995392
1574466582,7995392
1574466583,7995392
1574466584,7995392
1574466585,7995392
1574466586,7995392
1574466587,7995392
1574466588,7995392
1574466589,7995392
1574466590,7995392
1574466591,7995392
1574466592,7995392
1574466593,7995392
1574466594,7995392
1574466595,7995392
1574466596,7995392
1574466597,7995392
1574466598,7995392
1574466599,7995392
1574466600,7995392
1574466601,7995392
1574466602,7995392
1574466603,7995392
1574466604,7995392
1574466605,7995392
1574466606,7995392
1574466607,7995392
1574466608,7995392
1574466609,7995392
1574466610,7995392
1574466611,7995392
1574466612,7995392
1574466613,7995392
1574466614,7995392
1574466615,7995392
1574466616,7995392
1574466617,7995392
1574466618,7995392
1574466619,7995392
1574466620,7995392
1574466621,7995392
1574466622,7995392
1574466623,7995392
1574466624,7995392
1574466625,7995392
1574466626,7995392
1574466627,14417920
1574466628,21757952
1574466629,21757952
1574466630,21757952
1574466631,21757952
1574466632,21757952
1574466633,21757952
1574466634,21757952
1574466635,21757952
1574466636,21757952
1574466637,21757952
1574466638,21757952
1574466639,22020096
1574466640,22020096
1574466641,22020096
1574466642,22020096
1574466643,22020096
1574466644,22020096
1574466645,22020096
1574466646,22020096
1574466647,22020096
1574466648,22020096
1574466649,22020096
1574466650,22020096
1574466651,22020096
1574466652,22020096
1574466653,22020096
1574466654,22020096
1574466655,22020096
1574466656,22020096
1574466657,22020096
1574466658,22020096
1574466659,22020096
1574466660,22020096
1574466661,22020096
1574466662,22020096
1574466663,22020096
1574466664,22020096
1574466665,22020096
1574466666,22020096
1574466667,22020096
1574466668,22020096
1574466669,22020096
1574466670,22020096
1574466671,22020096
1574466672,22020096
1574466673,22020096
1574466674,22020096
1574466675,22020096
1574466676,22020096
1574466677,22020096
1574466678,22020096
1574466679,22020096
1574466680,22020096
1574466681,22020096
1574466682,22020096
1574466683,22020096
1574466684,22020096
1574466685,22020096
1574466686,22020096
1574466687,22020096
1574466688,22020096
1574466689,22020096
1574466690,22020096
1574466691,22020096
1574466692,22020096
1574466693,22020096
1574466694,22020096
1574466695,22020096
1574466696,22020096
1574466697,22020096
1574466698,22020096
1574466699,22020096
1574466700,22020096
1574466701,22020096
1574466702,22020096
1574466703,22020096
1574466704,22020096
1574466705,22020096
1574466706,22020096
1574466707,22020096
1574466708,22020096
1574466709,22020096
1574466710,22020096
1574466711,22020096
1574466712,22020096
1574466713,22020096
1574466714,22020096
1574466715,22020096
1574466716,22020096
1574466717,22020096
1574466718,22020096
1574466719,22020096
1574466720,22020096
1574466721,22020096
1574466722,22020096
1574466723,22020096
1574466724,22020096
1574466725,22020096
1574466726,22020096
1574466727,22020096
1574466728,22020096
1574466729,22020096
1574466730,22020096
1574466731,22020096
1574466732,22020096
1574466733,22020096
1574466734,22020096
1574466735,22020096
1574466736,22020096
1574466737,22020096
1574466738,22020096
1574466739,22020096
1574466740,22020096
1574466741,22020096
1574466742,22020096
1574466743,22020096
1574466744,22020096
1574466745,22020096
1574466746,22020096
1574466747,22020096
1574466748,22020096
1574466749,22020096
1574466750,22020096
1574466751,22020096
1574466752,22020096
1574466753,22020096
1574466754,22020096
1574466755,22020096
1574466756,22020096
1574466757,22020096
1574466758,22020096
1574466759,22020096
1574466760,22020096
1574466761,22020096
1574466762,22020096
1574466763,22020096
1574466764,22020096
1574466765,22020096
1574466766,22020096
1574466767,22020096
1574466768,22020096
1574466769,22020096
1574466770,22020096
1574466771,22020096
1574466772,22020096
1574466773,22020096
1574466774,22020096
1574466775,22020096
1574466776,22020096
1574466777,22020096
1574466778,22020096
1574466779,22020096
1574466780,22020096
1574466781,22020096
1574466782,22020096
1574466783,22020096
1574466784,22020096
1574466785,22020096
1574466786,22020096
1574466787,22020096
1574466788,22020096
1574466789,22020096
1574466790,22020096
1574466791,22020096
1574466792,22020096
1574466793,22020096
1574466794,22020096
1574466795,22020096
1574466796,22020096
1574466797,22020096
1574466798,22020096
1574466799,22020096
1574466800,22020096
1574466801,22020096
1574466802,22020096
1574466803,22020096
1574466804,22020096
1574466805,22020096
1574466806,22020096
1574466807,22020096
1574466808,22020096
1574466809,22020096
1574466810,22020096
1574466811,22020096
1574466812,22020096
1574466813,22020096
1574466814,22020096
1574466815,22020096
1574466816,22020096
1574466817,22020096
1574466818,22020096
1574466819,22020096
1574466820,22020096
1574466821,22020096
1574466822,22020096
1574466823,22020096
1574466824,22020096
1574466825,22020096
1574466826,22020096
1574466827,22020096
1574466828,22020096
1574466829,22020096
1574466830,22020096
1574466831,22020096
1574466832,22020096
1574466833,22020096
1574466834,22020096
1574466835,22020096
1574466836,22020096
1574466837,22020096
1574466838,22020096
1574466839,22020096
1574466840,22020096
1574466841,22020096
1574466842,22020096
1574466843,22020096
1574466844,22020096
1574466845,22020096
1574466846,22020096
1574466847,22020096
1574466848,22020096
1574466849,22020096
1574466850,22020096
1574466851,22020096
1574466852,22020096
1574466853,22020096
1574466854,22020096
1574466855,22020096
1574466856,22020096
1574466857,22020096
1574466858,22020096
1574466859,22020096
1574466860,22020096
1574466861,22020096
1574466862,22020096
1574466863,22020096
1574466864,22020096
1574466865,22020096
1574466866,22020096
1574466867,22020096
1574466868,22020096
1574466869,22020096
1574466870,22020096
1574466871,22020096
1574466872,22020096
1574466873,22020096
1574466874,22020096
1574466875,22020096
1574466876,22020096
1574466877,22020096
1574466878,22020096
1574466879,22020096
1574466880,22020096
1574466881,22020096
1574466882,22020096
1574466883,22020096
1574466884,22020096
1574466885,22020096
1574466886,22020096
1574466887,22020096
1574466888,22020096
1574466889,22020096
1574466890,22020096
1574466891,22020096
1574466892,22020096
1574466893,22020096
1574466894,22020096
1574466895,22020096
1574466896,22020096
1574466897,22020096
1574466898,22020096
1574466899,22020096
1574466900,22020096
1574466901,22020096
1574466902,22020096
1574466903,22020096
1574466904,22020096
1574466905,22020096
1574466906,22020096
1574466907,22020096
1574466908,22020096
1574466909,22020096
1574466910,22020096
1574466911,22020096
1574466912,22020096
1574466913,22020096
1574466914,22020096
1574466915,22020096
1574466916,22020096
1574466917,22020096
1574466918,22020096
1574466919,22020096
1574466920,22020096
1574466921,22020096
1574466922,22020096
1574466923,22020096
1574466924,22020096
1574466925,22020096
1574466926,22020096
1574466927,22020096
1574466928,22020096
1574466929,22020096
1574466930,22020096
1574466931,22020096
1574466932,22020096
1574466933,22020096
1574466934,22020096
1574466935,22020096
1574466936,22020096
1574466937,22020096
1574466938,22020096
1574466939,22020096
1574466940,22020096
1574466941,22020096
1574466942,22020096
1574466943,22020096
1574466944,22020096
1574466945,22020096
1574466946,22020096
1574466947,22020096
1574466948,22020096
1574466949,22020096
1574466950,22020096
1574466951,22020096
1574466952,22020096
1574466953,22020096
1574466954,22020096
1574466955,22020096
1574466956,22020096
1574466957,22020096
1574466958,22020096
1574466959,22020096
1574466960,22020096
1574466961,22020096
1574466962,22020096
1574466963,22020096
1574466964,22020096
1574466965,22020096
1574466966,22020096
1574466967,22020096
1574466968,22020096
1574466969,22020096
1574466970,22020096
1574466971,22020096
1574466972,22020096
1574466973,22020096
1574466974,22020096
1574466975,22020096
1574466976,22020096
