t,value
1574466506,5599395840
1574466507,5599395840
1574466508,5599395840
1574466509,5599395840
1574466510,5599395840
1574466511,5599395840
1574466512,5599395840
1574466513,5599395840
1574466514,5599395840
1574466515,5599395840
1574466516,5599395840
1574466517,5599395840
1574466518,5599395840
1574466519,5599395840
1574466520,5599395840
1574466521,5599395840
1574466522,5599395840
1574466523,5599395840
1574466524,5599395840
1574466525,5599395840
1574466526,5599395840
1574466527,5599395840
1574466528,5599395840
1574466529,5599395840
1574466530,5599395840
1574466531,5599395840
1574466532,5599395840
1574466533,5599395840
1574466534,5599395840
1574466535,5599395840
1574466536,5599395840
1574466537,5599395840
1574466538,5599395840
1574466539,5599395840
1574466540,5599395840
1574466541,5599395840
1574466542,5599395840
1574466543,5599395840
1574466544,5599395840
1574466545,5599395840
1574466546,5599395840
1574466547,5599395840
1574466548,5599395840
1574466549,5599395840
1574466550,5599395840
1574466551,5599395840
1574466552,5599395840
1574466553,5599395840
1574466554,5599395840
1574466555,5599395840
1574466556,5599395840
1574466557,5599395840
1574466558,5599395840
1574466559,5599395840
1574466560,5599395840
1574466561,5599395840
1574466562,5599395840
1574466563,5599395840
1574466564,5599395840
1574466565,5599395840
1574466566,5599395840
1574466567,5599395840
1574466568,5599395840
1574466569,5599395840
1574466570,5599395840
1574466571,5599395840
1574466572,5599395840
1574466573,5599395840
1574466574,5599395840
1574466575,5599395840
1574466576,5599395840
1574466577,5599395840
1574466578,5599395840
1574466579,5599395840
1574466580,5599395840
1574466581,5599395840
1574466582,5599395840
1574466583,5599395840
1574466584,5599395840
1574466585,5599395840
1574466586,5599395840
1574466587,5599395840
1574466588,5599395840
1574466589,5599395840
1574466590,5599395840
1574466591,5599395840
1574466592,5599395840
1574466593,5599395840
1574466594,5599395840
1574466595,5599395840
1574466596,5599395840
1574466597,5599395840
1574466598,5599395840
1574466599,5599395840
1574466600,5599395840
1574466601,5599395840
1574466602,5599395840
1574466603,5599395840
1574466604,5599395840
1574466605,5599395840
1574466606,5599395840
1574466607,5599395840
1574466608,5599395840
1574466609,5599395840
1574466610,5599395840
1574466611,5599395840
1574466612,5599395840
1574466613,5599395840
1574466614,5599395840
1574466615,5599395840
1574466616,5599395840
1574466617,5599395840
1574466618,5599395840
1574466619,5599395840
1574466620,5599395840
1574466621,5599395840
1574466622,5599395840
1574466623,5599395840
1574466624,5599395840
1574466625,5599395840
1574466626,5599395840
1574466627,5599395840
1574466628,5599395840
1574466629,5599395840
1574466630,5599395840
1574466631,5599395840
1574466632,5599395840
1574466633,5599395840
1574466634,5599395840
1574466635,5599395840
1574466636,5599395840
1574466637,5599395840
1574466638,5599395840
1574466639,5599395840
1574466640,5599395840
1574466641,5599395840
1574466642,5599395840
1574466643,5599395840
1574466644,5599395840
1574466645,5599395840
1574466646,5599395840
1574466647,5599395840
1574466648,5599395840
1574466649,5599395840
1574466650,5599395840
1574466651,5599395840
1574466652,5599395840
1574466653,5599395840
1574466654,5599395840
1574466655,5599395840
1574466656,5599395840
1574466657,5599395840
1574466658,5599395840
1574466659,5599395840
1574466660,5599395840
1574466661,5599395840
1574466662,5599395840
1574466663,5599395840
1574466664,5599395840
1574466665,5599395840
1574466666,5599395840
1574466667,5599395840
1574466668,5599395840
1574466669,5599395840
1574466670,5599395840
1574466671,5599395840
1574466672,5599395840
1574466673,5599395840
1574466674,5599395840
1574466675,5599395840
1574466676,5599395840
1574466677,5599395840
1574466678,5599395840
1574466679,5599395840
1574466680,5599395840
1574466681,5599395840
1574466682,5599395840
1574466683,5599395840
1574466684,5599395840
1574466685,5599395840
1574466686,5599395840
1574466687,5599395840
1574466688,5599395840
1574466689,5599395840
1574466690,5599395840
1574466691,5599395840
1574466692,5599395840
1574466693,5599395840
1574466694,5599395840
1574466695,5599395840
1574466696,5599395840
1574466697,5599395840
1574466698,5599395840
1574466699,5599395840
1574466700,5599395840
1574466701,5599395840
1574466702,5599395840
1574466703,5599395840
1574466704,5599395840
1574466705,5599395840
1574466706,5599395840
1574466707,5599395840
1574466708,5599395840
1574466709,5599395840
1574466710,5599395840
1574466711,5599395840
1574466712,5599395840
1574466713,5599395840
1574466714,5599395840
1574466715,5599395840
1574466716,5599395840
1574466717,5599395840
1574466718,5599395840
1574466719,5599395840
1574466720,5599395840
1574466721,5599395840
1574466722,5599395840
1574466723,5599395840
1574466724,5599395840
1574466725,5599395840
1574466726,5599395840
1574466727,5599395840
1574466728,5599395840
1574466729,5599395840
1574466730,5599395840
1574466731,5599395840
1574466732,5599395840
1574466733,5599395840
1574466734,5599395840
1574466735,5599395840
1574466736,5599395840
1574466737,5599395840
1574466738,5599395840
1574466739,5599395840
1574466740,5599395840
1574466741,5599395840
1574466742,5599395840
1574466743,5599395840
1574466744,5599395840
