t,value
1574466507,526385152
1574466508,526385152
1574466509,526385152
1574466510,526385152
1574466511,526385152
1574466512,526385152
1574466513,526385152
1574466514,526385152
1574466515,526385152
1574466516,526385152
1574466517,526385152
1574466518,526385152
1574466519,526385152
1574466520,526385152
1574466521,526385152
1574466522,526385152
1574466523,526385152
1574466524,526385152
1574466525,526385152
1574466526,526385152
1574466527,526385152
1574466528,526385152
1574466529,526385152
1574466530,526385152
1574466531,526385152
1574466532,526385152
1574466533,526385152
1574466534,526385152
1574466535,526385152
1574466536,526385152
1574466537,526385152
1574466538,526385152
1574466539,526385152
1574466540,526385152
1574466541,526385152
1574466542,526385152
1574466543,526385152
1574466544,526385152
1574466545,526385152
1574466546,526385152
1574466547,526385152
1574466548,526385152
1574466549,526385152
1574466550,526385152
1574466551,526385152
1574466552,526385152
1574466553,526385152
1574466554,526385152
1574466555,526385152
1574466556,526385152
1574466557,526385152
1574466558,526385152
1574466559,526385152
1574466560,526385152
1574466561,526385152
1574466562,526385152
1574466563,526385152
1574466564,526385152
1574466565,526385152
1574466566,526385152
1574466567,526385152
1574466568,526385152
1574466569,526385152
1574466570,526385152
1574466571,526385152
1574466572,526385152
1574466573,526385152
1574466574,526385152
1574466575,526385152
1574466576,526385152
1574466577,526385152
1574466578,526385152
1574466579,526385152
1574466580,526385152
1574466581,526385152
1574466582,526385152
1574466583,526385152
1574466584,526385152
1574466585,526385152
1574466586,526385152
1574466587,526385152
1574466588,526385152
1574466589,526385152
1574466590,526385152
1574466591,526385152
1574466592,526385152
1574466593,526385152
1574466594,526385152
1574466595,526385152
1574466596,526385152
1574466597,526385152
1574466598,526385152
1574466599,526385152
1574466600,526385152
1574466601,526385152
1574466602,526385152
1574466603,526385152
1574466604,526385152
1574466605,526385152
1574466606,526385152
1574466607,526385152
1574466608,526385152
1574466609,526385152
1574466610,526385152
1574466611,526385152
1574466612,526385152
1574466613,526385152
1574466614,526385152
1574466615,526385152
1574466616,526385152
1574466617,526385152
1574466618,526385152
1574466619,526385152
1574466620,526385152
1574466621,526385152
1574466622,526385152
1574466623,526385152
1574466624,526385152
1574466625,526385152
1574466626,526385152
1574466627,526385152
1574466628,526385152
1574466629,526385152
1574466630,526385152
1574466631,526385152
1574466632,526385152
1574466633,526385152
1574466634,526385152
1574466635,526385152
1574466636,526385152
1574466637,526385152
1574466638,526385152
1574466639,526385152
1574466640,526385152
1574466641,526385152
1574466642,526385152
