t,value
1574466507,23781976
1574466508,26424408
1574466509,26424408
1574466510,29075024
1574466511,29075024
1574466512,29075024
1574466513,29075024
1574466514,31717432
1574466515,31717432
1574466516,31717432
1574466517,34359840
1574466518,34359840
1574466519,34359840
1574466520,37002248
1574466521,37002248
1574466522,37002248
1574466523,37002248
1574466524,39644656
1574466525,39644656
1574466526,39644656
1574466527,42287064
1574466528,42287064
1574466529,42287064
1574466530,44929472
1574466531,44929472
1574466532,44929472
1574466533,44929472
1574466534,47571880
1574466535,47571880
1574466536,47571880
1574466537,50214376
1574466538,50214376
1574466539,50214376
1574466540,52856808
1574466541,52856808
1574466542,52856808
1574466543,52856808
1574466544,55499216
1574466545,55499216
1574466546,55499216
1574466547,58141624
1574466548,58141624
1574466549,58141624
1574466550,60784128
1574466551,60784128
1574466552,60784128
1574466553,63426536
1574466554,63426536
1574466555,63426536
1574466556,63426536
1574466557,66068944
1574466558,66068944
1574466559,66068944
1574466560,68711352
1574466561,68711352
1574466562,68711352
1574466563,71353760
1574466564,71353760
1574466565,71353760
1574466566,71353760
1574466567,73996168
1574466568,73996168
1574466569,73996168
1574466570,76638576
1574466571,76638576
1574466572,76638576
1574466573,79281008
1574466574,79281008
1574466575,79281008
1574466576,79281008
1574466577,81923416
1574466578,81923416
1574466579,81923416
1574466580,84565824
1574466581,84565824
1574466582,84565824
1574466583,87208232
1574466584,87208232
1574466585,87208232
1574466586,87208232
1574466587,89850640
1574466588,89850640
1574466589,89850640
1574466590,92493152
1574466591,92493152
1574466592,92493152
1574466593,95135712
1574466594,95135712
1574466595,95135712
1574466596,95135712
1574466597,97778120
1574466598,97778120
1574466599,97778120
1574466600,100420528
1574466601,100420528
1574466602,100420528
1574466603,100420528
1574466604,103063016
1574466605,103063016
1574466606,103063016
1574466607,105705440
1574466608,105705440
1574466609,105705440
1574466610,108356056
1574466611,108356056
1574466612,108356056
1574466613,108356056
1574466614,111006672
1574466615,111006672
1574466616,111006672
1574466617,113649120
1574466618,113649120
1574466619,113649120
1574466620,113649120
1574466621,116291576
1574466622,116291576
1574466623,116291576
1574466624,118942192
1574466625,118942192
1574466626,118942192
1574466627,118942192
1574466628,121592808
1574466629,121592808
1574466630,121592808
1574466631,124243424
1574466632,124243424
1574466633,124243424
1574466634,124243424
1574466635,126885856
1574466636,126885856
1574466637,126885856
1574466638,129536472
1574466639,129536472
1574466640,129536472
1574466641,129536472
1574466642,132120576
1574466643,132120576
1574466644,132120576
1574466645,8058640
1574466646,8058640
1574466647,8058640
1574466648,11783760
1574466649,11783760
1574466650,11783760
1574466651,14195744
1574466652,14195744
1574466653,14195744
1574466654,14195744
1574466655,16607728
1574466656,16607728
1574466657,16607728
1574466658,19019712
1574466659,19019712
1574466660,19019712
1574466661,21423520
1574466662,21423520
1574466663,21423520
1574466664,23835504
1574466665,23835504
1574466666,23835504
1574466667,26239320
1574466668,26239320
1574466669,26239320
1574466670,28651304
1574466671,28651304
1574466672,28651304
1574466673,28651304
1574466674,31063288
1574466675,31063288
1574466676,31063288
1574466677,33475272
1574466678,33475272
1574466679,33475272
1574466680,35879088
1574466681,35879088
1574466682,35879088
1574466683,38291072
1574466684,38291072
1574466685,38291072
1574466686,40694888
1574466687,40694888
1574466688,40694888
1574466689,43106872
1574466690,43106872
1574466691,43106872
1574466692,43106872
1574466693,45518856
1574466694,45518856
1574466695,45518856
1574466696,47922720
1574466697,47922720
1574466698,47922720
1574466699,50334704
1574466700,50334704
1574466701,50334704
1574466702,52738496
1574466703,52738496
1574466704,52738496
