t,value
1574466507,0
1574466508,0
1574466509,0
1574466510,0
1574466511,0
1574466512,0
1574466513,0
1574466514,0
1574466515,0
1574466516,0
1574466517,0
1574466518,0
1574466519,0
1574466520,0
1574466521,0
1574466522,0
1574466523,0
1574466524,0
1574466525,0
1574466526,0
1574466527,0
1574466528,0
1574466529,0
1574466530,0
1574466531,0
1574466532,0
1574466533,0
1574466534,0
1574466535,0
1574466536,0
1574466537,0
1574466538,0
1574466539,0
1574466540,0
1574466541,0
1574466542,0
1574466543,0
1574466544,0
1574466545,0
1574466546,0
1574466547,0
1574466548,0
1574466549,0
1574466550,0
1574466551,0
1574466552,0
1574466553,0
1574466554,0
1574466555,0
1574466556,0
1574466557,0
1574466558,0
1574466559,0
1574466560,0
1574466561,0
1574466562,0
1574466563,0
1574466564,0
1574466565,0
1574466566,0
1574466567,0
1574466568,0
1574466569,0
1574466570,0
1574466571,0
1574466572,0
1574466573,0
1574466574,0
1574466575,0
1574466576,0
1574466577,0
1574466578,0
1574466579,0
1574466580,0
1574466581,0
1574466582,0
1574466583,0
1574466584,0
1574466585,0
1574466586,0
1574466587,0
1574466588,0
1574466589,0
1574466590,0
1574466591,0
1574466592,0
1574466593,0
1574466594,0
1574466595,0
1574466596,0
1574466597,0
1574466598,0
1574466599,0
1574466600,0
1574466601,0
1574466602,0
1574466603,0
1574466604,0
1574466605,0
1574466606,0
1574466607,0
1574466608,0
1574466609,0
1574466610,0
1574466611,0
1574466612,0
1574466613,0
1574466614,0
1574466615,0
1574466616,0
1574466617,0
1574466618,0
1574466619,0
1574466620,0
1574466621,0
1574466622,0
1574466623,0
1574466624,0
1574466625,0
1574466626,0
1574466627,0
1574466628,0
1574466629,0
1574466630,0
1574466631,0
1574466632,0
1574466633,0
1574466634,0
1574466635,0
1574466636,0
1574466637,0
1574466638,0
1574466639,0
1574466640,0
1574466641,0
1574466642,0
1574466643,0
1574466644,0
1574466645,0
1574466646,0
1574466647,0
1574466648,0
1574466649,0
1574466650,0
1574466651,0
1574466652,0
1574466653,0
1574466654,0
1574466655,0
1574466656,0
1574466657,0
1574466658,0
1574466659,0
1574466660,0
1574466661,0
1574466662,0
1574466663,0
1574466664,0
1574466665,0
1574466666,0
1574466667,0
1574466668,0
1574466669,0
1574466670,0
1574466671,0
1574466672,0
1574466673,0
1574466674,0
1574466675,0
1574466676,0
1574466677,0
1574466678,0
1574466679,0
1574466680,0
1574466681,0
1574466682,0
1574466683,0
1574466684,0
1574466685,0
1574466686,0
1574466687,0
1574466688,0
1574466689,0
1574466690,0
1574466691,0
1574466692,0
1574466693,0
1574466694,0
1574466695,0
1574466696,0
1574466697,0
1574466698,0
1574466699,0
1574466700,0
1574466701,0
1574466702,0
1574466703,0
1574466704,0
1574466705,0
1574466706,0
1574466707,0
1574466708,0
1574466709,0
1574466710,0
1574466711,0
1574466712,0
1574466713,0
1574466714,0
1574466715,0
1574466716,0
1574466717,0
1574466718,0
1574466719,0
1574466720,0
1574466721,0
1574466722,0
1574466723,0
1574466724,0
1574466725,0
1574466726,0
1574466727,0
1574466728,0
1574466729,0
1574466730,0
1574466731,0
1574466732,0
1574466733,0
1574466734,0
1574466735,0
1574466736,0
1574466737,0
1574466738,0
1574466739,0
1574466740,0
1574466741,0
1574466742,0
1574466743,0
1574466744,0
1574466745,0
1574466746,0
1574466747,0
1574466748,0
1574466749,0
1574466750,0
1574466751,0
1574466752,0
1574466753,0
1574466754,0
1574466755,0
1574466756,0
1574466757,0
1574466758,0
1574466759,0
1574466760,0
1574466761,0
1574466762,0
1574466763,0
1574466764,0
1574466765,0
1574466766,0
1574466767,0
1574466768,0
1574466769,0
1574466770,0
1574466771,0
1574466772,0
1574466773,0
1574466774,0
1574466775,0
1574466776,0
1574466777,0
1574466778,0
1574466779,0
1574466780,0
1574466781,0
1574466782,0
1574466783,0
1574466784,0
1574466785,0
1574466786,0
1574466787,0
1574466788,0
1574466789,0
1574466790,0
1574466791,0
1574466792,0
1574466793,0
1574466794,0
1574466795,0
1574466796,0
1574466797,0
1574466798,0
1574466799,0
1574466800,0
1574466801,0
1574466802,0
1574466803,0
1574466804,0
1574466805,0
1574466806,0
1574466807,0
1574466808,0
1574466809,0
1574466810,0
1574466811,0
1574466812,0
1574466813,0
1574466814,0
1574466815,0
1574466816,0
1574466817,0
1574466818,0
1574466819,0
1574466820,0
1574466821,0
1574466822,0
1574466823,0
1574466824,0
1574466825,0
1574466826,0
1574466827,0
1574466828,0
1574466829,0
1574466830,0
1574466831,0
1574466832,0
1574466833,0
1574466834,0
1574466835,0
1574466836,0
1574466837,0
1574466838,0
1574466839,0
1574466840,0
1574466841,0
1574466842,0
1574466843,0
1574466844,0
1574466845,0
1574466846,0
1574466847,0
1574466848,0
1574466849,0
1574466850,0
1574466851,0
1574466852,0
1574466853,0
1574466854,0
1574466855,0
1574466856,0
1574466857,0
1574466858,0
1574466859,0
1574466860,0
1574466861,0
1574466862,0
1574466863,0
1574466864,0
1574466865,0
1574466866,0
1574466867,0
1574466868,0
1574466869,0
1574466870,0
1574466871,0
1574466872,0
1574466873,0
1574466874,0
1574466875,0
1574466876,0
1574466877,0
1574466878,0
1574466879,0
1574466880,0
1574466881,0
1574466882,0
1574466883,0
1574466884,0
1574466885,0
1574466886,0
1574466887,0
1574466888,0
1574466889,0
1574466890,0
1574466891,0
1574466892,0
1574466893,0
1574466894,0
1574466895,0
1574466896,0
1574466897,0
1574466898,0
1574466899,0
1574466900,0
1574466901,0
1574466902,0
1574466903,0
1574466904,0
1574466905,0
1574466906,0
1574466907,0
1574466908,0
1574466909,0
1574466910,0
1574466911,0
1574466912,0
1574466913,0
1574466914,0
1574466915,0
1574466916,0
1574466917,0
1574466918,0
1574466919,0
1574466920,0
1574466921,0
1574466922,0
1574466923,0
1574466924,0
1574466925,0
1574466926,0
1574466927,0
1574466928,0
1574466929,0
1574466930,0
1574466931,0
1574466932,0
1574466933,0
1574466934,0
1574466935,0
1574466936,0
1574466937,0
1574466938,0
1574466939,0
1574466940,0
1574466941,0
1574466942,0
1574466943,0
1574466944,0
1574466945,0
1574466946,0
1574466947,0
1574466948,0
1574466949,0
1574466950,0
1574466951,0
