t,value
1574466507,8
1574466508,8
1574466509,8
1574466510,8
1574466511,8
1574466512,8
1574466513,8
1574466514,8
1574466515,8
1574466516,8
1574466517,8
1574466518,8
1574466519,8
1574466520,8
1574466521,8
1574466522,8
1574466523,8
1574466524,8
1574466525,8
1574466526,8
1574466527,8
1574466528,8
1574466529,8
1574466530,8
1574466531,8
1574466532,8
1574466533,8
1574466534,8
1574466535,8
1574466536,8
1574466537,8
1574466538,8
1574466539,8
1574466540,8
1574466541,8
1574466542,8
1574466543,8
1574466544,8
1574466545,8
1574466546,8
1574466547,8
1574466548,8
1574466549,8
1574466550,8
1574466551,8
1574466552,8
1574466553,8
1574466554,8
1574466555,8
1574466556,8
1574466557,8
1574466558,8
1574466559,8
1574466560,8
1574466561,8
1574466562,8
1574466563,8
1574466564,8
1574466565,8
1574466566,8
1574466567,8
1574466568,8
1574466569,8
1574466570,8
1574466571,8
1574466572,8
1574466573,8
1574466574,8
1574466575,8
1574466576,8
1574466577,8
1574466578,8
1574466579,8
1574466580,8
1574466581,8
1574466582,8
1574466583,8
1574466584,8
1574466585,8
1574466586,8
1574466587,8
1574466588,8
1574466589,8
1574466590,8
1574466591,8
1574466592,8
1574466593,8
1574466594,8
1574466595,8
1574466596,8
1574466597,8
1574466598,8
1574466599,8
1574466600,8
1574466601,8
1574466602,8
1574466603,8
1574466604,8
1574466605,8
1574466606,8
1574466607,8
1574466608,8
1574466609,8
1574466610,8
1574466611,8
1574466612,8
1574466613,8
1574466614,8
1574466615,8
1574466616,8
1574466617,8
1574466618,8
1574466619,8
1574466620,8
1574466621,8
1574466622,8
1574466623,8
1574466624,8
1574466625,8
1574466626,8
1574466627,8
1574466628,8
1574466629,8
1574466630,8
1574466631,8
1574466632,8
1574466633,8
1574466634,8
1574466635,8
1574466636,8
1574466637,8
1574466638,8
1574466639,8
1574466640,8
1574466641,8
1574466642,8
1574466643,8
1574466644,8
1574466645,8
1574466646,8
1574466647,8
1574466648,8
1574466649,8
1574466650,8
1574466651,8
1574466652,8
1574466653,8
1574466654,8
1574466655,8
1574466656,8
1574466657,8
1574466658,8
1574466659,8
1574466660,8
1574466661,8
1574466662,8
1574466663,8
1574466664,8
1574466665,8
1574466666,8
1574466667,8
1574466668,8
1574466669,8
1574466670,8
1574466671,8
1574466672,8
1574466673,8
1574466674,8
1574466675,8
1574466676,8
1574466677,8
1574466678,8
1574466679,8
1574466680,8
1574466681,8
1574466682,8
1574466683,8
1574466684,8
1574466685,8
1574466686,8
1574466687,8
1574466688,8
