t,value
1574466506,504889344
1574466507,504889344
1574466508,504889344
1574466509,504889344
1574466510,504889344
1574466511,504889344
1574466512,504889344
1574466513,504889344
1574466514,504889344
1574466515,504889344
1574466516,504889344
1574466517,504889344
1574466518,504889344
1574466519,504889344
1574466520,504889344
1574466521,504889344
1574466522,504889344
1574466523,504889344
1574466524,504889344
1574466525,504889344
1574466526,504889344
1574466527,504889344
1574466528,504889344
1574466529,504889344
1574466530,504889344
1574466531,504889344
1574466532,504889344
1574466533,504889344
1574466534,504889344
1574466535,504889344
1574466536,504889344
1574466537,504889344
1574466538,504889344
1574466539,504889344
1574466540,504889344
1574466541,504889344
1574466542,504889344
1574466543,504889344
1574466544,504889344
1574466545,504889344
1574466546,504889344
1574466547,504889344
1574466548,504889344
1574466549,504889344
1574466550,504889344
1574466551,504889344
1574466552,504889344
1574466553,504889344
1574466554,504889344
1574466555,504889344
1574466556,504889344
1574466557,504889344
1574466558,504889344
1574466559,504889344
1574466560,504889344
1574466561,504889344
1574466562,504889344
1574466563,504889344
1574466564,504889344
1574466565,504889344
1574466566,504889344
1574466567,504889344
1574466568,504889344
1574466569,504889344
1574466570,504889344
1574466571,504889344
1574466572,504889344
1574466573,504889344
1574466574,504889344
1574466575,504889344
1574466576,504889344
1574466577,504889344
1574466578,504889344
1574466579,504889344
1574466580,504889344
1574466581,504889344
1574466582,504889344
1574466583,504889344
1574466584,504889344
1574466585,504889344
1574466586,504889344
1574466587,504889344
1574466588,504889344
1574466589,504889344
1574466590,504889344
1574466591,504889344
1574466592,504889344
1574466593,504889344
1574466594,504889344
1574466595,504889344
1574466596,504889344
1574466597,504889344
1574466598,504889344
1574466599,504889344
1574466600,504889344
1574466601,504889344
1574466602,504889344
1574466603,504889344
1574466604,504889344
1574466605,504889344
1574466606,504889344
1574466607,504889344
1574466608,504889344
1574466609,504889344
1574466610,504889344
1574466611,504889344
1574466612,504889344
1574466613,504889344
1574466614,504889344
1574466615,504889344
1574466616,504889344
1574466617,504889344
1574466618,504889344
1574466619,504889344
1574466620,504889344
1574466621,504889344
1574466622,504889344
1574466623,504889344
1574466624,504889344
1574466625,504889344
1574466626,504889344
1574466627,504889344
1574466628,504889344
1574466629,504889344
1574466630,504889344
1574466631,504889344
1574466632,504889344
1574466633,504889344
1574466634,504889344
1574466635,504889344
1574466636,504889344
1574466637,504889344
1574466638,504889344
1574466639,504889344
1574466640,504889344
1574466641,504889344
1574466642,504889344
1574466643,504889344
1574466644,504889344
1574466645,504889344
1574466646,504889344
1574466647,504889344
1574466648,504889344
1574466649,504889344
1574466650,504889344
1574466651,504889344
1574466652,504889344
1574466653,504889344
1574466654,504889344
1574466655,504889344
1574466656,504889344
1574466657,504889344
1574466658,504889344
1574466659,504889344
1574466660,504889344
1574466661,504889344
1574466662,504889344
1574466663,504889344
1574466664,504889344
1574466665,504889344
1574466666,504889344
1574466667,504889344
1574466668,504889344
1574466669,504889344
1574466670,504889344
1574466671,504889344
1574466672,504889344
1574466673,504889344
1574466674,504889344
1574466675,504889344
1574466676,504889344
1574466677,504889344
1574466678,504889344
1574466679,504889344
1574466680,504889344
1574466681,504889344
1574466682,504889344
1574466683,504889344
1574466684,504889344
1574466685,504889344
1574466686,504889344
1574466687,504889344
1574466688,504889344
1574466689,504889344
1574466690,504889344
1574466691,504889344
1574466692,504889344
1574466693,504889344
1574466694,504889344
1574466695,504889344
1574466696,504889344
1574466697,504889344
1574466698,504889344
1574466699,504889344
1574466700,504889344
1574466701,504889344
1574466702,504889344
1574466703,504889344
1574466704,504889344
1574466705,504889344
1574466706,504889344
1574466707,504889344
1574466708,504889344
1574466709,504889344
1574466710,504889344
1574466711,504889344
1574466712,504889344
1574466713,504889344
1574466714,504889344
1574466715,504889344
1574466716,504889344
1574466717,504889344
1574466718,504889344
1574466719,504889344
1574466720,504889344
1574466721,504889344
1574466722,504889344
1574466723,504889344
1574466724,504889344
1574466725,504889344
1574466726,504889344
1574466727,504889344
1574466728,504889344
1574466729,504889344
1574466730,504889344
1574466731,504889344
1574466732,504889344
1574466733,504889344
1574466734,504889344
1574466735,504889344
1574466736,504889344
1574466737,504889344
1574466738,504889344
1574466739,504889344
1574466740,504889344
1574466741,504889344
1574466742,504889344
1574466743,504889344
1574466744,504889344
1574466745,504889344
1574466746,504889344
1574466747,504889344
1574466748,504889344
1574466749,504889344
1574466750,504889344
1574466751,504889344
1574466752,504889344
1574466753,504889344
1574466754,504889344
1574466755,504889344
1574466756,504889344
1574466757,504889344
1574466758,504889344
1574466759,504889344
1574466760,504889344
1574466761,504889344
1574466762,504889344
1574466763,504889344
1574466764,504889344
1574466765,504889344
1574466766,504889344
1574466767,504889344
1574466768,504889344
1574466769,504889344
1574466770,504889344
1574466771,504889344
1574466772,504889344
1574466773,504889344
1574466774,504889344
1574466775,504889344
1574466776,504889344
1574466777,504889344
1574466778,504889344
1574466779,504889344
1574466780,504889344
