t,value
1574466506,26424408
1574466507,26424408
1574466508,26424408
1574466509,29075024
1574466510,29075024
1574466511,29075024
1574466512,29075024
1574466513,31717432
1574466514,31717432
1574466515,31717432
1574466516,34359840
1574466517,34359840
1574466518,34359840
1574466519,37002272
1574466520,37002272
1574466521,37002272
1574466522,37002272
1574466523,39644856
1574466524,39644856
1574466525,39644856
1574466526,42287264
1574466527,42287264
1574466528,42287264
1574466529,44929672
1574466530,44929672
1574466531,44929672
1574466532,44929672
1574466533,47572080
1574466534,47572080
1574466535,47572080
1574466536,50214488
1574466537,50214488
1574466538,50214488
1574466539,52856896
1574466540,52856896
1574466541,52856896
1574466542,55499304
1574466543,55499304
1574466544,55499304
1574466545,55499304
1574466546,58141712
1574466547,58141712
1574466548,58141712
1574466549,60784152
1574466550,60784152
1574466551,60784152
1574466552,63426656
1574466553,63426656
1574466554,63426656
1574466555,63426656
1574466556,66069064
1574466557,66069064
1574466558,66069064
1574466559,68711472
1574466560,68711472
1574466561,68711472
1574466562,71353880
1574466563,71353880
1574466564,71353880
1574466565,71353880
1574466566,73996288
1574466567,73996288
1574466568,73996288
1574466569,76638720
1574466570,76638720
1574466571,76638720
1574466572,79281192
1574466573,79281192
1574466574,79281192
1574466575,79281192
1574466576,81923696
1574466577,81923696
1574466578,81923696
1574466579,84566104
1574466580,84566104
1574466581,84566104
1574466582,87208664
1574466583,87208664
1574466584,87208664
1574466585,87208664
1574466586,89851072
1574466587,89851072
1574466588,89851072
1574466589,92493528
1574466590,92493528
1574466591,92493528
1574466592,95135936
1574466593,95135936
1574466594,95135936
1574466595,95135936
1574466596,97778344
1574466597,97778344
1574466598,97778344
1574466599,100420792
1574466600,100420792
1574466601,100420792
1574466602,103071408
1574466603,103071408
1574466604,103071408
1574466605,103071408
1574466606,105722024
1574466607,105722024
1574466608,105722024
1574466609,108372640
1574466610,108372640
1574466611,108372640
1574466612,108372640
1574466613,111023256
1574466614,111023256
1574466615,111023256
1574466616,113665680
1574466617,113665680
1574466618,113665680
1574466619,113665680
1574466620,116316296
1574466621,116316296
1574466622,116316296
1574466623,118958728
1574466624,118958728
1574466625,118958728
1574466626,118958728
1574466627,121609344
1574466628,121609344
1574466629,121609344
1574466630,124259960
1574466631,124259960
1574466632,124259960
1574466633,124259960
1574466634,126910576
1574466635,126910576
1574466636,126910576
1574466637,129561192
1574466638,129561192
1574466639,129561192
1574466640,129561192
1574466641,132120576
1574466642,132120576
1574466643,132120576
1574466644,8074768
1574466645,8074768
1574466646,8074768
1574466647,11807776
1574466648,11807776
1574466649,11807776
1574466650,14219488
1574466651,14219488
1574466652,14219488
1574466653,16623008
1574466654,16623008
1574466655,16623008
1574466656,19034720
1574466657,19034720
1574466658,19034720
1574466659,19034720
1574466660,21438256
1574466661,21438256
1574466662,21438256
1574466663,23841784
1574466664,23841784
1574466665,23841784
1574466666,26245336
1574466667,26245336
1574466668,26245336
1574466669,28648896
1574466670,28648896
1574466671,28648896
1574466672,31052464
1574466673,31052464
1574466674,31052464
1574466675,33464176
1574466676,33464176
1574466677,33464176
1574466678,33464176
1574466679,35867696
1574466680,35867696
1574466681,35867696
1574466682,38271224
1574466683,38271224
1574466684,38271224
1574466685,40674872
1574466686,40674872
1574466687,40674872
1574466688,43078408
1574466689,43078408
1574466690,43078408
1574466691,45490120
1574466692,45490120
1574466693,45490120
1574466694,47893664
1574466695,47893664
1574466696,47893664
1574466697,47893664
1574466698,50305376
1574466699,50305376
1574466700,50305376
1574466701,52717088
1574466702,52717088
1574466703,52717088
1574466704,55128800
1574466705,55128800
1574466706,55128800
1574466707,57540512
1574466708,57540512
1574466709,57540512
1574466710,59952224
1574466711,59952224
1574466712,59952224
1574466713,62363936
1574466714,62363936
1574466715,62363936
1574466716,62363936
1574466717,64775648
1574466718,64775648
1574466719,64775648
1574466720,67187360
1574466721,67187360
1574466722,67187360
1574466723,69599072
1574466724,69599072
1574466725,69599072
1574466726,72010784
1574466727,74653224
1574466728,74653224
1574466729,77064936
1574466730,77064936
1574466731,77064936
1574466732,77064936
1574466733,79476648
1574466734,79476648
1574466735,79476648
1574466736,81888360
1574466737,81888360
1574466738,81888360
1574466739,84300072
1574466740,84300072
1574466741,84300072
1574466742,86711784
1574466743,86711784
1574466744,86711784
1574466745,89123496
1574466746,89123496
1574466747,89123496
1574466748,89123496
1574466749,91535208
1574466750,91535208
1574466751,91535208
1574466752,93946920
1574466753,93946920
1574466754,93946920
1574466755,96358632
1574466756,96358632
1574466757,97679856
1574466758,100091568
1574466759,100091568
1574466760,100091568
1574466761,102503280
1574466762,102503280
1574466763,102503280
1574466764,102503280
1574466765,104914992
1574466766,104914992
1574466767,104914992
1574466768,107326704
1574466769,107326704
1574466770,107326704
1574466771,109738416
1574466772,109738416
1574466773,109738416
1574466774,112150128
1574466775,112150128
1574466776,112150128
1574466777,114561840
1574466778,114561840
1574466779,114561840
1574466780,116973552
1574466781,116973552
1574466782,116973552
1574466783,116973552
1574466784,119385264
1574466785,119385264
1574466786,119385264
1574466787,121796976
1574466788,121796976
1574466789,121796976
1574466790,124208688
1574466791,124208688
1574466792,124208688
