t,value
1574466506,12189696
1574466507,12648448
1574466508,12845056
1574466509,12976128
1574466510,13041664
1574466511,13238272
1574466512,13303808
1574466513,13369344
1574466514,13369344
1574466515,13369344
1574466516,13369344
1574466517,13369344
1574466518,13369344
1574466519,13369344
1574466520,13369344
1574466521,13369344
1574466522,13434880
1574466523,13434880
1574466524,13434880
1574466525,13434880
1574466526,13434880
1574466527,13434880
1574466528,13434880
1574466529,13500416
1574466530,13500416
1574466531,13500416
1574466532,13500416
1574466533,13500416
1574466534,13500416
1574466535,13762560
1574466536,13762560
1574466537,13828096
1574466538,13828096
1574466539,13828096
1574466540,13828096
1574466541,13828096
1574466542,13828096
1574466543,13828096
1574466544,13893632
1574466545,13893632
1574466546,13893632
1574466547,13893632
1574466548,13893632
1574466549,13893632
1574466550,13893632
1574466551,13893632
1574466552,13893632
1574466553,13893632
1574466554,13893632
1574466555,13893632
1574466556,13893632
1574466557,13893632
1574466558,13893632
1574466559,13893632
1574466560,13893632
1574466561,13893632
1574466562,13959168
1574466563,13959168
1574466564,13959168
1574466565,13959168
1574466566,13959168
1574466567,13959168
1574466568,13959168
1574466569,13959168
1574466570,13959168
1574466571,13959168
1574466572,13959168
1574466573,13959168
1574466574,13959168
1574466575,13959168
1574466576,13959168
1574466577,13959168
1574466578,13959168
1574466579,13959168
1574466580,13959168
1574466581,13959168
1574466582,13959168
1574466583,13959168
1574466584,13959168
1574466585,13959168
1574466586,13959168
1574466587,13959168
1574466588,13959168
1574466589,13959168
1574466590,13959168
1574466591,13959168
1574466592,13959168
1574466593,13959168
1574466594,13959168
1574466595,13959168
1574466596,13959168
1574466597,13959168
1574466598,13959168
1574466599,14090240
1574466600,14090240
1574466601,14090240
1574466602,14090240
1574466603,14090240
1574466604,14090240
1574466605,14090240
1574466606,14090240
1574466607,14090240
1574466608,14090240
1574466609,14090240
1574466610,14090240
1574466611,14090240
1574466612,14090240
1574466613,14090240
1574466614,14090240
1574466615,14090240
1574466616,14090240
1574466617,14090240
1574466618,14090240
1574466619,14090240
1574466620,14090240
1574466621,14090240
1574466622,14090240
1574466623,14090240
1574466624,14090240
1574466625,14090240
1574466626,14090240
1574466627,14090240
1574466628,14090240
1574466629,14090240
1574466630,14155776
1574466631,14155776
1574466632,14155776
1574466633,14155776
1574466634,14155776
1574466635,14155776
1574466636,14155776
1574466637,14155776
1574466638,14155776
1574466639,14155776
1574466640,14155776
1574466641,14155776
1574466642,14155776
1574466643,14155776
1574466644,14155776
1574466645,14155776
1574466646,14155776
1574466647,14155776
1574466648,14155776
1574466649,14155776
1574466650,14155776
1574466651,14155776
1574466652,14155776
1574466653,14155776
1574466654,14155776
1574466655,14155776
1574466656,14155776
1574466657,14155776
1574466658,14155776
1574466659,14155776
1574466660,14155776
1574466661,14155776
1574466662,14155776
1574466663,14155776
1574466664,14155776
1574466665,14155776
1574466666,14155776
1574466667,14155776
1574466668,14155776
1574466669,14155776
1574466670,14155776
1574466671,14155776
1574466672,14155776
1574466673,14155776
1574466674,14155776
1574466675,14155776
1574466676,14155776
1574466677,14155776
1574466678,14155776
1574466679,14155776
1574466680,14155776
1574466681,14155776
1574466682,14155776
1574466683,14155776
1574466684,14155776
1574466685,14155776
1574466686,14155776
1574466687,14155776
1574466688,14155776
1574466689,14155776
1574466690,14155776
1574466691,14221312
1574466692,14221312
1574466693,14221312
1574466694,14221312
1574466695,14221312
1574466696,14221312
1574466697,14221312
1574466698,14221312
1574466699,14221312
1574466700,14221312
1574466701,14221312
1574466702,14221312
1574466703,14221312
1574466704,14221312
1574466705,14221312
1574466706,14221312
1574466707,14221312
1574466708,14221312
1574466709,14221312
1574466710,14221312
1574466711,14221312
1574466712,14221312
1574466713,14221312
1574466714,14221312
1574466715,14221312
1574466716,14221312
1574466717,14221312
1574466718,14221312
1574466719,14221312
1574466720,14221312
1574466721,14221312
1574466722,14221312
1574466723,14221312
1574466724,14221312
1574466725,14221312
1574466726,14221312
1574466727,14221312
1574466728,14221312
1574466729,14221312
1574466730,14221312
1574466731,14221312
1574466732,14221312
1574466733,14221312
1574466734,14221312
1574466735,14221312
1574466736,14221312
1574466737,14221312
1574466738,14221312
1574466739,14221312
1574466740,14221312
1574466741,14221312
1574466742,14221312
1574466743,14221312
1574466744,14221312
1574466745,14221312
1574466746,14221312
1574466747,14221312
1574466748,14221312
1574466749,14221312
1574466750,14221312
1574466751,14221312
1574466752,14221312
1574466753,14221312
1574466754,14221312
1574466755,14221312
1574466756,14221312
1574466757,14221312
1574466758,14221312
1574466759,14221312
1574466760,14221312
1574466761,14221312
1574466762,14221312
1574466763,14221312
1574466764,14221312
1574466765,14221312
1574466766,14286848
1574466767,14286848
1574466768,14286848
1574466769,14286848
1574466770,14286848
1574466771,14286848
1574466772,14286848
1574466773,14286848
1574466774,14286848
1574466775,14286848
1574466776,14286848
1574466777,14286848
1574466778,14286848
1574466779,14286848
1574466780,14286848
1574466781,14286848
1574466782,14286848
1574466783,14286848
1574466784,14286848
1574466785,14286848
1574466786,14286848
1574466787,14286848
1574466788,14286848
1574466789,14286848
1574466790,14286848
1574466791,14286848
1574466792,14286848
1574466793,14286848
1574466794,14286848
1574466795,14286848
1574466796,14286848
1574466797,14286848
1574466798,14286848
1574466799,14286848
1574466800,14286848
1574466801,14286848
1574466802,14286848
1574466803,14286848
1574466804,14286848
1574466805,14286848
1574466806,14286848
1574466807,14286848
1574466808,14286848
1574466809,14286848
1574466810,14286848
1574466811,14286848
1574466812,14286848
1574466813,14286848
1574466814,14286848
1574466815,14286848
1574466816,14286848
1574466817,14286848
1574466818,14286848
1574466819,14286848
1574466820,14286848
1574466821,14286848
1574466822,14286848
1574466823,14286848
1574466824,14286848
1574466825,14286848
1574466826,14286848
1574466827,14286848
1574466828,14286848
1574466829,14286848
1574466830,14286848
1574466831,14286848
1574466832,14286848
1574466833,14286848
1574466834,14286848
1574466835,14286848
1574466836,14286848
1574466837,14286848
1574466838,14286848
1574466839,14286848
1574466840,14286848
1574466841,14286848
1574466842,14286848
1574466843,14286848
1574466844,14286848
1574466845,14286848
1574466846,14286848
1574466847,14286848
1574466848,14286848
1574466849,14286848
1574466850,14286848
1574466851,14286848
1574466852,14286848
1574466853,14286848
1574466854,14286848
1574466855,14286848
1574466856,14286848
1574466857,14286848
1574466858,14286848
1574466859,14286848
1574466860,14286848
1574466861,14286848
1574466862,14286848
1574466863,14286848
1574466864,14286848
1574466865,14286848
1574466866,14286848
1574466867,14286848
1574466868,14286848
1574466869,14286848
