t,value
1574466506,-1.1649696E7
1574466507,-1.1946704E7
1574466508,-1.2219784E7
1574466509,-1.2353672E7
1574466510,-1.2454432E7
1574466511,-1.265616E7
1574466512,-1.2705392E7
1574466513,-1.2756976E7
1574466514,-1.2761904E7
1574466515,-1.2766472E7
1574466516,-1.2771144E7
1574466517,-1.277732E7
1574466518,-1.2781992E7
1574466519,-1.2783112E7
1574466520,-1.2788744E7
1574466521,-1.2788744E7
1574466522,-1.2824776E7
1574466523,-1.2825672E7
1574466524,-1.2835328E7
1574466525,-1.2836416E7
1574466526,-1.2840448E7
1574466527,-1.2851232E7
1574466528,-1.2855648E7
1574466529,-1.2891464E7
1574466530,-1.2930664E7
1574466531,-1.2930664E7
1574466532,-1.293172E7
1574466533,-1.293172E7
1574466534,-1.2900792E7
1574466535,-1.2943792E7
1574466536,-1.295036E7
1574466537,-1.2979672E7
1574466538,-1.299188E7
1574466539,-1.299252E7
1574466540,-1.299252E7
1574466541,-1.299252E7
1574466542,-1.299316E7
1574466543,-1.299316E7
1574466544,-1.3021832E7
1574466545,-1.3021832E7
1574466546,-1.302404E7
1574466547,-1.3029096E7
1574466548,-1.3029992E7
1574466549,-1.306788E7
1574466550,-1.3081448E7
1574466551,-1.308356E7
1574466552,-1.3088936E7
1574466553,-1.3107368E7
1574466554,-1.3107368E7
1574466555,-1.311044E7
1574466556,-1.311044E7
1574466557,-1.312792E7
1574466558,-1.312792E7
1574466559,-1.312792E7
1574466560,-1.312792E7
1574466561,-1.312792E7
1574466562,-1.3108656E7
1574466563,-1.3108656E7
1574466564,-1.311288E7
1574466565,-1.311288E7
1574466566,-1.311288E7
1574466567,-1.3119552E7
1574466568,-1.312436E7
1574466569,-1.312548E7
1574466570,-1.3127616E7
1574466571,-1.3127616E7
1574466572,-1.3127616E7
1574466573,-1.3127616E7
1574466574,-1.3127616E7
1574466575,-1.3127616E7
1574466576,-1.3127616E7
1574466577,-1.3127616E7
1574466578,-1.3127616E7
1574466579,-1.3127616E7
1574466580,-1.3127616E7
1574466581,-1.3132288E7
1574466582,-1.3132288E7
1574466583,-1.3132288E7
1574466584,-1.3132288E7
1574466585,-1.3132288E7
1574466586,-1.3132288E7
1574466587,-1.3132288E7
1574466588,-1.3132288E7
1574466589,-1.3132064E7
1574466590,-1.3134416E7
1574466591,-1.313928E7
1574466592,-1.3145264E7
1574466593,-1.3145264E7
1574466594,-1.3145264E7
1574466595,-1.3138736E7
1574466596,-1.3089456E7
1574466597,-1.3105776E7
1574466598,-1.3112944E7
1574466599,-1.3209904E7
1574466600,-1.3209904E7
1574466601,-1.3210736E7
1574466602,-1.3210736E7
1574466603,-1.3210736E7
1574466604,-1.3210736E7
1574466605,-1.3210736E7
1574466606,-1.3210736E7
1574466607,-1.321656E7
1574466608,-1.321656E7
1574466609,-1.321656E7
1574466610,-1.3217136E7
1574466611,-1.3217136E7
1574466612,-1.3248608E7
1574466613,-1.3248608E7
1574466614,-1.3267672E7
1574466615,-1.3267672E7
1574466616,-1.3267544E7
1574466617,-1.3254168E7
1574466618,-1.3254168E7
1574466619,-1.3254168E7
1574466620,-1.3254168E7
1574466621,-1.3254168E7
1574466622,-1.3233424E7
1574466623,-1.3233424E7
1574466624,-1.3233424E7
1574466625,-1.3233296E7
1574466626,-1.3233296E7
1574466627,-1.3234E7
1574466628,-1.3234E7
1574466629,-1.323528E7
1574466630,-1.3296336E7
1574466631,-1.3299528E7
1574466632,-1.3299528E7
1574466633,-1.3315848E7
1574466634,-1.335532E7
1574466635,-1.335532E7
1574466636,-1.3355256E7
1574466637,-1.3355256E7
1574466638,-1.3355256E7
1574466639,-1.3355256E7
1574466640,-1.3355256E7
1574466641,-1.3355256E7
1574466642,-1.3355256E7
1574466643,-1.3355256E7
1574466644,-1.3373968E7
1574466645,-1.3385296E7
1574466646,-1.338632E7
1574466647,-1.338632E7
1574466648,-1.338632E7
1574466649,-1.338632E7
1574466650,-1.338632E7
1574466651,-1.338632E7
1574466652,-1.3387808E7
1574466653,-1.3390368E7
1574466654,-1.3390368E7
1574466655,-1.3391072E7
1574466656,-1.3391072E7
1574466657,-1.3392672E7
1574466658,-1.3392672E7
1574466659,-1.3392672E7
1574466660,-1.3393888E7
1574466661,-1.3394592E7
1574466662,-1.3394592E7
1574466663,-1.3394592E7
1574466664,-1.3395296E7
1574466665,-1.3395296E7
1574466666,-1.3395296E7
1574466667,-1.3395296E7
1574466668,-1.3395296E7
1574466669,-1.3399712E7
1574466670,-1.3399712E7
1574466671,-1.3399712E7
1574466672,-1.3399712E7
1574466673,-1.3399712E7
1574466674,-1.3399712E7
1574466675,-1.3399712E7
1574466676,-1.3399712E7
1574466677,-1.3391568E7
1574466678,-1.3391568E7
1574466679,-1.3391568E7
1574466680,-1.3391568E7
1574466681,-1.3391568E7
1574466682,-1.339292E7
1574466683,-1.3398168E7
1574466684,-1.3398168E7
1574466685,-1.3398168E7
1574466686,-1.3398168E7
1574466687,-1.334748E7
1574466688,-1.3337432E7
1574466689,-1.3337432E7
1574466690,-1.3337432E7
1574466691,-1.3373336E7
1574466692,-1.3373336E7
1574466693,-1.3373336E7
1574466694,-1.3373336E7
1574466695,-1.3373336E7
1574466696,-1.3373336E7
1574466697,-1.3375344E7
1574466698,-1.3383984E7
1574466699,-1.3383984E7
1574466700,-1.3383984E7
1574466701,-1.3383984E7
1574466702,-1.3383984E7
1574466703,-1.3383984E7
1574466704,-1.3383984E7
1574466705,-1.3383984E7
1574466706,-1.3383984E7
1574466707,-1.3397008E7
1574466708,-1.3397008E7
1574466709,-1.3397008E7
1574466710,-1.3397008E7
1574466711,-1.3397008E7
1574466712,-1.3397904E7
1574466713,-1.3398736E7
1574466714,-1.3398736E7
1574466715,-1.3398736E7
1574466716,-1.3398736E7
1574466717,-1.3400144E7
1574466718,-1.3400144E7
1574466719,-1.3402504E7
1574466720,-1.3402504E7
1574466721,-1.3402504E7
1574466722,-1.3402504E7
1574466723,-1.3402504E7
1574466724,-1.3402504E7
1574466725,-1.3402504E7
1574466726,-1.3402504E7
1574466727,-1.3403144E7
1574466728,-1.3403144E7
1574466729,-1.3403144E7
1574466730,-1.3403144E7
1574466731,-1.3403144E7
1574466732,-1.3403144E7
1574466733,-1.3405896E7
1574466734,-1.3405896E7
1574466735,-1.3405896E7
1574466736,-1.3405896E7
1574466737,-1.3405896E7
1574466738,-1.3405896E7
1574466739,-1.3405896E7
1574466740,-1.3405896E7
1574466741,-1.3405896E7
1574466742,-1.3408456E7
1574466743,-1.3408456E7
1574466744,-1.3408456E7
1574466745,-1.3408456E7
1574466746,-1.3408456E7
1574466747,-1.3408456E7
1574466748,-1.3408456E7
1574466749,-1.3408456E7
1574466750,-1.34034E7
1574466751,-1.3402312E7
1574466752,-1.3402312E7
1574466753,-1.3402312E7
1574466754,-1.3402312E7
1574466755,-1.3402312E7
1574466756,-1.3402312E7
1574466757,-1.3386648E7
1574466758,-1.3387824E7
1574466759,-1.3387824E7
1574466760,-1.3387824E7
1574466761,-1.3455504E7
1574466762,-1.3532664E7
1574466763,-1.3532664E7
1574466764,-1.3532664E7
1574466765,-1.3532664E7
1574466766,-1.3534456E7
1574466767,-1.3534496E7
1574466768,-1.3534496E7
1574466769,-1.3534496E7
1574466770,-1.3534496E7
1574466771,-1.3534496E7
1574466772,-1.3534496E7
1574466773,-1.3534496E7
1574466774,-1.3534496E7
1574466775,-1.3534496E7
1574466776,-1.3534496E7
1574466777,-1.3534496E7
1574466778,-1.3534496E7
1574466779,-1.3534496E7
1574466780,-1.3534496E7
1574466781,-1.3534496E7
1574466782,-1.3534496E7
1574466783,-1.3534496E7
1574466784,-1.3534496E7
1574466785,-1.3538784E7
1574466786,-1.3538784E7
1574466787,-1.354024E7
1574466788,-1.354024E7
1574466789,-1.354024E7
1574466790,-1.354024E7
1574466791,-1.354024E7
1574466792,-1.354024E7
1574466793,-1.354024E7
1574466794,-1.354024E7
1574466795,-1.354024E7
1574466796,-1.354024E7
1574466797,-1.354024E7
1574466798,-1.354024E7
1574466799,-1.354024E7
1574466800,-1.354024E7
1574466801,-1.354024E7
1574466802,-1.3543448E7
1574466803,-1.3543448E7
1574466804,-1.3543448E7
1574466805,-1.3543448E7
1574466806,-1.3543448E7
1574466807,-1.3545032E7
1574466808,-1.3545032E7
1574466809,-1.355028E7
1574466810,-1.355412E7
1574466811,-1.355412E7
1574466812,-1.355412E7
1574466813,-1.355412E7
1574466814,-1.355412E7
1574466815,-1.355412E7
1574466816,-1.355412E7
1574466817,-1.3482648E7
1574466818,-1.3482648E7
1574466819,-1.3482648E7
1574466820,-1.3482648E7
1574466821,-1.3482648E7
1574466822,-1.348476E7
1574466823,-1.348476E7
1574466824,-1.3485464E7
1574466825,-1.3485464E7
1574466826,-1.3505824E7
1574466827,-1.3505824E7
1574466828,-1.3505824E7
1574466829,-1.3505824E7
1574466830,-1.3505824E7
1574466831,-1.3505824E7
1574466832,-1.3505824E7
1574466833,-1.3505824E7
1574466834,-1.3505824E7
1574466835,-1.3505824E7
1574466836,-1.3505824E7
1574466837,-1.3505824E7
1574466838,-1.3505824E7
1574466839,-1.3505824E7
1574466840,-1.3505824E7
1574466841,-1.3505824E7
1574466842,-1.3505824E7
1574466843,-1.3505824E7
1574466844,-1.3505824E7
1574466845,-1.3505824E7
1574466846,-1.3505824E7
1574466847,-1.3505824E7
1574466848,-1.3505824E7
1574466849,-1.3505824E7
1574466850,-1.3505824E7
1574466851,-1.3505824E7
1574466852,-1.3505824E7
1574466853,-1.3505824E7
1574466854,-1.3505824E7
1574466855,-1.3505824E7
1574466856,-1.3505824E7
1574466857,-1.3505824E7
1574466858,-1.3505824E7
1574466859,-1.3505824E7
1574466860,-1.3505824E7
1574466861,-1.3505824E7
1574466862,-1.3505824E7
1574466863,-1.3505824E7
1574466864,-1.3505824E7
1574466865,-1.3505824E7
1574466866,-1.3505824E7
1574466867,-1.3505824E7
1574466868,-1.3505824E7
1574466869,-1.3505824E7
1574466870,-1.3505824E7
1574466871,-1.3505824E7
1574466872,-1.3505824E7
1574466873,-1.3505824E7
1574466874,-1.3505824E7
1574466875,-1.3505824E7
1574466876,-1.3505824E7
1574466877,-1.3505824E7
1574466878,-1.3505824E7
1574466879,-1.3505824E7
1574466880,-1.3505824E7
1574466881,-1.3505824E7
1574466882,-1.3505824E7
1574466883,-1.3505824E7
1574466884,-1.3514256E7
1574466885,-1.3514256E7
1574466886,-1.3514256E7
1574466887,-1.3514256E7
1574466888,-1.3514256E7
1574466889,-1.3555736E7
1574466890,-1.3558424E7
1574466891,-1.3558424E7
1574466892,-1.3558424E7
1574466893,-1.3558424E7
1574466894,-1.3558424E7
1574466895,-1.3558424E7
1574466896,-1.3558424E7
1574466897,-1.3558424E7
1574466898,-1.3558424E7
1574466899,-1.3558424E7
1574466900,-1.3558424E7
1574466901,-1.3558424E7
1574466902,-1.3558424E7
1574466903,-1.3558424E7
1574466904,-1.3558424E7
1574466905,-1.3558424E7
1574466906,-1.3558424E7
1574466907,-1.3558424E7
1574466908,-1.3558424E7
1574466909,-1.3558424E7
1574466910,-1.3558424E7
1574466911,-1.3558424E7
1574466912,-1.3558424E7
1574466913,-1.3558424E7
1574466914,-1.3558424E7
1574466915,-1.3558424E7
1574466916,-1.3558424E7
1574466917,-1.3558424E7
1574466918,-1.3558424E7
1574466919,-1.3558424E7
1574466920,-1.3558424E7
1574466921,-1.3558424E7
1574466922,-1.3558424E7
1574466923,-1.3558424E7
1574466924,-1.3558424E7
1574466925,-1.3558424E7
1574466926,-1.3558424E7
1574466927,-1.3560592E7
1574466928,-1.3560592E7
1574466929,-1.3560592E7
1574466930,-1.3560592E7
1574466931,-1.3562192E7
1574466932,-1.3562192E7
1574466933,-1.3562192E7
1574466934,-1.3562192E7
1574466935,-1.3562192E7
1574466936,-1.3562192E7
1574466937,-1.3562192E7
1574466938,-1.3562192E7
1574466939,-1.3562192E7
1574466940,-1.3562192E7
1574466941,-1.3562192E7
1574466942,-1.3562192E7
1574466943,-1.3562192E7
1574466944,-1.3562192E7
1574466945,-1.3562192E7
1574466946,-1.3562192E7
1574466947,-1.3562192E7
1574466948,-1.3562192E7
1574466949,-1.3562192E7
1574466950,-1.3562192E7
1574466951,-1.3562192E7
1574466952,-1.3562192E7
1574466953,-1.3562192E7
1574466954,-1.3562192E7
1574466955,-1.3562192E7
1574466956,-1.3562192E7
1574466957,-1.3562192E7
1574466958,-1.8315368E7
1574466959,-2.959176E7
1574466960,-3.1827032E7
1574466961,-3.192956E7
1574466962,-3.1989128E7
1574466963,-3.2007736E7
1574466964,-3.2028216E7
1574466965,-3.2028216E7
1574466966,-3.2030648E7
1574466967,-3.2031672E7
1574466968,-3.204588E7
1574466969,-3.204716E7
1574466970,-3.2053792E7
1574466971,-3.2122848E7
1574466972,-3.2161064E7
1574466973,-3.2161064E7
1574466974,-3.2170664E7
1574466975,-3.2175304E7
1574466976,-3.2171768E7
1574466977,-3.2139896E7
1574466978,-3.2126648E7
1574466979,-3.2103872E7
1574466980,-3.2631104E7
1574466981,-3.3028992E7
1574466982,-3.3118368E7
1574466983,-3.3185056E7
1574466984,-3.2844768E7
1574466985,-3.2841248E7
1574466986,-3.2840032E7
1574466987,-3.2853664E7
1574466988,-3.2853664E7
1574466989,-3.2853664E7
1574466990,-3.273872E7
1574466991,-3.273872E7
1574466992,-3.277648E7
1574466993,-3.2818464E7
1574466994,-3.285616E7
1574466995,-3.285616E7
1574466996,-3.285616E7
1574466997,-3.285616E7
1574466998,-3.285616E7
1574466999,-3.285616E7
1574467000,-3.2860064E7
1574467001,-3.2860064E7
1574467002,-3.286416E7
1574467003,-3.286416E7
1574467004,-3.2865504E7
1574467005,-3.2865504E7
1574467006,-3.2865504E7
1574467007,-3.2850816E7
1574467008,-3.283936E7
