t,value
1574466506,11660104
1574466507,11946704
1574466508,12235432
1574466509,12353672
1574466510,12454432
1574466511,12656160
1574466512,12705392
1574466513,12756976
1574466514,12761904
1574466515,12766472
1574466516,12771144
1574466517,12777320
1574466518,12781992
1574466519,12783112
1574466520,12788744
1574466521,12788744
1574466522,12824776
1574466523,12825672
1574466524,12835328
1574466525,12836416
1574466526,12840448
1574466527,12851232
1574466528,12855648
1574466529,12891464
1574466530,12930664
1574466531,12930664
1574466532,12931720
1574466533,12931720
1574466534,12905440
1574466535,12943792
1574466536,12950360
1574466537,12979672
1574466538,12991880
1574466539,12992520
1574466540,12992520
1574466541,12992520
1574466542,12993160
1574466543,12993160
1574466544,13021832
1574466545,13021832
1574466546,13024040
1574466547,13029096
1574466548,13029992
1574466549,13067880
1574466550,13081448
1574466551,13083560
1574466552,13088936
1574466553,13107368
1574466554,13107368
1574466555,13110440
1574466556,13110440
1574466557,13127920
1574466558,13127920
1574466559,13127920
1574466560,13127920
1574466561,13128816
1574466562,13108656
1574466563,13108656
1574466564,13112880
1574466565,13112880
1574466566,13112880
1574466567,13119552
1574466568,13124360
1574466569,13126376
1574466570,13127616
1574466571,13127616
1574466572,13127616
1574466573,13127616
1574466574,13127616
1574466575,13127616
1574466576,13127616
1574466577,13127616
1574466578,13127616
1574466579,13127616
1574466580,13127616
1574466581,13132288
1574466582,13132288
1574466583,13132288
1574466584,13132288
1574466585,13132288
1574466586,13132288
1574466587,13132288
1574466588,13132288
1574466589,13132064
1574466590,13134416
1574466591,13139280
1574466592,13145264
1574466593,13145264
1574466594,13145264
1574466595,13138736
1574466596,13089456
1574466597,13105776
1574466598,13112944
1574466599,13209904
1574466600,13209904
1574466601,13210736
1574466602,13210736
1574466603,13210736
1574466604,13210736
1574466605,13210736
1574466606,13211568
1574466607,13216560
1574466608,13216560
1574466609,13216560
1574466610,13217136
1574466611,13217136
1574466612,13248608
1574466613,13248608
1574466614,13267672
1574466615,13267672
1574466616,13267544
1574466617,13254168
1574466618,13254168
1574466619,13254168
1574466620,13254168
1574466621,13254168
1574466622,13233424
1574466623,13233424
1574466624,13233424
1574466625,13233296
1574466626,13233296
1574466627,13234000
1574466628,13234000
1574466629,13235280
1574466630,13296336
1574466631,13299528
1574466632,13299528
