t,value
1574466506,26424408
1574466507,26424408
1574466508,26424408
1574466509,29075024
1574466510,29075024
1574466511,29075024
1574466512,29075024
1574466513,31717432
1574466514,31717432
1574466515,31717432
1574466516,34359840
1574466517,34359840
1574466518,34359840
1574466519,37002248
1574466520,37002248
1574466521,37002248
1574466522,37002248
1574466523,39644656
1574466524,39644656
1574466525,39644656
1574466526,42287064
1574466527,42287064
1574466528,42287064
1574466529,44929472
1574466530,44929472
1574466531,44929472
1574466532,44929472
1574466533,47571880
1574466534,47571880
1574466535,47571880
1574466536,50214288
1574466537,50214288
1574466538,50214288
1574466539,52856712
1574466540,52856712
1574466541,52856712
1574466542,52856712
1574466543,55499120
1574466544,55499120
1574466545,55499120
1574466546,58141528
1574466547,58141528
1574466548,58141528
1574466549,60783936
1574466550,60783936
1574466551,60783936
1574466552,63426344
1574466553,63426344
1574466554,63426344
1574466555,63426344
1574466556,66068752
1574466557,66068752
1574466558,66068752
1574466559,68711192
1574466560,68711192
1574466561,68711192
1574466562,71353600
1574466563,71353600
1574466564,71353600
1574466565,71353600
1574466566,73996008
1574466567,73996008
1574466568,73996008
1574466569,76638416
1574466570,76638416
1574466571,76638416
1574466572,79280824
1574466573,79280824
1574466574,79280824
1574466575,79280824
1574466576,81923232
1574466577,81923232
1574466578,81923232
1574466579,84565640
1574466580,84565640
1574466581,84565640
1574466582,87208216
1574466583,87208216
1574466584,87208216
1574466585,87208216
1574466586,89850624
1574466587,89850624
1574466588,89850624
1574466589,92493032
1574466590,92493032
1574466591,92493032
1574466592,95135496
1574466593,95135496
1574466594,95135496
1574466595,95135496
1574466596,97777904
1574466597,97777904
1574466598,97777904
1574466599,100420312
1574466600,100420312
1574466601,100420312
1574466602,103062760
1574466603,103062760
1574466604,103062760
1574466605,103062760
1574466606,105713376
1574466607,105713376
1574466608,105713376
1574466609,108355808
1574466610,108355808
1574466611,108355808
1574466612,108355808
1574466613,110998216
1574466614,110998216
1574466615,110998216
1574466616,113648832
1574466617,113648832
1574466618,113648832
1574466619,113648832
1574466620,116299448
1574466621,116299448
1574466622,116299448
1574466623,118950064
1574466624,118950064
1574466625,118950064
1574466626,118950064
1574466627,121600680
1574466628,121600680
1574466629,121600680
1574466630,124243112
1574466631,124243112
1574466632,124243112
1574466633,124243112
1574466634,126893728
1574466635,126893728
1574466636,126893728
1574466637,129544344
1574466638,129544344
1574466639,129544344
1574466640,129544344
1574466641,132120576
1574466642,132120576
1574466643,132120576
1574466644,10635432
1574466645,10635432
1574466646,10635432
1574466647,14360416
1574466648,14360416
1574466649,14360416
1574466650,16764232
1574466651,16764232
1574466652,16764232
1574466653,19176112
1574466654,19176112
1574466655,19176112
1574466656,19176112
1574466657,21579880
1574466658,21579880
1574466659,21579880
1574466660,23983600
1574466661,23983600
1574466662,23983600
1574466663,26387320
1574466664,26387320
1574466665,26387320
1574466666,28799200
1574466667,28799200
1574466668,28799200
1574466669,31202896
1574466670,31202896
1574466671,31202896
1574466672,33606728
1574466673,33606728
1574466674,33606728
1574466675,33606728
1574466676,36018608
1574466677,36018608
1574466678,36018608
1574466679,38422424
1574466680,38422424
1574466681,38422424
1574466682,40826200
1574466683,40826200
1574466684,40826200
1574466685,43229960
1574466686,43229960
1574466687,43229960
1574466688,45641840
1574466689,45641840
1574466690,45641840
1574466691,48045552
1574466692,48045552
1574466693,48045552
1574466694,50457432
1574466695,50457432
1574466696,50457432
1574466697,50457432
1574466698,52861248
1574466699,52861248
1574466700,52861248
1574466701,55265016
1574466702,55265016
1574466703,55265016
1574466704,57676896
1574466705,57676896
1574466706,57676896
1574466707,60088776
1574466708,60088776
1574466709,60088776
1574466710,62492472
1574466711,62492472
1574466712,62492472
1574466713,62492472
1574466714,64904352
1574466715,64904352
1574466716,64904352
1574466717,67316232
1574466718,67316232
1574466719,67316232
1574466720,69728112
1574466721,69728112
1574466722,69728112
1574466723,72139992
1574466724,72139992
1574466725,72139992
1574466726,74551872
1574466727,77194312
1574466728,77194312
1574466729,77194312
1574466730,79606192
1574466731,79606192
1574466732,79606192
1574466733,82018072
1574466734,82018072
1574466735,82018072
1574466736,84429952
1574466737,84429952
1574466738,84429952
1574466739,86841832
1574466740,86841832
1574466741,86841832
1574466742,89253712
1574466743,89253712
1574466744,89253712
1574466745,91665592
1574466746,91665592
1574466747,91665592
1574466748,91665592
1574466749,94077472
1574466750,94077472
1574466751,94077472
1574466752,96489352
1574466753,96489352
1574466754,96489352
1574466755,98901232
1574466756,98901232
1574466757,98901232
1574466758,101313112
1574466759,101313112
1574466760,101313112
1574466761,103724992
1574466762,103724992
1574466763,103724992
1574466764,103724992
1574466765,106136872
1574466766,106136872
1574466767,106136872
1574466768,108548752
1574466769,108548752
1574466770,108548752
1574466771,110960632
1574466772,110960632
1574466773,110960632
1574466774,113372512
1574466775,113372512
1574466776,113372512
1574466777,115784392
1574466778,115784392
1574466779,115784392
1574466780,115784392
1574466781,118196272
1574466782,118196272
1574466783,118196272
1574466784,120608152
1574466785,120608152
1574466786,120608152
1574466787,123020032
1574466788,123020032
1574466789,123020032
1574466790,125431912
1574466791,125431912
1574466792,125431912
