t,value
1574466506,-1.1646288E7
1574466507,-1.1944528E7
1574466508,-1.2216016E7
1574466509,-1.2350208E7
1574466510,-1.245104E7
1574466511,-1.2633152E7
1574466512,-1.2684344E7
1574466513,-1.272504E7
1574466514,-1.272984E7
1574466515,-1.2749192E7
1574466516,-1.2753864E7
1574466517,-1.2759912E7
1574466518,-1.2764648E7
1574466519,-1.2765704E7
1574466520,-1.2771208E7
1574466521,-1.2771208E7
1574466522,-1.2807176E7
1574466523,-1.2808072E7
1574466524,-1.2817728E7
1574466525,-1.2818816E7
1574466526,-1.2822976E7
1574466527,-1.283376E7
1574466528,-1.2838176E7
1574466529,-1.2873992E7
1574466530,-1.293412E7
1574466531,-1.293412E7
1574466532,-1.2910536E7
1574466533,-1.2910536E7
1574466534,-1.2906168E7
1574466535,-1.2929904E7
1574466536,-1.2936024E7
1574466537,-1.2959128E7
1574466538,-1.2972232E7
1574466539,-1.2972872E7
1574466540,-1.2972872E7
1574466541,-1.2972872E7
1574466542,-1.2972872E7
1574466543,-1.2972872E7
1574466544,-1.3000648E7
1574466545,-1.3000648E7
1574466546,-1.3002856E7
1574466547,-1.3007656E7
1574466548,-1.3008552E7
1574466549,-1.304644E7
1574466550,-1.30602E7
1574466551,-1.306532E7
1574466552,-1.3071336E7
1574466553,-1.3083688E7
1574466554,-1.3083688E7
1574466555,-1.308676E7
1574466556,-1.308676E7
1574466557,-1.3102448E7
1574466558,-1.3102448E7
1574466559,-1.3102448E7
1574466560,-1.3102448E7
1574466561,-1.3114032E7
1574466562,-1.3086704E7
1574466563,-1.3086704E7
1574466564,-1.3090928E7
1574466565,-1.3090928E7
1574466566,-1.3090928E7
1574466567,-1.3098624E7
1574466568,-1.310356E7
1574466569,-1.3104616E7
1574466570,-1.310656E7
1574466571,-1.310656E7
1574466572,-1.310656E7
1574466573,-1.310656E7
1574466574,-1.310656E7
1574466575,-1.310656E7
1574466576,-1.310656E7
1574466577,-1.310656E7
1574466578,-1.310656E7
1574466579,-1.310656E7
1574466580,-1.310656E7
1574466581,-1.3111168E7
1574466582,-1.3111168E7
1574466583,-1.3111168E7
1574466584,-1.3111168E7
1574466585,-1.3111168E7
1574466586,-1.3111168E7
1574466587,-1.3111168E7
1574466588,-1.3111168E7
1574466589,-1.3110944E7
1574466590,-1.311336E7
1574466591,-1.3118224E7
1574466592,-1.3124208E7
1574466593,-1.3124208E7
1574466594,-1.3124208E7
1574466595,-1.3120496E7
1574466596,-1.3071216E7
1574466597,-1.3087472E7
1574466598,-1.309464E7
1574466599,-1.3206064E7
1574466600,-1.3206064E7
1574466601,-1.3206896E7
1574466602,-1.3206896E7
1574466603,-1.3206896E7
1574466604,-1.3206896E7
1574466605,-1.3206896E7
1574466606,-1.3206896E7
1574466607,-1.3212592E7
1574466608,-1.3212592E7
1574466609,-1.3212592E7
1574466610,-1.3213168E7
1574466611,-1.3213168E7
1574466612,-1.3244576E7
1574466613,-1.3244576E7
1574466614,-1.3249688E7
1574466615,-1.3249688E7
1574466616,-1.3250328E7
1574466617,-1.3252248E7
1574466618,-1.3252248E7
1574466619,-1.3252248E7
1574466620,-1.3252248E7
1574466621,-1.3252248E7
1574466622,-1.3236816E7
1574466623,-1.3236816E7
1574466624,-1.3236816E7
1574466625,-1.3219024E7
1574466626,-1.3219024E7
1574466627,-1.321448E7
1574466628,-1.321448E7
1574466629,-1.321576E7
1574466630,-1.3274128E7
1574466631,-1.327732E7
1574466632,-1.327732E7
1574466633,-1.329364E7
1574466634,-1.3333304E7
1574466635,-1.3333304E7
1574466636,-1.3333304E7
1574466637,-1.3333304E7
1574466638,-1.3333304E7
1574466639,-1.333324E7
1574466640,-1.333324E7
1574466641,-1.333324E7
1574466642,-1.333324E7
1574466643,-1.333324E7
1574466644,-1.3365392E7
1574466645,-1.337672E7
1574466646,-1.337672E7
1574466647,-1.337672E7
1574466648,-1.3377872E7
1574466649,-1.3377872E7
1574466650,-1.3377872E7
1574466651,-1.3377872E7
1574466652,-1.3378528E7
1574466653,-1.3380896E7
1574466654,-1.3380896E7
1574466655,-1.3380896E7
1574466656,-1.3380896E7
1574466657,-1.3384288E7
1574466658,-1.33832E7
1574466659,-1.33832E7
1574466660,-1.33832E7
1574466661,-1.33832E7
1574466662,-1.3385056E7
1574466663,-1.3385056E7
1574466664,-1.338576E7
1574466665,-1.338576E7
1574466666,-1.338576E7
1574466667,-1.338576E7
1574466668,-1.338576E7
1574466669,-1.338576E7
1574466670,-1.3390176E7
1574466671,-1.3390176E7
1574466672,-1.3390176E7
1574466673,-1.3390176E7
1574466674,-1.3390176E7
1574466675,-1.3390176E7
1574466676,-1.3390176E7
1574466677,-1.3382032E7
1574466678,-1.3382032E7
1574466679,-1.3382032E7
1574466680,-1.3382032E7
1574466681,-1.3382032E7
1574466682,-1.3383256E7
1574466683,-1.3383256E7
1574466684,-1.3383256E7
1574466685,-1.3383256E7
1574466686,-1.3383256E7
1574466687,-1.3312088E7
1574466688,-1.3311064E7
1574466689,-1.3311064E7
1574466690,-1.3311064E7
1574466691,-1.3311064E7
1574466692,-1.3311064E7
1574466693,-1.3347224E7
1574466694,-1.3347224E7
1574466695,-1.3347224E7
1574466696,-1.3347224E7
1574466697,-1.3348336E7
1574466698,-1.3356976E7
1574466699,-1.3356976E7
1574466700,-1.3356976E7
1574466701,-1.3356976E7
1574466702,-1.3356976E7
1574466703,-1.3356976E7
1574466704,-1.3356976E7
1574466705,-1.3356976E7
1574466706,-1.3356976E7
1574466707,-1.335976E7
1574466708,-1.335976E7
1574466709,-1.335976E7
1574466710,-1.335976E7
1574466711,-1.3370064E7
1574466712,-1.3371728E7
1574466713,-1.3372496E7
1574466714,-1.3372496E7
1574466715,-1.3372496E7
1574466716,-1.3372496E7
1574466717,-1.3373904E7
1574466718,-1.3373904E7
1574466719,-1.3376264E7
1574466720,-1.3376264E7
1574466721,-1.3376264E7
1574466722,-1.3376264E7
1574466723,-1.3376264E7
1574466724,-1.3376264E7
1574466725,-1.3376264E7
1574466726,-1.3376264E7
1574466727,-1.3376904E7
1574466728,-1.3376904E7
1574466729,-1.3376904E7
1574466730,-1.3376904E7
1574466731,-1.3376904E7
1574466732,-1.3376904E7
1574466733,-1.3376904E7
1574466734,-1.3376904E7
1574466735,-1.3376904E7
1574466736,-1.3376904E7
1574466737,-1.3377736E7
1574466738,-1.3377736E7
1574466739,-1.3377736E7
1574466740,-1.3377736E7
1574466741,-1.3377736E7
1574466742,-1.337556E7
1574466743,-1.337556E7
1574466744,-1.337556E7
1574466745,-1.337556E7
1574466746,-1.337556E7
1574466747,-1.337556E7
1574466748,-1.337556E7
1574466749,-1.337556E7
1574466750,-1.337556E7
1574466751,-1.337556E7
1574466752,-1.337556E7
1574466753,-1.337556E7
1574466754,-1.33746E7
1574466755,-1.33746E7
1574466756,-1.33746E7
1574466757,-1.3358744E7
1574466758,-1.336152E7
1574466759,-1.336152E7
1574466760,-1.336152E7
1574466761,-1.3429136E7
1574466762,-1.350636E7
1574466763,-1.350636E7
1574466764,-1.350636E7
1574466765,-1.350636E7
1574466766,-1.3507E7
1574466767,-1.350704E7
1574466768,-1.350704E7
1574466769,-1.350704E7
1574466770,-1.350704E7
1574466771,-1.350704E7
1574466772,-1.350704E7
1574466773,-1.350704E7
1574466774,-1.350704E7
1574466775,-1.350704E7
1574466776,-1.350704E7
1574466777,-1.350704E7
1574466778,-1.350704E7
1574466779,-1.350704E7
1574466780,-1.350704E7
1574466781,-1.350704E7
1574466782,-1.350704E7
1574466783,-1.350704E7
1574466784,-1.350704E7
1574466785,-1.3511328E7
1574466786,-1.3511328E7
1574466787,-1.3512848E7
1574466788,-1.3512848E7
1574466789,-1.3512848E7
1574466790,-1.3512848E7
1574466791,-1.3512848E7
1574466792,-1.3512848E7
1574466793,-1.3512848E7
1574466794,-1.3512848E7
1574466795,-1.3512848E7
1574466796,-1.3512848E7
1574466797,-1.3512848E7
1574466798,-1.3512848E7
1574466799,-1.3512848E7
1574466800,-1.3512848E7
1574466801,-1.3512848E7
1574466802,-1.3516056E7
1574466803,-1.3516056E7
1574466804,-1.3516056E7
1574466805,-1.3516056E7
1574466806,-1.3516056E7
1574466807,-1.351764E7
1574466808,-1.3524552E7
1574466809,-1.3524552E7
1574466810,-1.3524552E7
1574466811,-1.3524552E7
1574466812,-1.3524552E7
1574466813,-1.3524552E7
1574466814,-1.3524552E7
1574466815,-1.3524552E7
1574466816,-1.3524552E7
1574466817,-1.3472032E7
1574466818,-1.3472032E7
1574466819,-1.3472032E7
1574466820,-1.3472032E7
1574466821,-1.3472032E7
1574466822,-1.34744E7
1574466823,-1.34744E7
1574466824,-1.3473376E7
1574466825,-1.3473376E7
1574466826,-1.3473376E7
1574466827,-1.3494184E7
1574466828,-1.3494184E7
1574466829,-1.3494184E7
1574466830,-1.3494184E7
1574466831,-1.3494184E7
1574466832,-1.3494184E7
1574466833,-1.3494184E7
1574466834,-1.3494184E7
1574466835,-1.3494184E7
1574466836,-1.3494184E7
1574466837,-1.3494184E7
1574466838,-1.3494184E7
1574466839,-1.3494184E7
1574466840,-1.3494184E7
1574466841,-1.3494184E7
1574466842,-1.3494184E7
1574466843,-1.3494184E7
1574466844,-1.3494184E7
1574466845,-1.3494184E7
1574466846,-1.3494184E7
1574466847,-1.3494184E7
1574466848,-2.2987024E7
1574466849,-3.0725992E7
1574466850,-3.1674288E7
1574466851,-3.1932944E7
1574466852,-3.19668E7
1574466853,-3.197832E7
1574466854,-3.1993656E7
1574466855,-3.1992632E7
1574466856,-3.1995064E7
1574466857,-3.1996792E7
1574466858,-3.1998008E7
1574466859,-3.20088E7
1574466860,-3.207972E7
1574466861,-3.207972E7
1574466862,-3.207972E7
1574466863,-3.207972E7
1574466864,-3.2093096E7
1574466865,-3.2075432E7
1574466866,-3.2061656E7
1574466867,-3.2061656E7
1574466868,-3.2037784E7
1574466869,-3.2007352E7
1574466870,-3.1883456E7
1574466871,-3.2874816E7
1574466872,-3.3005672E7
1574466873,-3.3089512E7
1574466874,-3.3644328E7
1574466875,-3.3594536E7
1574466876,-3.3586856E7
1574466877,-3.3381992E7
1574466878,-3.3294952E7
1574466879,-3.31914E7
1574466880,-3.3059176E7
1574466881,-3.306116E7
1574466882,-3.3072616E7
1574466883,-3.3072616E7
1574466884,-3.3150976E7
1574466885,-3.3150976E7
1574466886,-3.3169992E7
1574466887,-3.317152E7
1574466888,-3.317152E7
1574466889,-3.31844E7
1574466890,-3.31844E7
1574466891,-3.31844E7
1574466892,-3.3091728E7
1574466893,-3.3091728E7
1574466894,-3.302984E7
1574466895,-3.302984E7
1574466896,-3.2947216E7
1574466897,-3.295496E7
1574466898,-3.295496E7
1574466899,-3.295496E7
1574466900,-3.295496E7
1574466901,-3.295496E7
1574466902,-3.295496E7
1574466903,-3.295496E7
1574466904,-3.295496E7
1574466905,-3.295496E7
1574466906,-3.2955792E7
