t,value
1574466506,917504
1574466507,917504
1574466508,917504
1574466509,917504
1574466510,917504
1574466511,917504
1574466512,917504
1574466513,917504
1574466514,917504
1574466515,917504
1574466516,917504
1574466517,917504
1574466518,917504
1574466519,917504
1574466520,917504
1574466521,917504
1574466522,917504
1574466523,917504
1574466524,917504
1574466525,917504
1574466526,917504
1574466527,917504
1574466528,917504
1574466529,917504
1574466530,917504
1574466531,917504
1574466532,917504
1574466533,917504
1574466534,917504
1574466535,917504
1574466536,917504
1574466537,917504
1574466538,917504
1574466539,917504
1574466540,917504
1574466541,917504
1574466542,917504
1574466543,917504
1574466544,917504
1574466545,917504
1574466546,917504
1574466547,917504
1574466548,917504
1574466549,917504
1574466550,917504
1574466551,917504
1574466552,917504
1574466553,917504
1574466554,917504
1574466555,917504
1574466556,917504
1574466557,917504
1574466558,917504
1574466559,917504
1574466560,917504
1574466561,917504
1574466562,917504
1574466563,917504
1574466564,917504
1574466565,917504
1574466566,917504
1574466567,917504
1574466568,917504
1574466569,917504
1574466570,917504
1574466571,917504
1574466572,917504
1574466573,917504
1574466574,917504
1574466575,917504
1574466576,917504
1574466577,917504
1574466578,917504
1574466579,917504
1574466580,917504
1574466581,917504
1574466582,917504
1574466583,917504
1574466584,917504
1574466585,917504
1574466586,917504
1574466587,917504
1574466588,917504
1574466589,917504
1574466590,917504
1574466591,917504
1574466592,917504
1574466593,917504
1574466594,917504
1574466595,917504
1574466596,917504
1574466597,917504
1574466598,917504
1574466599,917504
1574466600,917504
1574466601,917504
1574466602,917504
1574466603,917504
1574466604,917504
1574466605,917504
1574466606,917504
1574466607,917504
1574466608,917504
1574466609,917504
1574466610,917504
1574466611,917504
1574466612,917504
1574466613,917504
1574466614,917504
1574466615,917504
1574466616,917504
1574466617,917504
1574466618,917504
1574466619,917504
1574466620,917504
1574466621,917504
1574466622,917504
1574466623,917504
1574466624,917504
1574466625,917504
1574466626,917504
1574466627,917504
1574466628,917504
1574466629,917504
1574466630,917504
1574466631,917504
1574466632,917504
1574466633,917504
1574466634,917504
1574466635,917504
1574466636,917504
1574466637,917504
1574466638,917504
1574466639,917504
1574466640,917504
1574466641,917504
1574466642,917504
1574466643,917504
1574466644,917504
1574466645,917504
1574466646,917504
1574466647,917504
1574466648,917504
1574466649,917504
1574466650,917504
1574466651,917504
1574466652,917504
1574466653,917504
1574466654,917504
1574466655,917504
1574466656,917504
1574466657,917504
