t,value
1574466506,351272960
1574466507,351272960
1574466508,351272960
1574466509,351272960
1574466510,351272960
1574466511,351272960
1574466512,351272960
1574466513,351272960
1574466514,351272960
1574466515,351272960
1574466516,351272960
1574466517,351272960
1574466518,351272960
1574466519,351272960
1574466520,351272960
1574466521,351272960
1574466522,351272960
1574466523,351272960
1574466524,351272960
1574466525,351272960
1574466526,351272960
1574466527,351272960
1574466528,351272960
1574466529,351272960
1574466530,351272960
1574466531,351272960
1574466532,351272960
1574466533,351272960
1574466534,351272960
1574466535,351272960
1574466536,351272960
1574466537,351272960
1574466538,351272960
1574466539,351272960
1574466540,351272960
1574466541,351272960
1574466542,351272960
1574466543,351272960
1574466544,351272960
1574466545,351272960
1574466546,351272960
1574466547,351272960
1574466548,351272960
1574466549,351272960
1574466550,351272960
1574466551,351272960
1574466552,351272960
1574466553,351272960
1574466554,351272960
1574466555,351272960
1574466556,351272960
1574466557,351272960
1574466558,351272960
1574466559,351272960
1574466560,351272960
1574466561,351272960
1574466562,351272960
1574466563,351272960
1574466564,351272960
1574466565,351272960
1574466566,351272960
1574466567,351272960
1574466568,351272960
1574466569,351272960
1574466570,351272960
1574466571,351272960
1574466572,351272960
1574466573,351272960
1574466574,351272960
1574466575,351272960
1574466576,351272960
1574466577,351272960
1574466578,351272960
1574466579,351272960
1574466580,351272960
1574466581,351272960
1574466582,351272960
1574466583,351272960
1574466584,351272960
1574466585,351272960
1574466586,351272960
1574466587,351272960
1574466588,351272960
1574466589,351272960
1574466590,351272960
1574466591,351272960
1574466592,351272960
1574466593,351272960
1574466594,351272960
1574466595,351272960
1574466596,351272960
1574466597,351272960
1574466598,351272960
1574466599,351272960
1574466600,351272960
1574466601,351272960
1574466602,351272960
1574466603,351272960
1574466604,351272960
1574466605,351272960
1574466606,351272960
1574466607,351272960
1574466608,351272960
1574466609,351272960
1574466610,351272960
1574466611,351272960
1574466612,351272960
1574466613,351272960
1574466614,351272960
1574466615,351272960
1574466616,351272960
1574466617,351272960
1574466618,351272960
1574466619,351272960
1574466620,351272960
1574466621,351272960
1574466622,351272960
1574466623,351272960
1574466624,351272960
1574466625,351272960
1574466626,351272960
1574466627,351272960
1574466628,351272960
1574466629,351272960
1574466630,351272960
1574466631,351272960
1574466632,351272960
1574466633,351272960
1574466634,351272960
1574466635,351272960
1574466636,351272960
1574466637,351272960
1574466638,351272960
1574466639,351272960
1574466640,351272960
1574466641,351272960
1574466642,351272960
1574466643,351272960
1574466644,351272960
1574466645,351272960
1574466646,351272960
1574466647,351272960
1574466648,351272960
1574466649,351272960
1574466650,351272960
1574466651,351272960
1574466652,351272960
1574466653,351272960
1574466654,351272960
1574466655,351272960
1574466656,351272960
1574466657,351272960
1574466658,351272960
1574466659,351272960
1574466660,351272960
1574466661,351272960
1574466662,351272960
1574466663,351272960
1574466664,351272960
1574466665,351272960
1574466666,351272960
1574466667,351272960
1574466668,351272960
1574466669,351272960
1574466670,351272960
1574466671,351272960
1574466672,351272960
1574466673,351272960
1574466674,351272960
1574466675,351272960
1574466676,351272960
1574466677,351272960
1574466678,351272960
1574466679,351272960
1574466680,351272960
1574466681,351272960
1574466682,351272960
1574466683,351272960
1574466684,351272960
1574466685,351272960
1574466686,351272960
1574466687,351272960
1574466688,351272960
1574466689,351272960
1574466690,351272960
1574466691,351272960
1574466692,351272960
1574466693,351272960
1574466694,351272960
1574466695,351272960
1574466696,351272960
1574466697,351272960
1574466698,351272960
1574466699,351272960
1574466700,351272960
1574466701,351272960
1574466702,351272960
1574466703,351272960
1574466704,351272960
1574466705,351272960
1574466706,351272960
1574466707,351272960
1574466708,351272960
1574466709,351272960
1574466710,351272960
1574466711,351272960
1574466712,351272960
1574466713,351272960
1574466714,351272960
1574466715,351272960
1574466716,351272960
1574466717,351272960
1574466718,351272960
1574466719,351272960
1574466720,351272960
1574466721,351272960
1574466722,351272960
1574466723,351272960
1574466724,351272960
1574466725,351272960
1574466726,351272960
1574466727,351272960
1574466728,351272960
1574466729,351272960
1574466730,351272960
1574466731,351272960
1574466732,351272960
1574466733,351272960
1574466734,351272960
1574466735,351272960
1574466736,351272960
1574466737,351272960
1574466738,351272960
1574466739,351272960
1574466740,351272960
1574466741,351272960
1574466742,351272960
1574466743,351272960
1574466744,351272960
1574466745,351272960
1574466746,351272960
1574466747,351272960
1574466748,351272960
1574466749,351272960
1574466750,351272960
1574466751,351272960
1574466752,351272960
1574466753,351272960
1574466754,351272960
1574466755,351272960
1574466756,351272960
1574466757,351272960
1574466758,351272960
1574466759,351272960
1574466760,351272960
1574466761,351272960
1574466762,351272960
1574466763,351272960
1574466764,351272960
1574466765,351272960
1574466766,351272960
1574466767,351272960
1574466768,351272960
1574466769,351272960
1574466770,351272960
1574466771,351272960
1574466772,351272960
1574466773,351272960
1574466774,351272960
1574466775,351272960
1574466776,351272960
1574466777,351272960
1574466778,351272960
1574466779,351272960
1574466780,351272960
1574466781,351272960
1574466782,351272960
1574466783,351272960
1574466784,351272960
1574466785,351272960
1574466786,351272960
1574466787,351272960
1574466788,351272960
1574466789,351272960
1574466790,351272960
1574466791,351272960
1574466792,351272960
1574466793,351272960
1574466794,351272960
1574466795,351272960
1574466796,351272960
1574466797,351272960
1574466798,351272960
1574466799,351272960
1574466800,351272960
1574466801,351272960
1574466802,351272960
1574466803,351272960
1574466804,351272960
1574466805,351272960
1574466806,351272960
1574466807,351272960
1574466808,351272960
1574466809,351272960
1574466810,351272960
1574466811,351272960
1574466812,351272960
1574466813,351272960
1574466814,351272960
1574466815,351272960
1574466816,351272960
1574466817,351272960
1574466818,351272960
1574466819,351272960
1574466820,351272960
1574466821,351272960
1574466822,351272960
1574466823,351272960
1574466824,351272960
1574466825,351272960
1574466826,351272960
1574466827,351272960
1574466828,351272960
1574466829,351272960
1574466830,351272960
1574466831,351272960
1574466832,351272960
1574466833,351272960
1574466834,351272960
1574466835,351272960
1574466836,351272960
1574466837,351272960
1574466838,351272960
1574466839,351272960
1574466840,351272960
1574466841,351272960
1574466842,351272960
1574466843,351272960
1574466844,351272960
1574466845,351272960
1574466846,351272960
1574466847,351272960
1574466848,351272960
1574466849,1425539072
1574466850,1425539072
1574466851,1425539072
1574466852,1425539072
1574466853,1425539072
1574466854,1353711616
1574466855,1353711616
1574466856,1353711616
1574466857,1353711616
1574466858,1353711616
1574466859,1353711616
1574466860,1353711616
1574466861,1353711616
1574466862,1353711616
1574466863,1353711616
1574466864,1353711616
1574466865,1353711616
1574466866,1353711616
1574466867,1353711616
1574466868,1353711616
1574466869,1353711616
1574466870,2822242304
1574466871,2822242304
1574466872,2822242304
1574466873,2822242304
1574466874,2822242304
1574466875,2822242304
1574466876,2822242304
1574466877,2822242304
1574466878,2822242304
1574466879,2822242304
1574466880,2822242304
1574466881,2822242304
1574466882,2822242304
1574466883,2822242304
1574466884,2822242304
1574466885,2822242304
1574466886,2822242304
1574466887,2822242304
1574466888,2822242304
1574466889,2822242304
1574466890,2822242304
1574466891,2822242304
1574466892,2822242304
1574466893,2822242304
1574466894,2822242304
1574466895,2822242304
1574466896,2822242304
1574466897,2822242304
1574466898,2822242304
1574466899,2822242304
1574466900,2822242304
1574466901,2822242304
1574466902,2822242304
1574466903,2822242304
1574466904,2822242304
1574466905,2822242304
1574466906,2822242304
1574466907,2822242304
1574466908,2822242304
1574466909,2822242304
1574466910,2822242304
1574466911,2822242304
1574466912,2822242304
1574466913,2822242304
1574466914,2822242304
1574466915,2822242304
1574466916,2822242304
1574466917,2822242304
1574466918,2822242304
1574466919,2822242304
1574466920,2822242304
1574466921,2822242304
1574466922,2822242304
1574466923,2822242304
1574466924,2822242304
1574466925,2822242304
1574466926,2822242304
1574466927,2822242304
1574466928,2822242304
1574466929,2822242304
1574466930,2822242304
1574466931,2822242304
1574466932,2822242304
1574466933,2822242304
1574466934,2822242304
1574466935,2822242304
1574466936,2822242304
1574466937,2822242304
1574466938,2822242304
1574466939,2822242304
1574466940,2822242304
1574466941,2822242304
1574466942,2822242304
1574466943,2822242304
1574466944,2822242304
1574466945,2822242304
1574466946,2822242304
1574466947,2822242304
1574466948,2822242304
1574466949,2822242304
1574466950,2822242304
1574466951,2822242304
1574466952,2822242304
1574466953,2822242304
1574466954,2822242304
1574466955,2822242304
1574466956,2822242304
1574466957,2822242304
1574466958,2822242304
1574466959,2822242304
1574466960,2822242304
1574466961,2822242304
1574466962,2822242304
1574466963,2822242304
1574466964,2822242304
1574466965,2822242304
1574466966,2822242304
1574466967,2822242304
1574466968,2822242304
1574466969,2822242304
1574466970,2822242304
1574466971,2822242304
1574466972,2822242304
1574466973,2822242304
1574466974,2822242304
1574466975,2822242304
1574466976,2822242304
1574466977,2822242304
1574466978,2822242304
1574466979,2822242304
1574466980,2822242304
1574466981,2822242304
1574466982,2822242304
1574466983,2822242304
1574466984,2822242304
1574466985,2822242304
1574466986,2822242304
1574466987,2822242304
1574466988,2822242304
1574466989,2822242304
1574466990,2822242304
1574466991,2822242304
1574466992,2822242304
1574466993,2822242304
1574466994,2822242304
1574466995,2822242304
1574466996,2822242304
1574466997,2822242304
1574466998,2822242304
1574466999,2822242304
1574467000,2822242304
1574467001,2822242304
1574467002,2822242304
1574467003,2822242304
1574467004,2822242304
1574467005,2822242304
1574467006,2822242304
1574467007,2822242304
1574467008,2822242304
1574467009,2822242304
1574467010,2822242304
1574467011,2822242304
1574467012,2822242304
1574467013,2822242304
1574467014,2822242304
1574467015,2822242304
1574467016,2822242304
1574467017,2822242304
1574467018,2822242304
1574467019,2822242304
1574467020,2822242304
1574467021,2822242304
1574467022,2822242304
1574467023,2822242304
1574467024,2822242304
1574467025,2822242304
1574467026,2822242304
1574467027,2822242304
1574467028,2822242304
1574467029,2822242304
1574467030,2822242304
1574467031,2822242304
1574467032,2822242304
1574467033,2822242304
1574467034,2822242304
1574467035,2822242304
1574467036,2822242304
1574467037,2822242304
1574467038,2822242304
1574467039,2822242304
1574467040,2822242304
1574467041,2822242304
1574467042,2822242304
1574467043,2822242304
1574467044,2822242304
1574467045,2822242304
1574467046,2822242304
1574467047,2822242304
1574467048,2822242304
1574467049,2822242304
1574467050,2822242304
1574467051,2822242304
1574467052,2822242304
1574467053,2822242304
1574467054,2822242304
1574467055,2822242304
1574467056,2822242304
1574467057,2822242304
1574467058,2822242304
1574467059,2822242304
1574467060,2822242304
1574467061,2822242304
1574467062,2822242304
1574467063,2822242304
1574467064,2822242304
1574467065,2822242304
1574467066,2822242304
1574467067,2822242304
1574467068,2822242304
1574467069,2822242304
1574467070,2822242304
1574467071,2822242304
1574467072,2822242304
1574467073,2822242304
1574467074,2822242304
1574467075,2822242304
1574467076,2822242304
1574467077,2822242304
1574467078,2822242304
1574467079,2822242304
1574467080,2822242304
1574467081,2822242304
1574467082,2822242304
1574467083,2822242304
1574467084,2822242304
1574467085,2822242304
1574467086,2822242304
1574467087,2822242304
1574467088,2822242304
1574467089,2822242304
1574467090,2822242304
1574467091,2822242304
1574467092,2822242304
1574467093,2822242304
1574467094,2822242304
1574467095,2822242304
1574467096,2822242304
1574467097,2822242304
1574467098,2822242304
1574467099,2822242304
1574467100,2822242304
1574467101,2822242304
1574467102,2822242304
1574467103,2822242304
1574467104,2822242304
1574467105,2822242304
1574467106,2822242304
1574467107,2822242304
1574467108,2822242304
1574467109,2822242304
1574467110,2822242304
1574467111,2822242304
1574467112,2822242304
1574467113,2822242304
1574467114,2822242304
1574467115,2822242304
1574467116,2822242304
1574467117,2822242304
1574467118,2822242304
1574467119,2822242304
1574467120,2822242304
1574467121,2822242304
1574467122,2822242304
1574467123,2822242304
1574467124,2822242304
1574467125,2822242304
1574467126,2822242304
1574467127,2822242304
1574467128,2822242304
1574467129,2822242304
1574467130,2822242304
1574467131,2822242304
1574467132,2822242304
1574467133,2822242304
1574467134,2822242304
1574467135,2822242304
1574467136,2822242304
1574467137,2822242304
1574467138,2822242304
1574467139,2822242304
1574467140,2822242304
1574467141,2822242304
1574467142,2822242304
1574467143,2822242304
1574467144,2822242304
1574467145,2822242304
1574467146,2822242304
1574467147,2822242304
1574467148,2822242304
1574467149,2822242304
1574467150,2822242304
1574467151,2822242304
1574467152,2822242304
1574467153,2822242304
1574467154,2822242304
1574467155,2822242304
1574467156,2822242304
1574467157,2822242304
1574467158,2822242304
1574467159,2822242304
1574467160,2822242304
1574467161,2822242304
1574467162,2822242304
1574467163,2822242304
1574467164,2822242304
1574467165,2822242304
1574467166,2822242304
1574467167,2822242304
1574467168,2822242304
1574467169,2822242304
1574467170,2822242304
1574467171,2822242304
1574467172,2822242304
1574467173,2822242304
1574467174,2822242304
1574467175,2822242304
1574467176,2822242304
1574467177,2822242304
1574467178,2822242304
1574467179,2822242304
1574467180,2822242304
1574467181,2822242304
1574467182,2822242304
1574467183,2822242304
1574467184,2822242304
1574467185,2822242304
1574467186,2822242304
1574467187,2822242304
1574467188,2822242304
1574467189,2822242304
1574467190,2822242304
1574467191,2822242304
1574467192,2822242304
1574467193,2822242304
1574467194,2822242304
1574467195,2822242304
1574467196,2822242304
1574467197,2822242304
1574467198,2822242304
1574467199,2822242304
1574467200,2822242304
1574467201,2822242304
1574467202,2822242304
1574467203,2822242304
1574467204,2822242304
1574467205,2822242304
1574467206,2822242304
1574467207,2822242304
1574467208,2822242304
1574467209,2822242304
1574467210,2822242304
1574467211,2822242304
1574467212,2822242304
1574467213,2822242304
1574467214,2822242304
1574467215,2822242304
1574467216,2822242304
1574467217,2822242304
1574467218,2822242304
1574467219,2822242304
1574467220,2822242304
1574467221,2822242304
1574467222,2822242304
1574467223,2822242304
1574467224,2822242304
1574467225,2822242304
1574467226,2822242304
1574467227,2822242304
1574467228,2822242304
1574467229,2822242304
1574467230,2822242304
1574467231,2822242304
1574467232,2822242304
1574467233,2822242304
1574467234,2822242304
1574467235,2822242304
1574467236,2822242304
1574467237,2822242304
1574467238,2822242304
1574467239,2822242304
1574467240,2822242304
1574467241,2822242304
1574467242,2822242304
1574467243,2822242304
1574467244,2822242304
1574467245,2822242304
1574467246,2822242304
1574467247,2822242304
1574467248,2822242304
1574467249,2822242304
1574467250,2822242304
1574467251,2822242304
1574467252,2822242304
1574467253,2822242304
1574467254,2822242304
1574467255,2822242304
1574467256,2822242304
1574467257,2822242304
