t,value
1574466506,7465861119
1574466507,7465861119
1574466508,7465861119
1574466509,7465861119
1574466510,7465861119
1574466511,7465861119
1574466512,7465861119
1574466513,7465861119
1574466514,7465861119
1574466515,7465861119
1574466516,7465861119
1574466517,7465861119
1574466518,7465861119
1574466519,7465861119
1574466520,7465861119
1574466521,7465861119
1574466522,7465861119
1574466523,7465861119
1574466524,7465861119
1574466525,7465861119
1574466526,7465861119
1574466527,7465861119
1574466528,7465861119
1574466529,7465861119
1574466530,7465861119
1574466531,7465861119
1574466532,7465861119
1574466533,7465861119
1574466534,7465861119
1574466535,7465861119
1574466536,7465861119
1574466537,7465861119
1574466538,7465861119
1574466539,7465861119
1574466540,7465861119
1574466541,7465861119
1574466542,7465861119
1574466543,7465861119
1574466544,7465861119
1574466545,7465861119
1574466546,7465861119
1574466547,7465861119
1574466548,7465861119
1574466549,7465861119
1574466550,7465861119
1574466551,7465861119
1574466552,7465861119
1574466553,7465861119
1574466554,7465861119
1574466555,7465861119
1574466556,7465861119
1574466557,7465861119
1574466558,7465861119
1574466559,7465861119
1574466560,7465861119
1574466561,7465861119
1574466562,7465861119
1574466563,7465861119
1574466564,7465861119
1574466565,7465861119
1574466566,7465861119
1574466567,7465861119
1574466568,7465861119
1574466569,7465861119
1574466570,7465861119
1574466571,7465861119
1574466572,7465861119
1574466573,7465861119
1574466574,7465861119
1574466575,7465861119
1574466576,7465861119
1574466577,7465861119
1574466578,7465861119
1574466579,7465861119
1574466580,7465861119
1574466581,7465861119
1574466582,7465861119
1574466583,7465861119
1574466584,7465861119
1574466585,7465861119
1574466586,7465861119
1574466587,7465861119
1574466588,7465861119
1574466589,7465861119
1574466590,7465861119
1574466591,7465861119
1574466592,7465861119
1574466593,7465861119
1574466594,7465861119
1574466595,7465861119
1574466596,7465861119
1574466597,7465861119
1574466598,7465861119
1574466599,7465861119
1574466600,7465861119
1574466601,7465861119
1574466602,7465861119
1574466603,7465861119
1574466604,7465861119
1574466605,7465861119
1574466606,7465861119
1574466607,7465861119
1574466608,7465861119
1574466609,7465861119
1574466610,7465861119
1574466611,7465861119
1574466612,7465861119
1574466613,7465861119
1574466614,7465861119
1574466615,7465861119
1574466616,7465861119
1574466617,7465861119
1574466618,7465861119
1574466619,7465861119
1574466620,7465861119
1574466621,7465861119
1574466622,7465861119
1574466623,7465861119
1574466624,7465861119
1574466625,7465861119
1574466626,7465861119
1574466627,7465861119
1574466628,7465861119
1574466629,7465861119
1574466630,7465861119
1574466631,7465861119
1574466632,7465861119
1574466633,7465861119
1574466634,7465861119
1574466635,7465861119
1574466636,7465861119
1574466637,7465861119
1574466638,7465861119
1574466639,7465861119
1574466640,7465861119
1574466641,7465861119
1574466642,7465861119
1574466643,7465861119
1574466644,7465861119
1574466645,7465861119
1574466646,7465861119
1574466647,7465861119
1574466648,7465861119
1574466649,7465861119
1574466650,7465861119
1574466651,7465861119
1574466652,7465861119
1574466653,7465861119
1574466654,7465861119
1574466655,7465861119
1574466656,7465861119
1574466657,7465861119
1574466658,7465861119
1574466659,7465861119
1574466660,7465861119
1574466661,7465861119
1574466662,7465861119
1574466663,7465861119
1574466664,7465861119
1574466665,7465861119
1574466666,7465861119
1574466667,7465861119
1574466668,7465861119
1574466669,7465861119
1574466670,7465861119
1574466671,7465861119
1574466672,7465861119
1574466673,7465861119
1574466674,7465861119
1574466675,7465861119
1574466676,7465861119
1574466677,7465861119
1574466678,7465861119
1574466679,7465861119
1574466680,7465861119
1574466681,7465861119
1574466682,7465861119
1574466683,7465861119
1574466684,7465861119
1574466685,7465861119
1574466686,7465861119
1574466687,7465861119
1574466688,7465861119
1574466689,7465861119
1574466690,7465861119
1574466691,7465861119
1574466692,7465861119
1574466693,7465861119
1574466694,7465861119
1574466695,7465861119
1574466696,7465861119
1574466697,7465861119
1574466698,7465861119
1574466699,7465861119
1574466700,7465861119
1574466701,7465861119
1574466702,7465861119
1574466703,7465861119
1574466704,7465861119
1574466705,7465861119
1574466706,7465861119
1574466707,7465861119
1574466708,7465861119
1574466709,7465861119
1574466710,7465861119
1574466711,7465861119
1574466712,7465861119
1574466713,7465861119
1574466714,7465861119
1574466715,7465861119
1574466716,7465861119
1574466717,7465861119
1574466718,7465861119
1574466719,7465861119
1574466720,7465861119
1574466721,7465861119
1574466722,7465861119
1574466723,7465861119
1574466724,7465861119
1574466725,7465861119
1574466726,7465861119
1574466727,7465861119
1574466728,7465861119
1574466729,7465861119
1574466730,7465861119
1574466731,7465861119
1574466732,7465861119
1574466733,7465861119
1574466734,7465861119
1574466735,7465861119
1574466736,7465861119
1574466737,7465861119
1574466738,7465861119
1574466739,7465861119
1574466740,7465861119
1574466741,7465861119
1574466742,7465861119
1574466743,7465861119
1574466744,7465861119
1574466745,7465861119
1574466746,7465861119
1574466747,7465861119
1574466748,7465861119
1574466749,7465861119
1574466750,7465861119
1574466751,7465861119
1574466752,7465861119
1574466753,7465861119
1574466754,7465861119
1574466755,7465861119
1574466756,7465861119
1574466757,7465861119
1574466758,7465861119
1574466759,7465861119
1574466760,7465861119
1574466761,7465861119
1574466762,7465861119
1574466763,7465861119
1574466764,7465861119
1574466765,7465861119
1574466766,7465861119
1574466767,7465861119
1574466768,7465861119
1574466769,7465861119
1574466770,7465861119
1574466771,7465861119
1574466772,7465861119
1574466773,7465861119
1574466774,7465861119
1574466775,7465861119
1574466776,7465861119
1574466777,7465861119
1574466778,7465861119
1574466779,7465861119
1574466780,7465861119
1574466781,7465861119
1574466782,7465861119
1574466783,7465861119
1574466784,7465861119
1574466785,7465861119
1574466786,7465861119
1574466787,7465861119
1574466788,7465861119
1574466789,7465861119
1574466790,7465861119
1574466791,7465861119
1574466792,7465861119
1574466793,7465861119
1574466794,7465861119
1574466795,7465861119
1574466796,7465861119
1574466797,7465861119
1574466798,7465861119
1574466799,7465861119
1574466800,7465861119
