t,value
1574467855,504889344
1574467856,504889344
1574467857,504889344
1574467858,504889344
1574467859,504889344
1574467860,504889344
1574467861,504889344
1574467862,504889344
1574467863,504889344
1574467864,504889344
1574467865,504889344
1574467866,504889344
1574467867,504889344
1574467868,1579155456
1574467869,1579155456
1574467870,1579155456
1574467871,1579155456
1574467872,1579155456
1574467873,1579155456
1574467874,1579155456
1574467875,1579155456
1574467876,1579155456
1574467877,1579155456
1574467878,1579155456
1574467879,1579155456
1574467880,2919235584
1574467881,2919235584
1574467882,2919235584
1574467883,2919235584
1574467884,2993684480
1574467885,2993684480
1574467886,2993684480
1574467887,2993684480
1574467888,2993684480
1574467889,3239575552
1574467890,3239575552
1574467891,3239575552
1574467892,3239575552
1574467893,3239575552
1574467894,3239575552
1574467895,3261595648
1574467896,3261595648
1574467897,3261595648
1574467898,3261595648
1574467899,3261595648
1574467900,3359637504
1574467901,3359637504
1574467902,3359637504
1574467903,3359637504
1574467904,3368550400
1574467905,3368550400
1574467906,3368550400
1574467907,3368550400
1574467908,3429367808
1574467909,3429367808
1574467910,3429367808
1574467911,3429367808
1574467912,3440902144
1574467913,3440902144
1574467914,3440902144
1574467915,3440902144
1574467916,3476553728
1574467917,3476553728
1574467918,3476553728
1574467919,3476553728
1574467920,3488088064
1574467921,3488088064
1574467922,3488088064
1574467923,3508011008
1574467924,3508011008
1574467925,3508011008
1574467926,3508011008
1574467927,3517972480
1574467928,3517972480
1574467929,3517972480
1574467930,3518496768
1574467931,3518496768
1574467932,3518496768
1574467933,3526885376
1574467934,3526885376
1574467935,3526885376
1574467936,3523215360
1574467937,3523215360
1574467938,3523215360
1574467939,2944925696
1574467940,2944925696
1574467941,2944925696
1574467942,2956984320
1574467943,2956984320
1574467944,2956984320
1574467945,2970615808
1574467946,2970615808
1574467947,2970615808
1574467948,2988965888
1574467949,2988965888
1574467950,2990538752
1574467951,2990538752
1574467952,2990538752
1574467953,2979004416
1574467954,2979004416
1574467955,2580021248
1574467956,2580021248
1574467957,2580021248
1574467958,2958557184
1574467959,2958557184
1574467960,2585264128
1574467961,2585264128
1574467962,2932342784
1574467963,2932342784
1574467964,2932342784
1574467965,2589458432
1574467966,2589458432
1574467967,2904031232
1574467968,2904031232
1574467969,2593128448
1574467970,2593128448
1574467971,2873622528
1574467972,2873622528
1574467973,2595749888
1574467974,2595749888
1574467975,2845310976
1574467976,2845310976
1574467977,2598371328
1574467978,2598371328
1574467979,2818572288
1574467980,2818572288
1574467981,2600992768
1574467982,2600992768
1574467983,2793930752
1574467984,2793930752
1574467985,2793930752
1574467986,2603614208
1574467987,2603614208
1574467988,2771386368
1574467989,2771386368
1574467990,2605711360
1574467991,2605711360
1574467992,2750939136
1574467993,2750939136
1574467994,2607808512
1574467995,2607808512
1574467996,2733637632
1574467997,2733637632
1574467998,2609905664
1574467999,2609905664
1574468000,2718433280
1574468001,2718433280
1574468002,2611478528
1574468003,2611478528
1574468004,2705326080
1574468005,2705326080
1574468006,2613575680
1574468007,2613575680
1574468008,2693267456
1574468009,2693267456
1574468010,2615672832
1574468011,2615672832
1574468012,2615672832
1574468013,2684878848
1574468014,2684878848
1574468015,2617769984
1574468016,2617769984
1574468017,2676490240
1574468018,2676490240
1574468019,2619867136
1574468020,2619867136
1574468021,2669674496
1574468022,2669674496
1574468023,2621964288
1574468024,2621964288
1574468025,2664431616
1574468026,2664431616
1574468027,2624585728
1574468028,2624585728
1574468029,2660761600
1574468030,2660761600
1574468031,2660761600
1574468032,2626158592
1574468033,2626158592
1574468034,2657615872
1574468035,2657615872
1574468036,2628780032
1574468037,2628780032
1574468038,2654470144
1574468039,2654470144
1574468040,2657091584
1574468041,2657091584
1574468042,2652897280
1574468043,2652897280
1574468044,2654994432
1574468045,2654994432
1574468046,2652372992
1574468047,2652372992
1574468048,2652372992
1574468049,2653945856
1574468050,2653945856
