t,value
1574467855,11665864
1574467856,11947440
1574467857,12246152
1574467858,12352488
1574467859,12453632
1574467860,12633104
1574467861,12684296
1574467862,12732048
1574467863,12736208
1574467864,12755240
1574467865,12760872
1574467866,12765960
1574467867,25591592
1574467868,30606912
1574467869,31284016
1574467870,31294768
1574467871,31333552
1574467872,31411600
1574467873,31437328
1574467874,31439120
1574467875,31447616
1574467876,31535424
1574467877,31507200
1574467878,31522496
1574467879,31558144
1574467880,31541832
1574467881,32035416
1574467882,31959472
1574467883,32032808
1574467884,32079640
1574467885,32189144
1574467886,32476600
1574467887,32638440
1574467888,32633904
1574467889,32572848
1574467890,32567024
1574467891,32480624
1574467892,32265584
1574467893,32113648
1574467894,32119664
1574467895,32122288
1574467896,32130000
1574467897,32185744
1574467898,32219168
1574467899,32252000
1574467900,32253024
1574467901,32352992
1574467902,32356320
1574467903,32362272
1574467904,32365088
1574467905,32373560
1574467906,32394800
1574467907,32394800
1574467908,32389168
1574467909,32389168
1574467910,32390128
1574467911,32386992
1574467912,32397616
1574467913,32367216
1574467914,32365496
1574467915,32365496
1574467916,32367352
1574467917,32370968
1574467918,32372920
1574467919,32372920
1574467920,32373016
1574467921,32373016
1574467922,32373016
1574467923,32373016
1574467924,32365656
1574467925,32365656
1574467926,32365656
1574467927,32365880
1574467928,32365880
1574467929,32365880
1574467930,32368752
1574467931,32368752
1574467932,32368752
1574467933,32365360
1574467934,32364112
1574467935,32364112
1574467936,32364112
1574467937,32364112
1574467938,32374616
1574467939,32370952
1574467940,32365776
1574467941,32367840
1574467942,32367840
1574467943,32367840
1574467944,32342624
1574467945,32351824
1574467946,32345232
1574467947,32302544
1574467948,32334480
1574467949,32333240
1574467950,32159216
1574467951,32159216
1574467952,32164080
1574467953,32170096
1574467954,32171208
1574467955,32179696
1574467956,32181296
1574467957,32181296
1574467958,32181296
1574467959,32121200
1574467960,32121200
1574467961,32137952
1574467962,32087264
1574467963,32083360
1574467964,32072952
1574467965,31984440
1574467966,31984440
1574467967,31984440
1574467968,31984440
1574467969,31984440
1574467970,31984440
1574467971,31985456
1574467972,31985456
1574467973,31985456
1574467974,31863912
1574467975,31865608
1574467976,31865608
1574467977,31868064
1574467978,31868064
1574467979,31927440
1574467980,31927440
1574467981,31927440
1574467982,31940184
1574467983,31931560
1574467984,31931560
1574467985,31931560
1574467986,31943720
1574467987,31943720
1574467988,31955176
1574467989,31957096
1574467990,31957096
1574467991,31957096
1574467992,31957096
1574467993,31959336
1574467994,31959336
1574467995,31959336
1574467996,31959336
1574467997,31959336
1574467998,31959336
1574467999,31959336
1574468000,31959336
1574468001,31960104
1574468002,31960104
1574468003,31960104
1574468004,31960104
1574468005,31960104
1574468006,31960104
1574468007,31960104
1574468008,31960104
1574468009,31960104
1574468010,31984232
1574468011,31984232
1574468012,31984232
1574468013,31984232
1574468014,31984232
1574468015,31984232
1574468016,31984232
1574468017,31984232
1574468018,31988648
1574468019,31988648
1574468020,31988648
1574468021,31988648
1574468022,31988648
1574468023,31988648
1574468024,31988648
1574468025,31988648
1574468026,31988648
1574468027,31988648
1574468028,31988648
1574468029,31988648
1574468030,31988648
1574468031,31988648
1574468032,31988648
1574468033,31988648
1574468034,31988648
1574468035,31988648
1574468036,31988648
1574468037,31988648
1574468038,31988648
1574468039,31988648
1574468040,31988648
1574468041,31988648
1574468042,31988648
1574468043,31988648
1574468044,31988648
1574468045,31988648
1574468046,31988648
1574468047,31997288
1574468048,31997288
1574468049,31997288
1574468050,31997288
1574468051,31997288
1574468052,31997288
1574468053,31997288
1574468054,31997288
1574468055,31997288
1574468056,31997288
1574468057,31997288
1574468058,31997288
1574468059,31997288
1574468060,31997288
1574468061,31997288
1574468062,31997288
1574468063,31997288
1574468064,31997288
1574468065,31997288
1574468066,31997288
1574468067,31997288
1574468068,31999904
1574468069,31999904
1574468070,31999904
1574468071,31999904
1574468072,31999904
1574468073,31999904
1574468074,31999904
1574468075,31999904
1574468076,31999904
1574468077,31999904
1574468078,31999904
1574468079,31999904
1574468080,31999904
1574468081,31999904
1574468082,31999904
1574468083,31999904
1574468084,31999904
1574468085,31999904
1574468086,31999904
1574468087,31999904
