t,value
1574467855,3857600
1574467856,3997760
1574467857,4264832
1574467858,4320384
1574467859,4401792
1574467860,4527808
1574467861,4574656
1574467862,4618112
1574467863,4622272
1574467864,4640640
1574467865,4646336
1574467866,4650240
1574467867,6343680
1574467868,7177344
1574467869,7776512
1574467870,7787264
1574467871,7826944
1574467872,7874880
1574467873,7899456
1574467874,7901248
1574467875,7939648
1574467876,7970944
1574467877,7942720
1574467878,7961920
1574467879,7992896
1574467880,7974528
1574467881,8326848
1574467882,8201472
1574467883,8270784
1574467884,8316352
1574467885,8424704
1574467886,8713664
1574467887,8871936
1574467888,8866176
1574467889,8805120
1574467890,8712000
1574467891,8712896
1574467892,8497856
1574467893,8345920
1574467894,8351936
1574467895,8354560
1574467896,8361984
1574467897,8417728
1574467898,8444544
1574467899,8477376
1574467900,8486208
1574467901,8578368
1574467902,8580928
1574467903,8586368
1574467904,8589184
1574467905,8595968
1574467906,8613312
1574467907,8613312
1574467908,8607680
1574467909,8607680
1574467910,8608640
1574467911,8605504
1574467912,8584256
1574467913,8584320
1574467914,8582208
1574467915,8582208
1574467916,8584064
1574467917,8587392
1574467918,8589056
1574467919,8589056
1574467920,8589056
1574467921,8589056
1574467922,8589056
1574467923,8589056
1574467924,8581696
1574467925,8581696
1574467926,8581696
1574467927,8581696
1574467928,8581696
1574467929,8581696
1574467930,8583872
1574467931,8583872
1574467932,8583872
1574467933,8580480
1574467934,8578304
1574467935,8578304
1574467936,8578304
1574467937,8578304
1574467938,8585216
1574467939,8581248
1574467940,8575552
1574467941,8576832
1574467942,8576832
1574467943,8576832
1574467944,8551616
1574467945,8560192
1574467946,8553600
1574467947,8510912
1574467948,8542848
1574467949,8541248
1574467950,8366528
1574467951,8366528
1574467952,8371392
1574467953,8377408
1574467954,8378240
1574467955,8385920
1574467956,8387520
1574467957,8387520
1574467958,8387520
1574467959,8327424
1574467960,8327424
1574467961,8334208
1574467962,8283520
1574467963,8279616
1574467964,8265344
1574467965,8176832
1574467966,8176832
1574467967,8176832
1574467968,8176832
1574467969,8176832
1574467970,8176832
1574467971,8177088
1574467972,8177088
1574467973,8177088
1574467974,8055168
1574467975,8056576
1574467976,8056576
1574467977,8058304
1574467978,8058304
1574467979,8117376
1574467980,8117376
1574467981,8117376
