t,value
1574467855,132120576
1574467856,132120576
1574467857,132120576
1574467858,132120576
1574467859,132120576
1574467860,132120576
1574467861,132120576
1574467862,132120576
1574467863,132120576
1574467864,132120576
1574467865,132120576
1574467866,132120576
1574467867,132120576
1574467868,132120576
1574467869,132120576
1574467870,132120576
1574467871,132120576
1574467872,132120576
1574467873,132120576
1574467874,132120576
1574467875,132120576
1574467876,132120576
1574467877,132120576
1574467878,132120576
1574467879,132120576
1574467880,396361728
1574467881,396361728
1574467882,396361728
1574467883,396361728
1574467884,420478976
1574467885,420478976
1574467886,420478976
1574467887,420478976
1574467888,420478976
1574467889,546308096
1574467890,546308096
1574467891,546308096
1574467892,546308096
1574467893,546308096
1574467894,546308096
1574467895,546308096
1574467896,546308096
1574467897,546308096
1574467898,546308096
1574467899,546308096
1574467900,629669888
1574467901,629669888
1574467902,629669888
1574467903,629669888
1574467904,629669888
1574467905,629669888
1574467906,629669888
1574467907,629669888
1574467908,693633024
1574467909,693633024
1574467910,693633024
1574467911,693633024
1574467912,693633024
1574467913,693633024
1574467914,693633024
1574467915,693633024
1574467916,741343232
1574467917,741343232
1574467918,741343232
1574467919,741343232
1574467920,741343232
1574467921,741343232
1574467922,741343232
1574467923,777519104
1574467924,777519104
1574467925,777519104
1574467926,777519104
1574467927,777519104
1574467928,777519104
1574467929,777519104
1574467930,796917760
1574467931,796917760
1574467932,796917760
1574467933,796917760
1574467934,796917760
1574467935,796917760
1574467936,813170688
1574467937,813170688
1574467938,813170688
1574467939,813170688
1574467940,813170688
1574467941,813170688
1574467942,815267840
1574467943,815267840
1574467944,815267840
1574467945,815267840
1574467946,815267840
1574467947,815267840
1574467948,826802176
1574467949,826802176
1574467950,826802176
1574467951,826802176
1574467952,826802176
1574467953,833093632
1574467954,833093632
1574467955,833093632
1574467956,833093632
1574467957,833093632
1574467958,837812224
1574467959,837812224
1574467960,837812224
1574467961,837812224
1574467962,842006528
1574467963,842006528
1574467964,842006528
1574467965,842006528
1574467966,842006528
1574467967,845676544
1574467968,845676544
1574467969,845676544
1574467970,845676544
1574467971,848297984
1574467972,848297984
1574467973,848297984
1574467974,848297984
1574467975,850919424
1574467976,850919424
1574467977,850919424
1574467978,850919424
1574467979,853540864
1574467980,853540864
1574467981,853540864
1574467982,853540864
1574467983,856162304
1574467984,856162304
1574467985,856162304
1574467986,856162304
1574467987,856162304
1574467988,858259456
1574467989,858259456
1574467990,858259456
1574467991,858259456
1574467992,860356608
1574467993,860356608
1574467994,860356608
1574467995,860356608
1574467996,862453760
1574467997,862453760
1574467998,862453760
1574467999,862453760
1574468000,864550912
1574468001,864550912
1574468002,864550912
1574468003,864550912
1574468004,866648064
1574468005,866648064
1574468006,866648064
1574468007,866648064
1574468008,868745216
1574468009,868745216
1574468010,868745216
1574468011,868745216
1574468012,868745216
1574468013,870842368
1574468014,870842368
1574468015,870842368
1574468016,870842368
1574468017,872939520
1574468018,872939520
1574468019,872939520
1574468020,872939520
1574468021,875036672
1574468022,875036672
1574468023,875036672
1574468024,875036672
1574468025,877133824
1574468026,877133824
1574468027,877133824
1574468028,877133824
1574468029,879230976
1574468030,879230976
1574468031,879230976
1574468032,879230976
1574468033,879230976
1574468034,881328128
1574468035,881328128
1574468036,881328128
1574468037,881328128
1574468038,883425280
1574468039,883425280
1574468040,883425280
1574468041,883425280
1574468042,885522432
1574468043,885522432
1574468044,885522432
1574468045,885522432
1574468046,887619584
1574468047,887619584
1574468048,887619584
1574468049,887619584
1574468050,887619584
1574468051,889716736
1574468052,889716736
