t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,29075024
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,37002248
1574467872,39644656
1574467873,39644656
1574467874,39644656
1574467875,42287064
1574467876,42287064
1574467877,42287064
1574467878,44929472
1574467879,44929472
1574467880,44929472
1574467881,44929472
1574467882,47571880
1574467883,47571880
1574467884,47571880
1574467885,50214376
1574467886,50214376
1574467887,50214376
1574467888,52856808
1574467889,52856808
1574467890,52856808
1574467891,52856808
1574467892,55499280
1574467893,55499280
1574467894,55499280
1574467895,58141688
1574467896,58141688
1574467897,58141688
1574467898,60784096
1574467899,60784096
1574467900,60784096
1574467901,63426504
1574467902,63426504
1574467903,63426504
1574467904,63426504
1574467905,66068912
1574467906,66068912
1574467907,66068912
1574467908,68711320
1574467909,68711320
1574467910,68711320
1574467911,71353728
1574467912,71353728
1574467913,71353728
1574467914,71353728
1574467915,73996136
1574467916,73996136
1574467917,73996136
1574467918,76638544
1574467919,76638544
1574467920,76638544
1574467921,79280976
1574467922,79280976
1574467923,79280976
1574467924,79280976
1574467925,81923384
1574467926,81923384
1574467927,81923384
1574467928,84565792
1574467929,84565792
1574467930,84565792
1574467931,87208200
1574467932,87208200
1574467933,87208200
1574467934,87208200
1574467935,89850608
1574467936,89850608
1574467937,89850608
1574467938,92493120
1574467939,92493120
1574467940,92493120
1574467941,95135680
1574467942,95135680
1574467943,95135680
1574467944,95135680
1574467945,97778088
1574467946,97778088
1574467947,97778088
1574467948,100420496
1574467949,100420496
1574467950,100420496
1574467951,100420496
1574467952,103062984
1574467953,103062984
1574467954,103062984
1574467955,105705408
1574467956,105705408
1574467957,105705408
1574467958,108356024
1574467959,108356024
1574467960,108356024
1574467961,108356024
1574467962,111006640
1574467963,111006640
1574467964,111006640
1574467965,113649088
1574467966,113649088
1574467967,113649088
1574467968,113649088
1574467969,116291536
1574467970,116291536
1574467971,116291536
1574467972,118942152
1574467973,118942152
1574467974,118942152
1574467975,118942152
1574467976,121592768
1574467977,121592768
1574467978,121592768
1574467979,124243384
1574467980,124243384
1574467981,124243384
1574467982,124243384
1574467983,126885816
1574467984,126885816
1574467985,126885816
1574467986,129536432
1574467987,129536432
1574467988,129536432
1574467989,129536432
1574467990,132120576
1574467991,132120576
1574467992,132120576
1574467993,8074984
1574467994,8074984
1574467995,8074984
1574467996,11800056
1574467997,11800056
1574467998,11800056
1574467999,14212016
1574468000,14212016
1574468001,14212016
1574468002,14212016
1574468003,16623976
1574468004,16623976
1574468005,16623976
1574468006,19035936
1574468007,19035936
1574468008,19035936
1574468009,21439776
1574468010,21439776
1574468011,21439776
1574468012,23851736
1574468013,23851736
1574468014,23851736
1574468015,26255528
1574468016,26255528
1574468017,26255528
1574468018,28667488
1574468019,28667488
1574468020,28667488
1574468021,28667488
1574468022,31079448
1574468023,31079448
1574468024,31079448
1574468025,33491408
1574468026,33491408
1574468027,33491408
1574468028,35895256
1574468029,35895256
1574468030,35895256
1574468031,38307216
1574468032,38307216
1574468033,38307216
1574468034,40711032
1574468035,40711032
1574468036,40711032
1574468037,43122992
1574468038,43122992
1574468039,43122992
1574468040,43122992
1574468041,45534952
1574468042,45534952
1574468043,45534952
1574468044,47946912
1574468045,47946912
1574468046,47946912
1574468047,50350688
1574468048,50350688
1574468049,50350688
1574468050,52754480
1574468051,52754480
1574468052,52754480
1574468053,55158272
1574468054,55158272
1574468055,55158272
1574468056,57562024
1574468057,57562024
1574468058,57562024
1574468059,57562024
1574468060,59973984
1574468061,59973984
1574468062,59973984
1574468063,62385944
1574468064,62385944
1574468065,62385944
1574468066,64789720
1574468067,64789720
1574468068,64789720
1574468069,67193568
1574468070,67193568
1574468071,67193568
1574468072,69597384
1574468073,69597384
1574468074,69597384
1574468075,69597384
1574468076,74643592
1574468077,74643592
1574468078,74643592
1574468079,77047440
1574468080,77047440
1574468081,77047440
1574468082,79459400
1574468083,79459400
1574468084,79459400
1574468085,81871360
1574468086,81871360
1574468087,81871360
1574468088,84275160
1574468089,84275160
1574468090,84275160
1574468091,84275160
1574468092,86687120
1574468093,86687120
1574468094,86687120
1574468095,89090968
1574468096,89090968
1574468097,89090968
1574468098,91494784
1574468099,91494784
1574468100,91494784
1574468101,93898632
1574468102,93898632
1574468103,93898632
1574468104,96302432
1574468105,96302432
1574468106,96302432
1574468107,98706280
1574468108,98706280
1574468109,98706280
1574468110,98706280
1574468111,101110064
1574468112,101110064
1574468113,101110064
1574468114,103513848
1574468115,103513848
1574468116,103513848
1574468117,105917640
1574468118,105917640
1574468119,105917640
1574468120,108321440
1574468121,108321440
1574468122,108321440
1574468123,110725232
1574468124,110725232
1574468125,110725232
1574468126,110725232
1574468127,113129008
1574468128,113129008
1574468129,113129008
1574468130,115540968
1574468131,115540968
1574468132,115540968
1574468133,117944760
1574468134,117944760
1574468135,117944760
1574468136,120356720
1574468137,120356720
1574468138,120356720
1574468139,122760544
1574468140,122760544
1574468141,122760544
1574468142,122760544
1574468143,125164328
1574468144,125164328
1574468145,125164328
1574468146,127568104
1574468147,127568104
1574468148,127568104
1574468149,129971872
1574468150,129971872
1574468151,129971872
1574468152,132375640
1574468153,132375640
1574468154,132375640
1574468155,134779416
1574468156,134779416
1574468157,134779416
1574468158,136462336
1574468159,136462336
1574468160,136462336
1574468161,12305712
1574468162,12305712
1574468163,12305712
1574468164,14763576
1574468165,14763576
1574468166,16946336
1574468167,19404200
1574468168,19404200
1574468169,19404200
1574468170,21862064
1574468171,21862064
1574468172,21862064
1574468173,21862064
1574468174,24319928
1574468175,24319928
1574468176,24319928
1574468177,26777792
1574468178,26777792
1574468179,26777792
1574468180,29235656
1574468181,29235656
1574468182,29235656
1574468183,29235656
1574468184,31693520
1574468185,31693520
1574468186,31693520
1574468187,34151384
1574468188,34151384
1574468189,34151384
1574468190,36609248
1574468191,36609248
1574468192,36609248
1574468193,39067112
1574468194,39067112
1574468195,39067112
1574468196,39067112
1574468197,41524976
1574468198,41524976
1574468199,41524976
1574468200,43982840
1574468201,43982840
1574468202,43982840
1574468203,46440704
1574468204,46440704
1574468205,46440704
1574468206,48898568
1574468207,48898568
1574468208,48898568
1574468209,48898568
1574468210,51356432
1574468211,51356432
1574468212,51356432
1574468213,53814296
1574468214,53814296
1574468215,53814296
1574468216,56272160
1574468217,56272160
1574468218,56272160
1574468219,58730024
1574468220,58730024
1574468221,58730024
1574468222,58730024
1574468223,61187888
1574468224,61187888
1574468225,61187888
1574468226,63645752
1574468227,63645752
1574468228,63645752
1574468229,66095448
1574468230,66095448
1574468231,66095448
1574468232,68545144
1574468233,68545144
1574468234,68545144
1574468235,68545144
1574468236,71003008
1574468237,71003008
1574468238,71003008
1574468239,73452760
1574468240,73452760
1574468241,73452760
1574468242,75910624
1574468243,75910624
1574468244,75910624
1574468245,78368488
1574468246,78368488
1574468247,78368488
1574468248,78368488
1574468249,80818232
1574468250,80818232
1574468251,80818232
1574468252,83276096
1574468253,83276096
1574468254,83276096
1574468255,85733960
1574468256,85733960
1574468257,85733960
1574468258,88191824
1574468259,88191824
1574468260,88191824
