t,value
1574467855,2555904
1574467856,2555904
1574467857,2555904
1574467858,2555904
1574467859,2555904
1574467860,2555904
1574467861,2555904
1574467862,2555904
1574467863,2555904
1574467864,2555904
1574467865,2555904
1574467866,2555904
1574467867,2555904
1574467868,2555904
1574467869,2555904
1574467870,2555904
1574467871,2555904
1574467872,2555904
1574467873,2555904
1574467874,2555904
1574467875,2555904
1574467876,2555904
1574467877,2555904
1574467878,2555904
1574467879,2555904
1574467880,2555904
1574467881,2555904
1574467882,2555904
1574467883,2555904
1574467884,2555904
1574467885,2555904
1574467886,2555904
1574467887,2555904
1574467888,2555904
1574467889,2555904
1574467890,2555904
1574467891,2555904
1574467892,2555904
1574467893,2555904
1574467894,2555904
1574467895,2555904
1574467896,2555904
1574467897,2555904
1574467898,2555904
1574467899,2555904
1574467900,2555904
1574467901,2555904
1574467902,2555904
1574467903,2555904
1574467904,2555904
1574467905,2555904
1574467906,2555904
1574467907,2555904
1574467908,2555904
1574467909,2555904
1574467910,2555904
1574467911,2555904
1574467912,2555904
1574467913,2555904
1574467914,2555904
1574467915,2555904
1574467916,2555904
1574467917,2555904
1574467918,2555904
1574467919,2555904
1574467920,2555904
1574467921,2555904
1574467922,2555904
1574467923,2555904
1574467924,2555904
1574467925,2555904
1574467926,2555904
1574467927,2555904
1574467928,2555904
1574467929,2555904
1574467930,2555904
1574467931,2555904
1574467932,2555904
1574467933,2555904
1574467934,2555904
1574467935,2555904
1574467936,2555904
1574467937,2555904
1574467938,2555904
1574467939,2555904
1574467940,2555904
1574467941,2555904
1574467942,2555904
1574467943,2555904
1574467944,2555904
1574467945,2555904
1574467946,2555904
1574467947,2555904
1574467948,2555904
1574467949,2555904
1574467950,2555904
1574467951,2555904
1574467952,2555904
1574467953,2555904
1574467954,2555904
1574467955,2555904
1574467956,2555904
1574467957,2555904
1574467958,2555904
1574467959,2555904
1574467960,2555904
1574467961,2555904
1574467962,2555904
1574467963,2555904
1574467964,2555904
1574467965,2555904
1574467966,2555904
1574467967,2555904
1574467968,2555904
1574467969,2555904
1574467970,2555904
1574467971,2555904
1574467972,2555904
1574467973,2555904
1574467974,2555904
1574467975,2555904
1574467976,2555904
1574467977,2555904
1574467978,2555904
1574467979,2555904
1574467980,2555904
1574467981,2555904
1574467982,2555904
1574467983,2555904
1574467984,2555904
1574467985,2555904
1574467986,2555904
1574467987,2555904
1574467988,2555904
1574467989,2555904
1574467990,2555904
1574467991,2555904
1574467992,2555904
1574467993,2555904
1574467994,2555904
1574467995,2555904
1574467996,2555904
1574467997,2555904
1574467998,2555904
1574467999,2555904
1574468000,2555904
1574468001,2555904
1574468002,2555904
1574468003,2555904
1574468004,2555904
1574468005,2555904
1574468006,2555904
1574468007,2555904
1574468008,2555904
1574468009,2555904
1574468010,2555904
1574468011,2555904
1574468012,2555904
1574468013,2555904
1574468014,2555904
1574468015,2555904
1574468016,2555904
1574468017,2555904
1574468018,2555904
1574468019,2555904
1574468020,2555904
1574468021,2555904
1574468022,2555904
1574468023,2555904
1574468024,2555904
1574468025,2555904
1574468026,2555904
1574468027,2555904
1574468028,2555904
1574468029,2555904
1574468030,2555904
1574468031,2555904
