t,value
1574467855,7117368
1574467856,7193872
1574467857,7269864
1574467858,7285080
1574467859,7336032
1574467860,7338968
1574467861,7342608
1574467862,7347216
1574467863,7347576
1574467864,7347880
1574467865,7348712
1574467866,7349000
1574467867,7349288
1574467868,7349288
1574467869,7349288
1574467870,7355240
1574467871,7355240
1574467872,7355872
1574467873,7355872
1574467874,7355872
1574467875,7355872
1574467876,7358464
1574467877,7368808
1574467878,7369096
1574467879,7369096
1574467880,7369096
1574467881,7369384
1574467882,7369384
1574467883,7376152
1574467884,7376976
1574467885,7377272
1574467886,7377272
1574467887,7379944
1574467888,7379944
1574467889,7379944
1574467890,7379944
1574467891,7379944
1574467892,7379944
1574467893,7379944
1574467894,7379944
1574467895,7380296
1574467896,7380296
1574467897,7381512
1574467898,7388616
1574467899,7388616
1574467900,7388616
1574467901,7388616
1574467902,7388616
1574467903,7388616
1574467904,7389384
1574467905,7389384
1574467906,7394960
1574467907,7394960
1574467908,7394960
1574467909,7394960
1574467910,7394960
1574467911,7394960
1574467912,7394960
1574467913,7394960
1574467914,7394960
1574467915,7397088
1574467916,7397088
1574467917,7398888
1574467918,7399176
1574467919,7399520
1574467920,7399520
1574467921,7399520
1574467922,7399520
1574467923,7399520
1574467924,7399520
1574467925,7399520
1574467926,7399520
1574467927,7399520
1574467928,7399520
1574467929,7399520
1574467930,7399520
1574467931,7399520
1574467932,7399520
1574467933,7400032
1574467934,7400032
1574467935,7400032
1574467936,7400032
1574467937,7400032
1574467938,7400960
1574467939,7401264
1574467940,7402880
1574467941,7403664
1574467942,7403664
1574467943,7403664
1574467944,7403664
1574467945,7403664
1574467946,7403664
1574467947,7403664
1574467948,7403664
1574467949,7403664
1574467950,7403664
1574467951,7403664
1574467952,7403664
1574467953,7403664
1574467954,7403664
1574467955,7404304
1574467956,7404304
1574467957,7404304
1574467958,7404304
1574467959,7404304
1574467960,7404304
1574467961,7414272
1574467962,7415032
1574467963,7415032
1574467964,7415032
1574467965,7415032
1574467966,7415032
1574467967,7415032
1574467968,7415032
1574467969,7415032
1574467970,7415032
1574467971,7415792
1574467972,7415792
1574467973,7415792
1574467974,7415792
1574467975,7415792
1574467976,7415792
1574467977,7415792
1574467978,7415792
1574467979,7415792
1574467980,7416168
1574467981,7416168
1574467982,7420584
1574467983,7428792
1574467984,7428792
1574467985,7428792
1574467986,7428792
1574467987,7428792
1574467988,7428792
1574467989,7428792
1574467990,7428792
1574467991,7428792
1574467992,7428792
1574467993,7438224
1574467994,7438224
1574467995,7438224
1574467996,7438224
1574467997,7438224
1574467998,7438224
1574467999,7438224
1574468000,7438624
1574468001,7438624
1574468002,7438624
1574468003,7438624
1574468004,7438624
1574468005,7439264
1574468006,7439264
1574468007,7439264
1574468008,7439264
1574468009,7439264
1574468010,7439264
1574468011,7439264
1574468012,7439264
1574468013,7439264
1574468014,7439264
1574468015,7439264
1574468016,7439264
1574468017,7439264
1574468018,7439264
1574468019,7439264
1574468020,7439264
1574468021,7439264
1574468022,7439264
1574468023,7439264
1574468024,7439264
1574468025,7440016
1574468026,7440016
1574468027,7440016
1574468028,7440016
1574468029,7440016
1574468030,7440344
1574468031,7440728
1574468032,7440728
1574468033,7440728
1574468034,7440728
1574468035,7440728
1574468036,7440728
1574468037,7440728
1574468038,7440728
1574468039,7440728
1574468040,7440728
1574468041,7440728
1574468042,7440728
1574468043,7440728
1574468044,7440728
1574468045,7440728
1574468046,7441200
1574468047,7441200
1574468048,7441200
1574468049,7441200
1574468050,7441200
1574468051,7441200
1574468052,7441200
1574468053,7441200
1574468054,7441200
1574468055,7441872
1574468056,7442320
1574468057,7442320
1574468058,7442320
1574468059,7442320
1574468060,7442320
1574468061,7442320
1574468062,7442320
1574468063,7442320
1574468064,7442320
1574468065,7442320
1574468066,7442320
1574468067,7442320
1574468068,7442696
1574468069,7442696
1574468070,7442696
1574468071,7442696
1574468072,7442696
1574468073,7442696
1574468074,7442696
1574468075,7442696
1574468076,7442696
1574468077,7442696
1574468078,7442696
1574468079,7442696
1574468080,7442696
1574468081,7442696
1574468082,7442696
1574468083,7442696
1574468084,7442696
1574468085,7442696
1574468086,7442696
1574468087,7442696
1574468088,7442696
1574468089,7442696
1574468090,7443144
1574468091,7443144
1574468092,7443144
1574468093,7443144
1574468094,7443144
1574468095,7443144
1574468096,7443144
1574468097,7443144
1574468098,7443144
1574468099,7443144
1574468100,7443144
1574468101,7443144
1574468102,7443144
1574468103,7443144
1574468104,7443144
1574468105,7445184
1574468106,7448216
1574468107,7448496
1574468108,7448496
1574468109,7448496
1574468110,7465544
1574468111,7477688
1574468112,7477688
1574468113,7477688
1574468114,7477688
1574468115,7478176
1574468116,7478176
1574468117,7478176
1574468118,7478176
1574468119,7478176
1574468120,7478176
1574468121,7478176
1574468122,7478176
1574468123,7478176
1574468124,7478176
1574468125,7478176
1574468126,7478176
1574468127,7478176
1574468128,7478176
1574468129,7478176
1574468130,7478176
1574468131,7478176
1574468132,7478176
1574468133,7478176
1574468134,7478176
1574468135,7478544
1574468136,7478544
1574468137,7478544
1574468138,7478544
1574468139,7478544
1574468140,7478544
1574468141,7478544
1574468142,7478544
1574468143,7478544
1574468144,7478544
1574468145,7478544
1574468146,7478544
1574468147,7478544
1574468148,7478544
1574468149,7478544
1574468150,7478936
1574468151,7478936
1574468152,7478936
1574468153,7478936
1574468154,7478936
1574468155,7479240
1574468156,7479240
1574468157,7479240
1574468158,7479240
1574468159,7479240
1574468160,7479368
1574468161,7479368
1574468162,7479368
1574468163,7479368
1574468164,7479368
1574468165,7495896
1574468166,7495896
1574468167,7495896
1574468168,7495896
1574468169,7495896
1574468170,7495896
1574468171,7495896
1574468172,7495896
1574468173,7495896
1574468174,7495896
1574468175,7499488
1574468176,7499488
1574468177,7499488
1574468178,7499488
1574468179,7499488
1574468180,7499488
1574468181,7499488
1574468182,7499488
1574468183,7499488
1574468184,7499488
1574468185,7499488
1574468186,7499488
1574468187,7499488
1574468188,7499488
1574468189,7499488
1574468190,7499488
1574468191,7499488
1574468192,7499488
1574468193,7499488
1574468194,7499488
1574468195,7499488
1574468196,7499488
1574468197,7499488
1574468198,7499488
1574468199,7499488
1574468200,7499488
1574468201,7499488
1574468202,7499488
1574468203,7499488
1574468204,7499488
1574468205,7499488
1574468206,7499488
1574468207,7499488
1574468208,7499488
