t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,29075024
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,37002248
1574467872,39644656
1574467873,39644656
1574467874,39644656
1574467875,42287088
1574467876,42287088
1574467877,42287088
1574467878,44929496
1574467879,44929496
1574467880,44929496
1574467881,44929496
1574467882,47571904
1574467883,47571904
1574467884,47571904
1574467885,50214312
1574467886,50214312
1574467887,50214312
1574467888,52856720
1574467889,52856720
1574467890,52856720
1574467891,52856720
1574467892,55499200
1574467893,55499200
1574467894,55499200
1574467895,58141656
1574467896,58141656
1574467897,58141656
1574467898,60784064
1574467899,60784064
1574467900,60784064
1574467901,60784064
1574467902,63426472
1574467903,63426472
1574467904,63426472
1574467905,66068880
1574467906,66068880
1574467907,66068880
1574467908,68711288
1574467909,68711288
1574467910,68711288
1574467911,68711288
1574467912,71353720
1574467913,71353720
1574467914,71353720
1574467915,73996192
1574467916,73996192
1574467917,73996192
1574467918,76638600
1574467919,76638600
1574467920,76638600
1574467921,79281024
1574467922,79281024
1574467923,79281024
1574467924,79281024
1574467925,81923528
1574467926,81923528
1574467927,81923528
1574467928,84565936
1574467929,84565936
1574467930,84565936
1574467931,87208368
1574467932,87208368
1574467933,87208368
1574467934,87208368
1574467935,89850872
1574467936,89850872
1574467937,89850872
1574467938,92493280
1574467939,92493280
1574467940,92493280
1574467941,95135688
1574467942,95135688
1574467943,95135688
1574467944,95135688
1574467945,97778096
1574467946,97778096
1574467947,97778096
1574467948,100420528
1574467949,100420528
1574467950,100420528
1574467951,100420528
1574467952,103071144
1574467953,103071144
1574467954,103071144
1574467955,105721760
1574467956,105721760
1574467957,105721760
1574467958,105721760
1574467959,108372376
1574467960,108372376
1574467961,108372376
1574467962,111014944
1574467963,111014944
1574467964,111014944
1574467965,111014944
1574467966,113657384
1574467967,113657384
1574467968,113657384
1574467969,116308000
1574467970,116308000
1574467971,116308000
1574467972,118958616
1574467973,118958616
1574467974,118958616
1574467975,118958616
1574467976,121609232
1574467977,121609232
1574467978,121609232
1574467979,124259848
1574467980,124259848
1574467981,124259848
1574467982,124259848
1574467983,126902312
1574467984,126902312
1574467985,126902312
1574467986,129544744
1574467987,129544744
1574467988,129544744
1574467989,129544744
1574467990,132120576
1574467991,132120576
1574467992,132120576
1574467993,7993320
1574467994,7993320
1574467995,7993320
1574467996,11726816
1574467997,11726816
1574467998,11726816
1574467999,11726816
1574468000,14139016
1574468001,14139016
1574468002,14139016
1574468003,16543208
1574468004,16543208
1574468005,16543208
1574468006,18955408
1574468007,18955408
1574468008,18955408
1574468009,21367608
1574468010,21367608
1574468011,21367608
1574468012,23771648
1574468013,23771648
1574468014,23771648
1574468015,26183848
1574468016,26183848
1574468017,26183848
1574468018,26183848
1574468019,28596048
1574468020,28596048
1574468021,28596048
1574468022,31000064
1574468023,31000064
1574468024,31000064
1574468025,33412264
1574468026,33412264
1574468027,33412264
1574468028,35824464
1574468029,35824464
1574468030,35824464
1574468031,38236664
1574468032,38236664
1574468033,38236664
1574468034,40648864
1574468035,40648864
1574468036,40648864
1574468037,40648864
1574468038,43061064
1574468039,43061064
1574468040,43061064
1574468041,45473264
1574468042,45473264
1574468043,45473264
1574468044,47877288
1574468045,47877288
1574468046,47877288
1574468047,50289488
1574468048,50289488
1574468049,50289488
1574468050,52693496
1574468051,52693496
1574468052,52693496
1574468053,55097512
1574468054,55097512
1574468055,55097512
1574468056,55097512
1574468057,57501648
1574468058,57501648
1574468059,57501648
1574468060,59905664
1574468061,59905664
1574468062,59905664
1574468063,62309720
1574468064,62309720
1574468065,62309720
1574468066,64713824
1574468067,64713824
1574468068,64713824
1574468069,67126024
1574468070,67126024
1574468071,67126024
1574468072,67126024
1574468073,69530040
1574468074,69530040
1574468075,69530040
1574468076,74576504
1574468077,74576504
1574468078,74576504
1574468079,76980544
1574468080,76980544
1574468081,76980544
1574468082,79384584
1574468083,79384584
1574468084,79384584
1574468085,81788720
1574468086,81788720
1574468087,81788720
1574468088,81788720
1574468089,84192808
1574468090,84192808
1574468091,84192808
1574468092,86605008
1574468093,86605008
1574468094,86605008
1574468095,89017208
1574468096,89017208
1574468097,89017208
1574468098,91421232
1574468099,91421232
1574468100,91421232
1574468101,93825296
1574468102,93825296
1574468103,93825296
1574468104,96229304
1574468105,96229304
1574468106,97550528
1574468107,97550528
1574468108,99962728
1574468109,99962728
1574468110,99962728
1574468111,103687984
1574468112,103687984
1574468113,103687984
1574468114,106092000
1574468115,106092000
1574468116,106092000
1574468117,108496016
1574468118,108496016
1574468119,108496016
1574468120,110900040
1574468121,110900040
1574468122,110900040
1574468123,110900040
1574468124,113312240
1574468125,113312240
1574468126,113312240
1574468127,115724440
1574468128,115724440
1574468129,115724440
1574468130,118128480
1574468131,118128480
1574468132,118128480
1574468133,120532504
1574468134,120532504
1574468135,120532504
1574468136,122936520
1574468137,122936520
1574468138,122936520
1574468139,122936520
1574468140,125340536
1574468141,125340536
1574468142,125340536
1574468143,127752736
1574468144,127752736
1574468145,127752736
1574468146,130164936
1574468147,130164936
1574468148,130164936
1574468149,132568984
1574468150,132568984
1574468151,132568984
1574468152,134981184
1574468153,134981184
1574468154,134981184
1574468155,134981184
1574468156,136380432
1574468157,9645080
1574468158,9645080
1574468159,9645080
1574468160,9645080
1574468161,12938144
1574468162,12938144
1574468163,12938144
1574468164,15369648
1574468165,15369648
1574468166,16228464
1574468167,18668128
1574468168,18668128
1574468169,18668128
1574468170,21107792
1574468171,21107792
1574468172,21107792
1574468173,21107792
1574468174,23539296
1574468175,23539296
1574468176,23539296
1574468177,25970784
1574468178,25970784
1574468179,25970784
1574468180,28410448
1574468181,28410448
1574468182,28410448
1574468183,30841960
1574468184,30841960
1574468185,30841960
1574468186,30841960
1574468187,33273560
1574468188,33273560
1574468189,33273560
1574468190,35713224
1574468191,35713224
1574468192,35713224
1574468193,38144704
1574468194,38144704
1574468195,38144704
1574468196,40584368
1574468197,40584368
1574468198,40584368
1574468199,43015848
1574468200,43015848
1574468201,43015848
1574468202,43015848
1574468203,45455512
1574468204,45455512
1574468205,45455512
1574468206,47887016
1574468207,47887016
1574468208,47887016
1574468209,50318520
1574468210,50318520
1574468211,50318520
1574468212,52758184
1574468213,52758184
1574468214,52758184
1574468215,52758184
1574468216,55189640
1574468217,55189640
1574468218,55189640
1574468219,57621168
1574468220,57621168
1574468221,57621168
1574468222,60060832
1574468223,60060832
1574468224,60060832
1574468225,62492312
1574468226,62492312
1574468227,62492312
1574468228,62492312
1574468229,64923912
1574468230,64923912
1574468231,64923912
1574468232,67363576
1574468233,67363576
1574468234,67363576
1574468235,69795064
1574468236,69795064
1574468237,69795064
1574468238,73093544
1574468239,73093544
1574468240,73093544
1574468241,75525024
1574468242,75525024
1574468243,75525024
1574468244,75525024
1574468245,77964688
1574468246,77964688
1574468247,77964688
1574468248,80396192
1574468249,80396192
1574468250,80396192
1574468251,82827648
1574468252,82827648
1574468253,82827648
1574468254,85267312
1574468255,85267312
1574468256,85267312
1574468257,85267312
1574468258,87698816
1574468259,87698816
1574468260,87698816
