t,value
1574467855,2756706304
1574467856,2756706304
1574467857,2756706304
1574467858,2756706304
1574467859,2756706304
1574467860,2756706304
1574467861,2756706304
1574467862,2756706304
1574467863,2756706304
1574467864,2756706304
1574467865,2756706304
1574467866,2756706304
1574467867,2756706304
1574467868,2756706304
1574467869,2756706304
1574467870,2756706304
1574467871,2756706304
1574467872,2756706304
1574467873,2756706304
1574467874,2756706304
1574467875,2756706304
1574467876,2756706304
1574467877,2756706304
1574467878,2756706304
1574467879,2756706304
1574467880,2756706304
1574467881,2756706304
1574467882,2756706304
1574467883,2756706304
1574467884,2756706304
1574467885,2756706304
1574467886,2756706304
1574467887,2756706304
1574467888,2756706304
1574467889,2756706304
1574467890,2756706304
1574467891,2756706304
1574467892,2756706304
1574467893,2756706304
1574467894,2756706304
1574467895,2756706304
1574467896,2756706304
1574467897,2756706304
1574467898,2756706304
1574467899,2756706304
1574467900,2756706304
1574467901,2756706304
1574467902,2756706304
1574467903,2756706304
1574467904,2756706304
1574467905,2756706304
1574467906,2756706304
1574467907,2756706304
1574467908,2756706304
1574467909,2756706304
1574467910,2756706304
1574467911,2756706304
1574467912,2756706304
1574467913,2756706304
1574467914,2756706304
1574467915,2756706304
1574467916,2756706304
1574467917,2756706304
1574467918,2756706304
1574467919,2756706304
1574467920,2756706304
1574467921,2756706304
1574467922,2756706304
1574467923,2756706304
1574467924,2756706304
1574467925,2756706304
1574467926,2756706304
1574467927,2756706304
1574467928,2756706304
1574467929,2756706304
1574467930,2756706304
1574467931,2756706304
1574467932,2756706304
1574467933,2756706304
1574467934,2756706304
1574467935,2756706304
1574467936,2756706304
1574467937,2756706304
1574467938,2756706304
1574467939,2756706304
1574467940,2756706304
1574467941,2756706304
1574467942,2756706304
1574467943,2756706304
1574467944,2756706304
1574467945,2756706304
1574467946,2756706304
1574467947,2756706304
1574467948,2756706304
1574467949,2756706304
1574467950,2756706304
1574467951,2756706304
1574467952,2756706304
1574467953,2756706304
1574467954,2756706304
1574467955,2756706304
1574467956,2756706304
1574467957,2756706304
1574467958,2756706304
1574467959,2756706304
1574467960,2756706304
1574467961,2756706304
1574467962,2756706304
1574467963,2756706304
1574467964,2756706304
1574467965,2756706304
1574467966,2756706304
1574467967,2756706304
1574467968,2756706304
1574467969,2756706304
1574467970,2756706304
1574467971,2756706304
1574467972,2756706304
1574467973,2756706304
1574467974,2756706304
1574467975,2756706304
1574467976,2756706304
1574467977,2756706304
1574467978,2756706304
1574467979,2756706304
1574467980,2756706304
1574467981,2756706304
1574467982,2756706304
1574467983,2756706304
1574467984,2756706304
1574467985,2756706304
1574467986,2756706304
1574467987,2756706304
1574467988,2756706304
1574467989,2756706304
1574467990,2756706304
1574467991,2756706304
1574467992,2756706304
1574467993,2756706304
1574467994,2756706304
1574467995,2756706304
1574467996,2756706304
1574467997,2756706304
1574467998,2756706304
1574467999,2756706304
1574468000,2756706304
1574468001,2756706304
1574468002,2756706304
1574468003,2756706304
1574468004,2756706304
1574468005,2756706304
1574468006,2756706304
1574468007,2756706304
1574468008,2756706304
1574468009,2756706304
1574468010,2756706304
1574468011,2756706304
1574468012,2756706304
1574468013,2756706304
1574468014,2756706304
1574468015,2756706304
1574468016,2756706304
1574468017,2756706304
1574468018,2756706304
1574468019,2756706304
1574468020,2756706304
1574468021,2756706304
1574468022,2756706304
1574468023,2756706304
1574468024,2756706304
1574468025,2756706304
1574468026,2756706304
1574468027,2756706304
1574468028,2756706304
1574468029,2756706304
1574468030,2756706304
1574468031,2756706304
1574468032,2756706304
1574468033,2756706304
1574468034,2756706304
1574468035,2756706304
1574468036,2756706304
1574468037,2756706304
1574468038,2756706304
1574468039,2756706304
1574468040,2756706304
1574468041,2756706304
1574468042,2756706304
1574468043,2756706304
1574468044,2756706304
1574468045,2756706304
1574468046,2756706304
1574468047,2756706304
1574468048,2756706304
1574468049,2756706304
1574468050,2756706304
1574468051,2756706304
1574468052,2756706304
